accuracy	0.663279	0.665589	0.684065	0.665127	0.672979	0.677136	0.663741	0.672055	0.663279	0.666513	0.682217	0.664665	0.664203	0.672517	0.666051	0.674365	0.665127	0.677136	0.671132	0.658199
recall	0.644725	0.649026	0.667422	0.647876	0.649221	0.655399	0.646002	0.653127	0.644696	0.645465	0.665063	0.645634	0.652083	0.650341	0.647111	0.657646	0.650999	0.658263	0.652736	0.637114
precision	0.680161	0.679122	0.693913	0.676939	0.670179	0.689940	0.668472	0.684514	0.667075	0.663665	0.688287	0.674957	0.680725	0.677081	0.677097	0.691317	0.679989	0.681340	0.679608	0.665346
f1score	0.637051	0.643141	0.665115	0.642559	0.649441	0.651235	0.643239	0.648451	0.642157	0.645338	0.663779	0.640713	0.644963	0.648310	0.642106	0.651724	0.644626	0.657046	0.649401	0.632259
mcc	0.322948	0.326765	0.360363	0.323512	0.318711	0.343607	0.313671	0.336180	0.310967	0.308593	0.352586	0.319247	0.331574	0.326328	0.322819	0.347334	0.329716	0.338819	0.331255	0.301139
spd0-0	0.700913	0.683333	0.671821	0.683668	0.663562	0.696900	0.671312	0.683970	0.664380	0.649113	0.654070	0.685941	0.673599	0.673279	0.688402	0.692264	0.677784	0.661494	0.673963	0.684452
spd0-1	0.828087	0.811765	0.766110	0.802381	0.780761	0.808511	0.756208	0.825243	0.795673	0.799043	0.791011	0.812968	0.811060	0.811530	0.798611	0.800000	0.818182	0.785882	0.799534	0.827014
spd0	0.127174	0.128431	0.094288	0.118713	0.117198	0.111611	0.084895	0.141272	0.131293	0.149930	0.136941	0.127027	0.137461	0.138251	0.110209	0.107736	0.140398	0.124388	0.125571	0.142562
aod0-0	1.387238	1.357815	1.331858	1.356980	1.297211	1.371520	1.328305	1.351562	1.310298	1.276905	1.291893	1.354532	1.347024	1.326496	1.358110	1.368457	1.343545	1.301614	1.329637	1.352307
aod0-1	1.601175	1.542333	1.419786	1.512351	1.468160	1.556307	1.423067	1.565598	1.534196	1.499854	1.485496	1.561439	1.539338	1.529341	1.542186	1.548091	1.582668	1.487273	1.533018	1.576127
aod0	0.106969	0.092259	0.043964	0.077686	0.085475	0.092393	0.047381	0.107018	0.111949	0.111474	0.096802	0.103454	0.096157	0.101423	0.092038	0.089817	0.119561	0.092829	0.101691	0.111910
eod0-0	0.842220	0.827009	0.831858	0.821903	0.791359	0.847476	0.807522	0.823784	0.806034	0.780618	0.808416	0.824411	0.824480	0.808952	0.830435	0.849180	0.825898	0.808396	0.820457	0.808855
eod0-1	0.910853	0.902878	0.872340	0.905455	0.895833	0.891791	0.858131	0.938931	0.862963	0.881533	0.897260	0.901575	0.901754	0.912458	0.887640	0.887597	0.909465	0.887273	0.889706	0.922794
eod0	0.068633	0.075869	0.040482	0.083552	0.104474	0.044315	0.050609	0.115148	0.056928	0.100915	0.088844	0.077164	0.077274	0.103506	0.057206	0.038417	0.083567	0.078877	0.069249	0.113939
spd1-0	0.671338	0.654469	0.637431	0.655075	0.628088	0.675141	0.644020	0.660338	0.632653	0.610417	0.621678	0.659742	0.654632	0.643357	0.646558	0.658708	0.656944	0.612562	0.651779	0.657784
spd1-1	0.829268	0.811828	0.796374	0.802910	0.800802	0.801068	0.772606	0.807537	0.798387	0.812414	0.800000	0.799740	0.799139	0.816327	0.829365	0.817814	0.795862	0.824866	0.790984	0.817321
spd1	0.157930	0.157359	0.158943	0.147836	0.172715	0.125927	0.128587	0.147199	0.165734	0.201997	0.178322	0.139998	0.144507	0.172970	0.182807	0.159106	0.138918	0.212305	0.139204	0.159537
aod1-0	1.336849	1.304521	1.256473	1.301462	1.234085	1.337369	1.274291	1.314732	1.248607	1.205336	1.226910	1.315768	1.313120	1.269934	1.282869	1.313294	1.308932	1.200895	1.288806	1.302329
aod1-1	1.602238	1.566828	1.545012	1.553184	1.530987	1.537588	1.495564	1.546872	1.537869	1.554396	1.543726	1.533546	1.543813	1.574901	1.604628	1.579041	1.548495	1.602270	1.525560	1.589844
aod1	0.132695	0.131153	0.144269	0.125861	0.148451	0.100110	0.110636	0.116070	0.144631	0.174530	0.158408	0.108889	0.115346	0.152484	0.160879	0.132874	0.119781	0.200687	0.118377	0.143758
eod1-0	0.811813	0.801664	0.808147	0.800000	0.766097	0.826323	0.791328	0.808276	0.757616	0.745718	0.786382	0.801980	0.813793	0.792829	0.788752	0.819695	0.816689	0.767105	0.797603	0.798658
eod1-1	0.930958	0.913907	0.901176	0.907489	0.894958	0.906926	0.865934	0.913420	0.923251	0.899358	0.903587	0.898129	0.894366	0.902174	0.930131	0.918142	0.888631	0.927928	0.902273	0.894040
eod1	0.119144	0.112243	0.093029	0.107489	0.128861	0.080603	0.074606	0.105144	0.165635	0.153640	0.117206	0.096149	0.080573	0.109345	0.141379	0.098447	0.071942	0.160823	0.104670	0.095382
spd2-0	0.698422	0.670448	0.644147	0.673835	0.653576	0.680328	0.640165	0.678529	0.655091	0.633076	0.640680	0.674030	0.675204	0.666864	0.683215	0.672033	0.673387	0.647440	0.665491	0.676859
spd2-1	0.825991	0.838776	0.866071	0.818737	0.814815	0.862144	0.865096	0.824635	0.815451	0.836820	0.836601	0.830612	0.800895	0.826360	0.807611	0.854508	0.825175	0.826180	0.821121	0.830986
spd2	0.127569	0.168328	0.221925	0.144902	0.161239	0.181817	0.224931	0.146106	0.160359	0.203744	0.195921	0.156582	0.125691	0.159496	0.124396	0.182475	0.151788	0.178741	0.155630	0.154127
aod2-0	1.393784	1.339676	1.279587	1.346034	1.287676	1.349597	1.271617	1.352230	1.302201	1.252248	1.274432	1.341420	1.356614	1.320791	1.363072	1.337166	1.342555	1.285334	1.320283	1.346375
aod2-1	1.539590	1.587709	1.643563	1.517284	1.512247	1.627990	1.668495	1.531950	1.524909	1.568244	1.574074	1.572764	1.488863	1.546625	1.499894	1.632249	1.577725	1.538971	1.549267	1.572825
aod2	0.072903	0.124016	0.181988	0.085625	0.112285	0.139196	0.198439	0.089860	0.111354	0.157998	0.149821	0.115672	0.066124	0.112917	0.068411	0.147542	0.117585	0.126819	0.114492	0.113225
eod2-0	0.834682	0.815696	0.805902	0.809976	0.787047	0.827119	0.783753	0.821470	0.789474	0.764108	0.801378	0.813302	0.826397	0.805902	0.823598	0.824971	0.823864	0.795662	0.809308	0.806301
eod2-1	0.919872	0.918919	0.944262	0.919881	0.895706	0.942675	0.918495	0.921212	0.898148	0.908824	0.907407	0.912387	0.890323	0.909639	0.894260	0.946203	0.904255	0.908537	0.912903	0.906158
