accuracy	0.613857	0.609238	0.610624	0.613395	0.645727	0.634180	0.622171	0.620785	0.620323	0.625866	0.613395	0.615704	0.597691	0.612933	0.632794	0.604157	0.612471	0.647113	0.628637	0.624942
recall	0.588950	0.584012	0.580690	0.589338	0.605588	0.606759	0.596466	0.591158	0.592322	0.591751	0.584668	0.589477	0.578847	0.576486	0.606791	0.578544	0.591577	0.619194	0.599615	0.594302
precision	0.634472	0.633123	0.635884	0.628215	0.659425	0.647301	0.631465	0.650183	0.629750	0.627054	0.624152	0.628214	0.624000	0.623211	0.653969	0.628220	0.637847	0.662298	0.653819	0.644178
f1score	0.564477	0.555463	0.549406	0.568549	0.590351	0.592420	0.581222	0.562877	0.575288	0.578317	0.563803	0.569831	0.547035	0.550834	0.588543	0.547175	0.565771	0.607345	0.576912	0.572387
mcc	0.218735	0.211508	0.209423	0.214051	0.259487	0.250804	0.225228	0.234012	0.218895	0.215938	0.205053	0.214217	0.197758	0.194154	0.256456	0.200708	0.224710	0.278172	0.247570	0.233207
spd0-0	0.788242	0.792529	0.811569	0.769054	0.787544	0.753157	0.750290	0.803765	0.758719	0.757871	0.775000	0.768707	0.796072	0.805718	0.765147	0.802292	0.780102	0.748276	0.791475	0.779690
spd0-1	0.813559	0.858824	0.859189	0.814286	0.829978	0.820331	0.805869	0.866505	0.829327	0.818182	0.824719	0.817955	0.829493	0.833703	0.837963	0.857143	0.840909	0.818824	0.832168	0.869668
spd0	0.025317	0.066295	0.047619	0.045231	0.042434	0.067174	0.055579	0.062740	0.070608	0.060311	0.049719	0.049248	0.033421	0.027985	0.072816	0.054851	0.060807	0.070548	0.040693	0.089978
aod0-0	1.567541	1.580114	1.617490	1.531664	1.554462	1.491087	1.491191	1.598219	1.506216	1.502384	1.542169	1.527216	1.592060	1.600464	1.516838	1.596985	1.553483	1.480913	1.571723	1.547997
aod0-1	1.588222	1.668771	1.663172	1.576176	1.583988	1.596726	1.550757	1.670382	1.608067	1.565072	1.583535	1.583641	1.593030	1.628668	1.633640	1.680161	1.631808	1.562424	1.603339	1.684167
