accuracy	0.651270	0.654965	0.664203	0.658199	0.669284	0.670208	0.647113	0.665589	0.654042	0.663279	0.666975	0.654965	0.654503	0.663741	0.659584	0.656351	0.649423	0.670208	0.661432	0.651270
recall	0.630511	0.633725	0.640024	0.638443	0.641546	0.644919	0.622528	0.644080	0.630466	0.636003	0.644170	0.632523	0.640320	0.638441	0.638154	0.634877	0.632276	0.647414	0.638308	0.625968
precision	0.672318	0.683335	0.693674	0.675839	0.669956	0.691282	0.663135	0.683974	0.665501	0.667084	0.682789	0.671938	0.678536	0.671677	0.675814	0.687998	0.672329	0.680356	0.679981	0.666302
f1score	0.618560	0.619615	0.627451	0.629454	0.639843	0.636532	0.611079	0.636028	0.622698	0.632345	0.637223	0.622824	0.628479	0.633595	0.629810	0.619833	0.619621	0.643067	0.629234	0.615779
mcc	0.299929	0.313155	0.329357	0.312050	0.310203	0.332989	0.282763	0.325619	0.293886	0.301490	0.324671	0.301899	0.316558	0.308331	0.311701	0.318476	0.301960	0.326110	0.315549	0.289474
spd0-0	0.713470	0.731034	0.741123	0.700287	0.674040	0.716418	0.725319	0.699373	0.702687	0.686892	0.700581	0.708050	0.694974	0.687281	0.695903	0.735817	0.705483	0.683908	0.708525	0.714859
spd0-1	0.900726	0.891765	0.871122	0.873810	0.870246	0.891253	0.862302	0.895631	0.870192	0.877990	0.865169	0.897756	0.884793	0.875831	0.893519	0.902381	0.911616	0.865882	0.890443	0.898104
spd0	0.187256	0.160730	0.129999	0.173523	0.196207	0.174835	0.136983	0.196259	0.167505	0.191099	0.164587	0.189706	0.189819	0.188550	0.197615	0.166564	0.206133	0.181974	0.181918	0.183245
aod0-0	1.413648	1.453887	1.472061	1.390551	1.318892	1.411537	1.437577	1.382524	1.388394	1.353063	1.386081	1.399910	1.389781	1.355118	1.373671	1.457338	1.400132	1.347041	1.399816	1.413577
aod0-1	1.761240	1.728748	1.673396	1.683386	1.669025	1.741310	1.685795	1.736132	1.702486	1.693672	1.676292	1.752611	1.718874	1.692641	1.751311	1.776773	1.790608	1.677576	1.741031	1.749216
aod0	0.173796	0.137430	0.100668	0.146417	0.175067	0.164886	0.124109	0.176804	0.157046	0.170305	0.145105	0.176351	0.164547	0.168761	0.188820	0.159718	0.195238	0.165268	0.170608	0.167820
eod0-0	0.842220	0.863839	0.879425	0.834071	0.798736	0.860365	0.849558	0.837838	0.832974	0.814696	0.843854	0.837259	0.839492	0.818777	0.833696	0.875410	0.838955	0.826695	0.846572	0.835853
eod0-1	0.961240	0.953237	0.936170	0.945455	0.958333	0.947761	0.906574	0.969466	0.914815	0.930314	0.924658	0.956693	0.940351	0.939394	0.951311	0.949612	0.967078	0.930909	0.944853	0.955882
