accuracy	0.663279	0.664203	0.681293	0.670670	0.673441	0.675289	0.664665	0.674827	0.667436	0.665589	0.679908	0.673903	0.669284	0.673441	0.665127	0.677136	0.665127	0.676212	0.673441	0.661432
recall	0.645294	0.647355	0.664447	0.654127	0.650971	0.655038	0.647698	0.656015	0.648951	0.644774	0.662097	0.657414	0.658094	0.651843	0.645459	0.660748	0.650999	0.657223	0.656051	0.640534
precision	0.678301	0.678287	0.691098	0.681787	0.669632	0.684153	0.668283	0.687639	0.671847	0.662400	0.686821	0.680504	0.683016	0.677286	0.677843	0.693603	0.679989	0.680436	0.680282	0.668987
f1score	0.638390	0.641037	0.661861	0.649843	0.651606	0.652006	0.645531	0.651600	0.646659	0.644696	0.660311	0.655140	0.652707	0.650205	0.639618	0.655378	0.644626	0.655901	0.653612	0.636025
mcc	0.321908	0.324170	0.354545	0.334774	0.320060	0.337940	0.315310	0.342195	0.319980	0.306668	0.348041	0.337128	0.340198	0.328145	0.321676	0.352824	0.329716	0.336860	0.335459	0.308210
spd0-0	0.695776	0.690805	0.676403	0.681375	0.657159	0.683123	0.666667	0.684541	0.666095	0.651975	0.662209	0.662132	0.659734	0.670945	0.698788	0.690544	0.679480	0.667816	0.665899	0.683878
spd0-1	0.815981	0.797647	0.756563	0.773810	0.762864	0.794326	0.738149	0.817961	0.786058	0.777512	0.788764	0.783042	0.794931	0.798226	0.793981	0.788095	0.810606	0.764706	0.783217	0.822275
spd0	0.120204	0.106842	0.080160	0.092434	0.105704	0.111203	0.071482	0.133420	0.119963	0.125537	0.126555	0.120911	0.135197	0.127281	0.095193	0.097551	0.131126	0.096890	0.117318	0.138397
aod0-0	1.377108	1.373011	1.341197	1.352058	1.283893	1.344470	1.318757	1.352389	1.313109	1.282575	1.308446	1.305807	1.319289	1.321645	1.379106	1.364843	1.347074	1.314551	1.313316	1.350507
aod0-1	1.571493	1.504723	1.401848	1.442633	1.431931	1.520318	1.386285	1.548448	1.513090	1.456047	1.482071	1.488403	1.498764	1.499759	1.532380	1.519523	1.563060	1.439394	1.493818	1.568775
aod0	0.097193	0.065856	0.030326	0.045288	0.074019	0.087924	0.033764	0.098029	0.099990	0.086736	0.086813	0.091298	0.089737	0.089057	0.076637	0.077340	0.107993	0.062421	0.090251	0.109134
eod0-0	0.835691	0.830357	0.834071	0.824115	0.787144	0.830290	0.805310	0.827027	0.812500	0.783813	0.813953	0.809422	0.815242	0.807860	0.839130	0.849180	0.825898	0.812702	0.813928	0.813175
eod0-1	0.906977	0.899281	0.861702	0.890909	0.878472	0.888060	0.840830	0.935115	0.855556	0.860627	0.893836	0.889764	0.894737	0.902357	0.883895	0.883721	0.909465	0.872727	0.882353	0.915441
eod0	0.071286	0.068923	0.027631	0.066794	0.091328	0.057770	0.035521	0.108087	0.043056	0.076815	0.079882	0.080342	0.079494	0.094497	0.044765	0.034541	0.083567	0.060025	0.068425	0.102266
spd1-0	0.662228	0.655172	0.638812	0.646558	0.613973	0.652542	0.631281	0.657525	0.631949	0.605556	0.630070	0.625358	0.633515	0.634965	0.652945	0.651685	0.650000	0.618913	0.636427	0.652174
spd1-1	0.827913	0.819892	0.799163	0.797619	0.802139	0.803738	0.775266	0.810229	0.798387	0.816552	0.801361	0.791938	0.799139	0.819048	0.838624	0.820513	0.809655	0.815508	0.792350	0.824087
spd1	0.165685	0.164720	0.160351	0.151061	0.188166	0.151196	0.143985	0.152704	0.166438	0.210996	0.171291	0.166579	0.165624	0.184083	0.185679	0.168827	0.159655	0.196595	0.155923	0.171913
aod1-0	1.318707	1.305950	1.259668	1.284001	1.205070	1.292443	1.248509	1.308882	1.246574	1.195963	1.244132	1.246693	1.271030	1.252805	1.295709	1.299211	1.294997	1.213975	1.257760	1.290581
aod1-1	1.597545	1.584989	1.550790	1.541048	1.537815	1.541917	1.502298	1.553989	1.536804	1.560820	1.545968	1.514105	1.542470	1.582174	1.624601	1.582218	1.578184	1.582355	1.527833	1.604748
aod1	0.139419	0.139519	0.145561	0.128524	0.166373	0.124737	0.126894	0.122553	0.145115	0.182429	0.150918	0.133706	0.135720	0.164685	0.164446	0.141504	0.141593	0.184190	0.135037	0.157084
eod1-0	0.800824	0.801664	0.805519	0.798621	0.756899	0.800543	0.781843	0.811034	0.761589	0.737813	0.790387	0.779349	0.798621	0.787517	0.794239	0.814147	0.811218	0.771053	0.785619	0.798658
eod1-1	0.933185	0.918322	0.903529	0.905286	0.890756	0.911255	0.865934	0.913420	0.925508	0.905782	0.905830	0.896050	0.896714	0.902174	0.936681	0.924779	0.897912	0.921171	0.904545	0.898455
eod1	0.132361	0.116658	0.098010	0.106666	0.133857	0.110713	0.084091	0.102385	0.163918	0.167969	0.115442	0.116701	0.098093	0.114657	0.142443	0.110632	0.086694	0.150119	0.118926	0.099797
spd2-0	0.679719	0.661493	0.641817	0.652330	0.628957	0.655738	0.624264	0.666074	0.642731	0.624185	0.640094	0.635821	0.651339	0.652045	0.679078	0.653548	0.660714	0.638022	0.641975	0.663669
spd2-1	0.865639	0.883673	0.883929	0.859470	0.864924	0.888403	0.888651	0.864301	0.858369	0.859833	0.867102	0.851020	0.823266	0.857741	0.856237	0.901639	0.876457	0.864807	0.862069	0.869215
spd2	0.185919	0.222181	0.242111	0.207141	0.235967	0.232665	0.264387	0.198227	0.215638	0.235648	0.227009	0.215200	0.171927	0.205696	0.177159	0.248091	0.215743	0.226785	0.220094	0.205546
aod2-0	1.356270	1.321751	1.274985	1.302907	1.238049	1.300608	1.239753	1.327214	1.277086	1.234480	1.273234	1.264404	1.309131	1.291252	1.354866	1.299940	1.317173	1.266408	1.272938	1.319778
aod2-1	1.647165	1.700905	1.692078	1.618945	1.636215	1.685248	1.721088	1.622656	1.630151	1.626428	1.660494	1.619316	1.541488	1.610992	1.609591	1.739476	1.694818	1.640023	1.643234	1.659843
aod2	0.145447	0.189577	0.208547	0.158019	0.199083	0.192320	0.240668	0.147721	0.176533	0.195974	0.193630	0.177456	0.116178	0.159870	0.127362	0.219768	0.188823	0.186808	0.185148	0.170033
eod2-0	0.820809	0.808561	0.802497	0.798100	0.765093	0.800000	0.768879	0.812135	0.783753	0.755079	0.801378	0.787631	0.808561	0.790011	0.816589	0.812135	0.812500	0.787671	0.790011	0.796966
eod2-1	0.935897	0.942943	0.950820	0.943620	0.929448	0.964968	0.937304	0.951515	0.925926	0.923529	0.919753	0.927492	0.906452	0.939759	0.933535	0.977848	0.939716	0.929878	0.941935	0.935484
eod2	0.115088	0.134382	0.148323	0.145520	0.164355	0.164968	0.168425	0.139380	0.142173	0.168450	0.118375	0.139861	0.097890	0.149748	0.116946	0.165713	0.127216	0.142207	0.151924	0.138518
wcspd-000	0.605749	0.595897	0.582834	0.587553	0.544397	0.586957	0.566772	0.597536	0.567735	0.536810	0.559585	0.567568	0.580296	0.569516	0.610703	0.580544	0.598425	0.559662	0.558360	0.590956
wcspd-010	0.765281	0.747312	0.727273	0.745592	0.743655	0.738272	0.701754	0.729443	0.736842	0.757180	0.735369	0.708738	0.750670	0.754768	0.782278	0.750000	0.730392	0.753027	0.745679	0.744624
wcspd-100	0.800000	0.761905	0.723982	0.725490	0.704846	0.752294	0.699115	0.770408	0.759434	0.725962	0.745370	0.752632	0.763889	0.767857	0.714953	0.753425	0.745098	0.698276	0.753363	0.765854
wcspd-110	0.777778	0.754237	0.716667	0.728000	0.755396	0.756303	0.680328	0.827338	0.727273	0.737288	0.772727	0.756757	0.745614	0.784000	0.807692	0.745614	0.824074	0.757009	0.745902	0.830508
wcspd-001	0.753769	0.802956	0.796791	0.784404	0.780374	0.820000	0.822335	0.793578	0.753695	0.745370	0.780488	0.752525	0.714286	0.775510	0.739130	0.835681	0.772973	0.750000	0.812785	0.778846
wcspd-011	0.976471	0.947368	0.961749	0.906593	0.939024	0.935673	0.954286	0.923913	0.938889	0.958824	0.955414	0.942708	0.896104	0.933333	0.938202	0.962766	0.956250	0.954545	0.900621	0.936842
wcspd-101	0.852941	0.818182	0.842105	0.897436	0.933333	0.906250	0.846154	0.852941	0.897436	0.921053	0.909091	0.760870	0.854167	0.794872	0.914286	0.833333	0.942857	0.941176	0.875000	0.900000
wcspd-111	0.941176	0.984375	0.975000	0.980769	0.941176	0.981481	0.946429	0.976744	0.977273	0.962963	0.905660	0.962963	0.964286	0.936508	1.000000	1.000000	0.959184	0.961538	0.954545	0.949153
wcspd	0.370721	0.388478	0.392166	0.393216	0.396779	0.394525	0.387514	0.379208	0.409537	0.426153	0.395829	0.395395	0.383990	0.366992	0.389297	0.419456	0.360758	0.401876	0.396186	0.358197
wcaod-000	1.232784	1.220311	1.186049	1.200101	1.099801	1.191756	1.154894	1.217984	1.149846	1.086586	1.143588	1.156554	1.201791	1.158619	1.238640	1.185674	1.218911	1.133168	1.135547	1.198669
wcaod-010	1.504388	1.479972	1.447573	1.473330	1.454768	1.431383	1.381925	1.428624	1.452376	1.486168	1.449716	1.384876	1.483628	1.482890	1.549292	1.464980	1.439053	1.488036	1.463817	1.474723
wcaod-100	1.563256	1.453696	1.371781	1.379839	1.329787	1.445032	1.326626	1.450689	1.491486	1.386419	1.419753	1.480009	1.481753	1.448300	1.392294	1.464695	1.438095	1.332298	1.458925	1.463063
wcaod-110	1.506311	1.462704	1.342797	1.393333	1.445138	1.485294	1.312621	1.601299	1.421227	1.362134	1.471220	1.405405	1.433789	1.501637	1.579633	1.441288	1.609397	1.456395	1.420045	1.615221
wcaod-001	1.440736	1.576331	1.527512	1.494620	1.498649	1.569284	1.600109	1.504484	1.443750	1.420588	1.487650	1.453365	1.375640	1.458059	1.412894	1.632138	1.495495	1.404412	1.569259	1.485514
wcaod-011	1.913043	1.831661	1.885246	1.739930	1.761905	1.784314	1.882614	1.758037	1.808026	1.862545	1.895145	1.835084	1.722732	1.777778	1.760034	1.872727	1.870909	1.854545	1.707722	1.809524
wcaod-101	1.515556	1.335000	1.364055	1.370588	1.760000	1.628205	1.435484	1.500000	1.651786	1.682028	1.597222	1.294643	1.393162	1.266667	1.733333	1.505455	1.850427	1.468750	1.583333	1.733333
wcaod-111	1.859091	1.980392	1.833333	1.900000	1.807692	1.916667	1.864646	1.969697	1.888889	1.954545	1.813853	1.833333	1.836735	1.832447	2.000000	2.000000	1.900000	1.897436	1.870588	1.834921
wcaod	0.340130	0.380040	0.349598	0.349949	0.353946	0.362455	0.363860	0.375856	0.369521	0.433980	0.375778	0.339265	0.317472	0.336914	0.380680	0.407163	0.340544	0.382134	0.367521	0.318126
wceod-000	0.752784	0.759637	0.769068	0.737819	0.694505	0.739514	0.733634	0.738739	0.716776	0.665227	0.733184	0.734375	0.762980	0.721239	0.763393	0.760722	0.774262	0.719027	0.724832	0.742358
wceod-010	0.896861	0.853535	0.854167	0.867925	0.818966	0.870690	0.807339	0.860577	0.896226	0.881517	0.867299	0.838428	0.855721	0.837321	0.895238	0.880184	0.830357	0.881818	0.861607	0.821782
wceod-100	0.877863	0.845588	0.828571	0.854839	0.829787	0.863636	0.802817	0.917355	0.794118	0.829457	0.851852	0.849057	0.853846	0.887324	0.814516	0.839695	0.866667	0.821429	0.838235	0.895161
wceod-110	0.919355	0.924242	0.831169	0.853333	0.891566	0.838235	0.802817	0.928571	0.865672	0.819277	0.924051	0.864865	0.880597	0.884615	0.918919	0.878788	0.935484	0.875000	0.878378	0.904110
wceod-001	0.861789	0.873950	0.889831	0.897059	0.850000	0.920635	0.893443	0.919118	0.843750	0.845588	0.871212	0.842975	0.823009	0.875969	0.850394	0.950820	0.873874	0.845588	0.885714	0.872180
wceod-011	1.000000	0.985507	1.000000	0.968000	1.000000	1.000000	0.975207	0.970803	0.984496	0.984496	0.964912	0.977941	0.944954	1.000000	0.992593	1.000000	0.990909	1.000000	0.990741	0.984962
