accuracy	0.808708	0.808845	0.805842	0.805705	0.805091	0.806934	0.807548	0.805159	0.802703	0.804613	0.805501	0.808299	0.802975	0.807411	0.805091	0.809664	0.803248	0.805432	0.804886	0.804818
recall	0.631881	0.636323	0.635135	0.629370	0.630814	0.630848	0.634309	0.632295	0.633526	0.626638	0.632784	0.628685	0.626778	0.631543	0.630350	0.635980	0.626999	0.630179	0.630118	0.627639
precision	0.774187	0.779390	0.779284	0.775493	0.767514	0.777253	0.782077	0.780112	0.779232	0.767952	0.777751	0.771329	0.764092	0.775756	0.773579	0.780932	0.777439	0.784847	0.772919	0.776099
f1score	0.654124	0.659185	0.657139	0.650537	0.652100	0.652519	0.656597	0.653730	0.654548	0.647186	0.654392	0.650376	0.647011	0.653435	0.651537	0.658993	0.647156	0.651299	0.651227	0.648308
mcc	0.380316	0.390319	0.388542	0.377574	0.374136	0.380936	0.389284	0.385006	0.386185	0.368417	0.384089	0.373717	0.365957	0.380913	0.377683	0.390902	0.375417	0.385129	0.376891	0.375452
spd0-0	0.016622	0.018449	0.014978	0.017483	0.021905	0.014752	0.016393	0.016532	0.017861	0.015483	0.015896	0.016584	0.016591	0.018014	0.017203	0.016774	0.016643	0.015410	0.018412	0.015893
spd0-1	0.135276	0.137654	0.139549	0.132571	0.136234	0.133841	0.135448	0.135215	0.137356	0.133551	0.137119	0.131753	0.135795	0.134419	0.135619	0.136808	0.130390	0.130901	0.135177	0.131015
spd0	0.118654	0.119204	0.124571	0.115088	0.114329	0.119090	0.119055	0.118683	0.119495	0.118068	0.121223	0.115169	0.119204	0.116404	0.118417	0.120034	0.113748	0.115491	0.116764	0.115123
aod0-0	0.104954	0.122424	0.105009	0.113887	0.134044	0.087833	0.099621	0.104419	0.114823	0.099503	0.097799	0.105188	0.099516	0.106535	0.119250	0.117553	0.098900	0.096211	0.118853	0.097079
aod0-1	0.382687	0.391437	0.389670	0.374290	0.381603	0.379227	0.383995	0.378374	0.382642	0.375846	0.384115	0.376260	0.380514	0.378914	0.378964	0.386230	0.364122	0.370818	0.377111	0.370252
aod0	0.138866	0.134507	0.142331	0.130202	0.123779	0.145697	0.142187	0.136978	0.133910	0.138172	0.143158	0.135536	0.140499	0.136190	0.129857	0.134338	0.132611	0.137304	0.129129	0.136587
eod0-0	0.097847	0.116576	0.100569	0.107861	0.124764	0.081081	0.092628	0.097701	0.108656	0.093923	0.091082	0.098672	0.092727	0.097847	0.114180	0.111776	0.091085	0.090416	0.111742	0.090573
eod0-1	0.332087	0.341125	0.338614	0.325110	0.328610	0.330984	0.336891	0.330587	0.333550	0.323459	0.334660	0.325870	0.326323	0.330195	0.327169	0.336793	0.318062	0.326449	0.326196	0.322689
eod0	0.234240	0.224549	0.238045	0.217249	0.203846	0.249902	0.244264	0.232886	0.224895	0.229537	0.243578	0.227198	0.233596	0.232348	0.212988	0.225016	0.226977	0.236033	0.214454	0.232116
spd1-0	0.045345	0.039517	0.042348	0.041686	0.044413	0.038752	0.039393	0.042373	0.037627	0.039261	0.038407	0.039381	0.039197	0.043315	0.046336	0.041551	0.044884	0.038949	0.042636	0.039334
spd1-1	0.104134	0.108543	0.107992	0.103371	0.107493	0.104172	0.105850	0.105116	0.108585	0.104100	0.107046	0.103115	0.106395	0.104478	0.104562	0.106911	0.100469	0.101661	0.105012	0.102225
spd1	0.058789	0.069026	0.065644	0.061685	0.063080	0.065419	0.066458	0.062743	0.070958	0.064839	0.068638	0.063734	0.067197	0.061163	0.058226	0.065360	0.055585	0.062712	0.062377	0.062892
aod1-0	0.247413	0.214761	0.220695	0.214009	0.208951	0.190414	0.187662	0.216980	0.203021	0.201356	0.216966	0.211135	0.203832	0.221948	0.247840	0.217427	0.240671	0.204489	0.240490	0.195247
aod1-1	0.341479	0.354163	0.349612	0.336954	0.348980	0.341702	0.347230	0.342212	0.347365	0.336030	0.345167	0.337549	0.340083	0.341819	0.337550	0.351405	0.325438	0.332556	0.338214	0.333750
aod1	0.047033	0.069701	0.064459	0.061472	0.070015	0.075644	0.079784	0.062616	0.072172	0.067337	0.064101	0.063207	0.068125	0.059935	0.044855	0.066989	0.042383	0.064034	0.048862	0.069251
eod1-0	0.236593	0.204893	0.208202	0.201807	0.193548	0.176471	0.170968	0.207386	0.194444	0.187302	0.209231	0.198020	0.191223	0.208075	0.233974	0.205438	0.229814	0.193939	0.230263	0.183140
eod1-1	0.303571	0.316320	0.312654	0.300567	0.309010	0.305923	0.312714	0.306180	0.310125	0.297630	0.307429	0.299968	0.299465	0.305090	0.300156	0.314856	0.290582	0.299535	0.300031	0.298235
eod1	0.066978	0.111427	0.104452	0.098760	0.115462	0.129453	0.141746	0.098793	0.115680	0.110329	0.098199	0.101948	0.108243	0.097016	0.066182	0.109418	0.060769	0.105595	0.069768	0.115095
wcspd-00	0.007684	0.008282	0.011815	0.007307	0.015251	0.009585	0.005435	0.004292	0.007172	0.007187	0.008016	0.008565	0.009534	0.007368	0.006403	0.011653	0.005192	0.006342	0.011555	0.009605
wcspd-01	0.018677	0.020995	0.015738	0.019980	0.023463	0.016004	0.018979	0.019452	0.020619	0.017571	0.017941	0.018509	0.018308	0.020584	0.019767	0.018018	0.019467	0.017598	0.020071	0.017400
wcspd-10	0.074871	0.064979	0.067132	0.069669	0.067177	0.062022	0.065712	0.072148	0.064722	0.065491	0.065084	0.063386	0.062552	0.072402	0.078098	0.064648	0.079351	0.064979	0.069245	0.062092
wcspd-11	0.143421	0.147617	0.149098	0.141166	0.145636	0.143599	0.145021	0.143934	0.146414	0.142957	0.146564	0.141251	0.145968	0.142890	0.143506	0.147059	0.136914	0.139984	0.143650	0.140843
wcspd	0.135737	0.139335	0.137282	0.133859	0.130385	0.134015	0.139587	0.139642	0.139241	0.135770	0.138548	0.132686	0.136435	0.135522	0.137102	0.135406	0.131722	0.133641	0.132095	0.131238
wcaod-00	0.074937	0.067481	0.132755	0.075214	0.144323	0.077061	0.050718	0.030892	0.073409	0.080061	0.090831	0.107213	0.071270	0.061376	0.054264	0.110616	0.066682	0.044532	0.130839	0.113399
wcaod-01	0.109083	0.131761	0.101044	0.121006	0.132969	0.089705	0.106660	0.116222	0.122741	0.103118	0.099557	0.105488	0.104189	0.114092	0.127389	0.118731	0.104073	0.104310	0.117508	0.095446
wcaod-10	0.289789	0.265022	0.252086	0.265706	0.230966	0.227476	0.231432	0.268257	0.252870	0.248018	0.261570	0.247537	0.249403	0.272899	0.300464	0.248997	0.289426	0.254595	0.278907	0.220497
wcaod-11	0.393517	0.405326	0.403744	0.386053	0.398457	0.394958	0.398947	0.391303	0.395604	0.389056	0.397194	0.389620	0.394776	0.390357	0.388072	0.401593	0.372383	0.383459	0.387542	0.387343
wcaod	0.159290	0.168923	0.151350	0.155420	0.132744	0.158948	0.174114	0.180206	0.161097	0.154498	0.153182	0.142066	0.161753	0.164490	0.166904	0.145488	0.152850	0.169463	0.135017	0.145948
wceod-00	0.071429	0.064103	0.130435	0.074074	0.138462	0.072464	0.048387	0.028571	0.072289	0.078947	0.089744	0.106061	0.066667	0.057971	0.050847	0.106061	0.065574	0.041096	0.128571	0.111111
wceod-01	0.101099	0.125265	0.096070	0.113734	0.122845	0.082405	0.098501	0.108407	0.115217	0.096360	0.091314	0.097614	0.096842	0.104072	0.121901	0.112644	0.094505	0.097917	0.109170	0.087866
wceod-10	0.272031	0.248996	0.229839	0.243028	0.206522	0.204724	0.201613	0.251773	0.236515	0.221757	0.246964	0.223629	0.229508	0.249012	0.276680	0.230189	0.268199	0.237354	0.260684	0.199288
wceod-11	0.337934	0.349612	0.348311	0.332718	0.341146	0.342752	0.349091	0.338663	0.341817	0.332468	0.342486	0.334959	0.335059	0.337743	0.331863	0.347171	0.322755	0.334791	0.331760	0.335561
wceod	0.266505	0.285509	0.252241	0.258644	0.218301	0.270289	0.300704	0.310091	0.269528	0.253521	0.252742	0.237345	0.268393	0.279772	0.281016	0.241111	0.257181	0.293695	0.222590	0.247694
