accuracy	0.547806	0.511778	0.551501	0.546420	0.632333	0.557506	0.555196	0.548268	0.497921	0.635104	0.598152	0.556582	0.678522	0.564896	0.513164	0.545035	0.541801	0.544111	0.552425	0.555658
recall	0.504636	0.548335	0.504264	0.502111	0.582157	0.504342	0.504725	0.500000	0.543735	0.588439	0.625307	0.508791	0.671243	0.505591	0.553953	0.503606	0.505688	0.584341	0.502660	0.502685
precision	0.727526	0.680501	0.691632	0.689478	0.670475	0.694651	0.731240	0.274134	0.655260	0.684560	0.664515	0.750245	0.682096	0.687776	0.676187	0.716244	0.681551	0.662366	0.704290	0.705912
f1score	0.363057	0.426225	0.364688	0.357946	0.546698	0.367325	0.366313	0.354117	0.417603	0.552319	0.582046	0.374101	0.670344	0.373335	0.436402	0.360050	0.363877	0.501349	0.361446	0.362835
mcc	0.064955	0.186811	0.057171	0.040003	0.236692	0.058143	0.066109	0.000000	0.164807	0.255518	0.287158	0.093806	0.353173	0.064804	0.194996	0.055849	0.064271	0.234043	0.046625	0.047027
spd0-0	0.993721	0.056897	0.993127	0.996562	0.838184	0.993111	0.993612	1.000000	0.046884	0.839725	0.213372	0.989229	0.580589	0.990665	0.050779	0.994842	0.990390	0.123563	0.995968	0.995984
spd0-1	1.000000	0.131765	1.000000	1.000000	0.959732	1.000000	1.000000	1.000000	0.194712	0.964115	0.400000	1.000000	0.806452	1.000000	0.210648	1.000000	1.000000	0.263529	1.000000	1.000000
spd0	0.006279	0.074868	0.006873	0.003438	0.121548	0.006889	0.006388	0.000000	0.147828	0.124390	0.186628	0.010771	0.225862	0.009335	0.159869	0.005158	0.009610	0.139966	0.004032	0.004016
aod0-0	1.986907	0.111247	1.985911	1.992949	1.658223	1.985521	1.986669	2.000000	0.090047	1.665379	0.415749	1.977243	1.160985	1.980434	0.097226	1.989269	1.980265	0.237696	1.991568	1.991576
aod0-1	2.000000	0.227084	2.000000	2.000000	1.892427	2.000000	2.000000	2.000000	0.344039	1.902093	0.702928	2.000000	1.525915	2.000000	0.368607	2.000000	2.000000	0.452727	2.000000	2.000000
aod0	0.006546	0.057918	0.007044	0.003526	0.117102	0.007239	0.006666	0.000000	0.126996	0.118357	0.143590	0.011379	0.182465	0.009783	0.135691	0.005366	0.009868	0.107515	0.004216	0.004212
eod0-0	0.998912	0.098214	0.997788	0.998894	0.915701	0.997852	0.998894	1.000000	0.075431	0.926518	0.317829	0.998929	0.748268	0.996725	0.083696	0.998907	0.996736	0.188375	0.998912	0.998920
eod0-1	1.000000	0.172662	1.000000	1.000000	0.993056	1.000000	1.000000	1.000000	0.248148	0.986063	0.506849	1.000000	0.901754	1.000000	0.295880	1.000000	1.000000	0.352727	1.000000	1.000000
eod0	0.001088	0.074448	0.002212	0.001106	0.077355	0.002148	0.001106	0.000000	0.172717	0.059545	0.189020	0.001071	0.153486	0.003275	0.212184	0.001093	0.003264	0.164353	0.001088	0.001080
spd1-0	0.992292	0.049261	0.992403	0.995742	0.828511	0.992938	0.992215	1.000000	0.051372	0.825000	0.213986	0.987106	0.579700	0.989510	0.056068	0.993680	0.990278	0.107975	0.995813	0.995091
spd1-1	1.000000	0.114247	0.998605	1.000000	0.929144	0.997330	1.000000	1.000000	0.120968	0.940690	0.325170	0.998700	0.723099	0.998639	0.132275	1.000000	0.995862	0.232620	0.998634	1.000000
spd1	0.007708	0.064986	0.006202	0.004258	0.100633	0.004392	0.007785	0.000000	0.069595	0.115690	0.111184	0.011594	0.143399	0.009129	0.076207	0.006320	0.005584	0.124646	0.002821	0.004909
aod1-0	1.984320	0.097545	1.984130	1.991311	1.643034	1.985388	1.983830	2.000000	0.098105	1.638708	0.416944	1.973912	1.163702	1.978291	0.109356	1.987233	1.980339	0.205648	1.991202	1.989847
aod1-1	2.000000	0.197469	1.997647	2.000000	1.833508	1.994351	2.000000	2.000000	0.222329	1.859353	0.593123	1.996528	1.381806	1.996364	0.233580	2.000000	1.990877	0.427157	1.997727	2.000000
aod1	0.007840	0.049962	0.006759	0.004345	0.095237	0.004481	0.008085	0.000000	0.062112	0.110322	0.088090	0.011308	0.109052	0.009036	0.062112	0.006383	0.005269	0.110755	0.003262	0.005076
eod1-0	0.998626	0.081831	0.998686	0.998621	0.915900	0.998643	0.998645	1.000000	0.086093	0.923584	0.324433	0.998586	0.757241	0.996016	0.094650	0.998613	0.997264	0.173684	1.000000	0.998658
eod1-1	1.000000	0.169978	0.997647	1.000000	0.962185	0.997835	1.000000	1.000000	0.162528	0.967880	0.430493	1.000000	0.835681	1.000000	0.189956	1.000000	0.997680	0.315315	0.997727	1.000000
eod1	0.001374	0.088147	0.001039	0.001379	0.046285	0.000808	0.001355	0.000000	0.076436	0.044296	0.106061	0.001414	0.078439	0.003984	0.095306	0.001387	0.000416	0.141631	0.002273	0.001342
