accuracy	0.825906	0.819764	0.814441	0.814645	0.815806	0.807343	0.818672	0.810755	0.813144	0.821948	0.808503	0.811165	0.813622	0.808913	0.804477	0.816352	0.820105	0.822016	0.817375	0.816488
recall	0.668271	0.665052	0.646925	0.651376	0.662039	0.661743	0.660418	0.650704	0.667454	0.681334	0.656016	0.638452	0.662028	0.646642	0.640451	0.647268	0.677213	0.680225	0.660414	0.665483
precision	0.802676	0.789401	0.803278	0.786096	0.775934	0.748721	0.795599	0.779702	0.779293	0.777798	0.762889	0.771906	0.768796	0.763925	0.758581	0.796484	0.784959	0.789442	0.788118	0.778624
f1score	0.697536	0.692345	0.672427	0.677023	0.687829	0.684204	0.687662	0.675310	0.692897	0.707489	0.679749	0.662013	0.686993	0.670199	0.662594	0.673202	0.704005	0.707560	0.687093	0.691537
mcc	0.451360	0.437110	0.422181	0.416212	0.422905	0.401143	0.435520	0.410621	0.432521	0.448884	0.405043	0.388050	0.417385	0.393459	0.381145	0.417913	0.449438	0.456791	0.429969	0.429453
spd0-0	0.063616	0.080224	0.059497	0.087824	0.097747	0.156244	0.076987	0.090928	0.097289	0.082576	0.114781	0.089967	0.104728	0.105834	0.128609	0.080141	0.083008	0.086706	0.078355	0.102580
spd0-1	0.137423	0.135823	0.118017	0.117965	0.132973	0.127439	0.128635	0.121561	0.142308	0.163829	0.128861	0.107335	0.135286	0.117527	0.102968	0.109935	0.155528	0.154200	0.132924	0.133972
spd0	0.073807	0.055599	0.058521	0.030142	0.035226	0.028804	0.051648	0.030633	0.045019	0.081253	0.014080	0.017369	0.030558	0.011692	0.025641	0.029794	0.072520	0.067493	0.054569	0.031392
aod0-0	0.375143	0.423917	0.359667	0.450166	0.487846	0.653831	0.429533	0.469049	0.470816	0.442180	0.525275	0.453941	0.492059	0.507071	0.586171	0.454763	0.443023	0.455690	0.420760	0.521112
aod0-1	0.409966	0.403127	0.347751	0.354126	0.393008	0.383720	0.380936	0.356243	0.412042	0.472095	0.377912	0.325200	0.399763	0.348578	0.312358	0.332346	0.445929	0.447510	0.389945	0.394993
aod0	0.017412	0.010395	0.005958	0.048020	0.047419	0.135056	0.024299	0.056403	0.029387	0.014958	0.073681	0.064370	0.046148	0.079246	0.136906	0.061209	0.001453	0.004090	0.015408	0.063059
eod0-0	0.344423	0.382514	0.333966	0.402194	0.431002	0.544402	0.391304	0.417625	0.414365	0.399632	0.451613	0.402277	0.429091	0.440313	0.504604	0.413174	0.397287	0.410488	0.378788	0.463956
eod0-1	0.374575	0.366192	0.319142	0.326462	0.356950	0.355153	0.348899	0.326302	0.373941	0.416071	0.344942	0.297623	0.361262	0.319435	0.292199	0.309675	0.400461	0.403731	0.354968	0.358992
eod0	0.030152	0.016321	0.014824	0.075732	0.074052	0.189249	0.042405	0.091323	0.040423	0.016439	0.106671	0.104654	0.067829	0.120878	0.212405	0.103498	0.003175	0.006757	0.023820	0.104964
spd1-0	0.069465	0.062762	0.058229	0.059016	0.084050	0.070416	0.065021	0.073917	0.062711	0.062356	0.065574	0.067042	0.054596	0.071563	0.075650	0.065097	0.068050	0.064758	0.071221	0.064322
spd1-1	0.120032	0.126940	0.105527	0.116313	0.127558	0.148122	0.119480	0.117807	0.138394	0.149904	0.134207	0.107508	0.137330	0.120760	0.117563	0.106190	0.141881	0.143188	0.121852	0.133846
spd1	0.050567	0.064178	0.047298	0.057296	0.043508	0.077706	0.054459	0.043890	0.075683	0.087548	0.068633	0.040466	0.082734	0.049197	0.041912	0.041093	0.073830	0.078430	0.050631	0.069524
aod1-0	0.379291	0.335038	0.322209	0.315625	0.386213	0.349617	0.335163	0.361789	0.333339	0.344281	0.360085	0.353530	0.289175	0.344517	0.393548	0.351696	0.361863	0.341455	0.382865	0.319231
aod1-1	0.407597	0.416858	0.352740	0.381753	0.416061	0.455531	0.396108	0.381184	0.436830	0.479609	0.417712	0.351511	0.435895	0.386213	0.368536	0.356099	0.456407	0.462609	0.399081	0.432281
aod1	0.014153	0.040910	0.015265	0.033064	0.014924	0.052957	0.030473	0.009697	0.051746	0.067664	0.028814	0.001009	0.073360	0.020848	0.012506	0.002201	0.047272	0.060577	0.008108	0.056525
eod1-0	0.362776	0.318043	0.309148	0.301205	0.354839	0.325077	0.312903	0.340909	0.317901	0.326984	0.344615	0.330033	0.272727	0.316770	0.368590	0.335347	0.344720	0.324242	0.361842	0.299419
eod1-1	0.370855	0.373976	0.322531	0.342155	0.369607	0.389099	0.359341	0.339576	0.386136	0.422117	0.362449	0.312120	0.381881	0.339235	0.320749	0.323408	0.405514	0.413023	0.358232	0.383354
eod1	0.008079	0.055933	0.013383	0.040950	0.014768	0.064022	0.046438	0.001334	0.068234	0.095133	0.017834	0.017913	0.109154	0.022465	0.047841	0.011939	0.060794	0.088781	0.003610	0.083936
wcspd-00	0.028540	0.038302	0.031149	0.029228	0.057734	0.062833	0.035870	0.026824	0.030738	0.032854	0.031062	0.034261	0.036017	0.045263	0.050160	0.042373	0.028037	0.033827	0.038866	0.033084
wcspd-01	0.071681	0.090721	0.066305	0.102203	0.107116	0.178885	0.086689	0.106220	0.114459	0.095090	0.136505	0.103342	0.121454	0.120457	0.147238	0.089318	0.096568	0.099464	0.087907	0.119243
wcspd-10	0.101549	0.082700	0.080209	0.083263	0.104592	0.076466	0.087616	0.110738	0.091158	0.086482	0.095866	0.092577	0.069224	0.092845	0.095925	0.082651	0.102795	0.089451	0.098921	0.088235
wcspd-11	0.142260	0.143105	0.123003	0.122707	0.136837	0.134365	0.134266	0.123057	0.148687	0.174518	0.133187	0.109386	0.144462	0.120898	0.103934	0.113811	0.162268	0.163121	0.137293	0.140494
wcspd	0.113720	0.104803	0.091853	0.093480	0.079103	0.116052	0.098397	0.096233	0.117949	0.141664	0.105443	0.075125	0.108446	0.075635	0.097078	0.071438	0.134231	0.129294	0.098428	0.107410
wcaod-00	0.264035	0.298943	0.300296	0.278446	0.417441	0.441429	0.367659	0.252138	0.252162	0.348787	0.303567	0.358854	0.282777	0.275889	0.432976	0.409885	0.274490	0.262612	0.344444	0.344775
wcaod-01	0.390832	0.446981	0.370161	0.483357	0.500271	0.693877	0.440726	0.506629	0.514265	0.461007	0.570099	0.472096	0.529671	0.546741	0.612138	0.464208	0.469893	0.488018	0.435054	0.549976
wcaod-10	0.405841	0.346411	0.330089	0.332355	0.377826	0.317234	0.333303	0.397116	0.364258	0.349487	0.382796	0.360238	0.291344	0.362027	0.383468	0.337474	0.386390	0.364622	0.397991	0.319387
wcaod-11	0.411266	0.409650	0.350144	0.356532	0.394862	0.390818	0.385311	0.351953	0.417175	0.485030	0.378122	0.321523	0.411087	0.347525	0.305512	0.332236	0.452675	0.456922	0.389823	0.403350
wcaod	0.073615	0.074019	0.034932	0.102455	0.061223	0.188321	0.053711	0.127246	0.131051	0.068122	0.133266	0.075286	0.123447	0.135426	0.153313	0.065986	0.097701	0.112703	0.045305	0.115295
wceod-00	0.250000	0.282051	0.289855	0.271605	0.384615	0.405797	0.354839	0.242857	0.240964	0.342105	0.294872	0.348485	0.266667	0.246377	0.406780	0.393939	0.262295	0.246575	0.328571	0.333333
wceod-01	0.356044	0.399151	0.340611	0.424893	0.437500	0.565702	0.396146	0.444690	0.445652	0.408994	0.478842	0.409978	0.454737	0.470588	0.516529	0.416092	0.415385	0.435417	0.386463	0.481172
wceod-10	0.386973	0.329317	0.314516	0.310757	0.347826	0.303150	0.302419	0.365248	0.344398	0.322176	0.360324	0.324895	0.274590	0.335968	0.359684	0.320755	0.363985	0.346304	0.371795	0.291815
wceod-11	0.373368	0.369589	0.319554	0.327917	0.357887	0.360000	0.353091	0.322311	0.376458	0.424388	0.343569	0.295199	0.369083	0.317898	0.285924	0.308597	0.403895	0.409107	0.353539	0.365999
wceod	0.136973	0.117099	0.050756	0.153288	0.089674	0.262552	0.093726	0.201833	0.204688	0.102213	0.183970	0.114780	0.188070	0.224211	0.230605	0.107495	0.153090	0.188841	0.057891	0.189357
