accuracy	0.844993	0.845418	0.847119	0.856687	0.847969	0.855411	0.850308	0.845205	0.848182	0.848820	0.857112	0.841803	0.850521	0.853285	0.841378	0.866256	0.838826	0.855199	0.849245	0.848182
recall	0.600211	0.596666	0.636160	0.623519	0.592371	0.630268	0.622210	0.614427	0.619078	0.605698	0.625874	0.580826	0.625452	0.632620	0.619807	0.638193	0.571680	0.619591	0.622124	0.591611
precision	0.731880	0.760196	0.750177	0.765849	0.775485	0.770718	0.751283	0.758765	0.740929	0.762550	0.751554	0.747740	0.742359	0.769373	0.742865	0.772460	0.761376	0.743461	0.753353	0.744437
f1score	0.623266	0.619461	0.664448	0.653610	0.614491	0.661134	0.650230	0.641000	0.645794	0.631398	0.655180	0.597842	0.653070	0.663239	0.645726	0.671288	0.583953	0.647512	0.650109	0.613407
mcc	0.304874	0.317188	0.369129	0.362422	0.319041	0.375585	0.350481	0.344149	0.338758	0.333174	0.355888	0.283011	0.348738	0.378017	0.341156	0.388084	0.273754	0.341267	0.351798	0.299286
spd0-0	0.094134	0.074842	0.092176	0.070765	0.060412	0.075137	0.087366	0.075056	0.084979	0.069401	0.073149	0.053706	0.095066	0.076101	0.083446	0.077063	0.058688	0.078075	0.083028	0.068844
spd0-1	0.038738	0.039839	0.081081	0.067158	0.041303	0.071400	0.061918	0.063761	0.066508	0.053140	0.073141	0.044490	0.063352	0.076140	0.074014	0.068482	0.026782	0.065600	0.066191	0.041855
spd0	0.055396	0.035003	0.011095	0.003607	0.019109	0.003737	0.025447	0.011295	0.018471	0.016261	0.000008	0.009216	0.031714	0.000039	0.009432	0.008580	0.031905	0.012475	0.016836	0.026989
aod0-0	0.465729	0.391199	0.453954	0.359466	0.319049	0.393071	0.422427	0.391041	0.410614	0.366916	0.398015	0.290230	0.462538	0.391629	0.394240	0.468543	0.297148	0.409751	0.413252	0.375156
aod0-1	0.148224	0.154111	0.291447	0.268036	0.166115	0.276551	0.242462	0.230294	0.248818	0.202655	0.272470	0.156736	0.242989	0.286130	0.263842	0.269139	0.110105	0.247857	0.250673	0.154890
aod0	0.158753	0.118544	0.081253	0.045715	0.076467	0.058260	0.089983	0.080373	0.080898	0.082130	0.062772	0.066747	0.109775	0.052750	0.065199	0.099702	0.093521	0.080947	0.081290	0.110133
eod0-0	0.416974	0.357143	0.407143	0.325088	0.293286	0.358696	0.376344	0.356115	0.366906	0.334559	0.363636	0.266904	0.412409	0.359736	0.350694	0.434043	0.269091	0.370656	0.371324	0.342205
eod0-1	0.134615	0.142322	0.261426	0.246465	0.154580	0.252874	0.223507	0.207957	0.222437	0.185741	0.241935	0.137996	0.220273	0.257367	0.235935	0.245545	0.105072	0.220884	0.228037	0.139265
eod0	0.282359	0.214821	0.145717	0.078624	0.138706	0.105822	0.152837	0.148159	0.144469	0.148818	0.121701	0.128908	0.192136	0.102369	0.114760	0.188498	0.164018	0.149773	0.143286	0.202940
