accuracy	0.822971	0.832185	0.833686	0.829523	0.833345	0.761346	0.759298	0.829864	0.825906	0.828909	0.832799	0.830888	0.828909	0.831161	0.833140	0.836143	0.829659	0.833891	0.829591	0.828363
recall	0.739467	0.706624	0.710347	0.695663	0.710038	0.500000	0.500000	0.719122	0.678437	0.683327	0.701847	0.710440	0.732017	0.711377	0.726617	0.728562	0.690991	0.723243	0.716210	0.672808
precision	0.755175	0.792062	0.799899	0.793578	0.792015	0.380673	0.379649	0.782714	0.817086	0.800531	0.803267	0.778468	0.770362	0.784061	0.783393	0.787252	0.804967	0.790540	0.780137	0.819287
f1score	0.746636	0.733030	0.737564	0.723371	0.736026	0.432252	0.431592	0.741221	0.708388	0.712666	0.730530	0.733600	0.747447	0.735470	0.747367	0.749980	0.720354	0.746450	0.738379	0.703451
mcc	0.494393	0.491312	0.502325	0.479343	0.495315	0.000000	0.000000	0.497791	0.475730	0.469449	0.494827	0.484152	0.500913	0.490078	0.506840	0.512464	0.482685	0.509356	0.492212	0.469789
spd0-0	0.037759	0.027363	0.026628	0.020979	0.041331	0.000000	0.000000	0.036371	0.026896	0.036746	0.030553	0.028814	0.037951	0.031730	0.035839	0.035411	0.025889	0.038422	0.037643	0.023942
spd0-1	0.303988	0.212636	0.213285	0.201001	0.210210	0.000000	0.000000	0.238944	0.162725	0.170762	0.197370	0.226778	0.269555	0.225225	0.248004	0.243485	0.185571	0.235643	0.235535	0.154058
spd0	0.266229	0.185273	0.186657	0.180022	0.168879	0.000000	0.000000	0.202573	0.135828	0.134015	0.166817	0.197964	0.231604	0.193495	0.212165	0.208074	0.159683	0.197221	0.197892	0.130116
aod0-0	0.273694	0.210273	0.222918	0.168911	0.293496	0.000000	0.000000	0.276538	0.208452	0.266662	0.249183	0.220472	0.259859	0.234194	0.270725	0.281309	0.210023	0.279824	0.275243	0.199873
aod0-1	0.797701	0.597597	0.593710	0.565467	0.589794	0.000000	0.000000	0.646708	0.466910	0.491934	0.554123	0.631367	0.729228	0.620259	0.676494	0.668085	0.521596	0.647632	0.640846	0.450204
aod0	0.262004	0.193662	0.185396	0.198278	0.148149	0.000000	0.000000	0.185085	0.129229	0.112636	0.152470	0.205447	0.234685	0.193033	0.202884	0.193388	0.155787	0.183904	0.182801	0.125166
eod0-0	0.262231	0.205829	0.220114	0.166362	0.281664	0.000000	0.000000	0.268199	0.204420	0.257827	0.244782	0.214421	0.249091	0.225049	0.263352	0.273453	0.205426	0.271248	0.265152	0.197782
eod0-1	0.636982	0.514566	0.514191	0.489355	0.508772	0.000000	0.000000	0.544496	0.419870	0.433435	0.483914	0.532897	0.602103	0.527236	0.568931	0.565116	0.458800	0.551965	0.539311	0.405714
eod0	0.374751	0.308738	0.294078	0.322993	0.227108	0.000000	0.000000	0.276296	0.215450	0.175609	0.239132	0.318476	0.353012	0.302187	0.305579	0.291662	0.253374	0.280718	0.274159	0.207932
spd1-0	0.123010	0.060437	0.075072	0.060890	0.072588	0.000000	0.000000	0.066855	0.056440	0.053118	0.062295	0.081106	0.107793	0.095574	0.090307	0.090951	0.088320	0.094322	0.083333	0.058769
spd1-1	0.230684	0.167333	0.164771	0.154977	0.168087	0.000000	0.000000	0.189879	0.128855	0.139174	0.155856	0.175319	0.207994	0.171762	0.191976	0.189477	0.139814	0.183038	0.183652	0.120077
spd1	0.107673	0.106896	0.089699	0.094087	0.095498	0.000000	0.000000	0.123024	0.072415	0.086056	0.093560	0.094213	0.100201	0.076187	0.101669	0.098526	0.051494	0.088716	0.100319	0.061308
aod1-0	0.569172	0.329787	0.391232	0.308014	0.367798	0.000000	0.000000	0.341942	0.323391	0.304496	0.346120	0.397463	0.496521	0.472294	0.466402	0.473833	0.441615	0.465538	0.429725	0.310271
aod1-1	0.700039	0.542082	0.535724	0.507821	0.548856	0.000000	0.000000	0.598690	0.429414	0.462106	0.510696	0.564351	0.645737	0.552641	0.605969	0.605048	0.464988	0.583518	0.580053	0.412995
aod1	0.065433	0.106148	0.072246	0.099903	0.090529	0.000000	0.000000	0.128374	0.053011	0.078805	0.082288	0.083444	0.074608	0.040173	0.069783	0.065608	0.011687	0.058990	0.075164	0.051362
eod1-0	0.517350	0.314985	0.369085	0.289157	0.348974	0.000000	0.000000	0.326705	0.314815	0.292063	0.332308	0.363036	0.448276	0.437888	0.435897	0.447130	0.413043	0.433333	0.401316	0.296512
eod1-1	0.588010	0.481727	0.480556	0.454631	0.487944	0.000000	0.000000	0.523408	0.394649	0.417378	0.460056	0.495683	0.556464	0.487512	0.530109	0.531201	0.422862	0.515969	0.507314	0.382093
eod1	0.070660	0.166742	0.111470	0.165475	0.138971	0.000000	0.000000	0.196704	0.079834	0.125314	0.127748	0.132646	0.108188	0.049624	0.094212	0.084071	0.009819	0.082636	0.105998	0.085582
wcspd-00	0.013172	0.013458	0.018260	0.009395	0.021786	0.000000	0.000000	0.015021	0.017418	0.023614	0.018036	0.017131	0.018008	0.017895	0.020277	0.024364	0.016615	0.014799	0.015756	0.016009
wcspd-01	0.043412	0.030845	0.028638	0.023822	0.045907	0.000000	0.000000	0.041464	0.029342	0.040052	0.033801	0.031620	0.042806	0.035070	0.039534	0.038095	0.028176	0.044121	0.042937	0.025844
wcspd-10	0.209122	0.098734	0.121186	0.102804	0.112245	0.000000	0.000000	0.107383	0.091158	0.077246	0.101143	0.130942	0.178482	0.158433	0.146010	0.142390	0.150586	0.157806	0.141187	0.091503
wcspd-11	0.316779	0.228251	0.225428	0.214418	0.223547	0.000000	0.000000	0.257133	0.171649	0.183685	0.209986	0.240093	0.282206	0.234350	0.261988	0.257847	0.190043	0.246367	0.247660	0.162978
wcspd	0.303606	0.214793	0.207168	0.205024	0.201761	0.000000	0.000000	0.242111	0.154231	0.160071	0.191950	0.222962	0.264197	0.216455	0.241710	0.233483	0.173428	0.231568	0.231903	0.146969
wcaod-00	0.164223	0.166667	0.233044	0.111111	0.293480	0.000000	0.000000	0.186874	0.204819	0.266499	0.219036	0.228425	0.190119	0.166231	0.290413	0.320460	0.216441	0.154121	0.201134	0.238095
wcaod-01	0.288127	0.217924	0.221559	0.179165	0.294636	0.000000	0.000000	0.291104	0.209464	0.267244	0.254742	0.219872	0.271583	0.245028	0.268996	0.275942	0.209325	0.299464	0.287473	0.195093
wcaod-10	0.691539	0.390292	0.449527	0.383331	0.397874	0.000000	0.000000	0.390274	0.370220	0.322264	0.395387	0.465293	0.617694	0.574637	0.527653	0.528357	0.515195	0.572886	0.517347	0.336120
wcaod-11	0.811467	0.620239	0.608902	0.584874	0.611709	0.000000	0.000000	0.676855	0.476866	0.509672	0.570947	0.648593	0.741994	0.626558	0.693579	0.685210	0.522564	0.656990	0.654258	0.463107
wcaod	0.323622	0.226786	0.193672	0.236882	0.159114	0.000000	0.000000	0.244990	0.136023	0.121586	0.175956	0.214361	0.275937	0.230164	0.212292	0.204634	0.156620	0.251434	0.226562	0.134007
wceod-00	0.160714	0.166667	0.231884	0.111111	0.292308	0.000000	0.000000	0.185714	0.204819	0.263158	0.217949	0.227273	0.186667	0.159420	0.288136	0.318182	0.213115	0.150685	0.200000	0.238095
wceod-01	0.274725	0.212314	0.218341	0.175966	0.280172	0.000000	0.000000	0.280973	0.204348	0.256959	0.249443	0.212581	0.258947	0.235294	0.260331	0.266667	0.204396	0.289583	0.275109	0.192469
wceod-10	0.593870	0.361446	0.407258	0.346614	0.362319	0.000000	0.000000	0.361702	0.352697	0.301255	0.368421	0.400844	0.528689	0.513834	0.470356	0.479245	0.459770	0.513619	0.461538	0.309609
wceod-11	0.641179	0.528672	0.523724	0.502585	0.523810	0.000000	0.000000	0.563227	0.425592	0.445145	0.494220	0.544636	0.608728	0.528482	0.578096	0.573475	0.458709	0.555556	0.545917	0.415739
wceod	0.480464	0.362005	0.305383	0.391474	0.243637	0.000000	0.000000	0.377512	0.221244	0.188185	0.276271	0.332055	0.422061	0.369062	0.317766	0.306809	0.255375	0.404871	0.345917	0.223270
