accuracy	0.644804	0.625404	0.658199	0.634642	0.643880	0.651732	0.652194	0.650346	0.659584	0.635566	0.655427	0.654503	0.650808	0.666975	0.637413	0.637413	0.642956	0.636490	0.664203	0.649885
recall	0.635941	0.616377	0.648716	0.628187	0.635869	0.642421	0.644196	0.639721	0.654119	0.626118	0.645745	0.646282	0.643711	0.654774	0.632427	0.629689	0.637507	0.627074	0.655698	0.639871
precision	0.642219	0.622194	0.655347	0.630847	0.636209	0.646865	0.647815	0.647421	0.655207	0.627861	0.651269	0.650757	0.652079	0.661824	0.633409	0.634517	0.640766	0.630502	0.660618	0.645148
f1score	0.635822	0.615702	0.649080	0.628517	0.636027	0.643084	0.644818	0.639709	0.654525	0.626681	0.646342	0.646836	0.642451	0.655806	0.632749	0.629622	0.637650	0.627627	0.656413	0.640434
mcc	0.278089	0.238501	0.303991	0.259021	0.272078	0.289251	0.291989	0.287039	0.309324	0.253973	0.296963	0.297005	0.295672	0.316520	0.265834	0.264162	0.278254	0.257553	0.316278	0.284970
spd0-0	0.597032	0.605172	0.592211	0.561605	0.557043	0.572905	0.570267	0.594980	0.537450	0.573555	0.586047	0.570295	0.600809	0.598016	0.527986	0.581089	0.553985	0.578161	0.571429	0.585772
spd0-1	0.682809	0.663529	0.701671	0.676190	0.646532	0.721040	0.681716	0.745146	0.694712	0.648325	0.694382	0.723192	0.702765	0.702882	0.710648	0.695238	0.719697	0.680000	0.717949	0.703791
spd0	0.085777	0.058357	0.109460	0.114586	0.089489	0.148135	0.111448	0.150166	0.157262	0.074771	0.108336	0.152897	0.101956	0.104866	0.182662	0.114149	0.165712	0.101839	0.146520	0.118020
aod0-0	1.179647	1.203347	1.173536	1.114151	1.086864	1.126638	1.125941	1.175061	1.056468	1.127524	1.157428	1.123774	1.201454	1.175657	1.040057	1.149272	1.097292	1.139268	1.123993	1.154892
aod0-1	1.327407	1.261220	1.327794	1.277241	1.206302	1.369283	1.290680	1.413995	1.303146	1.226401	1.310234	1.370989	1.319981	1.298701	1.362819	1.343095	1.385863	1.290303	1.374719	1.319167
aod0	0.073880	0.028936	0.077129	0.081545	0.059719	0.121322	0.082369	0.119467	0.123339	0.049439	0.076403	0.123608	0.059264	0.061522	0.161381	0.096911	0.144285	0.075518	0.125363	0.082138
eod0-0	0.736670	0.718750	0.740044	0.682522	0.673340	0.702470	0.709071	0.722162	0.678879	0.694356	0.725360	0.704497	0.742494	0.735808	0.648913	0.707104	0.685528	0.695371	0.722524	0.710583
eod0-1	0.740310	0.737410	0.773050	0.760000	0.753472	0.820896	0.764706	0.847328	0.796296	0.707317	0.780822	0.826772	0.796491	0.818182	0.805243	0.775194	0.810700	0.763636	0.801471	0.812500
eod0	0.003640	0.018660	0.033005	0.077478	0.080132	0.118425	0.055635	0.125166	0.117417	0.012961	0.055462	0.122275	0.053997	0.082374	0.156330	0.068090	0.125172	0.068265	0.078946	0.101917
spd1-0	0.572530	0.579873	0.569061	0.542229	0.539873	0.555085	0.558386	0.565401	0.517945	0.543056	0.572028	0.554441	0.581063	0.571329	0.504613	0.571629	0.534028	0.551870	0.567341	0.566620
spd1-1	0.692412	0.686828	0.702929	0.661376	0.643048	0.690254	0.658245	0.734859	0.662634	0.677241	0.678912	0.678804	0.705882	0.714286	0.675926	0.663968	0.684138	0.685829	0.665301	0.690122
spd1	0.119882	0.106955	0.133868	0.119147	0.103175	0.135169	0.099858	0.169458	0.144689	0.134186	0.106884	0.124362	0.124820	0.142957	0.171313	0.092338	0.150110	0.133959	0.097959	0.123502
aod1-0	1.139463	1.156214	1.121144	1.077274	1.059521	1.098938	1.103884	1.125422	1.016429	1.072708	1.129584	1.105076	1.165859	1.125991	1.000119	1.140174	1.063742	1.084437	1.119469	1.120011
aod1-1	1.332904	1.330807	1.368074	1.272048	1.218487	1.315701	1.259785	1.409076	1.271540	1.289038	1.305197	1.292829	1.363036	1.360672	1.302116	1.268181	1.324881	1.331733	1.272696	1.329489
aod1	0.096720	0.087297	0.123465	0.097387	0.079483	0.108381	0.077950	0.141827	0.127556	0.108165	0.087806	0.093876	0.098588	0.117340	0.150998	0.064004	0.130570	0.123648	0.076613	0.104739
eod1-0	0.707418	0.697642	0.726675	0.662069	0.666229	0.686567	0.696477	0.699310	0.663576	0.660079	0.716956	0.700141	0.735172	0.719788	0.631001	0.692094	0.673051	0.675000	0.717710	0.707383
eod1-1	0.786192	0.763797	0.785882	0.762115	0.733193	0.796537	0.764835	0.829004	0.776524	0.758030	0.775785	0.775468	0.791080	0.815217	0.768559	0.769912	0.777262	0.772523	0.779545	0.777042
eod1	0.078774	0.066155	0.059207	0.100046	0.066965	0.109970	0.068358	0.129694	0.112948	0.097951	0.058829	0.075326	0.055907	0.095430	0.137558	0.077817	0.104212	0.097523	0.061836	0.069659
wcspd-00	0.537084	0.559423	0.545837	0.512864	0.513793	0.522298	0.529617	0.540268	0.483761	0.518425	0.540171	0.520690	0.553987	0.533847	0.468103	0.544055	0.502914	0.516942	0.526496	0.535986
wcspd-01	0.718480	0.701068	0.691203	0.659758	0.646953	0.675347	0.651568	0.711230	0.645941	0.692586	0.683636	0.665563	0.707780	0.734918	0.649215	0.656250	0.661972	0.697793	0.664311	0.690391
wcspd-10	0.736220	0.679012	0.675676	0.683128	0.657588	0.708000	0.683019	0.695652	0.677291	0.662602	0.715385	0.720339	0.704545	0.737643	0.674699	0.698039	0.690377	0.703008	0.749049	0.714286
wcspd-11	0.597484	0.642857	0.743750	0.666667	0.631579	0.739884	0.679775	0.807692	0.721212	0.627907	0.664865	0.727273	0.700000	0.654255	0.759563	0.690909	0.764331	0.641509	0.668675	0.689266
wcspd	0.199136	0.141645	0.197913	0.170263	0.143794	0.217586	0.153402	0.267424	0.237451	0.174160	0.175214	0.206583	0.153793	0.203795	0.291459	0.153984	0.261417	0.186066	0.222554	0.178299
wcaod-00	1.081406	1.130028	1.094245	1.031967	1.020778	1.046400	1.063811	1.087627	0.966504	1.035993	1.083892	1.046792	1.130951	1.068911	0.938343	1.096522	1.013123	1.028292	1.051858	1.071734
wcaod-01	1.387409	1.360936	1.355456	1.275646	1.235793	1.290179	1.254679	1.369444	1.242724	1.333402	1.321026	1.279028	1.380184	1.409561	1.250801	1.255575	1.285685	1.362537	1.281382	1.342836
wcaod-10	1.445317	1.276170	1.271598	1.284363	1.236529	1.347276	1.300704	1.322515	1.255737	1.282267	1.346343	1.391600	1.335659	1.360785	1.288517	1.362471	1.333112	1.338075	1.457440	1.352148
wcaod-11	1.132611	1.239316	1.425446	1.268376	1.165863	1.401010	1.275862	1.529915	1.373016	1.123010	1.259427	1.340957	1.293103	1.212317	1.463843	1.311858	1.465979	1.210298	1.235313	1.271186
wcaod	0.181955	0.115454	0.165601	0.126198	0.107875	0.177305	0.118446	0.221144	0.203256	0.148705	0.131225	0.172404	0.124617	0.170325	0.262750	0.132975	0.226428	0.167122	0.202791	0.140207
wceod-00	0.687063	0.678571	0.716949	0.629630	0.642017	0.654577	0.677876	0.675862	0.632027	0.646077	0.690311	0.666081	0.715827	0.676420	0.593043	0.674336	0.647863	0.642857	0.691652	0.676819
wceod-01	0.818444	0.785714	0.783439	0.771513	0.725989	0.781250	0.761062	0.800000	0.759531	0.779412	0.787692	0.764384	0.790323	0.838806	0.742029	0.760000	0.751497	0.785924	0.777108	0.770149
wceod-10	0.782051	0.763975	0.760234	0.778481	0.753012	0.803797	0.757225	0.793103	0.773810	0.712500	0.807018	0.840580	0.798817	0.866279	0.772727	0.756410	0.773973	0.784884	0.810976	0.824675
wceod-11	0.676471	0.700855	0.792793	0.735043	0.754098	0.845455	0.775862	0.914530	0.833333	0.700787	0.743802	0.810345	0.793103	0.752000	0.849558	0.803922	0.865979	0.728155	0.787037	0.796610
wceod	0.141973	0.107143	0.075844	0.148851	0.112082	0.190878	0.097986	0.238668	0.201306	0.133335	0.116706	0.174499	0.082989	0.189859	0.256514	0.129585	0.218116	0.143067	0.119323	0.147856
