accuracy	0.863550	0.864393	0.858497	0.853022	0.859549	0.862919	0.858707	0.853653	0.858707	0.859339	0.863340	0.859760	0.858707	0.856391	0.867972	0.858497	0.859549	0.862076	0.860602	0.857444
recall	0.655355	0.665895	0.653834	0.640231	0.655486	0.656825	0.647521	0.645528	0.656969	0.657665	0.656267	0.655715	0.657258	0.651042	0.668920	0.646221	0.667727	0.660929	0.651805	0.663987
precision	0.781722	0.793396	0.771118	0.770466	0.767599	0.782523	0.760871	0.759671	0.795148	0.769802	0.783506	0.785252	0.777408	0.775646	0.783947	0.774261	0.788847	0.769325	0.765803	0.769343
f1score	0.689180	0.700920	0.685756	0.671315	0.687008	0.690626	0.678379	0.675675	0.691551	0.689347	0.690257	0.689422	0.689870	0.683272	0.702874	0.678591	0.701427	0.692639	0.683374	0.694960
mcc	0.418412	0.441239	0.408447	0.389500	0.407961	0.420982	0.392346	0.388789	0.430483	0.412496	0.420964	0.421512	0.417731	0.408089	0.438015	0.400513	0.440216	0.416376	0.401748	0.420327
spd0-0	0.057582	0.056244	0.060907	0.053220	0.074660	0.062772	0.061287	0.067514	0.062918	0.066900	0.056703	0.058824	0.067496	0.060127	0.065806	0.057435	0.064270	0.061029	0.061162	0.067027
spd0-1	0.107922	0.117623	0.113804	0.106645	0.102751	0.105906	0.107618	0.105754	0.105263	0.112510	0.109539	0.110129	0.108530	0.109184	0.113036	0.103875	0.120048	0.119348	0.109756	0.122724
spd0	0.050340	0.061379	0.052897	0.053425	0.028091	0.043134	0.046330	0.038239	0.042345	0.045610	0.052836	0.051305	0.041035	0.049057	0.047230	0.046440	0.055778	0.058319	0.048594	0.055697
aod0-0	0.346650	0.347246	0.337873	0.295334	0.396625	0.347480	0.332232	0.343248	0.351345	0.365667	0.348113	0.332651	0.366609	0.322766	0.376142	0.324876	0.340256	0.326201	0.339064	0.344436
aod0-1	0.397142	0.426843	0.409556	0.379681	0.380522	0.401222	0.391035	0.383449	0.388110	0.408252	0.397944	0.404493	0.396348	0.401939	0.428903	0.380587	0.443044	0.444711	0.401003	0.448684
aod0	0.025246	0.039799	0.035841	0.042173	0.008052	0.026871	0.029401	0.020100	0.018383	0.021293	0.024915	0.035921	0.014869	0.039586	0.026380	0.027855	0.051394	0.059255	0.030970	0.052124
eod0-0	0.329966	0.331010	0.315961	0.277228	0.367213	0.325806	0.303704	0.315287	0.331169	0.340000	0.331010	0.313725	0.339100	0.302251	0.351536	0.305369	0.315789	0.300676	0.313167	0.316832
eod0-1	0.350101	0.380414	0.359841	0.333333	0.336032	0.358452	0.346228	0.336653	0.350000	0.359684	0.351562	0.360308	0.354597	0.355899	0.384458	0.335953	0.399632	0.394737	0.354455	0.397313
