accuracy	0.847544	0.843504	0.849670	0.857325	0.852860	0.842016	0.850946	0.845843	0.846694	0.844355	0.855624	0.844355	0.850521	0.842441	0.838826	0.865830	0.846694	0.850521	0.843292	0.854348
recall	0.615361	0.572681	0.648647	0.653788	0.655745	0.659591	0.659984	0.657344	0.629705	0.671510	0.623393	0.620498	0.673171	0.662124	0.670507	0.654976	0.626390	0.605594	0.613618	0.655908
precision	0.736794	0.782609	0.754025	0.751907	0.751373	0.715352	0.739342	0.740066	0.730987	0.723402	0.745938	0.734687	0.731464	0.721809	0.722954	0.761095	0.753960	0.727529	0.730834	0.742085
f1score	0.641342	0.586032	0.677562	0.682909	0.684192	0.679687	0.685723	0.683154	0.655897	0.691032	0.651861	0.646364	0.694678	0.683265	0.689934	0.686263	0.654422	0.630232	0.638442	0.682932
mcc	0.330556	0.286639	0.388639	0.393651	0.395728	0.370773	0.391360	0.388705	0.346180	0.391488	0.348408	0.336329	0.400414	0.379265	0.389950	0.402311	0.358319	0.310004	0.323895	0.388552
spd0-0	0.060937	0.027051	0.075540	0.072092	0.074600	0.092896	0.086022	0.078652	0.072118	0.092384	0.056646	0.062583	0.093255	0.077437	0.100586	0.057117	0.061922	0.055833	0.056422	0.074581
spd0-1	0.084665	0.048290	0.109722	0.112203	0.117554	0.140806	0.122622	0.131961	0.098575	0.152979	0.088582	0.095102	0.140337	0.155945	0.153660	0.111734	0.092162	0.077200	0.092350	0.121461
spd0	0.023728	0.021238	0.034182	0.040111	0.042954	0.047910	0.036601	0.053310	0.026457	0.060595	0.031936	0.032519	0.047082	0.078508	0.053074	0.054617	0.030240	0.021367	0.035928	0.046880
aod0-0	0.313697	0.153177	0.349324	0.351899	0.353394	0.431997	0.396313	0.376648	0.352882	0.431065	0.293969	0.306476	0.435408	0.362527	0.431663	0.341276	0.303961	0.267414	0.266217	0.381646
aod0-1	0.295588	0.182556	0.395034	0.416436	0.427010	0.461632	0.436708	0.441815	0.342287	0.502949	0.326474	0.325391	0.487251	0.510134	0.503764	0.410569	0.329714	0.283462	0.320758	0.422713
aod0	0.009055	0.014689	0.022855	0.032268	0.036808	0.014817	0.020197	0.032583	0.005298	0.035942	0.016253	0.009458	0.025921	0.073804	0.036051	0.034646	0.012877	0.008024	0.027271	0.020534
eod0-0	0.284133	0.142857	0.307143	0.314488	0.314488	0.380435	0.347670	0.334532	0.316547	0.378676	0.265152	0.274021	0.383212	0.323432	0.371528	0.314894	0.272727	0.235521	0.235294	0.342205
eod0-1	0.255769	0.166667	0.354662	0.369697	0.377863	0.385057	0.383430	0.381555	0.294004	0.424015	0.288306	0.281664	0.419103	0.424361	0.428312	0.362376	0.293478	0.248996	0.278505	0.367505
eod0	0.028364	0.023810	0.047519	0.055209	0.063375	0.004623	0.035759	0.047023	0.022543	0.045339	0.023155	0.007642	0.035892	0.100929	0.056784	0.047483	0.020751	0.013475	0.043211	0.025300
spd1-0	0.049113	0.030403	0.062668	0.073587	0.070917	0.084239	0.083445	0.075049	0.063172	0.092287	0.055848	0.050268	0.084175	0.093101	0.087660	0.055844	0.051213	0.046113	0.052875	0.073599
spd1-1	0.084646	0.042006	0.107797	0.102169	0.110550	0.134014	0.115325	0.121859	0.097045	0.139674	0.081735	0.093117	0.133934	0.130218	0.147516	0.100854	0.090711	0.077237	0.086520	0.110490
spd1	0.035533	0.011603	0.045129	0.028582	0.039632	0.049775	0.031879	0.046810	0.033873	0.047386	0.025888	0.042849	0.049759	0.037117	0.059855	0.045009	0.039498	0.031124	0.033645	0.036891
aod1-0	0.225545	0.166279	0.312885	0.342090	0.358360	0.389939	0.389405	0.363233	0.317952	0.397860	0.258122	0.244135	0.397257	0.382743	0.348985	0.278788	0.248928	0.223251	0.239125	0.390273
aod1-1	0.327527	0.173255	0.402191	0.409463	0.414361	0.470128	0.432991	0.436051	0.354542	0.500446	0.334895	0.342085	0.492532	0.471244	0.517469	0.420339	0.345487	0.296295	0.323434	0.413063
aod1	0.050991	0.003488	0.044653	0.033687	0.028001	0.040094	0.021793	0.036409	0.018295	0.051293	0.038387	0.048975	0.047637	0.044250	0.084242	0.070776	0.048280	0.036522	0.042155	0.011395
eod1-0	0.200980	0.153439	0.282723	0.303483	0.322751	0.346734	0.343915	0.324742	0.286486	0.341969	0.229268	0.218750	0.353846	0.324873	0.292308	0.248619	0.225490	0.197802	0.211538	0.354286
eod1-1	0.287905	0.160000	0.355346	0.365685	0.365696	0.395659	0.379310	0.378336	0.306557	0.429739	0.299099	0.297735	0.423986	0.406504	0.444099	0.379249	0.306581	0.259130	0.282137	0.360331
eod1	0.086924	0.006561	0.072623	0.062202	0.042944	0.048926	0.035395	0.053594	0.020071	0.087770	0.069831	0.078985	0.070140	0.081631	0.151792	0.130630	0.081091	0.061328	0.070598	0.006045
wcspd-00	0.033237	0.020408	0.048227	0.051502	0.049708	0.065282	0.080960	0.048571	0.046368	0.061625	0.041847	0.024355	0.047548	0.058993	0.066187	0.037975	0.036585	0.033566	0.036873	0.051650
