accuracy	0.730000	0.743333	0.703333	0.756667	0.723333	0.730000	0.720000	0.773333	0.753333	0.740000	0.740000	0.693333	0.710000	0.700000	0.696667	0.740000	0.746667	0.706667	0.760000	0.730000
recall	0.675125	0.649696	0.637645	0.687962	0.647529	0.654453	0.650140	0.690800	0.680952	0.638510	0.662536	0.614670	0.619165	0.613380	0.633578	0.667015	0.677885	0.646008	0.696691	0.658687
precision	0.671628	0.680360	0.658177	0.698371	0.680435	0.658142	0.691135	0.715603	0.704497	0.663930	0.705016	0.640994	0.665905	0.613380	0.645245	0.691103	0.699953	0.651815	0.726269	0.664773
f1score	0.673277	0.659287	0.643387	0.692550	0.655654	0.656192	0.657683	0.700423	0.689528	0.646974	0.672746	0.619709	0.624736	0.613380	0.637734	0.675198	0.685847	0.648544	0.706586	0.661442
mcc	0.346735	0.328628	0.295109	0.386193	0.326309	0.312573	0.338804	0.405646	0.384729	0.301370	0.365089	0.254305	0.281213	0.226760	0.278579	0.357307	0.377193	0.297766	0.421925	0.323402
spd0-0	0.692308	0.750000	0.786517	0.692308	0.690722	0.723404	0.747126	0.717647	0.759615	0.696970	0.715596	0.740000	0.761905	0.659794	0.736842	0.789474	0.720930	0.659341	0.717391	0.760870
spd0-1	0.709184	0.797170	0.720379	0.765306	0.802956	0.742718	0.779343	0.790698	0.750000	0.830846	0.811518	0.780000	0.825641	0.773399	0.717073	0.736585	0.757009	0.736842	0.759615	0.721154
spd0	0.016876	0.047170	0.066138	0.072998	0.112234	0.019314	0.032216	0.073051	0.009615	0.133876	0.095922	0.040000	0.063736	0.113605	0.019769	0.052888	0.036079	0.077501	0.042224	0.039716
aod0-0	1.312821	1.366667	1.492214	1.267974	1.300481	1.294430	1.440541	1.288221	1.409091	1.348485	1.361284	1.399306	1.410572	1.218053	1.403013	1.476190	1.368067	1.221429	1.387518	1.433104
aod0-1	1.209624	1.473578	1.340601	1.346939	1.490412	1.357627	1.454855	1.408523	1.340278	1.485902	1.518487	1.485741	1.594446	1.443529	1.326437	1.333096	1.355906	1.375000	1.319391	1.274651
aod0	0.051598	0.053456	0.075806	0.039482	0.094966	0.031599	0.007157	0.060151	0.034407	0.068709	0.078602	0.043218	0.091937	0.112738	0.038288	0.071547	0.006081	0.076786	0.034063	0.079226
eod0-0	0.800000	0.866667	0.879310	0.823529	0.769231	0.846154	0.900000	0.859649	0.909091	0.742424	0.904762	0.843750	0.897059	0.735294	0.847458	0.933333	0.882353	0.821429	0.849057	0.852459
eod0-1	0.805369	0.870130	0.811189	0.857143	0.905797	0.810458	0.863946	0.881250	0.840278	0.914474	0.871429	0.840580	0.873134	0.823529	0.793103	0.824324	0.847134	0.796053	0.880795	0.811688
eod0	0.005369	0.003463	0.068122	0.033613	0.136566	0.035696	0.036054	0.021601	0.068813	0.172049	0.033333	0.003170	0.023924	0.088235	0.054354	0.109009	0.035219	0.025376	0.031738	0.040771
spd1-0	0.661017	0.666667	0.680851	0.589286	0.770492	0.673077	0.660000	0.625000	0.645161	0.724138	0.618182	0.609375	0.655738	0.553571	0.557692	0.652174	0.653061	0.615385	0.631579	0.586957
spd1-1	0.713693	0.810700	0.750988	0.774590	0.765690	0.750000	0.792000	0.797619	0.781513	0.801653	0.812245	0.809322	0.841004	0.778689	0.758065	0.771654	0.764940	0.733871	0.773663	0.759843
spd1	0.052676	0.144033	0.070137	0.185304	0.004801	0.076923	0.132000	0.172619	0.136351	0.077515	0.194063	0.199947	0.185266	0.225117	0.200372	0.119480	0.111879	0.118486	0.142084	0.172886
aod1-0	1.306452	1.287879	1.301852	1.045519	1.536559	1.323838	1.353896	1.238261	1.138211	1.431373	1.200000	1.157949	1.301724	1.057143	1.035088	1.251462	1.357143	1.150327	1.244444	1.156190
aod1-1	1.234313	1.480752	1.409865	1.385938	1.391965	1.322213	1.466667	1.390625	1.426464	1.432159	1.507065	1.542399	1.587042	1.448647	1.420673	1.401650	1.355615	1.348866	1.377811	1.357730
aod1	0.036069	0.096437	0.054006	0.170209	0.072297	0.000812	0.056385	0.076182	0.144126	0.000393	0.153532	0.192225	0.142659	0.195752	0.192793	0.075094	0.000764	0.099270	0.066683	0.100770
eod1-0	0.806452	0.787879	0.851852	0.729730	0.903226	0.758621	0.818182	0.760000	0.804878	0.764706	0.800000	0.717949	0.750000	0.628571	0.666667	0.777778	0.857143	0.705882	0.800000	0.680000
eod1-1	0.803279	0.883978	0.827586	0.870787	0.854651	0.830688	0.880000	0.890625	0.875740	0.880435	0.895954	0.871166	0.905882	0.827957	0.836257	0.867403	0.855615	0.821839	0.885057	0.842105
eod1	0.003173	0.096099	0.024266	0.141057	0.048575	0.072067	0.061818	0.130625	0.070862	0.115729	0.095954	0.153217	0.155882	0.199386	0.169591	0.089626	0.001528	0.115957	0.085057	0.162105
wcspd-00	0.617647	0.655172	0.666667	0.550000	0.676471	0.640000	0.586207	0.590909	0.696970	0.656250	0.571429	0.600000	0.580645	0.441176	0.586207	0.703704	0.606061	0.588235	0.558824	0.590909
wcspd-01	0.728571	0.796610	0.823529	0.781250	0.698413	0.753623	0.827586	0.761905	0.788732	0.716418	0.765432	0.815385	0.837838	0.777778	0.803030	0.823529	0.792453	0.701754	0.810345	0.814286
wcspd-10	0.720000	0.678571	0.692308	0.687500	0.888889	0.703704	0.761905	0.653846	0.586207	0.807692	0.666667	0.620690	0.733333	0.727273	0.521739	0.578947	0.750000	0.666667	0.739130	0.583333
wcspd-11	0.707602	0.815217	0.724324	0.772222	0.789773	0.748603	0.781250	0.809524	0.778443	0.834286	0.835366	0.807018	0.842424	0.779006	0.741758	0.752688	0.757576	0.743455	0.762162	0.739130
wcspd	0.110924	0.160045	0.156863	0.231250	0.212418	0.113623	0.241379	0.218615	0.202525	0.178036	0.263937	0.215385	0.261779	0.337829	0.281291	0.244582	0.186392	0.155220	0.251521	0.230952
wcaod-00	1.256944	1.232323	1.277778	0.986667	1.368056	1.145833	1.297980	1.136752	1.238095	1.312500	1.097436	1.111888	1.175000	0.859649	1.134615	1.383333	1.309524	1.069597	1.185714	1.150000
wcaod-01	1.367347	1.434174	1.573123	1.455150	1.255102	1.357143	1.581646	1.330144	1.488034	1.387059	1.462121	1.556936	1.543576	1.459184	1.535895	1.499517	1.397436	1.311688	1.556005	1.544218
wcaod-10	1.400000	1.338462	1.321212	1.250000	1.750000	1.406593	1.527273	1.333333	1.033333	1.652778	1.316667	1.205882	1.475113	1.416667	0.921569	1.035714	1.460317	1.415385	1.383929	1.160839
wcaod-11	1.157322	1.499920	1.348547	1.355556	1.441479	1.308608	1.428571	1.421721	1.397787	1.445031	1.554667	1.539504	1.605769	1.445753	1.375868	1.370882	1.344595	1.370642	1.308889	1.271648
wcaod	0.121339	0.133798	0.147672	0.234241	0.247449	0.130380	0.141833	0.142484	0.227350	0.170139	0.228615	0.222524	0.215385	0.299767	0.307163	0.231901	0.075397	0.172894	0.185146	0.197109
wceod-00	0.812500	0.777778	0.833333	0.720000	0.812500	0.812500	0.909091	0.692308	0.904762	0.750000	0.866667	0.727273	0.800000	0.526316	0.750000	0.800000	0.833333	0.761905	0.785714	0.750000
wceod-01	0.795918	0.904762	0.891304	0.883721	0.755102	0.857143	0.897436	0.909091	0.911111	0.740000	0.916667	0.904762	0.924528	0.816327	0.883721	0.977778	0.897436	0.857143	0.871795	0.877551
wceod-10	0.800000	0.800000	0.866667	0.750000	1.000000	0.692308	0.727273	0.833333	0.700000	0.777778	0.733333	0.705882	0.705882	0.750000	0.588235	0.750000	0.888889	0.615385	0.812500	0.615385
wceod-11	0.805970	0.877698	0.804688	0.866667	0.894309	0.821429	0.875000	0.885135	0.862903	0.932836	0.888000	0.859504	0.897436	0.832117	0.820312	0.830882	0.844595	0.812950	0.888889	0.829787
wceod	0.016582	0.126984	0.086617	0.163721	0.244898	0.164835	0.181818	0.216783	0.211111	0.192836	0.183333	0.198880	0.218646	0.305801	0.295486	0.227778	0.064103	0.241758	0.103175	0.262166
