accuracy	0.854917	0.855549	0.852811	0.849653	0.851337	0.856601	0.853864	0.848389	0.855970	0.848810	0.857865	0.853443	0.855759	0.849863	0.861655	0.853232	0.852390	0.858075	0.854285	0.850074
recall	0.649166	0.652324	0.649916	0.647196	0.648553	0.657504	0.651237	0.646720	0.662686	0.649350	0.650480	0.654286	0.663652	0.647089	0.667706	0.648470	0.667530	0.660556	0.651080	0.659049
precision	0.749612	0.764849	0.750751	0.752260	0.739967	0.756446	0.741364	0.739596	0.778190	0.735118	0.763476	0.759735	0.762175	0.751358	0.760167	0.751168	0.761543	0.754522	0.742298	0.745600
f1score	0.678029	0.683153	0.678680	0.675941	0.675682	0.686954	0.678582	0.673651	0.694810	0.675418	0.681476	0.684110	0.693369	0.675748	0.697167	0.677413	0.696415	0.689542	0.678628	0.685973
mcc	0.385920	0.401711	0.387771	0.385392	0.377613	0.401951	0.382116	0.374985	0.425476	0.374780	0.398236	0.400366	0.414273	0.384562	0.417763	0.386217	0.418647	0.404302	0.382656	0.395284
spd0-0	0.066374	0.060673	0.066955	0.065742	0.083004	0.078030	0.074074	0.078474	0.073628	0.081329	0.064176	0.069438	0.077265	0.068264	0.077849	0.066785	0.076404	0.067568	0.072084	0.072425
spd0-1	0.114794	0.116821	0.118324	0.116992	0.107605	0.111202	0.115679	0.113047	0.113636	0.116166	0.109135	0.116559	0.118943	0.114308	0.117987	0.114263	0.129952	0.124236	0.116667	0.131037
spd0	0.048420	0.056147	0.051369	0.051249	0.024601	0.033172	0.041605	0.034573	0.040009	0.034836	0.044959	0.047121	0.041678	0.046044	0.040137	0.047477	0.053548	0.056669	0.044583	0.058613
aod0-0	0.348177	0.343389	0.342086	0.334867	0.400717	0.378730	0.369169	0.358634	0.391055	0.379445	0.356664	0.358710	0.383718	0.329546	0.401605	0.341341	0.365387	0.330831	0.363757	0.350686
aod0-1	0.407247	0.406600	0.415253	0.406681	0.383551	0.413951	0.409768	0.404472	0.406843	0.408458	0.390217	0.412619	0.430092	0.409814	0.436632	0.406794	0.462348	0.458402	0.412636	0.457738
aod0	0.029535	0.031606	0.036583	0.035907	0.008583	0.017611	0.020300	0.022919	0.007894	0.014507	0.016776	0.026955	0.023187	0.040134	0.017514	0.032726	0.048481	0.063786	0.024440	0.053526
eod0-0	0.319865	0.320557	0.312704	0.306931	0.360656	0.341935	0.329630	0.318471	0.363636	0.336667	0.331010	0.330065	0.346021	0.299035	0.365188	0.312081	0.328947	0.297297	0.327402	0.316832
eod0-1	0.352113	0.354049	0.359841	0.352273	0.331984	0.366599	0.357834	0.352590	0.361111	0.353755	0.341797	0.360308	0.382739	0.357834	0.386503	0.353635	0.408840	0.404858	0.358416	0.395393
eod0	0.032247	0.033491	0.047137	0.045342	0.028672	0.024663	0.028204	0.034118	0.002525	0.017088	0.010786	0.030243	0.036718	0.058798	0.021315	0.041554	0.079892	0.107561	0.031014	0.078562
spd1-0	0.077213	0.079701	0.091250	0.076779	0.076579	0.076190	0.088806	0.074074	0.073776	0.078382	0.084204	0.074984	0.089252	0.072615	0.077652	0.073730	0.082915	0.081556	0.073593	0.094081
spd1-1	0.098859	0.095450	0.094316	0.101049	0.105280	0.104600	0.099365	0.108022	0.105548	0.109883	0.089366	0.103732	0.104180	0.103393	0.108689	0.101116	0.115933	0.104596	0.106322	0.108461
spd1	0.021647	0.015749	0.003066	0.024270	0.028700	0.028409	0.010560	0.033948	0.031773	0.031501	0.005162	0.028748	0.014928	0.030778	0.031037	0.027387	0.033018	0.023040	0.032729	0.014380
aod1-0	0.345845	0.365150	0.419104	0.326089	0.329802	0.338851	0.410224	0.334618	0.323917	0.327397	0.370763	0.361296	0.384740	0.323729	0.369437	0.331980	0.373090	0.384795	0.331502	0.411306
aod1-1	0.396600	0.385396	0.370368	0.396801	0.412914	0.421343	0.387638	0.405897	0.428235	0.422909	0.375819	0.400480	0.423077	0.401163	0.443906	0.400433	0.448013	0.417135	0.417470	0.416016
aod1	0.025377	0.010123	0.024368	0.035356	0.041556	0.041246	0.011293	0.035639	0.052159	0.047756	0.002528	0.019592	0.019169	0.038717	0.037234	0.034226	0.037461	0.016170	0.042984	0.002355
eod1-0	0.307018	0.325991	0.372727	0.284483	0.289474	0.297674	0.365297	0.295964	0.287500	0.282511	0.327660	0.325581	0.338983	0.290323	0.334802	0.297071	0.337349	0.344186	0.292793	0.361233
eod1-1	0.353357	0.348562	0.330508	0.355593	0.364273	0.378840	0.341549	0.355818	0.391447	0.372213	0.342199	0.357377	0.382253	0.355172	0.396396	0.355634	0.397993	0.372174	0.368794	0.368509
eod1	0.046339	0.022571	0.042219	0.071110	0.074800	0.081165	0.023748	0.059854	0.103947	0.089701	0.014539	0.031796	0.043270	0.064850	0.061595	0.058563	0.060644	0.027988	0.076002	0.007276
wcspd-00	0.036048	0.053262	0.047182	0.049180	0.057423	0.050068	0.057746	0.057743	0.039456	0.051984	0.050649	0.038564	0.060811	0.038564	0.041223	0.037139	0.043417	0.057257	0.048620	0.061983
wcspd-01	0.081258	0.064366	0.076675	0.073803	0.094690	0.091318	0.081515	0.088874	0.090305	0.095116	0.071096	0.084824	0.085317	0.083562	0.095359	0.080974	0.091992	0.072586	0.083770	0.077488
wcspd-10	0.113744	0.102924	0.131422	0.100000	0.092614	0.099282	0.113611	0.088578	0.102506	0.101058	0.114352	0.107784	0.113984	0.101947	0.110577	0.103720	0.115034	0.103203	0.095794	0.120592
wcspd-11	0.115337	0.124083	0.111459	0.125989	0.115503	0.117356	0.116834	0.126087	0.119632	0.124146	0.106370	0.120992	0.121507	0.120793	0.121859	0.120050	0.137910	0.135236	0.127805	0.136612
wcspd	0.079289	0.070821	0.084240	0.076809	0.058080	0.067289	0.059088	0.068344	0.080176	0.072163	0.063703	0.082428	0.060696	0.082229	0.080636	0.082911	0.094493	0.077979	0.079185	0.074629
wcaod-00	0.213647	0.316437	0.297161	0.238327	0.279181	0.263227	0.330521	0.314788	0.233483	0.254732	0.342367	0.284715	0.282521	0.206216	0.238340	0.262289	0.231340	0.307049	0.252881	0.344046
wcaod-01	0.393051	0.353286	0.357412	0.367312	0.440310	0.413018	0.381225	0.375573	0.446954	0.414856	0.362016	0.382713	0.428872	0.385004	0.459100	0.371113	0.412879	0.340503	0.405914	0.353202
wcaod-10	0.417114	0.396928	0.491334	0.374329	0.356037	0.379492	0.445757	0.348906	0.375980	0.361644	0.394689	0.406664	0.449956	0.401552	0.439285	0.374267	0.442091	0.436997	0.376654	0.452510
wcaod-11	0.402503	0.410376	0.381812	0.420517	0.396689	0.428135	0.393713	0.427422	0.418875	0.430020	0.386926	0.414583	0.421095	0.413736	0.435680	0.421911	0.472349	0.466802	0.428305	0.459267
wcaod	0.101734	0.046970	0.097086	0.091095	0.080565	0.082454	0.057618	0.056317	0.106736	0.087644	0.026161	0.064934	0.083717	0.103760	0.110380	0.079811	0.120505	0.079877	0.087712	0.057610
wceod-00	0.194444	0.291139	0.273973	0.207792	0.243243	0.231884	0.295082	0.283951	0.215190	0.218750	0.319444	0.268657	0.247191	0.189474	0.216216	0.250000	0.207792	0.277108	0.223684	0.311688
wceod-01	0.360000	0.331731	0.324786	0.340708	0.398268	0.373444	0.339713	0.330472	0.414847	0.368644	0.334884	0.347280	0.390000	0.347222	0.415525	0.333333	0.370044	0.305164	0.365854	0.318584
wceod-10	0.358974	0.344595	0.421769	0.322581	0.311688	0.328767	0.392405	0.302817	0.322981	0.308176	0.331288	0.351351	0.394558	0.352941	0.392157	0.319018	0.395349	0.386364	0.328767	0.386667
wceod-11	0.348974	0.357702	0.334270	0.364611	0.341176	0.382609	0.342618	0.372222	0.377309	0.374640	0.346705	0.363881	0.378238	0.359890	0.383929	0.369942	0.415094	0.411602	0.370474	0.398922
wceod	0.165556	0.066563	0.147796	0.156819	0.155025	0.150725	0.097323	0.088272	0.199657	0.155890	0.027260	0.095225	0.147367	0.170416	0.199309	0.119942	0.207302	0.134494	0.146789	0.087234
