accuracy	0.799973	0.802907	0.796697	0.795537	0.796287	0.804340	0.801611	0.795400	0.792261	0.796833	0.800314	0.801201	0.796629	0.799563	0.801338	0.801679	0.798540	0.799495	0.799563	0.797038
recall	0.631976	0.641534	0.632631	0.630703	0.631033	0.644949	0.640178	0.633687	0.630693	0.629747	0.639077	0.633364	0.635365	0.634488	0.639455	0.636162	0.634048	0.636392	0.633911	0.633322
precision	0.738145	0.749043	0.743472	0.732447	0.732679	0.750680	0.749808	0.737873	0.738570	0.733287	0.748563	0.737652	0.731861	0.740166	0.747784	0.746890	0.747839	0.750150	0.746014	0.737326
f1score	0.652158	0.663218	0.652345	0.649886	0.650381	0.667114	0.661561	0.653195	0.649326	0.649082	0.660112	0.653866	0.655073	0.654852	0.660688	0.657189	0.654298	0.657078	0.654326	0.653085
mcc	0.354567	0.375490	0.359399	0.348606	0.349220	0.381239	0.374260	0.356654	0.353154	0.347955	0.371857	0.356057	0.354321	0.359440	0.371779	0.366698	0.364540	0.369424	0.363009	0.355757
spd0-0	0.055613	0.060116	0.054712	0.062320	0.067576	0.061708	0.059556	0.059930	0.061357	0.058629	0.059661	0.057007	0.061178	0.060389	0.058571	0.056741	0.056914	0.059996	0.059943	0.060268
spd0-1	0.140798	0.144979	0.141276	0.142274	0.139291	0.147459	0.143685	0.145099	0.140792	0.140789	0.143847	0.141215	0.149832	0.141790	0.144933	0.140269	0.139076	0.139281	0.137737	0.143352
spd0	0.085185	0.084863	0.086564	0.079953	0.071715	0.085751	0.084129	0.085169	0.079435	0.082160	0.084186	0.084208	0.088654	0.081401	0.086363	0.083528	0.082162	0.079285	0.077794	0.083084
aod0-0	0.269451	0.290097	0.287737	0.285735	0.331255	0.308522	0.297259	0.294525	0.282649	0.292917	0.303501	0.272100	0.281324	0.304224	0.310802	0.303342	0.268642	0.296281	0.303572	0.279551
aod0-1	0.388260	0.405194	0.383732	0.389345	0.380815	0.410534	0.397904	0.392317	0.382249	0.384813	0.395121	0.393489	0.409678	0.388567	0.397838	0.386490	0.382701	0.384948	0.379305	0.393464
aod0	0.059404	0.057548	0.047997	0.051805	0.024780	0.051006	0.050323	0.048896	0.049800	0.045948	0.045810	0.060695	0.064177	0.042171	0.043518	0.041574	0.057029	0.044333	0.037866	0.056957
eod0-0	0.234834	0.255009	0.258065	0.246801	0.291115	0.272201	0.262760	0.258621	0.244936	0.259669	0.269450	0.237192	0.243636	0.268102	0.279926	0.271457	0.232558	0.262206	0.268939	0.242144
eod0-1	0.328008	0.346883	0.323432	0.327138	0.319501	0.351796	0.340560	0.329927	0.323779	0.321076	0.336982	0.332415	0.342266	0.328514	0.336920	0.328423	0.328939	0.330113	0.323520	0.332437
eod0	0.093174	0.091874	0.065368	0.080337	0.028385	0.079595	0.077800	0.071307	0.078843	0.061407	0.067532	0.095223	0.098630	0.060412	0.056994	0.056966	0.096381	0.067907	0.054580	0.090293
spd1-0	0.094549	0.092050	0.091915	0.093677	0.102197	0.091210	0.089226	0.089925	0.086831	0.085912	0.088993	0.091889	0.083061	0.089454	0.101655	0.097415	0.090251	0.091976	0.090116	0.092550
spd1-1	0.115421	0.121341	0.116342	0.119508	0.117844	0.124033	0.120516	0.121558	0.119634	0.118434	0.120626	0.117173	0.127098	0.118924	0.118599	0.115400	0.115333	0.116515	0.115339	0.119917
spd1	0.020872	0.029290	0.024427	0.025831	0.015647	0.032823	0.031290	0.031633	0.032804	0.032521	0.031633	0.025283	0.044037	0.029470	0.016945	0.017985	0.025082	0.024539	0.025223	0.027367
aod1-0	0.421829	0.389657	0.408520	0.368955	0.410253	0.381772	0.382228	0.387807	0.382044	0.369215	0.405380	0.396261	0.361416	0.375807	0.458509	0.434415	0.408422	0.403360	0.410467	0.383439
aod1-1	0.359284	0.381293	0.358240	0.367726	0.363855	0.391205	0.377136	0.370859	0.361540	0.363578	0.373611	0.366313	0.386298	0.370148	0.369519	0.361508	0.357806	0.362891	0.358830	0.369524
aod1	0.031273	0.004182	0.025140	0.000615	0.023199	0.004716	0.002546	0.008474	0.010252	0.002819	0.015884	0.014974	0.012441	0.002830	0.044495	0.036453	0.025308	0.020235	0.025818	0.006958
eod1-0	0.378549	0.342508	0.365931	0.316265	0.357771	0.334365	0.335484	0.349432	0.342593	0.323810	0.366154	0.346535	0.319749	0.329193	0.410256	0.389728	0.369565	0.360606	0.368421	0.337209
eod1-1	0.307717	0.331443	0.308642	0.314430	0.310596	0.340580	0.328256	0.316167	0.308908	0.310269	0.322972	0.314998	0.327461	0.318685	0.320125	0.312955	0.309480	0.315349	0.310302	0.316520
eod1	0.070832	0.011065	0.057289	0.001835	0.047175	0.006214	0.007228	0.033265	0.033684	0.013541	0.043182	0.031536	0.007712	0.010508	0.090132	0.076773	0.060086	0.045257	0.058119	0.020690
wcspd-00	0.038419	0.048654	0.045113	0.051148	0.058824	0.043663	0.038043	0.034335	0.042008	0.044148	0.042084	0.041756	0.038136	0.040000	0.039488	0.052966	0.032191	0.039112	0.038866	0.045891
wcspd-01	0.059566	0.062986	0.057018	0.065061	0.069625	0.066082	0.064632	0.066035	0.066349	0.062274	0.064223	0.060668	0.066787	0.065311	0.063102	0.057658	0.063012	0.065034	0.065041	0.063715
wcspd-10	0.138554	0.127426	0.129904	0.128292	0.136054	0.129142	0.128896	0.133389	0.126709	0.120067	0.130167	0.130942	0.118432	0.129472	0.151104	0.131751	0.140667	0.134177	0.133993	0.128268
wcspd-11	0.141100	0.147385	0.142775	0.144184	0.139731	0.149948	0.145715	0.146718	0.142549	0.143653	0.145641	0.142642	0.154194	0.143472	0.144088	0.141479	0.138873	0.139984	0.138218	0.145503
wcspd	0.102681	0.098731	0.097662	0.093036	0.080908	0.106285	0.107672	0.112383	0.100540	0.099505	0.103557	0.100886	0.116058	0.103472	0.111616	0.088513	0.108476	0.100872	0.099352	0.099612
wcaod-00	0.174436	0.263427	0.302044	0.235159	0.361764	0.287306	0.265246	0.220882	0.220767	0.288770	0.280323	0.310920	0.199801	0.216783	0.310915	0.379237	0.248355	0.218127	0.278685	0.343776
wcaod-01	0.281512	0.294748	0.285886	0.294632	0.327135	0.312774	0.302821	0.307352	0.294673	0.294364	0.308512	0.267847	0.295289	0.318619	0.311855	0.291944	0.273559	0.308953	0.308695	0.272451
wcaod-10	0.483503	0.438407	0.448971	0.421536	0.431498	0.421503	0.427029	0.441470	0.445593	0.407172	0.455866	0.436674	0.420251	0.431650	0.511168	0.457471	0.462440	0.466750	0.464352	0.406324
wcaod-11	0.379307	0.401965	0.378070	0.386057	0.375404	0.408986	0.394531	0.387671	0.377264	0.382808	0.389890	0.388728	0.409569	0.384305	0.386557	0.379618	0.374879	0.377072	0.371643	0.391919
wcaod	0.154533	0.087490	0.081543	0.093189	0.052181	0.067098	0.080892	0.110294	0.112413	0.059201	0.087771	0.084413	0.110225	0.107434	0.100126	0.082764	0.107043	0.124312	0.092833	0.066937
wceod-00	0.142857	0.230769	0.275362	0.197531	0.323077	0.260870	0.241935	0.200000	0.192771	0.263158	0.256410	0.287879	0.173333	0.188406	0.288136	0.348485	0.229508	0.191781	0.257143	0.317460
wceod-01	0.246154	0.259023	0.255459	0.255365	0.286638	0.273942	0.265525	0.267699	0.254348	0.259101	0.271715	0.229935	0.254737	0.280543	0.278926	0.259770	0.232967	0.272917	0.270742	0.232218
wceod-10	0.429119	0.377510	0.391129	0.354582	0.365942	0.354331	0.358871	0.386525	0.394191	0.343096	0.400810	0.362869	0.364754	0.367589	0.438735	0.400000	0.402299	0.408560	0.401709	0.341637
wceod-11	0.318165	0.344062	0.317398	0.324594	0.314732	0.351560	0.338909	0.324128	0.317780	0.319125	0.331286	0.329707	0.340237	0.324881	0.327453	0.321455	0.322034	0.322769	0.316878	0.331477
wceod	0.286262	0.146741	0.135671	0.157051	0.079304	0.093461	0.116935	0.186525	0.201420	0.083996	0.144399	0.132934	0.191421	0.179183	0.159810	0.140230	0.172791	0.216779	0.144567	0.109419
