accuracy	0.642494	0.636490	0.663741	0.645266	0.654965	0.655427	0.642956	0.656351	0.655427	0.653118	0.658199	0.641570	0.661432	0.658199	0.648961	0.644342	0.655889	0.664203	0.651732	0.638337
recall	0.620489	0.616689	0.643881	0.625407	0.627400	0.631172	0.622092	0.634755	0.633314	0.628278	0.636512	0.619863	0.648010	0.632025	0.626215	0.624650	0.640006	0.640650	0.629211	0.615877
precision	0.665109	0.652114	0.677366	0.659281	0.651945	0.668255	0.648813	0.672067	0.663968	0.651306	0.668517	0.652171	0.683402	0.666207	0.665753	0.663293	0.675227	0.674392	0.665241	0.642961
f1score	0.605498	0.604015	0.637452	0.615433	0.625000	0.622995	0.615350	0.625973	0.627275	0.625695	0.630273	0.610331	0.638255	0.626027	0.615232	0.612232	0.630260	0.635247	0.620290	0.608466
mcc	0.282091	0.266459	0.319497	0.282665	0.278265	0.297122	0.269583	0.304545	0.295697	0.278634	0.303345	0.270109	0.329516	0.296267	0.289278	0.285338	0.313259	0.313230	0.292239	0.257417
spd0-0	0.738584	0.718966	0.709622	0.714040	0.687427	0.718714	0.694541	0.714775	0.701544	0.676588	0.699419	0.709751	0.693819	0.705951	0.730525	0.723782	0.705483	0.706897	0.716590	0.695927
spd0-1	0.864407	0.847059	0.770883	0.816667	0.803132	0.825059	0.803612	0.830097	0.805288	0.820574	0.813483	0.842893	0.831797	0.835920	0.817130	0.838095	0.820707	0.802353	0.822844	0.834123
spd0	0.125822	0.128093	0.061261	0.102627	0.115705	0.106345	0.109071	0.115322	0.103745	0.143986	0.114065	0.133142	0.137979	0.129969	0.086605	0.114313	0.115224	0.095456	0.106254	0.138197
aod0-0	1.464784	1.431274	1.409266	1.419337	1.349047	1.419012	1.376972	1.414879	1.385818	1.334411	1.385499	1.405000	1.387466	1.394088	1.445612	1.434834	1.399867	1.394796	1.417631	1.377939
aod0-1	1.690223	1.621935	1.434384	1.553730	1.531053	1.593308	1.541230	1.590331	1.561593	1.556108	1.544632	1.640206	1.586930	1.594517	1.576779	1.637669	1.589204	1.527879	1.591326	1.602108
aod0	0.112719	0.095330	0.012559	0.067197	0.091003	0.087148	0.082129	0.087726	0.087888	0.110848	0.079567	0.117603	0.099732	0.100214	0.065583	0.101417	0.094668	0.066541	0.086848	0.112084
eod0-0	0.858542	0.827009	0.845133	0.830752	0.797682	0.843179	0.809735	0.840000	0.834052	0.792332	0.826135	0.825482	0.841801	0.826419	0.847826	0.848087	0.842220	0.837460	0.841132	0.800216
eod0-1	0.922481	0.928058	0.872340	0.905455	0.895833	0.902985	0.878893	0.923664	0.862963	0.891986	0.904110	0.905512	0.915789	0.919192	0.910112	0.903101	0.909465	0.894545	0.897059	0.915441
eod0	0.063939	0.101049	0.027208	0.074702	0.098152	0.059806	0.069158	0.083664	0.028911	0.099654	0.077974	0.080030	0.073988	0.092773	0.062286	0.055013	0.067245	0.057086	0.055927	0.115225
spd1-0	0.742817	0.711471	0.685773	0.718240	0.692308	0.720339	0.701345	0.712377	0.691063	0.663889	0.704895	0.723496	0.704360	0.705594	0.722498	0.724017	0.713194	0.693013	0.721563	0.702665
spd1-1	0.800813	0.806452	0.793584	0.763228	0.747326	0.775701	0.746011	0.783311	0.779570	0.784828	0.757823	0.754226	0.757532	0.786395	0.794974	0.788124	0.753103	0.787433	0.769126	0.761840
spd1	0.057996	0.094981	0.107811	0.044988	0.055019	0.055362	0.044666	0.070934	0.088507	0.120939	0.052928	0.030731	0.053173	0.080800	0.072475	0.064107	0.039909	0.094420	0.047563	0.059176
aod1-0	1.481005	1.419404	1.355393	1.429099	1.363129	1.428727	1.390750	1.419239	1.365444	1.314331	1.396454	1.443832	1.412473	1.395134	1.436466	1.444767	1.421862	1.365129	1.430314	1.393911
aod1-1	1.545603	1.569059	1.547808	1.478236	1.446954	1.505702	1.451608	1.509305	1.510525	1.499427	1.462039	1.451028	1.455598	1.530000	1.536136	1.527873	1.460352	1.526760	1.490349	1.483868
aod1	0.032299	0.074827	0.096208	0.024569	0.041912	0.038487	0.030429	0.045033	0.072541	0.092548	0.032792	0.003598	0.021563	0.067433	0.049835	0.041553	0.019245	0.080816	0.030017	0.044978
eod1-0	0.854396	0.829404	0.835742	0.841379	0.826544	0.860244	0.829268	0.849655	0.815894	0.781291	0.838451	0.844413	0.859310	0.848606	0.840878	0.851595	0.859097	0.826316	0.848202	0.824161
eod1-1	0.902004	0.885210	0.880000	0.859031	0.810924	0.850649	0.821978	0.872294	0.882619	0.871520	0.856502	0.839917	0.861502	0.850000	0.895197	0.873894	0.851508	0.891892	0.863636	0.830022
eod1	0.047609	0.055806	0.044258	0.017652	0.015620	0.009595	0.007290	0.022639	0.066724	0.090229	0.018051	0.004496	0.002192	0.001394	0.054319	0.022299	0.007589	0.065576	0.015434	0.005861
wcspd-00	0.719523	0.691002	0.674516	0.700686	0.677586	0.702401	0.678571	0.697148	0.670085	0.639028	0.683761	0.702586	0.680233	0.682948	0.713793	0.704876	0.697752	0.673328	0.705128	0.683319
wcspd-01	0.777202	0.777580	0.784560	0.740933	0.707885	0.751736	0.726481	0.752228	0.765112	0.757685	0.732727	0.723510	0.724858	0.755027	0.764398	0.762153	0.721831	0.772496	0.740283	0.722420
wcspd-10	0.850394	0.810700	0.737452	0.802469	0.758755	0.804000	0.800000	0.791304	0.788845	0.784553	0.800000	0.826271	0.814394	0.806084	0.763052	0.811765	0.790795	0.778195	0.794677	0.795918
wcspd-11	0.886792	0.895604	0.825000	0.836158	0.863158	0.855491	0.808989	0.879121	0.830303	0.872093	0.832432	0.866667	0.858824	0.877660	0.890710	0.878788	0.866242	0.842767	0.867470	0.887006
wcspd	0.167270	0.204603	0.150484	0.135472	0.185572	0.153090	0.130417	0.181973	0.160218	0.233065	0.148672	0.164080	0.178591	0.194712	0.176917	0.173912	0.168490	0.169440	0.162342	0.203686
wcaod-00	1.444818	1.392903	1.351351	1.407940	1.348137	1.406811	1.361384	1.401386	1.339216	1.277280	1.370827	1.409898	1.384159	1.367103	1.429625	1.418637	1.403058	1.340683	1.409320	1.366437
wcaod-01	1.498249	1.514986	1.542463	1.441904	1.365071	1.457386	1.420687	1.444767	1.481875	1.455068	1.421880	1.396584	1.403687	1.466643	1.473341	1.472187	1.396438	1.501466	1.438652	1.409350
wcaod-10	1.665358	1.528784	1.359649	1.516828	1.413015	1.540039	1.535876	1.493712	1.526033	1.485901	1.518102	1.620083	1.562566	1.501661	1.459604	1.581585	1.517013	1.464003	1.538618	1.513487
wcaod-11	1.730650	1.741880	1.565361	1.605983	1.689248	1.670996	1.549221	1.716239	1.616246	1.683290	1.581870	1.680683	1.624840	1.729397	1.736030	1.725023	1.700859	1.635055	1.676564	1.737288
wcaod	0.142916	0.174488	0.107005	0.099021	0.170555	0.132092	0.093919	0.157427	0.138515	0.203005	0.105522	0.142049	0.120341	0.181147	0.153203	0.153193	0.152211	0.147186	0.133622	0.185425
wceod-00	0.839161	0.807143	0.828814	0.823633	0.810084	0.849741	0.815929	0.832759	0.809199	0.754591	0.823529	0.829525	0.847122	0.824441	0.833043	0.842478	0.847863	0.807823	0.841567	0.802030
