accuracy	0.846694	0.847544	0.846481	0.850308	0.847757	0.848395	0.845843	0.842866	0.847544	0.847544	0.856475	0.842654	0.845630	0.845843	0.836913	0.861790	0.841165	0.852647	0.846481	0.851371
recall	0.619388	0.624664	0.633395	0.630003	0.626138	0.625046	0.614037	0.621985	0.626710	0.628093	0.632929	0.619959	0.626577	0.624712	0.619889	0.633895	0.609244	0.621273	0.627333	0.625364
precision	0.731580	0.749241	0.748991	0.733831	0.744354	0.741266	0.735101	0.742428	0.735136	0.741208	0.745437	0.728080	0.723107	0.740436	0.724792	0.753736	0.738651	0.731700	0.738563	0.741063
f1score	0.645243	0.652353	0.661414	0.656909	0.653592	0.652269	0.639525	0.648306	0.653360	0.655353	0.661838	0.645061	0.651776	0.651507	0.644006	0.664358	0.633537	0.647992	0.654190	0.652975
mcc	0.332553	0.352542	0.364495	0.348705	0.351126	0.347386	0.327477	0.343934	0.345219	0.351551	0.361252	0.330819	0.336097	0.346325	0.328329	0.368641	0.322932	0.335255	0.348580	0.347681
spd0-0	0.069122	0.068530	0.068795	0.066785	0.064531	0.063297	0.060484	0.063820	0.065687	0.064443	0.061552	0.064359	0.075600	0.066756	0.073523	0.057570	0.055453	0.064911	0.063761	0.060900
spd0-1	0.086262	0.085714	0.099234	0.099509	0.092931	0.093339	0.085795	0.093624	0.096991	0.097826	0.096302	0.097551	0.096231	0.093241	0.096138	0.091710	0.085073	0.086800	0.099088	0.093968
spd0	0.017140	0.017184	0.030439	0.032724	0.028400	0.030042	0.025311	0.029804	0.031305	0.033383	0.034750	0.033192	0.020631	0.026485	0.022616	0.034140	0.029620	0.021889	0.035327	0.033068
aod0-0	0.348404	0.328977	0.332437	0.327664	0.311749	0.317482	0.287250	0.316530	0.324016	0.323312	0.325788	0.320711	0.336932	0.330680	0.335574	0.349279	0.265480	0.327901	0.318735	0.329836
aod0-1	0.299023	0.311830	0.348813	0.352303	0.334013	0.329674	0.305220	0.319000	0.340296	0.340003	0.349709	0.324405	0.343607	0.323663	0.320823	0.332254	0.295797	0.313552	0.342971	0.324214
aod0	0.024691	0.008573	0.008188	0.012319	0.011132	0.006096	0.008985	0.001235	0.008140	0.008345	0.011960	0.001847	0.003338	0.003509	0.007376	0.008513	0.015159	0.007175	0.012118	0.002811
eod0-0	0.313653	0.292857	0.296429	0.293286	0.279152	0.286232	0.254480	0.284173	0.291367	0.290441	0.295455	0.288256	0.291971	0.300330	0.295139	0.323404	0.236364	0.293436	0.286765	0.300380
eod0-1	0.257692	0.279026	0.308958	0.305051	0.293893	0.287356	0.267823	0.278481	0.294004	0.296435	0.306452	0.275992	0.300195	0.278978	0.275862	0.291089	0.259058	0.273092	0.297196	0.280464
eod0	0.055961	0.013831	0.012529	0.011764	0.014741	0.001124	0.013342	0.005692	0.002637	0.005994	0.010997	0.012264	0.008224	0.021352	0.019277	0.032315	0.022694	0.020344	0.010432	0.019916
spd1-0	0.069577	0.064772	0.082884	0.080815	0.065062	0.076087	0.061238	0.060566	0.074597	0.072512	0.074244	0.067024	0.071380	0.066309	0.068780	0.059091	0.069407	0.069170	0.074686	0.064821
spd1-1	0.082175	0.083699	0.085741	0.085193	0.086860	0.080780	0.079577	0.088568	0.086159	0.086629	0.082364	0.088446	0.093536	0.087227	0.093168	0.083781	0.072383	0.080063	0.086520	0.084109
spd1	0.012598	0.018927	0.002857	0.004379	0.021799	0.004693	0.018339	0.028002	0.011562	0.014117	0.008120	0.021422	0.022156	0.020918	0.024388	0.024690	0.002976	0.010893	0.011834	0.019288
aod1-0	0.298631	0.332554	0.403020	0.367289	0.333486	0.359314	0.287122	0.298230	0.349551	0.357497	0.345282	0.325513	0.321586	0.304529	0.288079	0.301623	0.315349	0.339623	0.345240	0.355576
aod1-1	0.320530	0.314657	0.323740	0.332065	0.323644	0.311933	0.302053	0.323799	0.327296	0.325186	0.337078	0.320278	0.348823	0.331219	0.336568	0.346216	0.273963	0.310591	0.328568	0.315773
aod1	0.010949	0.008948	0.039640	0.017612	0.004921	0.023690	0.007466	0.012785	0.011127	0.016156	0.004102	0.002617	0.013619	0.013345	0.024245	0.022297	0.020693	0.014516	0.008336	0.019902
eod1-0	0.259804	0.301587	0.361257	0.323383	0.301587	0.321608	0.253968	0.268041	0.308108	0.321244	0.307317	0.291667	0.282051	0.269036	0.246154	0.270718	0.279412	0.302198	0.307692	0.325714
eod1-1	0.282794	0.278400	0.287736	0.292894	0.284790	0.275459	0.266010	0.284144	0.288525	0.285948	0.300901	0.276699	0.302365	0.292683	0.293478	0.311270	0.242376	0.273043	0.288815	0.276033
eod1	0.022990	0.023187	0.073521	0.030489	0.016798	0.046149	0.012042	0.016103	0.019584	0.035296	0.006416	0.014968	0.020314	0.023647	0.047324	0.040552	0.037036	0.029154	0.018878	0.049681
wcspd-00	0.053468	0.059767	0.070922	0.061516	0.054094	0.062315	0.056972	0.042857	0.060278	0.057423	0.053391	0.048711	0.056464	0.057554	0.050360	0.046414	0.050305	0.058741	0.051622	0.053085
wcspd-01	0.076311	0.072454	0.067808	0.069142	0.069287	0.063732	0.061981	0.073443	0.067974	0.067774	0.065203	0.071383	0.083984	0.070876	0.084100	0.062876	0.057692	0.067876	0.069241	0.064372
wcspd-10	0.083979	0.068924	0.093710	0.097205	0.073857	0.087719	0.064713	0.075702	0.085612	0.085928	0.091677	0.083123	0.083744	0.073935	0.085025	0.069964	0.084541	0.078456	0.093413	0.075255
wcspd-11	0.087283	0.094089	0.101765	0.100679	0.102703	0.095963	0.096247	0.102471	0.102671	0.103510	0.098652	0.104469	0.102259	0.102533	0.101296	0.102518	0.085330	0.090748	0.101896	0.102843
wcspd	0.033815	0.034323	0.033957	0.039163	0.048609	0.033648	0.039275	0.059614	0.042392	0.046087	0.045261	0.055758	0.045796	0.044979	0.050936	0.056104	0.035025	0.032007	0.050273	0.049759
wcaod-00	0.270794	0.336900	0.389386	0.315868	0.349912	0.364738	0.303254	0.254391	0.331196	0.339783	0.353562	0.335023	0.306819	0.346732	0.249905	0.364736	0.287861	0.359222	0.311068	0.403756
wcaod-01	0.378450	0.326824	0.311733	0.332196	0.302125	0.301710	0.281990	0.337055	0.321744	0.318134	0.317617	0.318522	0.348650	0.326166	0.368041	0.345216	0.258019	0.317515	0.322468	0.311857
wcaod-10	0.317829	0.328691	0.412839	0.402451	0.327151	0.358798	0.277983	0.323054	0.362630	0.369298	0.347291	0.326183	0.332362	0.283091	0.316443	0.276849	0.333856	0.330561	0.369391	0.336511
wcaod-11	0.292032	0.308059	0.330031	0.334428	0.337297	0.319823	0.314137	0.318858	0.332984	0.331541	0.349797	0.324744	0.346608	0.337193	0.319762	0.350114	0.281758	0.307742	0.333124	0.322702
wcaod	0.053828	0.014421	0.050553	0.043291	0.023894	0.031514	0.018077	0.041332	0.020443	0.025582	0.017973	0.008250	0.020916	0.031821	0.059068	0.043943	0.037919	0.025740	0.029161	0.045949
wceod-00	0.240000	0.301587	0.351351	0.282051	0.322581	0.333333	0.271429	0.230769	0.300000	0.308824	0.328125	0.311475	0.275362	0.319444	0.220779	0.344828	0.263889	0.328358	0.289474	0.377358
wceod-01	0.341837	0.290323	0.276699	0.297561	0.266968	0.270531	0.248804	0.300469	0.288462	0.284314	0.285000	0.281818	0.297561	0.294372	0.322275	0.316384	0.226601	0.281250	0.285714	0.280952
wceod-10	0.271318	0.301587	0.367521	0.349593	0.291339	0.315385	0.243697	0.286822	0.313043	0.328000	0.297872	0.282443	0.285714	0.240000	0.262712	0.235772	0.287879	0.286957	0.318182	0.303279
wceod-11	0.253197	0.272059	0.293023	0.290323	0.294710	0.278061	0.275000	0.275943	0.288557	0.286765	0.309859	0.273869	0.304910	0.291667	0.279446	0.308901	0.250000	0.268930	0.290323	0.273418
wceod	0.101837	0.029528	0.090822	0.067542	0.055612	0.062802	0.031303	0.069700	0.024582	0.043686	0.043125	0.037606	0.029547	0.079444	0.101496	0.109055	0.061278	0.059429	0.032468	0.103941
