accuracy	0.847969	0.848182	0.846268	0.854348	0.849033	0.850308	0.845205	0.842441	0.847119	0.847969	0.854774	0.843504	0.850946	0.843079	0.836487	0.861578	0.841165	0.852647	0.844142	0.848395
recall	0.622172	0.625535	0.637071	0.639123	0.631329	0.630685	0.614152	0.626452	0.627456	0.629335	0.635101	0.617051	0.640937	0.625477	0.621029	0.637066	0.611622	0.623942	0.626412	0.622552
precision	0.735808	0.751615	0.746370	0.746265	0.747207	0.746719	0.732260	0.738557	0.733243	0.742405	0.737917	0.732527	0.738393	0.729291	0.722918	0.751346	0.737342	0.730931	0.729872	0.729936
f1score	0.648716	0.653556	0.664886	0.667868	0.659451	0.658904	0.639389	0.652745	0.653894	0.656807	0.662940	0.642360	0.668267	0.651002	0.645016	0.667261	0.636219	0.650694	0.652145	0.648658
mcc	0.339466	0.355452	0.367533	0.370194	0.360364	0.359123	0.325656	0.347368	0.344837	0.354126	0.358568	0.329955	0.366598	0.339240	0.328510	0.371220	0.325531	0.338361	0.340933	0.335733
spd0-0	0.065484	0.067178	0.069245	0.069881	0.065446	0.065574	0.062276	0.063371	0.066605	0.064894	0.067351	0.059032	0.074242	0.069871	0.073974	0.063917	0.058226	0.064458	0.066055	0.061783
spd0-1	0.090256	0.086519	0.105688	0.099509	0.096902	0.094934	0.086200	0.102906	0.098575	0.098229	0.099147	0.095102	0.105052	0.099756	0.098954	0.091310	0.086648	0.091200	0.102259	0.097251
spd0	0.024771	0.019341	0.036443	0.029628	0.031456	0.029360	0.023924	0.039535	0.031969	0.033335	0.031796	0.036070	0.030810	0.029885	0.024980	0.027393	0.028423	0.026742	0.036204	0.035468
aod0-0	0.337912	0.336595	0.336008	0.343315	0.315809	0.338700	0.292371	0.325267	0.315857	0.320663	0.342207	0.308522	0.363577	0.334281	0.339047	0.378870	0.268656	0.324040	0.330813	0.320925
aod0-1	0.312578	0.310135	0.366268	0.365862	0.350284	0.335925	0.305733	0.339970	0.349469	0.344606	0.357793	0.314432	0.373492	0.339135	0.327037	0.331752	0.304351	0.328098	0.344263	0.329794
aod0	0.012667	0.013230	0.015130	0.011273	0.017238	0.001388	0.006681	0.007352	0.016806	0.011972	0.007793	0.002955	0.004957	0.002427	0.006005	0.023559	0.017848	0.002029	0.006725	0.004434
eod0-0	0.306273	0.303571	0.300000	0.307420	0.282686	0.307971	0.258065	0.294964	0.280576	0.286765	0.306818	0.281139	0.324818	0.300330	0.298611	0.348936	0.236364	0.289575	0.297794	0.288973
eod0-1	0.269231	0.275281	0.321755	0.323232	0.309160	0.293103	0.267823	0.291139	0.303675	0.302064	0.312500	0.266541	0.325536	0.288802	0.279492	0.291089	0.268116	0.285141	0.293458	0.282398
eod0	0.037042	0.028291	0.021755	0.015812	0.026475	0.014868	0.009758	0.003825	0.023100	0.015299	0.005682	0.014598	0.000719	0.011528	0.019119	0.057847	0.031752	0.004435	0.004336	0.006575
spd1-0	0.066849	0.067416	0.083558	0.084100	0.072219	0.072690	0.059892	0.065174	0.077285	0.070534	0.080158	0.061662	0.074074	0.073677	0.070802	0.059740	0.072776	0.070487	0.077330	0.070223
spd1-1	0.084028	0.082132	0.090711	0.085822	0.087176	0.085113	0.081753	0.093279	0.086781	0.088198	0.085822	0.085332	0.098198	0.090966	0.094720	0.087575	0.073936	0.082575	0.089342	0.084730
spd1	0.017180	0.014716	0.007153	0.001722	0.014958	0.012423	0.021861	0.028104	0.009496	0.017664	0.005664	0.023669	0.024124	0.017289	0.023918	0.027835	0.001160	0.012087	0.012012	0.014507
aod1-0	0.291352	0.344647	0.390407	0.392165	0.364392	0.363866	0.290100	0.329912	0.352621	0.350805	0.368591	0.301603	0.355158	0.330235	0.286057	0.311937	0.327497	0.360104	0.344264	0.356753
aod1-1	0.329425	0.311498	0.342972	0.343625	0.328939	0.326279	0.304737	0.334397	0.330575	0.330865	0.344108	0.312724	0.374161	0.337084	0.343168	0.356444	0.279548	0.315012	0.334608	0.315267
aod1	0.019036	0.016574	0.023717	0.024270	0.017727	0.018793	0.007319	0.002242	0.011023	0.009970	0.012241	0.005561	0.009502	0.003424	0.028556	0.022253	0.023974	0.022546	0.004828	0.020743
eod1-0	0.254902	0.312169	0.345550	0.348259	0.328042	0.331658	0.259259	0.298969	0.308108	0.316062	0.326829	0.270833	0.317949	0.289340	0.241026	0.281768	0.289216	0.324176	0.302885	0.320000
eod1-1	0.291312	0.276800	0.305031	0.306759	0.291262	0.287145	0.266010	0.290424	0.291803	0.290850	0.304505	0.271845	0.327703	0.294309	0.299689	0.318426	0.247191	0.274783	0.292154	0.274380
eod1	0.036410	0.035369	0.040518	0.041500	0.036780	0.044513	0.006751	0.008545	0.016305	0.025213	0.022325	0.001011	0.009754	0.004969	0.058664	0.036658	0.042025	0.049393	0.010731	0.045620
