accuracy	0.804545	0.803999	0.801201	0.802293	0.803112	0.808026	0.804818	0.800382	0.797106	0.803317	0.800996	0.803317	0.803112	0.802430	0.803794	0.808435	0.801952	0.806115	0.802361	0.805705
recall	0.634967	0.636373	0.635700	0.632895	0.638365	0.643737	0.642968	0.629714	0.632326	0.635482	0.635103	0.633632	0.637268	0.634394	0.642044	0.640299	0.634479	0.640189	0.636044	0.636007
precision	0.752562	0.757918	0.757864	0.755581	0.751132	0.765592	0.759163	0.761140	0.755534	0.752232	0.754867	0.744968	0.753004	0.750729	0.754465	0.769483	0.760988	0.772951	0.754704	0.768511
f1score	0.656536	0.658048	0.656732	0.653831	0.659927	0.666986	0.665376	0.649827	0.652102	0.656857	0.656010	0.654704	0.658777	0.655470	0.664077	0.663425	0.655546	0.662839	0.657318	0.658090
mcc	0.369256	0.375089	0.374124	0.368594	0.372816	0.390771	0.384978	0.368095	0.367770	0.369719	0.371125	0.361859	0.372717	0.367132	0.380239	0.388887	0.374686	0.391228	0.372295	0.382202
spd0-0	0.097886	0.096186	0.088205	0.101193	0.102707	0.096613	0.103548	0.085968	0.095398	0.099092	0.096614	0.103648	0.100373	0.101331	0.103215	0.086353	0.091432	0.092048	0.098404	0.089164
spd0-1	0.112883	0.113440	0.118424	0.108161	0.117689	0.117378	0.118772	0.109334	0.113806	0.114181	0.115200	0.112931	0.116061	0.112920	0.120983	0.115024	0.112916	0.112201	0.114900	0.109808
spd0	0.014997	0.017254	0.030219	0.006968	0.014982	0.020765	0.015223	0.023365	0.018408	0.015089	0.018586	0.009283	0.015688	0.011589	0.017767	0.028671	0.021484	0.020153	0.016496	0.020644
aod0-0	0.465259	0.459392	0.411876	0.460440	0.485123	0.474963	0.475942	0.416336	0.447824	0.472044	0.458246	0.469301	0.461798	0.472660	0.491540	0.449340	0.433657	0.460140	0.476529	0.433286
aod0-1	0.331681	0.332855	0.341372	0.320341	0.342210	0.346119	0.348768	0.316691	0.325920	0.333575	0.332730	0.333742	0.340112	0.329855	0.349980	0.337585	0.327907	0.329729	0.332371	0.325198
aod0	0.066789	0.063269	0.035252	0.070050	0.071457	0.064422	0.063587	0.049822	0.060952	0.069235	0.062758	0.067779	0.060843	0.071402	0.070780	0.055877	0.052875	0.065206	0.072079	0.054044
eod0-0	0.403131	0.402550	0.356736	0.396709	0.421550	0.416988	0.410208	0.363985	0.390424	0.412523	0.398482	0.402277	0.400000	0.407045	0.429098	0.399202	0.375969	0.408680	0.416667	0.380776
eod0-1	0.298776	0.299119	0.306601	0.291653	0.306005	0.314199	0.316878	0.286750	0.292508	0.297923	0.299171	0.298657	0.304953	0.297915	0.313046	0.305993	0.298286	0.301133	0.298428	0.296807
eod0	0.104355	0.103431	0.050136	0.105057	0.115545	0.102789	0.093330	0.077235	0.097915	0.114600	0.099311	0.103620	0.095047	0.109130	0.116051	0.093209	0.077683	0.107547	0.118239	0.083970
spd1-0	0.090690	0.091585	0.096728	0.095082	0.099331	0.095936	0.091125	0.092279	0.092619	0.091917	0.092272	0.093765	0.086328	0.092750	0.104965	0.092798	0.092664	0.093853	0.093023	0.085146
spd1-1	0.110731	0.110542	0.110457	0.107685	0.114977	0.113025	0.117567	0.103201	0.110334	0.112188	0.111919	0.112620	0.115108	0.111821	0.116765	0.107792	0.107941	0.107491	0.112082	0.106068
spd1	0.020041	0.018957	0.013730	0.012603	0.015646	0.017090	0.026443	0.010922	0.017714	0.020271	0.019647	0.018855	0.028780	0.019071	0.011800	0.014994	0.015276	0.013638	0.019059	0.020922
aod1-0	0.409518	0.391618	0.409025	0.395193	0.399744	0.400040	0.389793	0.379245	0.396449	0.402583	0.414297	0.406709	0.385946	0.397547	0.465042	0.416584	0.411280	0.422906	0.419318	0.351067
aod1-1	0.353676	0.354141	0.350918	0.345022	0.366778	0.367719	0.374188	0.331648	0.345019	0.356255	0.352132	0.357258	0.363586	0.354992	0.368899	0.351745	0.344008	0.348104	0.354662	0.346594
aod1	0.027921	0.018739	0.029054	0.025086	0.016483	0.016161	0.007802	0.023799	0.025715	0.023164	0.031082	0.024725	0.011180	0.021277	0.048072	0.032419	0.033636	0.037401	0.032328	0.002237
eod1-0	0.369085	0.345566	0.359621	0.346386	0.348974	0.349845	0.341935	0.335227	0.351852	0.355556	0.372308	0.356436	0.344828	0.350932	0.413462	0.374622	0.369565	0.381818	0.375000	0.308140
eod1-1	0.308673	0.312224	0.309568	0.304033	0.320749	0.327347	0.329810	0.294007	0.302828	0.311848	0.308051	0.310521	0.317395	0.310149	0.322933	0.313589	0.303594	0.311318	0.310613	0.309899
eod1	0.060412	0.033341	0.050054	0.042353	0.028225	0.022498	0.012125	0.041220	0.049024	0.043707	0.064257	0.045914	0.027432	0.040783	0.090529	0.061034	0.065972	0.070500	0.064387	0.001760
wcspd-00	0.072448	0.083851	0.090226	0.092902	0.089325	0.097977	0.080435	0.074034	0.087090	0.088296	0.086172	0.091006	0.080508	0.081053	0.087513	0.078390	0.069574	0.080338	0.086134	0.072572
wcspd-01	0.103735	0.099274	0.087719	0.103227	0.105840	0.096283	0.109002	0.088815	0.097542	0.101809	0.099324	0.106684	0.105209	0.106226	0.106944	0.088288	0.096824	0.094874	0.101372	0.093142
