accuracy	0.817239	0.815533	0.812462	0.821606	0.821606	0.826998	0.824541	0.813281	0.813895	0.824063	0.818535	0.820719	0.821265	0.819764	0.817034	0.817717	0.813281	0.823995	0.817785	0.818808
recall	0.677425	0.670503	0.677040	0.686256	0.688269	0.691731	0.690522	0.666322	0.687410	0.682425	0.676960	0.688619	0.678626	0.677054	0.679449	0.673397	0.674531	0.684686	0.674885	0.685012
precision	0.762694	0.768509	0.761451	0.776130	0.773122	0.787637	0.784514	0.772329	0.765174	0.783887	0.778613	0.763355	0.780285	0.774859	0.768529	0.771546	0.764752	0.791879	0.774489	0.769815
f1score	0.701549	0.695495	0.700423	0.711709	0.713113	0.718771	0.716952	0.691385	0.710313	0.709454	0.702965	0.711881	0.705125	0.702900	0.704038	0.698844	0.698582	0.712302	0.700524	0.709436
mcc	0.431779	0.427932	0.430290	0.453568	0.453522	0.469676	0.465644	0.425649	0.445853	0.455140	0.444087	0.445752	0.447510	0.441202	0.439032	0.433983	0.429918	0.464353	0.438196	0.446851
spd0-0	0.091320	0.100954	0.103807	0.104689	0.110147	0.104924	0.097323	0.094648	0.108006	0.089595	0.090215	0.112562	0.077976	0.090890	0.100348	0.090702	0.103965	0.086706	0.098609	0.112487
spd0-1	0.166871	0.149049	0.166159	0.162496	0.164663	0.158638	0.165040	0.145710	0.178290	0.156591	0.156387	0.170312	0.161021	0.157043	0.162948	0.154825	0.159207	0.157981	0.152074	0.163336
spd0	0.075552	0.048095	0.062352	0.057807	0.054516	0.053714	0.067717	0.051063	0.070284	0.066996	0.066172	0.057750	0.083045	0.066153	0.062600	0.064123	0.055242	0.071274	0.053465	0.050849
aod0-0	0.449284	0.488586	0.499283	0.496308	0.515034	0.499555	0.480550	0.473219	0.494144	0.462958	0.442735	0.519263	0.384242	0.461000	0.499593	0.482432	0.485256	0.461996	0.493404	0.527416
aod0-1	0.475904	0.433244	0.467706	0.474076	0.480517	0.472340	0.480872	0.417786	0.500408	0.459619	0.451230	0.496610	0.468906	0.453225	0.464771	0.443413	0.452713	0.458350	0.439232	0.472821
aod0	0.013310	0.027671	0.015788	0.011116	0.017259	0.013608	0.000161	0.027716	0.003132	0.001670	0.004247	0.011327	0.042332	0.003888	0.017411	0.019509	0.016271	0.001823	0.027086	0.027297
eod0-0	0.393346	0.429872	0.436433	0.433272	0.446125	0.434363	0.423440	0.417625	0.427256	0.414365	0.388994	0.447818	0.340000	0.407045	0.441989	0.431138	0.418605	0.417722	0.435606	0.458410
eod0-1	0.416383	0.385840	0.409901	0.425482	0.431174	0.432696	0.433622	0.374423	0.439739	0.412326	0.405307	0.438856	0.417910	0.404506	0.409886	0.392367	0.403098	0.413391	0.393777	0.422185
eod0	0.023037	0.044032	0.026532	0.007791	0.014951	0.001667	0.010182	0.043201	0.012483	0.002039	0.016312	0.008961	0.077910	0.002539	0.032103	0.038771	0.015506	0.004330	0.041829	0.036225
spd1-0	0.095031	0.096234	0.106352	0.105386	0.108405	0.104915	0.097295	0.108286	0.104679	0.086836	0.090398	0.115331	0.100793	0.106874	0.106856	0.113112	0.106178	0.107931	0.098353	0.109209
spd1-1	0.149444	0.139578	0.152207	0.149784	0.153038	0.147085	0.150407	0.132333	0.163831	0.142697	0.142035	0.157428	0.139329	0.139756	0.148030	0.137263	0.146570	0.138796	0.140122	0.152978
spd1	0.054412	0.043343	0.045854	0.044398	0.044633	0.042170	0.053112	0.024047	0.059152	0.055861	0.051637	0.042098	0.038535	0.032882	0.041174	0.024151	0.040393	0.030865	0.041770	0.043769
aod1-0	0.435324	0.452318	0.472117	0.471288	0.462548	0.484246	0.455752	0.469007	0.473609	0.430879	0.452478	0.525477	0.472778	0.485613	0.512319	0.517324	0.480497	0.518766	0.466388	0.469238
aod1-1	0.476168	0.444812	0.474666	0.482557	0.493957	0.482673	0.486576	0.424671	0.505251	0.464738	0.453462	0.501677	0.452677	0.452874	0.467853	0.442115	0.460686	0.453048	0.449594	0.487872
aod1	0.020422	0.003753	0.001275	0.005634	0.015704	0.000787	0.015412	0.022168	0.015821	0.016929	0.000492	0.011900	0.010051	0.016370	0.022233	0.037605	0.009905	0.032859	0.008397	0.009317
eod1-0	0.394322	0.412844	0.422713	0.424699	0.413490	0.439628	0.412903	0.423295	0.429012	0.396825	0.421538	0.468647	0.429467	0.437888	0.467949	0.468278	0.434783	0.478788	0.424342	0.418605
eod1-1	0.414860	0.390674	0.412963	0.426906	0.435596	0.432262	0.433945	0.376092	0.438735	0.414218	0.400995	0.437480	0.403271	0.401518	0.409672	0.390561	0.402416	0.407442	0.397759	0.428752
eod1	0.020538	0.022170	0.009750	0.002207	0.022107	0.007366	0.021041	0.047203	0.009723	0.017393	0.020544	0.031167	0.026196	0.036371	0.058276	0.077717	0.032366	0.071346	0.026583	0.010147
wcspd-00	0.069155	0.060041	0.095596	0.080376	0.089325	0.079872	0.069565	0.069742	0.076844	0.066735	0.055110	0.078158	0.057203	0.073684	0.064034	0.067797	0.071651	0.067653	0.070378	0.073639
wcspd-01	0.096416	0.111198	0.105779	0.110656	0.115022	0.110996	0.103873	0.100589	0.116045	0.095349	0.099324	0.120823	0.083032	0.095044	0.108971	0.096268	0.111936	0.091303	0.105437	0.121801
wcspd-10	0.115318	0.125738	0.115083	0.125743	0.123299	0.124894	0.118787	0.138423	0.129444	0.103275	0.121372	0.144287	0.135113	0.133731	0.140917	0.148118	0.136159	0.140084	0.122302	0.136438
wcspd-11	0.173822	0.152244	0.172893	0.167518	0.170294	0.163223	0.171389	0.146718	0.184381	0.163959	0.160978	0.173928	0.164620	0.160228	0.165968	0.155778	0.162153	0.160446	0.155900	0.167171
wcspd	0.104667	0.092203	0.077297	0.087142	0.080969	0.083351	0.101824	0.076975	0.107537	0.097224	0.105868	0.095770	0.107417	0.086544	0.101934	0.087981	0.090502	0.092793	0.085522	0.093532
wcaod-00	0.424123	0.381064	0.543226	0.468784	0.579349	0.526537	0.523498	0.442923	0.455551	0.421668	0.376589	0.490085	0.366705	0.400039	0.526833	0.507282	0.397477	0.449905	0.470522	0.476626
wcaod-01	0.453203	0.508691	0.492448	0.502231	0.507373	0.497106	0.476898	0.479109	0.502960	0.470538	0.456490	0.525723	0.388070	0.470684	0.499209	0.480070	0.498737	0.464376	0.498498	0.536687
wcaod-10	0.431764	0.477538	0.441741	0.470571	0.429903	0.470304	0.440955	0.477430	0.478909	0.430035	0.476805	0.539163	0.511372	0.505882	0.515424	0.527486	0.493675	0.539003	0.465218	0.469392
wcaod-11	0.481628	0.429400	0.471485	0.474678	0.486060	0.472435	0.484573	0.411412	0.503255	0.463607	0.449837	0.492493	0.464977	0.448667	0.460185	0.434671	0.449446	0.451059	0.437236	0.473046
wcaod	0.028752	0.063814	0.050743	0.016723	0.074723	0.028116	0.041272	0.033849	0.023852	0.024435	0.050108	0.024539	0.072334	0.052921	0.033324	0.046407	0.050630	0.044549	0.030631	0.033647
wceod-00	0.375000	0.346154	0.478261	0.419753	0.523077	0.478261	0.483871	0.400000	0.409639	0.381579	0.346154	0.439394	0.333333	0.347826	0.491525	0.469697	0.344262	0.410959	0.428571	0.428571
wceod-01	0.395604	0.443737	0.430131	0.435622	0.435345	0.427617	0.415418	0.420354	0.430435	0.419700	0.396437	0.449024	0.341053	0.416290	0.435950	0.425287	0.428571	0.418750	0.436681	0.462343
wceod-10	0.398467	0.433735	0.407258	0.426295	0.387681	0.429134	0.395161	0.429078	0.435685	0.401674	0.445344	0.476793	0.459016	0.462451	0.462451	0.467925	0.455939	0.498054	0.423077	0.416370
wceod-11	0.418128	0.381428	0.410137	0.425406	0.435640	0.433028	0.437091	0.368823	0.440085	0.413269	0.401734	0.435484	0.414201	0.399118	0.404998	0.385011	0.398125	0.405464	0.391289	0.422791
wceod	0.043128	0.097583	0.071003	0.015869	0.135396	0.050644	0.088710	0.060255	0.030446	0.038121	0.099190	0.041309	0.125683	0.114625	0.086527	0.084686	0.111676	0.092590	0.045393	0.045973
