accuracy	0.783333	0.776667	0.733333	0.753333	0.736667	0.776667	0.720000	0.796667	0.780000	0.783333	0.750000	0.753333	0.726667	0.743333	0.753333	0.750000	0.770000	0.733333	0.750000	0.763333
recall	0.698598	0.648718	0.634404	0.639398	0.633157	0.656131	0.624661	0.688329	0.668254	0.660718	0.643009	0.653970	0.623661	0.622458	0.655944	0.634824	0.658340	0.625836	0.645221	0.657045
precision	0.739280	0.757746	0.717457	0.694599	0.716766	0.726929	0.712724	0.763027	0.772167	0.741611	0.750000	0.751984	0.702381	0.656470	0.736818	0.724837	0.764052	0.686725	0.739172	0.710041
f1score	0.712385	0.665396	0.641234	0.651797	0.640773	0.672846	0.626667	0.708483	0.686232	0.679060	0.652343	0.665078	0.628870	0.632019	0.668142	0.645284	0.673661	0.634503	0.655705	0.670885
mcc	0.435984	0.391568	0.341918	0.329404	0.339788	0.376461	0.325690	0.445133	0.427987	0.394113	0.378166	0.393945	0.316397	0.276847	0.384345	0.348215	0.408950	0.306573	0.372735	0.363241
spd0-0	0.740385	0.863636	0.831461	0.807692	0.835052	0.840426	0.781609	0.764706	0.826923	0.737374	0.798165	0.800000	0.819048	0.783505	0.800000	0.821053	0.802326	0.714286	0.858696	0.793478
spd0-1	0.806122	0.863208	0.838863	0.831633	0.842365	0.834951	0.868545	0.851163	0.857143	0.895522	0.884817	0.860000	0.851282	0.827586	0.839024	0.863415	0.869159	0.875598	0.836538	0.822115
spd0	0.065738	0.000429	0.007402	0.023940	0.007313	0.005474	0.086935	0.086457	0.030220	0.158149	0.086652	0.060000	0.032234	0.044081	0.039024	0.042362	0.066833	0.161312	0.022157	0.028637
aod0-0	1.400000	1.590476	1.561179	1.535948	1.611058	1.559151	1.521622	1.394737	1.548644	1.378788	1.539337	1.517361	1.523450	1.453854	1.515537	1.561905	1.550140	1.353571	1.680213	1.466420
aod0-1	1.380837	1.607479	1.592555	1.517007	1.572798	1.518806	1.650897	1.525568	1.572115	1.626745	1.668347	1.601683	1.640690	1.542353	1.557471	1.616643	1.586993	1.664474	1.523644	1.507215
aod0	0.009582	0.008501	0.015688	0.009470	0.019130	0.020172	0.064638	0.065416	0.011736	0.123979	0.064505	0.042161	0.058620	0.044249	0.020967	0.027369	0.018426	0.155451	0.078285	0.020398
eod0-0	0.861538	0.983333	0.948276	0.897059	0.892308	0.938462	0.900000	0.894737	0.969697	0.833333	0.952381	0.906250	0.955882	0.867647	0.932203	0.933333	0.921569	0.839286	0.962264	0.918033
eod0-1	0.912752	0.935065	0.916084	0.904762	0.942029	0.915033	0.938776	0.943750	0.937500	0.973684	0.942857	0.956522	0.902985	0.882353	0.924138	0.932432	0.955414	0.927632	0.927152	0.896104
eod0	0.051213	0.048268	0.032192	0.007703	0.049721	0.023429	0.038776	0.049013	0.032197	0.140351	0.009524	0.050272	0.052897	0.014706	0.008065	0.000901	0.033845	0.088346	0.035112	0.021929
spd1-0	0.711864	0.789474	0.872340	0.821429	0.803279	0.692308	0.760000	0.791667	0.822581	0.810345	0.872727	0.781250	0.754098	0.785714	0.826923	0.847826	0.795918	0.769231	0.877193	0.673913
spd1-1	0.800830	0.880658	0.830040	0.823770	0.849372	0.866935	0.860000	0.833333	0.852941	0.851240	0.848980	0.855932	0.861925	0.819672	0.826613	0.850394	0.860558	0.838710	0.835391	0.838583
spd1	0.088965	0.091185	0.042301	0.002342	0.046094	0.174628	0.100000	0.041667	0.030361	0.040895	0.023748	0.074682	0.107826	0.033958	0.000310	0.002568	0.064639	0.069479	0.041802	0.164670
aod1-0	1.406682	1.534091	1.712963	1.550498	1.604301	1.331334	1.551948	1.572174	1.522648	1.566176	1.726667	1.483077	1.495690	1.542857	1.548644	1.647173	1.642857	1.411765	1.740741	1.323810
aod1-1	1.384398	1.617091	1.552452	1.520089	1.562912	1.603892	1.624762	1.448958	1.569934	1.532796	1.567197	1.602320	1.625064	1.490545	1.541505	1.585711	1.566176	1.591488	1.533983	1.525164
aod1	0.011142	0.041500	0.080256	0.015205	0.020694	0.136279	0.036407	0.061608	0.023643	0.016690	0.079735	0.059621	0.064687	0.026156	0.003570	0.030731	0.038340	0.089862	0.103379	0.100677
eod1-0	0.870968	0.909091	0.962963	0.918919	0.870968	0.896552	0.909091	0.920000	0.951220	0.941176	0.966667	0.923077	0.875000	0.828571	0.969697	0.962963	1.000000	0.911765	1.000000	0.800000
eod1-1	0.901639	0.955801	0.919540	0.898876	0.936047	0.925926	0.931429	0.932292	0.946746	0.929348	0.942197	0.944785	0.929412	0.887097	0.918129	0.928177	0.941176	0.902299	0.925287	0.915789
eod1	0.030672	0.046710	0.043423	0.020043	0.065079	0.029374	0.022338	0.012292	0.004474	0.011829	0.024470	0.021708	0.054412	0.058525	0.051568	0.034786	0.058824	0.009466	0.074713	0.115789
wcspd-00	0.676471	0.862069	0.809524	0.850000	0.794118	0.720000	0.689655	0.772727	0.848485	0.718750	0.857143	0.742857	0.774194	0.764706	0.758621	0.851852	0.787879	0.705882	0.852941	0.681818
wcspd-01	0.771429	0.864407	0.838235	0.781250	0.857143	0.884058	0.827586	0.761905	0.816901	0.746269	0.777778	0.830769	0.837838	0.793651	0.818182	0.808824	0.811321	0.719298	0.862069	0.828571
wcspd-10	0.760000	0.714286	0.923077	0.750000	0.814815	0.666667	0.857143	0.807692	0.793103	0.923077	0.888889	0.827586	0.733333	0.818182	0.913043	0.842105	0.812500	0.888889	0.913043	0.666667
wcspd-11	0.812865	0.885870	0.827027	0.838889	0.846591	0.860335	0.869792	0.857143	0.868263	0.891429	0.884146	0.865497	0.872727	0.828729	0.829670	0.865591	0.873737	0.874346	0.827027	0.842391
wcspd	0.136395	0.171584	0.113553	0.100000	0.063025	0.217391	0.180136	0.095238	0.075160	0.204327	0.111111	0.122640	0.139394	0.064023	0.154423	0.056768	0.085859	0.183007	0.086016	0.175725
wcaod-00	1.368056	1.636364	1.583333	1.653333	1.597222	1.319444	1.464646	1.512821	1.583333	1.437500	1.702564	1.370629	1.558333	1.522807	1.475962	1.683333	1.666667	1.318681	1.750000	1.333333
wcaod-01	1.401361	1.564426	1.547431	1.455150	1.612245	1.659184	1.581646	1.330144	1.532479	1.388235	1.473485	1.600414	1.486074	1.326531	1.538928	1.498551	1.468864	1.374026	1.632928	1.510204
wcaod-10	1.433333	1.415385	1.818182	1.166667	1.616667	1.351648	1.709091	1.642857	1.455556	1.819444	1.750000	1.607843	1.438914	1.541667	1.666667	1.571429	1.571429	1.600000	1.714286	1.314685
wcaod-11	1.369907	1.638529	1.555373	1.548148	1.554993	1.580952	1.637605	1.500165	1.594711	1.587368	1.653949	1.598678	1.685363	1.542303	1.543692	1.626471	1.592703	1.670863	1.498519	1.535708
wcaod	0.032639	0.111572	0.135375	0.243333	0.030837	0.169870	0.122222	0.156357	0.069578	0.215605	0.138258	0.118607	0.123225	0.107886	0.095353	0.092391	0.098901	0.176091	0.125741	0.110512
wceod-00	0.812500	1.000000	0.916667	0.920000	0.875000	0.875000	0.909091	0.846154	1.000000	0.937500	0.933333	0.909091	0.933333	0.789474	0.937500	0.933333	1.000000	0.857143	1.000000	0.833333
wceod-01	0.877551	0.976190	0.956522	0.883721	0.897959	0.959184	0.897436	0.909091	0.955556	0.800000	0.958333	0.904762	0.962264	0.897959	0.930233	0.933333	0.897436	0.828571	0.948718	0.938776
wceod-10	0.933333	0.800000	1.000000	0.916667	0.866667	0.923077	0.909091	1.000000	0.900000	0.944444	1.000000	0.941176	0.823529	0.875000	1.000000	1.000000	1.000000	1.000000	1.000000	0.769231
wceod-11	0.910448	0.949640	0.906250	0.903704	0.951220	0.914286	0.941176	0.939189	0.943548	0.977612	0.936000	0.958678	0.914530	0.883212	0.914062	0.926471	0.952703	0.920863	0.918519	0.907801
wceod	0.120833	0.200000	0.093750	0.036279	0.084553	0.084184	0.043741	0.153846	0.100000	0.177612	0.066667	0.053916	0.138735	0.108485	0.085938	0.073529	0.102564	0.171429	0.081481	0.169545
