accuracy	0.823313	0.816010	0.811438	0.809800	0.813963	0.815806	0.819559	0.810824	0.801406	0.814918	0.815737	0.817785	0.815533	0.818808	0.818331	0.825769	0.813417	0.815191	0.818058	0.814714
recall	0.667776	0.625647	0.633195	0.609577	0.624247	0.623423	0.659066	0.622276	0.600825	0.620831	0.633476	0.636599	0.633946	0.646817	0.646550	0.674344	0.626619	0.630790	0.641507	0.623834
precision	0.792277	0.851824	0.814695	0.859844	0.835854	0.856643	0.801692	0.842031	0.872107	0.850621	0.839361	0.809380	0.821563	0.809555	0.815613	0.800242	0.846374	0.848748	0.825383	0.853525
f1score	0.695933	0.647639	0.655986	0.625167	0.645636	0.644739	0.686654	0.642089	0.610315	0.641388	0.657193	0.661702	0.657933	0.673463	0.673085	0.703396	0.648118	0.653660	0.667339	0.644964
mcc	0.442886	0.420503	0.409468	0.397143	0.408553	0.419609	0.438127	0.409009	0.387390	0.411660	0.425660	0.411149	0.415077	0.426371	0.430131	0.457583	0.418843	0.427144	0.429158	0.418465
spd0-0	0.066694	0.036070	0.045351	0.030852	0.043604	0.035944	0.063706	0.036784	0.028157	0.037572	0.042940	0.049129	0.045624	0.051791	0.053451	0.068751	0.038011	0.041915	0.049918	0.034675
spd0-1	0.142229	0.086377	0.104408	0.072822	0.086611	0.082825	0.129754	0.087426	0.065191	0.081354	0.095626	0.105097	0.100600	0.116605	0.113408	0.144646	0.089413	0.090640	0.105376	0.085338
spd0	0.075535	0.050307	0.059057	0.041970	0.043007	0.046881	0.066048	0.050642	0.037034	0.043782	0.052687	0.055968	0.054976	0.064814	0.059958	0.075894	0.051402	0.048725	0.055458	0.050664
aod0-0	0.382037	0.259787	0.295526	0.231120	0.307657	0.266070	0.381469	0.270265	0.216293	0.280465	0.303063	0.303212	0.282777	0.332645	0.348544	0.410286	0.273120	0.297954	0.335613	0.255589
aod0-1	0.418776	0.273488	0.310859	0.232339	0.269166	0.263135	0.382545	0.267498	0.206693	0.257668	0.293216	0.322424	0.309689	0.347632	0.339469	0.425582	0.275331	0.281170	0.319020	0.268439
