accuracy	0.824000	0.817333	0.822667	0.828000	0.815222	0.814556	0.816778	0.813333	0.821333	0.816222	0.819333	0.818000	0.822667	0.818444	0.812778	0.821222	0.823444	0.814667	0.813333	0.816000
recall	0.656610	0.648643	0.667248	0.674780	0.638741	0.687400	0.652186	0.671807	0.651304	0.642564	0.665475	0.668414	0.662963	0.638167	0.649573	0.656008	0.661095	0.663951	0.661320	0.666883
precision	0.756963	0.754793	0.758815	0.753696	0.764171	0.738049	0.757563	0.730054	0.768790	0.748954	0.754869	0.752277	0.764647	0.766351	0.756405	0.762547	0.767504	0.734267	0.753164	0.729297
f1score	0.682352	0.673287	0.692468	0.699144	0.662978	0.705485	0.676961	0.691204	0.677539	0.666526	0.689941	0.692179	0.689024	0.663042	0.673596	0.681835	0.687586	0.685330	0.685042	0.687139
mcc	0.401214	0.389220	0.416107	0.421146	0.382890	0.422423	0.395967	0.397617	0.403331	0.376785	0.410729	0.412248	0.415344	0.383671	0.391670	0.404768	0.415179	0.391961	0.404181	0.391234
spd0-0	0.111252	0.104305	0.119469	0.122277	0.096486	0.147894	0.109284	0.137716	0.105021	0.100317	0.118483	0.123280	0.109131	0.093010	0.110843	0.103385	0.110701	0.133530	0.120535	0.130306
spd0-1	0.125288	0.128227	0.140380	0.149562	0.110743	0.190806	0.128401	0.171356	0.116194	0.125103	0.146341	0.152126	0.139812	0.108853	0.126214	0.135263	0.129330	0.148127	0.145439	0.163037
spd0	0.014036	0.023922	0.020911	0.027285	0.014257	0.042912	0.019118	0.033640	0.011173	0.024786	0.027859	0.028846	0.030680	0.015843	0.015370	0.031879	0.018629	0.014597	0.024904	0.032731
aod0-0	0.406482	0.383568	0.439067	0.455302	0.352348	0.502309	0.400561	0.480151	0.387370	0.364669	0.422091	0.431870	0.399919	0.346952	0.395399	0.386069	0.416175	0.452286	0.420557	0.453811
aod0-1	0.419384	0.405900	0.447100	0.483509	0.363353	0.579214	0.402714	0.515957	0.386190	0.402322	0.469066	0.485109	0.454609	0.360541	0.396827	0.432367	0.415012	0.476916	0.453794	0.509473
aod0	0.006451	0.011166	0.004016	0.014103	0.005502	0.038453	0.001077	0.017903	0.000590	0.018826	0.023488	0.026619	0.027345	0.006794	0.000714	0.023149	0.000581	0.012315	0.016619	0.027831
eod0-0	0.360384	0.340483	0.391725	0.401304	0.317406	0.429453	0.358555	0.415044	0.347258	0.322552	0.371806	0.377720	0.355615	0.311446	0.351993	0.345324	0.373656	0.386165	0.371168	0.389646
eod0-1	0.365239	0.350738	0.383450	0.417163	0.316647	0.487265	0.344509	0.424207	0.341121	0.346065	0.405436	0.419026	0.398870	0.318339	0.341190	0.375847	0.362302	0.407674	0.388128	0.426170
eod0	0.004855	0.010255	0.008275	0.015860	0.000759	0.057811	0.014047	0.009163	0.006137	0.023513	0.033630	0.041306	0.043255	0.006893	0.010804	0.030523	0.011353	0.021509	0.016960	0.036525
spd1-0	0.110717	0.107483	0.123090	0.125735	0.096703	0.157811	0.111464	0.146201	0.102351	0.105359	0.123062	0.126349	0.115112	0.095040	0.111844	0.110028	0.111667	0.134695	0.126676	0.136408
spd1-1	0.175545	0.176399	0.174603	0.204327	0.158025	0.235018	0.169927	0.197619	0.179087	0.164894	0.197775	0.216981	0.185644	0.142506	0.169136	0.179067	0.183623	0.188630	0.167920	0.213930
spd1	0.064828	0.068916	0.051513	0.078592	0.061321	0.077207	0.058462	0.051418	0.076736	0.059535	0.074713	0.090632	0.070531	0.047466	0.057292	0.069039	0.071956	0.053936	0.041243	0.077522
aod1-0	0.400188	0.380197	0.431294	0.451362	0.343356	0.522862	0.393042	0.482431	0.369653	0.370539	0.428921	0.432839	0.413093	0.345480	0.387182	0.391286	0.402691	0.455921	0.426381	0.463630
aod1-1	0.510991	0.502135	0.531187	0.594059	0.464918	0.636473	0.468569	0.604361	0.526925	0.472041	0.553797	0.643046	0.516818	0.413541	0.474499	0.528692	0.529368	0.520291	0.497419	0.596217
aod1	0.055401	0.060969	0.049947	0.071349	0.060781	0.056806	0.037763	0.060965	0.078636	0.050751	0.062438	0.105104	0.051862	0.034030	0.043659	0.068703	0.063339	0.032185	0.035519	0.066294
eod1-0	0.354614	0.336149	0.379155	0.395969	0.305339	0.445999	0.347680	0.409983	0.330704	0.325028	0.376471	0.378721	0.368184	0.309348	0.342703	0.346652	0.360537	0.390160	0.371228	0.396161
eod1-1	0.423963	0.415179	0.461187	0.500000	0.407725	0.520000	0.389121	0.500000	0.452174	0.398104	0.463519	0.536697	0.425439	0.353712	0.386364	0.457014	0.436620	0.434211	0.436123	0.479070
eod1	0.069349	0.079030	0.082032	0.104031	0.102386	0.074001	0.041441	0.090017	0.121470	0.073076	0.087049	0.157976	0.057254	0.044363	0.043661	0.110362	0.076083	0.044050	0.064895	0.082909
wcspd-00	0.103539	0.095975	0.113458	0.113370	0.087855	0.137550	0.102149	0.130039	0.094903	0.092642	0.111065	0.112463	0.100769	0.087020	0.102825	0.095552	0.102829	0.127049	0.115408	0.122499
wcspd-01	0.173203	0.172589	0.168350	0.195286	0.166951	0.230769	0.168654	0.198686	0.184943	0.169145	0.179620	0.207516	0.179130	0.141653	0.177281	0.172414	0.176776	0.191882	0.164336	0.196837
wcspd-10	0.121547	0.124212	0.136974	0.143983	0.109182	0.186718	0.125265	0.169726	0.113106	0.123284	0.139807	0.145895	0.135543	0.106497	0.124704	0.131006	0.124440	0.145846	0.143288	0.156558
wcspd-11	0.182243	0.186147	0.191111	0.226891	0.134529	0.245059	0.173160	0.194805	0.162896	0.154206	0.243478	0.241525	0.201717	0.144796	0.148472	0.194215	0.200873	0.181034	0.176991	0.255319
wcspd	0.078704	0.090172	0.077654	0.113520	0.079096	0.107510	0.071011	0.068647	0.090040	0.076502	0.132414	0.129062	0.100948	0.057777	0.074455	0.098663	0.098045	0.064833	0.061583	0.132820
wcaod-00	0.390060	0.364711	0.423450	0.435422	0.328838	0.480562	0.391383	0.461707	0.360249	0.345548	0.410553	0.402327	0.381739	0.336517	0.379343	0.365498	0.398817	0.436858	0.408865	0.440579
wcaod-01	0.523854	0.507816	0.546143	0.594547	0.498811	0.645056	0.465865	0.615339	0.557102	0.500183	0.504666	0.638425	0.528614	0.418606	0.512661	0.529417	0.547190	0.556816	0.503759	0.552477
wcaod-10	0.414811	0.400109	0.442747	0.472980	0.362698	0.575881	0.397317	0.511600	0.381980	0.402399	0.452609	0.471688	0.452261	0.357375	0.398370	0.424204	0.408838	0.480962	0.450890	0.494447
wcaod-11	0.481777	0.488772	0.504608	0.588975	0.375393	0.618978	0.474977	0.577132	0.447358	0.408125	0.664381	0.655992	0.498585	0.400458	0.383771	0.529279	0.501569	0.448577	0.483481	0.696701
wcaod	0.066897	0.071553	0.061346	0.079563	0.084986	0.082247	0.041797	0.076816	0.098426	0.077318	0.126914	0.126833	0.073438	0.041044	0.066659	0.081960	0.074187	0.059979	0.047447	0.128061
wceod-00	0.348744	0.325339	0.377913	0.386437	0.296112	0.412797	0.352882	0.401416	0.323829	0.306418	0.364476	0.354000	0.341916	0.304033	0.340820	0.327461	0.361310	0.372093	0.360874	0.381303
wceod-01	0.437086	0.431250	0.483221	0.496552	0.443787	0.527273	0.390805	0.510638	0.485030	0.428571	0.416149	0.536913	0.443709	0.356250	0.425806	0.462585	0.460432	0.477124	0.441558	0.442953
wceod-10	0.362637	0.348837	0.380711	0.407652	0.316981	0.485330	0.341250	0.420655	0.339218	0.347500	0.390875	0.409091	0.399752	0.315789	0.345036	0.369458	0.359606	0.413702	0.384807	0.414602
wceod-11	0.393939	0.375000	0.414286	0.506173	0.312500	0.505882	0.384615	0.473684	0.365079	0.328125	0.569444	0.536232	0.389610	0.347826	0.292308	0.445946	0.391892	0.346667	0.424658	0.560606
