accuracy	0.852009	0.848182	0.850521	0.856900	0.861152	0.853923	0.855837	0.849245	0.850308	0.857112	0.859451	0.847119	0.860302	0.854774	0.845843	0.869870	0.853073	0.857112	0.850096	0.857750
recall	0.608463	0.588623	0.632992	0.614372	0.676470	0.662275	0.656448	0.640035	0.633884	0.667871	0.625144	0.615323	0.667368	0.639367	0.646318	0.645284	0.627407	0.601515	0.624602	0.643054
precision	0.764818	0.794667	0.767226	0.775567	0.771712	0.748093	0.756776	0.759433	0.743324	0.760348	0.763568	0.749897	0.762246	0.771305	0.747850	0.785668	0.786211	0.767349	0.755792	0.759631
f1score	0.635393	0.609445	0.663049	0.643695	0.706861	0.689573	0.685958	0.669570	0.661844	0.696949	0.655673	0.641970	0.697128	0.670750	0.674115	0.680429	0.658483	0.627956	0.653116	0.673727
mcc	0.338957	0.323199	0.377036	0.355061	0.437945	0.401294	0.400859	0.381208	0.360983	0.418115	0.363231	0.339523	0.419007	0.388900	0.380867	0.407445	0.381917	0.329484	0.357056	0.385442
spd0-0	0.053661	0.034265	0.062500	0.053074	0.083295	0.076503	0.079301	0.062022	0.067524	0.081118	0.056646	0.059032	0.082843	0.067646	0.080289	0.056210	0.054067	0.043123	0.058716	0.068402
spd0-1	0.067492	0.054728	0.092376	0.068387	0.119936	0.125648	0.108863	0.107345	0.098971	0.120370	0.080455	0.081633	0.112670	0.090798	0.109413	0.087305	0.082316	0.064000	0.088783	0.096840
spd0	0.013831	0.020463	0.029876	0.015313	0.036641	0.049145	0.029562	0.045322	0.031447	0.039253	0.023809	0.022600	0.029827	0.023152	0.029124	0.031094	0.028249	0.020877	0.030068	0.028438
aod0-0	0.295884	0.198098	0.313007	0.284740	0.429555	0.403940	0.397849	0.332977	0.335334	0.418224	0.320227	0.320729	0.429787	0.356782	0.399473	0.362749	0.282533	0.236278	0.303513	0.387869
aod0-1	0.251210	0.211158	0.337393	0.269577	0.444088	0.434017	0.396659	0.367595	0.354276	0.430069	0.302731	0.280816	0.416307	0.335091	0.371628	0.338557	0.314515	0.251893	0.320329	0.344821
aod0	0.022337	0.006530	0.012193	0.007581	0.007266	0.015038	0.000595	0.017309	0.009471	0.005922	0.008748	0.019956	0.006740	0.010845	0.013923	0.012096	0.015991	0.007807	0.008408	0.021524
eod0-0	0.273063	0.185714	0.282143	0.261484	0.392226	0.369565	0.358423	0.305755	0.302158	0.378676	0.295455	0.295374	0.390511	0.330033	0.361111	0.340426	0.258182	0.216216	0.275735	0.357414
eod0-1	0.225000	0.194757	0.305302	0.246465	0.396947	0.373563	0.352601	0.321881	0.309478	0.380863	0.270161	0.243856	0.370370	0.298625	0.323049	0.306931	0.289855	0.228916	0.284112	0.303675
eod0	0.048063	0.009042	0.023159	0.015019	0.004720	0.003998	0.005822	0.016125	0.007319	0.002187	0.025293	0.051517	0.020141	0.031408	0.038062	0.033495	0.031673	0.012699	0.008377	0.053739
