accuracy	0.817222	0.812222	0.816556	0.822667	0.814667	0.810000	0.808000	0.814889	0.816333	0.811778	0.814778	0.813222	0.812778	0.815444	0.807222	0.814111	0.817667	0.812667	0.811556	0.817556
recall	0.653599	0.651429	0.658659	0.657846	0.656698	0.653372	0.650017	0.655594	0.656982	0.654616	0.656021	0.663760	0.654112	0.653640	0.652742	0.655730	0.660589	0.653577	0.661002	0.656983
precision	0.737460	0.736952	0.744978	0.745681	0.748456	0.737630	0.731536	0.738768	0.747571	0.729842	0.746257	0.741130	0.738888	0.744131	0.736939	0.740090	0.749037	0.732338	0.748011	0.735890
f1score	0.676576	0.673864	0.682109	0.682154	0.680354	0.675519	0.671461	0.678334	0.680763	0.676015	0.679509	0.685981	0.676694	0.677100	0.674498	0.678516	0.684508	0.675451	0.684004	0.679569
mcc	0.381961	0.378847	0.394299	0.393851	0.394626	0.381816	0.372742	0.385491	0.394281	0.377027	0.392027	0.397429	0.383748	0.387341	0.380476	0.386725	0.399963	0.377793	0.399651	0.384868
spd0-0	0.118126	0.116446	0.116704	0.115138	0.120097	0.116905	0.122624	0.119537	0.118816	0.120455	0.115119	0.129416	0.118226	0.114645	0.124930	0.120030	0.121771	0.120989	0.123832	0.118863
spd0-1	0.135945	0.141695	0.145414	0.134012	0.135046	0.149266	0.141440	0.141812	0.135841	0.151498	0.142231	0.149917	0.143134	0.137806	0.141193	0.141386	0.137151	0.144215	0.147698	0.144054
spd0	0.017819	0.025249	0.028710	0.018874	0.014949	0.032361	0.018816	0.022275	0.017025	0.031044	0.027112	0.020501	0.024908	0.023161	0.016262	0.021356	0.015380	0.023226	0.023866	0.025191
aod0-0	0.419664	0.409449	0.423921	0.424615	0.418853	0.404847	0.425035	0.426510	0.415055	0.422577	0.403012	0.441575	0.416660	0.408929	0.421369	0.425018	0.446708	0.419064	0.427163	0.418474
aod0-1	0.433200	0.437513	0.447341	0.430273	0.432110	0.458128	0.426232	0.438465	0.439208	0.463235	0.452849	0.472979	0.442218	0.433309	0.437079	0.438216	0.420103	0.452618	0.457562	0.462146
aod0	0.006768	0.014032	0.011710	0.002829	0.006628	0.026640	0.000598	0.005978	0.012077	0.020329	0.024918	0.015702	0.012779	0.012190	0.007855	0.006599	0.013302	0.016777	0.015199	0.021836
eod0-0	0.366492	0.354781	0.375880	0.372439	0.367747	0.350088	0.368874	0.373451	0.361184	0.366577	0.351542	0.380331	0.362745	0.358474	0.363020	0.369604	0.396057	0.362522	0.374482	0.361490
eod0-1	0.365239	0.371169	0.374126	0.369487	0.370198	0.388704	0.353757	0.367803	0.380841	0.384259	0.389581	0.405436	0.374011	0.369089	0.371493	0.372460	0.354402	0.380096	0.389269	0.393758
eod0	0.001253	0.016388	0.001754	0.002952	0.002450	0.038616	0.015116	0.005649	0.019657	0.017682	0.038039	0.025105	0.011266	0.010615	0.008473	0.002856	0.041656	0.017574	0.014787	0.032268
spd1-0	0.119770	0.121056	0.124435	0.117409	0.120269	0.124678	0.125886	0.125123	0.119368	0.127910	0.120498	0.130275	0.121704	0.119106	0.126496	0.123309	0.123871	0.125213	0.129359	0.122621
spd1-1	0.176755	0.180049	0.164835	0.173077	0.185185	0.179788	0.171149	0.159524	0.186298	0.188830	0.182942	0.208726	0.194307	0.171990	0.181481	0.182850	0.168734	0.183463	0.172932	0.192786
spd1	0.056985	0.058992	0.040400	0.055668	0.064917	0.055111	0.045263	0.034401	0.066930	0.060920	0.062444	0.078452	0.072603	0.052884	0.054986	0.059541	0.044863	0.058250	0.043574	0.070165
aod1-0	0.415913	0.410962	0.423643	0.416754	0.413522	0.416841	0.421161	0.423540	0.409302	0.430956	0.414732	0.436708	0.416233	0.409027	0.420274	0.418419	0.429181	0.425919	0.432517	0.424817
aod1-1	0.503734	0.509944	0.509155	0.506761	0.515840	0.509211	0.460468	0.498631	0.553012	0.519768	0.507406	0.613936	0.526225	0.499742	0.500000	0.531160	0.482056	0.495084	0.499117	0.543728
aod1	0.043911	0.049491	0.042756	0.045004	0.051159	0.046185	0.019653	0.037546	0.071855	0.044406	0.046337	0.088614	0.054996	0.045358	0.039863	0.056371	0.026438	0.034583	0.033300	0.059456
eod1-0	0.360418	0.354730	0.366197	0.363367	0.360957	0.357583	0.361096	0.365676	0.355493	0.368630	0.361345	0.377067	0.360877	0.354674	0.362703	0.360720	0.375629	0.365561	0.375000	0.367074
eod1-1	0.410138	0.419643	0.447489	0.429204	0.429185	0.436000	0.372385	0.419192	0.478261	0.421801	0.420601	0.509174	0.421053	0.427948	0.400000	0.452489	0.394366	0.403509	0.427313	0.441860
eod1	0.049720	0.064913	0.081291	0.065837	0.068228	0.078417	0.011289	0.053516	0.122768	0.053171	0.059256	0.132107	0.060176	0.073273	0.037297	0.091768	0.018737	0.037948	0.052313	0.074787
wcspd-00	0.112083	0.110010	0.111387	0.108441	0.111853	0.110207	0.117298	0.114534	0.109615	0.112953	0.109388	0.120017	0.110742	0.107788	0.118405	0.114086	0.118109	0.114344	0.119501	0.113219
wcspd-01	0.166667	0.169205	0.159933	0.170034	0.187394	0.170569	0.166951	0.159278	0.191489	0.187732	0.162349	0.202614	0.180870	0.170320	0.179002	0.172414	0.152513	0.180812	0.160839	0.166960
wcspd-10	0.131369	0.137114	0.143241	0.130646	0.132137	0.145325	0.138611	0.140536	0.133453	0.148992	0.136005	0.144714	0.137319	0.135271	0.138033	0.136676	0.132199	0.141064	0.143891	0.136241
wcspd-11	0.205607	0.207792	0.177778	0.180672	0.179372	0.201581	0.181818	0.160173	0.171946	0.191589	0.234783	0.224576	0.227468	0.176471	0.187773	0.206612	0.209607	0.189655	0.203540	0.255319
wcspd	0.093524	0.097782	0.066391	0.072231	0.075540	0.091374	0.064520	0.045639	0.081875	0.078635	0.125395	0.104559	0.116726	0.068682	0.069368	0.092526	0.091498	0.075311	0.084039	0.142100
wcaod-00	0.410521	0.396347	0.407295	0.411233	0.403174	0.390052	0.423202	0.416674	0.389334	0.406642	0.397759	0.415559	0.403467	0.395798	0.411248	0.410447	0.444728	0.405841	0.419593	0.409980
wcaod-01	0.488457	0.495316	0.534907	0.519115	0.523994	0.498145	0.446815	0.499636	0.573583	0.538494	0.446373	0.622842	0.513917	0.497272	0.498592	0.525089	0.466115	0.513635	0.482570	0.481687
wcaod-10	0.424524	0.429598	0.446547	0.425116	0.427611	0.450709	0.420885	0.434363	0.434719	0.462880	0.436579	0.463415	0.433378	0.427060	0.432387	0.429174	0.412377	0.453364	0.450839	0.444270
wcaod-11	0.540745	0.547624	0.461751	0.477078	0.494300	0.530252	0.496386	0.495765	0.498192	0.479375	0.644163	0.598021	0.556777	0.501907	0.503659	0.547136	0.521534	0.461316	0.537022	0.687466
wcaod	0.065112	0.075638	0.063806	0.053941	0.060410	0.070100	0.037750	0.041481	0.092124	0.065926	0.123202	0.103642	0.076655	0.053055	0.046205	0.068345	0.054579	0.053897	0.058715	0.138743
