accuracy	0.824778	0.817333	0.819889	0.787444	0.815444	0.818667	0.817222	0.816889	0.821111	0.817889	0.817556	0.774222	0.820667	0.820889	0.812667	0.816778	0.820111	0.820000	0.815778	0.817222
recall	0.662527	0.657750	0.677483	0.500000	0.653711	0.682416	0.664886	0.664303	0.663614	0.649991	0.676132	0.500000	0.672511	0.658931	0.650348	0.675506	0.664479	0.664822	0.658381	0.663906
precision	0.755960	0.749094	0.746280	0.393722	0.752738	0.748860	0.751027	0.740861	0.758618	0.749895	0.745103	0.387111	0.752820	0.758332	0.755422	0.739948	0.754315	0.748270	0.763216	0.732936
f1score	0.688000	0.681780	0.699470	0.440542	0.677919	0.703976	0.688689	0.686824	0.688833	0.674366	0.697909	0.436373	0.696251	0.684290	0.674308	0.696411	0.689048	0.688623	0.683370	0.685308
mcc	0.407923	0.396457	0.418141	0.000000	0.394202	0.426127	0.406894	0.397866	0.411405	0.387206	0.415550	0.000000	0.417681	0.405250	0.391930	0.410426	0.409045	0.404576	0.408355	0.390793
spd0-0	0.115412	0.114606	0.134034	0.000000	0.115449	0.135647	0.123904	0.123944	0.116424	0.104233	0.134367	0.000000	0.124350	0.111686	0.112882	0.132606	0.120664	0.125231	0.115772	0.126615
spd0-1	0.133353	0.141134	0.162752	0.000000	0.128970	0.174467	0.144841	0.153067	0.138647	0.134451	0.164155	0.000000	0.155869	0.134187	0.126214	0.172001	0.139944	0.139463	0.131319	0.154383
spd0	0.017940	0.026527	0.028718	0.000000	0.013521	0.038820	0.020938	0.029123	0.022223	0.030219	0.029787	0.000000	0.031519	0.022501	0.013331	0.039395	0.019280	0.014233	0.015547	0.027768
aod0-0	0.420107	0.412428	0.473667	0.000000	0.406755	0.473861	0.444865	0.443829	0.419031	0.376905	0.468651	0.000000	0.443444	0.405846	0.401674	0.470174	0.440668	0.439846	0.410882	0.442412
aod0-1	0.444016	0.443629	0.510032	0.000000	0.416123	0.539712	0.447910	0.471781	0.450092	0.433706	0.512611	0.000000	0.494196	0.435616	0.396073	0.522129	0.438965	0.456438	0.418939	0.489830
aod0	0.011954	0.015600	0.018182	0.000000	0.004684	0.032925	0.001523	0.013976	0.015530	0.028400	0.021980	0.000000	0.025376	0.014885	0.002801	0.025978	0.000852	0.008296	0.004029	0.023709
eod0-0	0.371728	0.361930	0.413732	0.000000	0.359215	0.411817	0.393809	0.389381	0.370757	0.332435	0.407930	0.000000	0.388592	0.359361	0.357082	0.409173	0.389785	0.383538	0.366197	0.380563
eod0-1	0.385390	0.381385	0.432401	0.000000	0.358556	0.460687	0.379191	0.394830	0.391355	0.373843	0.434881	0.000000	0.425989	0.379469	0.340067	0.436795	0.376975	0.394484	0.364155	0.414166
eod0	0.013663	0.019454	0.018669	0.000000	0.000659	0.048870	0.014618	0.005449	0.020598	0.041408	0.026952	0.000000	0.037397	0.020108	0.017015	0.027622	0.012810	0.010947	0.002042	0.033603
spd1-0	0.115366	0.119834	0.140447	0.000000	0.114896	0.144803	0.126253	0.131618	0.117777	0.111542	0.139299	0.000000	0.129272	0.115441	0.113797	0.140612	0.122285	0.125334	0.118508	0.130796
spd1-1	0.191283	0.177616	0.195360	0.000000	0.181481	0.212691	0.190709	0.172619	0.198317	0.170213	0.218789	0.000000	0.215347	0.173219	0.162963	0.228247	0.189826	0.189922	0.156642	0.207711
spd1	0.075917	0.057782	0.054913	0.000000	0.066585	0.067888	0.064456	0.041001	0.080541	0.058671	0.079489	0.000000	0.086074	0.057778	0.049166	0.087635	0.067542	0.064588	0.038134	0.076916
