accuracy	0.860392	0.854706	0.861234	0.854075	0.858707	0.864182	0.864393	0.839966	0.862076	0.856391	0.866498	0.860181	0.861023	0.858918	0.863129	0.861234	0.860392	0.861655	0.862287	0.851969
recall	0.644903	0.709902	0.654503	0.632336	0.672452	0.667039	0.643800	0.720790	0.658558	0.662306	0.666153	0.659320	0.689920	0.663052	0.697849	0.673985	0.667315	0.648518	0.657404	0.697589
precision	0.774741	0.746356	0.782732	0.782825	0.757094	0.780906	0.790460	0.719092	0.810716	0.756481	0.790287	0.784284	0.768864	0.778071	0.756114	0.769112	0.792856	0.775165	0.769666	0.743325
f1score	0.677571	0.725374	0.688150	0.663966	0.700416	0.700250	0.678531	0.719934	0.695183	0.691285	0.701033	0.692896	0.717494	0.695506	0.720408	0.704237	0.701661	0.681422	0.689420	0.715994
mcc	0.399053	0.454799	0.418010	0.386925	0.421124	0.433230	0.408746	0.439879	0.443921	0.408060	0.439237	0.425639	0.451941	0.425864	0.450208	0.432765	0.442716	0.404311	0.412052	0.438535
spd0-0	0.058901	0.105846	0.067819	0.052326	0.091787	0.074542	0.053351	0.148181	0.064703	0.079143	0.065495	0.068554	0.091474	0.073237	0.093333	0.079697	0.064719	0.063208	0.068589	0.105713
spd0-1	0.099030	0.173826	0.100247	0.091126	0.116909	0.107943	0.092705	0.196921	0.096491	0.117384	0.108327	0.106109	0.134561	0.110367	0.147277	0.121055	0.116482	0.098574	0.106911	0.159937
spd0	0.040129	0.067980	0.032428	0.038801	0.025122	0.033401	0.039354	0.048740	0.031788	0.038241	0.042832	0.037556	0.043087	0.037130	0.053944	0.041357	0.051763	0.035366	0.038322	0.054224
aod0-0	0.336721	0.517194	0.376194	0.294300	0.460747	0.407359	0.323223	0.632163	0.369791	0.399569	0.402893	0.371469	0.473789	0.391809	0.471897	0.432972	0.351852	0.337337	0.387319	0.480951
aod0-1	0.366432	0.587519	0.373354	0.335011	0.427072	0.406823	0.352245	0.644750	0.367525	0.423177	0.397858	0.395158	0.481390	0.406303	0.532924	0.437267	0.430480	0.377817	0.391547	0.558075
aod0	0.014856	0.035162	0.001420	0.020356	0.016837	0.000268	0.014511	0.006293	0.001133	0.011804	0.002517	0.011844	0.003800	0.007247	0.030514	0.002147	0.039314	0.020240	0.002114	0.038562
eod0-0	0.316498	0.463415	0.351792	0.277228	0.419672	0.380645	0.303704	0.547771	0.350649	0.363333	0.383275	0.346405	0.432526	0.366559	0.426621	0.402685	0.328947	0.310811	0.359431	0.425743
eod0-1	0.323944	0.502825	0.333996	0.299242	0.374494	0.362525	0.319149	0.533865	0.337037	0.371542	0.353516	0.354528	0.425891	0.359768	0.466258	0.383104	0.388582	0.340081	0.346535	0.481766
eod0	0.007445	0.039410	0.017796	0.022015	0.045178	0.018120	0.015445	0.013906	0.013612	0.008208	0.029760	0.008123	0.006635	0.006792	0.039637	0.019580	0.059635	0.029270	0.012896	0.056023
spd1-0	0.071563	0.128892	0.080000	0.068040	0.094448	0.073016	0.075047	0.146914	0.065096	0.084703	0.083589	0.071834	0.104965	0.077538	0.109848	0.095415	0.084171	0.070891	0.072975	0.125857
spd1-1	0.083967	0.147948	0.086694	0.075310	0.109994	0.101134	0.073333	0.187280	0.089923	0.106094	0.090006	0.096458	0.118746	0.101152	0.126382	0.104625	0.096294	0.086846	0.096424	0.138995
spd1	0.012404	0.019056	0.006694	0.007270	0.015546	0.028118	0.001714	0.040367	0.024827	0.021391	0.006417	0.024624	0.013781	0.023614	0.016534	0.009210	0.012123	0.015955	0.023449	0.013138
aod1-0	0.361172	0.551242	0.406061	0.305128	0.416218	0.350838	0.386599	0.588667	0.317158	0.375989	0.412488	0.377263	0.462677	0.369211	0.495061	0.430028	0.384394	0.368541	0.361087	0.551345
aod1-1	0.349459	0.560568	0.359685	0.321594	0.447393	0.425014	0.321548	0.656147	0.386367	0.426235	0.389040	0.387725	0.481810	0.411722	0.512178	0.433509	0.405844	0.358938	0.398480	0.517829
aod1	0.005857	0.004663	0.023188	0.008233	0.015588	0.037088	0.032526	0.033740	0.034605	0.025123	0.011724	0.005231	0.009566	0.021256	0.008559	0.001741	0.010725	0.004802	0.018697	0.016758
eod1-0	0.333333	0.480176	0.372727	0.271552	0.368421	0.316279	0.356164	0.497758	0.291667	0.331839	0.378723	0.348837	0.411017	0.338710	0.440529	0.384937	0.349398	0.339535	0.328829	0.484581
eod1-1	0.316254	0.492386	0.328814	0.298831	0.401051	0.389078	0.297535	0.554806	0.361842	0.382504	0.358156	0.352459	0.435154	0.372414	0.455856	0.392606	0.374582	0.325217	0.359929	0.452261
eod1	0.017079	0.012210	0.043914	0.027280	0.032630	0.072799	0.058629	0.057048	0.070175	0.050666	0.020567	0.003622	0.024137	0.033704	0.015327	0.007668	0.025184	0.014317	0.031100	0.032320
wcspd-00	0.034713	0.093209	0.051114	0.040984	0.072829	0.054127	0.049296	0.116798	0.040816	0.061560	0.055844	0.039894	0.078378	0.055851	0.073138	0.060523	0.046218	0.058589	0.053876	0.106061
wcspd-01	0.070773	0.112143	0.076031	0.057846	0.100448	0.084244	0.055199	0.163924	0.076361	0.087404	0.070432	0.082836	0.097884	0.082192	0.102988	0.088874	0.073461	0.065457	0.075916	0.105544
wcspd-10	0.104265	0.160234	0.106332	0.090805	0.112544	0.089713	0.095613	0.173660	0.085421	0.104583	0.108518	0.100599	0.128085	0.096220	0.143029	0.124014	0.115034	0.081851	0.089953	0.142207
wcspd-11	0.096319	0.180929	0.097057	0.091296	0.119209	0.117356	0.091080	0.209317	0.102454	0.124146	0.108225	0.108893	0.137910	0.117788	0.149497	0.119431	0.117254	0.107320	0.115960	0.169399
wcspd	0.069552	0.087720	0.055218	0.050313	0.046380	0.063229	0.046317	0.092519	0.061638	0.062587	0.052674	0.068999	0.059532	0.061937	0.076359	0.063491	0.071035	0.048732	0.062084	0.063854
wcaod-00	0.261817	0.495121	0.362756	0.229166	0.380025	0.319706	0.350981	0.587535	0.246141	0.321730	0.447748	0.313106	0.399489	0.343059	0.370047	0.416242	0.257314	0.350750	0.352305	0.542153
wcaod-01	0.362374	0.525811	0.381256	0.315752	0.486428	0.431753	0.314442	0.650475	0.412590	0.419684	0.388372	0.390541	0.506921	0.414002	0.506239	0.440101	0.383819	0.332232	0.400966	0.459007
wcaod-10	0.415400	0.589109	0.434132	0.347981	0.436050	0.367898	0.404024	0.597647	0.355059	0.399889	0.406260	0.413834	0.504677	0.389461	0.560060	0.446666	0.446489	0.380834	0.369612	0.557997
wcaod-11	0.343946	0.586119	0.347253	0.328296	0.422973	0.423907	0.328869	0.663178	0.372584	0.434201	0.393445	0.387490	0.471276	0.413846	0.520852	0.431637	0.422749	0.377817	0.401150	0.558938
wcaod	0.076791	0.046994	0.043439	0.059407	0.053201	0.056024	0.044791	0.037822	0.083225	0.056236	0.029688	0.050364	0.053716	0.035472	0.095007	0.015212	0.094587	0.024301	0.024422	0.049965
wceod-00	0.250000	0.443038	0.342466	0.207792	0.337838	0.289855	0.327869	0.518519	0.227848	0.281250	0.430556	0.298507	0.359551	0.326316	0.324324	0.394737	0.233766	0.325301	0.328947	0.480519
wceod-01	0.337778	0.471154	0.354701	0.300885	0.445887	0.406639	0.296651	0.557940	0.393013	0.385593	0.367442	0.359833	0.465000	0.384259	0.461187	0.405405	0.361233	0.305164	0.370732	0.407080
wceod-10	0.371795	0.500000	0.387755	0.303226	0.383117	0.328767	0.367089	0.485915	0.322981	0.352201	0.355828	0.371622	0.442177	0.346405	0.496732	0.380368	0.401163	0.348485	0.328767	0.486667
