accuracy	0.816556	0.808222	0.813000	0.818111	0.805556	0.805778	0.804889	0.811889	0.811667	0.812000	0.810556	0.808333	0.810556	0.809444	0.804778	0.811111	0.809667	0.818333	0.805111	0.816556
recall	0.609063	0.604036	0.613502	0.610111	0.605286	0.600458	0.599056	0.612546	0.611997	0.612238	0.610670	0.614586	0.608631	0.604581	0.608975	0.610522	0.603737	0.625747	0.611517	0.615600
precision	0.771757	0.760256	0.770438	0.766018	0.758183	0.770611	0.762527	0.759866	0.770353	0.759102	0.772306	0.760631	0.770213	0.763585	0.766624	0.766127	0.770465	0.773799	0.770545	0.760052
f1score	0.628777	0.620719	0.633445	0.630506	0.621730	0.615171	0.613409	0.632164	0.631281	0.631822	0.629331	0.633833	0.626831	0.621614	0.625943	0.629404	0.620402	0.649225	0.629088	0.636863
mcc	0.344317	0.329095	0.350402	0.342295	0.329746	0.329758	0.322520	0.342035	0.348015	0.341063	0.347194	0.345628	0.342657	0.332061	0.340912	0.343004	0.335006	0.371104	0.347392	0.346768
spd0-0	0.068922	0.068433	0.076327	0.071755	0.072690	0.061793	0.068713	0.076386	0.073754	0.074585	0.073818	0.078282	0.068671	0.069896	0.077665	0.071574	0.067712	0.080598	0.077304	0.076966
spd0-1	0.080069	0.084175	0.081935	0.079729	0.083955	0.081972	0.074263	0.087788	0.083918	0.089909	0.080570	0.092214	0.085271	0.079900	0.079889	0.087114	0.077095	0.094466	0.083310	0.088777
spd0	0.011147	0.015742	0.005608	0.007973	0.011265	0.020179	0.005550	0.011402	0.010164	0.015324	0.006752	0.013932	0.016600	0.010003	0.002225	0.015540	0.009383	0.013869	0.006006	0.011812
aod0-0	0.264155	0.260942	0.293259	0.282710	0.264677	0.234144	0.260525	0.294323	0.277642	0.284450	0.278480	0.289075	0.262112	0.264802	0.286345	0.282043	0.262482	0.308189	0.283769	0.292139
aod0-1	0.280129	0.271148	0.271304	0.268772	0.277702	0.270221	0.238104	0.280479	0.282998	0.292419	0.271278	0.299981	0.283147	0.264180	0.259907	0.275829	0.253187	0.320980	0.273154	0.299755
aod0	0.007987	0.005103	0.010977	0.006969	0.006512	0.018039	0.011210	0.006922	0.002678	0.003985	0.003601	0.005453	0.010517	0.000311	0.013219	0.003107	0.004647	0.006396	0.005308	0.003808
eod0-0	0.239965	0.235925	0.267606	0.256052	0.238055	0.212522	0.237317	0.268142	0.251523	0.257862	0.252863	0.260226	0.237968	0.239574	0.259542	0.258993	0.239247	0.281086	0.257664	0.262489
eod0-1	0.250630	0.237230	0.238928	0.238379	0.243306	0.241417	0.206936	0.240893	0.252336	0.253472	0.242356	0.262741	0.251977	0.232987	0.228956	0.238149	0.224605	0.284173	0.242009	0.264106
eod0	0.010665	0.001305	0.028678	0.017673	0.005252	0.028895	0.030381	0.027249	0.000813	0.004389	0.010508	0.002514	0.014009	0.006587	0.030586	0.020844	0.014642	0.003087	0.015654	0.001617
spd1-0	0.068388	0.070555	0.074807	0.071131	0.071795	0.065039	0.067099	0.078554	0.073825	0.076867	0.072519	0.077772	0.070557	0.069509	0.075702	0.074449	0.067855	0.081571	0.076445	0.076867
spd1-1	0.121065	0.115572	0.115995	0.111779	0.132099	0.116334	0.108802	0.103571	0.116587	0.123670	0.117429	0.142689	0.123762	0.117936	0.107407	0.112232	0.107940	0.134367	0.112782	0.130597
spd1	0.052678	0.045017	0.041188	0.040648	0.060304	0.051295	0.041703	0.025018	0.042762	0.046803	0.044910	0.064916	0.053206	0.048427	0.031705	0.037783	0.040086	0.052796	0.036337	0.053730
aod1-0	0.261480	0.255721	0.273923	0.269858	0.256678	0.239444	0.245285	0.283547	0.272163	0.279904	0.267306	0.277889	0.262350	0.255003	0.271206	0.270945	0.253182	0.305337	0.272636	0.287861
aod1-1	0.351078	0.343138	0.364201	0.331041	0.379906	0.330589	0.298675	0.327622	0.343825	0.356922	0.341276	0.429052	0.348094	0.342149	0.309938	0.341629	0.306162	0.382061	0.335434	0.364331
aod1	0.044799	0.043708	0.045139	0.030591	0.061614	0.045573	0.026695	0.022037	0.035831	0.038509	0.036985	0.075582	0.042872	0.043573	0.019366	0.035342	0.026490	0.038362	0.031399	0.038235
eod1-0	0.238537	0.229167	0.246761	0.243628	0.229143	0.217124	0.221353	0.254066	0.246197	0.250283	0.242017	0.249173	0.238336	0.229462	0.244865	0.243106	0.230855	0.276316	0.245690	0.259453
eod1-1	0.290323	0.294643	0.324201	0.283186	0.326180	0.284000	0.246862	0.277778	0.295652	0.303318	0.296137	0.362385	0.289474	0.292576	0.259091	0.303167	0.248826	0.328947	0.295154	0.293023
eod1	0.051785	0.065476	0.077440	0.039558	0.097037	0.066876	0.025509	0.023712	0.049455	0.053034	0.054121	0.113212	0.051138	0.063115	0.014226	0.060061	0.017971	0.052632	0.049465	0.033570
wcspd-00	0.062653	0.063158	0.071222	0.066338	0.065526	0.054686	0.064278	0.073186	0.068380	0.068601	0.068106	0.071129	0.063162	0.064174	0.073120	0.066516	0.062977	0.075205	0.073051	0.072592
wcspd-01	0.119281	0.111675	0.117845	0.116162	0.131175	0.118729	0.105622	0.101806	0.116203	0.128253	0.120898	0.133987	0.114783	0.116358	0.115318	0.116152	0.107452	0.129151	0.113636	0.114236
wcspd-10	0.077041	0.081308	0.079976	0.078206	0.080636	0.079809	0.071277	0.086368	0.081688	0.088519	0.078678	0.087123	0.081089	0.077128	0.079384	0.085944	0.074903	0.090855	0.081448	0.083059
wcspd-11	0.126168	0.125541	0.111111	0.100840	0.134529	0.110672	0.116883	0.108225	0.117647	0.112150	0.108696	0.165254	0.145923	0.122172	0.087336	0.103306	0.109170	0.146552	0.110619	0.170213
wcspd	0.063516	0.062383	0.046624	0.049824	0.069003	0.064043	0.052605	0.035039	0.049267	0.059652	0.052792	0.094125	0.082760	0.057997	0.042198	0.049637	0.046193	0.071347	0.040585	0.097620
wcaod-00	0.250299	0.249966	0.278506	0.271182	0.245617	0.215687	0.258645	0.288823	0.267054	0.271252	0.266497	0.269960	0.249973	0.254508	0.279606	0.269257	0.253285	0.295670	0.273591	0.288779
wcaod-01	0.363204	0.333904	0.393907	0.363797	0.385125	0.351529	0.283154	0.335652	0.346698	0.380239	0.358406	0.422891	0.347542	0.336677	0.337862	0.370462	0.333087	0.394072	0.356459	0.323650
wcaod-10	0.277273	0.263926	0.268913	0.269089	0.271264	0.268784	0.230036	0.278514	0.279108	0.291874	0.268818	0.288514	0.278005	0.256656	0.261431	0.275101	0.253827	0.318601	0.271849	0.287324
wcaod-11	0.325143	0.366392	0.302304	0.266415	0.366057	0.288725	0.340500	0.308832	0.336347	0.303333	0.301864	0.446151	0.356061	0.351735	0.242683	0.284910	0.260157	0.362803	0.292327	0.458311
wcaod	0.056453	0.058213	0.062497	0.048691	0.069754	0.067921	0.055232	0.028569	0.039822	0.054493	0.045955	0.088096	0.053044	0.048614	0.047589	0.050603	0.039901	0.049201	0.042305	0.085493
wceod-00	0.230151	0.227320	0.254306	0.247578	0.221336	0.197110	0.238625	0.264914	0.243381	0.247412	0.243326	0.245000	0.228630	0.232678	0.255859	0.247668	0.233367	0.269970	0.248813	0.262605
wceod-01	0.304636	0.287500	0.355705	0.310345	0.337278	0.303030	0.229885	0.290780	0.299401	0.326531	0.310559	0.362416	0.298013	0.281250	0.283871	0.333333	0.280576	0.352941	0.318182	0.261745
wceod-10	0.250000	0.231334	0.237310	0.238786	0.238994	0.240831	0.200000	0.240554	0.249685	0.253750	0.240444	0.254300	0.250000	0.225564	0.231235	0.237685	0.227833	0.284585	0.241594	0.255541
wceod-11	0.257576	0.312500	0.257143	0.234568	0.296875	0.247059	0.292308	0.245614	0.285714	0.250000	0.263889	0.362319	0.272727	0.318841	0.200000	0.243243	0.189189	0.280000	0.246575	0.363636
wceod	0.074485	0.085180	0.118395	0.075777	0.115942	0.105920	0.092308	0.050226	0.056020	0.079119	0.070115	0.117416	0.069383	0.093277	0.083871	0.095649	0.091386	0.082972	0.076588	0.108095
