accuracy	0.730000	0.763333	0.740000	0.740000	0.723333	0.740000	0.750000	0.806667	0.756667	0.753333	0.756667	0.696667	0.723333	0.733333	0.730000	0.760000	0.743333	0.736667	0.750000	0.766667
recall	0.664692	0.677624	0.677823	0.651436	0.647529	0.649922	0.677616	0.739881	0.680159	0.678116	0.658702	0.617145	0.642200	0.656338	0.652574	0.666283	0.663357	0.667642	0.683824	0.702052
precision	0.668286	0.709404	0.706074	0.673631	0.680435	0.666460	0.738612	0.760727	0.709422	0.687030	0.750000	0.645492	0.684288	0.656338	0.687465	0.726703	0.696123	0.686827	0.713333	0.711496
f1score	0.666388	0.688556	0.686428	0.659309	0.655654	0.656367	0.688844	0.748787	0.690148	0.682112	0.671127	0.622464	0.650433	0.656338	0.661442	0.680000	0.673170	0.674625	0.693289	0.706310
mcc	0.332959	0.385721	0.382856	0.324309	0.326309	0.315949	0.411734	0.500174	0.388481	0.365037	0.398374	0.261103	0.323764	0.312675	0.338243	0.388314	0.357983	0.353949	0.396059	0.413440
spd0-0	0.692308	0.795455	0.786517	0.798077	0.783505	0.755319	0.781609	0.729412	0.769231	0.676768	0.761468	0.750000	0.752381	0.701031	0.778947	0.852632	0.755814	0.670330	0.739130	0.760870
spd0-1	0.739796	0.768868	0.725118	0.755102	0.758621	0.771845	0.788732	0.767442	0.760204	0.781095	0.874346	0.780000	0.800000	0.753695	0.765854	0.785366	0.775701	0.775120	0.754808	0.725962
spd0	0.047488	0.026587	0.061398	0.042975	0.024884	0.016526	0.007123	0.038030	0.009027	0.104327	0.112878	0.030000	0.047619	0.052664	0.013094	0.067266	0.019887	0.104790	0.015677	0.034908
aod0-0	1.312821	1.471429	1.492214	1.521242	1.518269	1.397878	1.514595	1.305764	1.435407	1.272727	1.464113	1.414931	1.371224	1.316430	1.492467	1.623810	1.453782	1.250000	1.438800	1.417240
aod0-1	1.293588	1.370130	1.309029	1.333333	1.384504	1.396843	1.435065	1.293750	1.354167	1.350967	1.629132	1.485741	1.530340	1.323137	1.395402	1.411451	1.392558	1.416667	1.312769	1.233045
aod0	0.009616	0.050649	0.091592	0.093954	0.066883	0.000517	0.039765	0.006007	0.040620	0.039120	0.082509	0.035405	0.079558	0.003354	0.048532	0.106179	0.030612	0.083333	0.063016	0.092097
eod0-0	0.800000	0.900000	0.879310	0.882353	0.830769	0.846154	0.920000	0.877193	0.909091	0.757576	0.920635	0.859375	0.911765	0.764706	0.881356	0.966667	0.882353	0.821429	0.849057	0.868852
eod0-1	0.825503	0.870130	0.853147	0.843537	0.876812	0.849673	0.904762	0.893750	0.854167	0.881579	0.942857	0.840580	0.858209	0.843137	0.862069	0.885135	0.866242	0.855263	0.874172	0.844156
eod0	0.025503	0.029870	0.026163	0.038816	0.046042	0.003519	0.015238	0.016557	0.054924	0.124003	0.022222	0.018795	0.053556	0.078431	0.019287	0.081532	0.016111	0.033835	0.025116	0.024697
spd1-0	0.661017	0.701754	0.723404	0.839286	0.836066	0.673077	0.780000	0.666667	0.709677	0.689655	0.800000	0.703125	0.639344	0.660714	0.769231	0.847826	0.714286	0.750000	0.649123	0.608696
