accuracy	0.861655	0.862287	0.857444	0.853443	0.858075	0.862076	0.859971	0.852811	0.859339	0.856391	0.862287	0.859549	0.859128	0.855970	0.865866	0.856180	0.858918	0.861445	0.860181	0.858497
recall	0.648681	0.658331	0.648786	0.636693	0.653103	0.657313	0.654387	0.644534	0.659660	0.654409	0.652140	0.654630	0.659437	0.646023	0.668173	0.639898	0.665956	0.654977	0.646963	0.665582
precision	0.777893	0.790035	0.769829	0.775368	0.762937	0.778412	0.762512	0.756778	0.795585	0.759886	0.781789	0.785172	0.777703	0.777572	0.775729	0.768063	0.787532	0.770079	0.766791	0.772494
f1score	0.681886	0.692894	0.680532	0.668062	0.683943	0.690479	0.685310	0.674258	0.694377	0.684571	0.685850	0.688310	0.692054	0.678358	0.700668	0.671210	0.699496	0.687077	0.678731	0.697014
mcc	0.406534	0.428586	0.400733	0.388025	0.401280	0.418559	0.402634	0.385295	0.434480	0.400643	0.414108	0.419982	0.420837	0.402652	0.430675	0.387307	0.436888	0.409175	0.396023	0.424830
spd0-0	0.060659	0.059787	0.061771	0.056351	0.080808	0.071927	0.064815	0.069706	0.068273	0.071710	0.059341	0.064131	0.069272	0.062839	0.072688	0.062778	0.067865	0.061901	0.064220	0.071975
spd0-1	0.099838	0.107989	0.107642	0.096697	0.097492	0.100611	0.111649	0.104538	0.103270	0.111292	0.103476	0.104100	0.109331	0.099724	0.111386	0.095485	0.115689	0.110794	0.100407	0.117973
spd0	0.039179	0.048201	0.045871	0.040347	0.016684	0.028684	0.046834	0.034832	0.034996	0.039582	0.044135	0.039969	0.040059	0.036885	0.038698	0.032707	0.047824	0.048894	0.036186	0.045998
aod0-0	0.353050	0.369167	0.336110	0.312871	0.409267	0.385282	0.361862	0.348466	0.382117	0.376863	0.363056	0.349815	0.386352	0.333991	0.401541	0.342406	0.355496	0.332958	0.354793	0.372401
aod0-1	0.368950	0.388510	0.390026	0.349014	0.366356	0.382383	0.401827	0.378956	0.380194	0.399393	0.374421	0.388362	0.394632	0.371348	0.419194	0.349571	0.428134	0.414316	0.370145	0.434176
aod0	0.007950	0.009672	0.026958	0.018072	0.021456	0.001450	0.019982	0.015245	0.000962	0.011265	0.005682	0.019273	0.004140	0.018679	0.008827	0.003583	0.036319	0.040679	0.007676	0.030887
eod0-0	0.333333	0.351916	0.312704	0.293729	0.373770	0.358065	0.333333	0.318471	0.360390	0.346667	0.344948	0.326797	0.359862	0.311897	0.372014	0.318792	0.328947	0.307432	0.327402	0.343234
eod0-1	0.325956	0.344633	0.343936	0.308712	0.325911	0.342159	0.353965	0.332669	0.342593	0.349802	0.330078	0.348748	0.350844	0.330754	0.374233	0.308448	0.386740	0.368421	0.328713	0.385797
eod0	0.007378	0.007284	0.031233	0.014983	0.047860	0.015906	0.020632	0.014198	0.017797	0.003136	0.014870	0.021950	0.009017	0.018857	0.002219	0.010344	0.057793	0.060989	0.001311	0.042562
spd1-0	0.075330	0.075965	0.084375	0.068664	0.078494	0.074286	0.087555	0.072222	0.072536	0.083439	0.079902	0.070573	0.088624	0.069538	0.081439	0.073110	0.080402	0.077792	0.068646	0.089097
spd1-1	0.083967	0.089723	0.085742	0.082301	0.094909	0.092943	0.090159	0.095877	0.094069	0.096621	0.083600	0.092347	0.091197	0.089309	0.097946	0.083573	0.099778	0.091918	0.090358	0.100191
spd1	0.008637	0.013758	0.001367	0.013636	0.016415	0.018657	0.002604	0.023655	0.021533	0.013183	0.003699	0.021773	0.002573	0.019770	0.016507	0.010462	0.019376	0.014126	0.021712	0.011094
aod1-0	0.361914	0.382880	0.407312	0.313019	0.357517	0.360140	0.427983	0.340008	0.339652	0.367020	0.386956	0.364038	0.401498	0.333322	0.403205	0.348537	0.366840	0.392222	0.337131	0.423899
aod1-1	0.359124	0.375742	0.350688	0.340444	0.392065	0.389886	0.368166	0.375408	0.394008	0.396029	0.357725	0.375146	0.383418	0.365233	0.413855	0.343361	0.413987	0.377304	0.373094	0.403243
aod1	0.001395	0.003569	0.028312	0.013713	0.017274	0.014873	0.029908	0.017700	0.027178	0.014505	0.014615	0.005554	0.009040	0.015955	0.005325	0.002588	0.023573	0.007459	0.017982	0.010328
eod1-0	0.328947	0.352423	0.368182	0.280172	0.320175	0.325581	0.388128	0.304933	0.308333	0.322870	0.353191	0.334884	0.360169	0.306452	0.370044	0.317992	0.333333	0.358140	0.306306	0.383260
