accuracy	0.814667	0.811889	0.812889	0.821889	0.812889	0.810111	0.806556	0.814222	0.814889	0.809333	0.813111	0.811333	0.810111	0.813000	0.806111	0.812111	0.816000	0.810000	0.808778	0.815889
recall	0.658138	0.657107	0.659891	0.660596	0.660434	0.659001	0.653106	0.658971	0.661924	0.656684	0.661112	0.668118	0.655949	0.656375	0.657949	0.658200	0.663440	0.654960	0.663054	0.659302
precision	0.729144	0.733836	0.734361	0.742261	0.741416	0.735650	0.726667	0.735659	0.741098	0.723219	0.739161	0.734807	0.730917	0.735893	0.731870	0.733661	0.742925	0.725043	0.739306	0.730794
f1score	0.679397	0.678823	0.681540	0.684178	0.682925	0.680598	0.673685	0.681012	0.684484	0.676744	0.683301	0.688758	0.677205	0.678517	0.678737	0.679828	0.686225	0.675519	0.684615	0.680794
mcc	0.380717	0.383340	0.387155	0.394492	0.393605	0.387135	0.372580	0.387106	0.395168	0.374032	0.392590	0.397368	0.379532	0.384124	0.382746	0.384527	0.398516	0.373485	0.395069	0.383489
spd0-0	0.128075	0.124908	0.125737	0.120630	0.129578	0.124513	0.129203	0.124128	0.126908	0.126049	0.125210	0.137598	0.124536	0.122596	0.132530	0.126503	0.128598	0.127997	0.132625	0.124216
spd0-1	0.145737	0.148148	0.152125	0.137122	0.140845	0.155359	0.147959	0.148284	0.145664	0.160297	0.150726	0.160133	0.151440	0.145323	0.152011	0.148344	0.143296	0.149804	0.154194	0.150195
spd0	0.017662	0.023240	0.026388	0.016492	0.011267	0.030846	0.018756	0.024156	0.018756	0.034248	0.025516	0.022535	0.026904	0.022727	0.019481	0.021841	0.014698	0.021807	0.021569	0.025980
aod0-0	0.447037	0.435330	0.445055	0.440593	0.442671	0.426773	0.441551	0.439488	0.437421	0.434941	0.430630	0.460853	0.433169	0.428780	0.440258	0.443163	0.462605	0.433721	0.448538	0.429928
aod0-1	0.454757	0.453709	0.460159	0.437635	0.446932	0.475848	0.442674	0.455025	0.463321	0.484336	0.473308	0.500301	0.458562	0.450295	0.466526	0.452007	0.436602	0.466583	0.470790	0.479353
aod0	0.003860	0.009189	0.007552	0.001479	0.002130	0.024538	0.000562	0.007769	0.012950	0.024698	0.021339	0.019724	0.012697	0.010758	0.013134	0.004422	0.013002	0.016431	0.011126	0.024713
eod0-0	0.386562	0.375335	0.389085	0.384544	0.383959	0.366843	0.380052	0.383186	0.377720	0.373765	0.371806	0.392515	0.374332	0.371783	0.375742	0.383094	0.405914	0.370403	0.388567	0.367847
eod0-1	0.377834	0.382520	0.379953	0.374255	0.380675	0.403101	0.365318	0.379553	0.397196	0.398148	0.403171	0.425821	0.381921	0.379469	0.393939	0.379233	0.366817	0.389688	0.396119	0.406963
eod0	0.008728	0.007185	0.009131	0.010289	0.003284	0.036258	0.014734	0.003632	0.019477	0.024384	0.031365	0.033306	0.007589	0.007686	0.018197	0.003861	0.039097	0.019285	0.007552	0.039115
spd1-0	0.129679	0.129494	0.132747	0.122551	0.128449	0.132286	0.132730	0.130025	0.128428	0.134821	0.130509	0.139475	0.128906	0.127290	0.135531	0.130133	0.130583	0.131777	0.137649	0.128477
spd1-1	0.186441	0.180049	0.170940	0.171875	0.191358	0.180964	0.174817	0.169048	0.192308	0.195479	0.186650	0.215802	0.200495	0.175676	0.188889	0.187894	0.173697	0.188630	0.176692	0.196517
spd1	0.056761	0.050555	0.038194	0.049324	0.062909	0.048677	0.042086	0.039023	0.063880	0.060658	0.056141	0.076327	0.071589	0.048385	0.053358	0.057761	0.043114	0.056853	0.039042	0.068040
aod1-0	0.441230	0.435166	0.441589	0.430688	0.434797	0.439061	0.439180	0.436277	0.433086	0.447165	0.441273	0.460739	0.433151	0.428500	0.445344	0.435680	0.445825	0.441356	0.452000	0.439065
aod1-1	0.525769	0.509944	0.523288	0.505111	0.527064	0.513211	0.465649	0.528557	0.569377	0.534792	0.515170	0.626460	0.537508	0.510185	0.510169	0.538153	0.494818	0.502410	0.504371	0.554728
aod1	0.042269	0.037389	0.040849	0.037211	0.046134	0.037075	0.013235	0.046140	0.068146	0.043813	0.036949	0.082860	0.052178	0.040843	0.032413	0.051237	0.024497	0.030527	0.026185	0.057832
eod1-0	0.377829	0.373311	0.376338	0.373444	0.375973	0.374930	0.373952	0.374649	0.372394	0.378822	0.380392	0.394157	0.371557	0.367139	0.381622	0.372538	0.386808	0.375286	0.387392	0.376382
eod1-1	0.423963	0.419643	0.456621	0.429204	0.433476	0.440000	0.372385	0.444444	0.491304	0.431280	0.424893	0.513761	0.425439	0.436681	0.400000	0.452489	0.403756	0.403509	0.427313	0.451163
eod1	0.046134	0.046332	0.080283	0.055760	0.057503	0.065070	0.001567	0.069795	0.118910	0.052457	0.044501	0.119605	0.053882	0.069542	0.018378	0.079951	0.016948	0.028223	0.039921	0.074781
wcspd-00	0.121847	0.119298	0.120290	0.114808	0.121244	0.118556	0.124053	0.118462	0.117903	0.118342	0.120285	0.128619	0.117598	0.116511	0.126506	0.120675	0.124923	0.121516	0.128709	0.118787
wcspd-01	0.178105	0.170897	0.170034	0.168350	0.197615	0.172241	0.172061	0.169130	0.198036	0.195167	0.165803	0.207516	0.182609	0.172007	0.182444	0.177858	0.159445	0.186347	0.166084	0.170475
wcspd-10	0.141498	0.144314	0.150701	0.133980	0.138611	0.151876	0.145587	0.146855	0.143627	0.158048	0.144779	0.154755	0.145013	0.142688	0.148400	0.143838	0.138765	0.146742	0.150830	0.142516
wcspd-11	0.210280	0.203463	0.173333	0.180672	0.174888	0.201581	0.181818	0.168831	0.176471	0.196262	0.239130	0.237288	0.244635	0.185520	0.205240	0.210744	0.209607	0.193966	0.203540	0.259574
wcspd	0.088433	0.084165	0.053043	0.065864	0.076371	0.083025	0.057765	0.050668	0.080133	0.077920	0.118845	0.108669	0.127037	0.069009	0.078734	0.090068	0.084684	0.072449	0.074831	0.140787
wcaod-00	0.437763	0.425992	0.427520	0.429795	0.428246	0.414384	0.441480	0.427621	0.412629	0.418812	0.429009	0.436728	0.422061	0.417552	0.432941	0.430360	0.460148	0.421623	0.443040	0.421671
wcaod-01	0.517002	0.497636	0.561783	0.516888	0.541873	0.504206	0.454079	0.527323	0.590063	0.552969	0.451158	0.629321	0.516275	0.503522	0.499182	0.532515	0.485069	0.521347	0.489747	0.490780
wcaod-10	0.447352	0.447402	0.461574	0.433148	0.443926	0.470145	0.438591	0.449579	0.459351	0.484255	0.457428	0.490909	0.448583	0.443692	0.461664	0.443653	0.430256	0.468157	0.465078	0.461571
wcaod-11	0.547502	0.541635	0.447465	0.477078	0.488011	0.530252	0.496386	0.530853	0.514065	0.495000	0.658052	0.624490	0.588994	0.522979	0.537336	0.553089	0.521534	0.467686	0.537022	0.702618
wcaod	0.054870	0.057822	0.067132	0.043547	0.056813	0.057934	0.028897	0.051616	0.088717	0.067079	0.114522	0.096297	0.083467	0.052713	0.052197	0.061364	0.045639	0.049862	0.046991	0.140473
wceod-00	0.381910	0.368092	0.371834	0.376749	0.373878	0.356037	0.383215	0.375126	0.355397	0.361284	0.373717	0.373000	0.367662	0.362978	0.373047	0.372021	0.406346	0.360971	0.384615	0.362395
