accuracy	0.783333	0.780000	0.733333	0.760000	0.730000	0.760000	0.733333	0.810000	0.796667	0.783333	0.753333	0.753333	0.733333	0.746667	0.746667	0.746667	0.760000	0.733333	0.756667	0.760000
recall	0.698598	0.651054	0.634404	0.651163	0.628231	0.637055	0.639446	0.716146	0.692857	0.664522	0.648164	0.656597	0.636492	0.628787	0.645527	0.635452	0.651129	0.625836	0.663909	0.658276
precision	0.739280	0.767308	0.717457	0.705009	0.702000	0.696000	0.737953	0.777358	0.796366	0.739125	0.754248	0.748000	0.709522	0.662335	0.728000	0.714286	0.739087	0.686725	0.738219	0.703425
f1score	0.712385	0.668475	0.641234	0.664596	0.635086	0.650350	0.644444	0.735781	0.714415	0.682612	0.658651	0.668142	0.644444	0.638692	0.656026	0.645963	0.664596	0.634503	0.676986	0.671053
mcc	0.435984	0.401885	0.341918	0.352078	0.321886	0.327798	0.364316	0.489693	0.478147	0.396693	0.388178	0.394138	0.338220	0.289183	0.364308	0.340736	0.380173	0.306573	0.395203	0.358872
spd0-0	0.740385	0.875000	0.842697	0.807692	0.835052	0.829787	0.804598	0.729412	0.817308	0.737374	0.798165	0.810000	0.800000	0.804124	0.831579	0.831579	0.802326	0.725275	0.815217	0.804348
spd0-1	0.806122	0.863208	0.834123	0.821429	0.832512	0.834951	0.859155	0.837209	0.846939	0.885572	0.879581	0.845000	0.841026	0.812808	0.834146	0.843902	0.855140	0.870813	0.817308	0.802885
spd0	0.065738	0.011792	0.008573	0.013736	0.002539	0.005164	0.054557	0.107798	0.029631	0.148198	0.081416	0.035000	0.041026	0.008684	0.002567	0.012323	0.052815	0.145539	0.002090	0.001463
aod0-0	1.389744	1.626190	1.578420	1.535948	1.611058	1.543767	1.561622	1.305764	1.533493	1.363636	1.539337	1.545139	1.481717	1.463489	1.598870	1.590476	1.550140	1.382143	1.591195	1.498678
aod0-1	1.395402	1.596731	1.585561	1.476190	1.558305	1.543470	1.620594	1.471023	1.509081	1.613588	1.648739	1.562179	1.607903	1.522745	1.540805	1.568042	1.567885	1.646930	1.464389	1.457191
aod0	0.002829	0.014730	0.003571	0.029879	0.026376	0.000148	0.029486	0.082629	0.012206	0.124976	0.054701	0.008520	0.063093	0.029628	0.029033	0.011217	0.008872	0.132393	0.063403	0.020743
eod0-0	0.876923	0.983333	0.965517	0.897059	0.892308	0.923077	0.940000	0.877193	0.954545	0.848485	0.952381	0.906250	0.941176	0.911765	0.932203	0.933333	0.921569	0.839286	0.924528	0.918033
eod0-1	0.906040	0.941558	0.909091	0.904762	0.927536	0.901961	0.938776	0.943750	0.951389	0.960526	0.942857	0.949275	0.902985	0.862745	0.924138	0.918919	0.936306	0.927632	0.920530	0.883117
eod0	0.029117	0.041775	0.056426	0.007703	0.035229	0.021116	0.001224	0.066557	0.003157	0.112041	0.009524	0.043025	0.038191	0.049020	0.008065	0.014414	0.014737	0.088346	0.003999	0.034916
spd1-0	0.694915	0.807018	0.829787	0.803571	0.803279	0.673077	0.780000	0.770833	0.806452	0.758621	0.854545	0.781250	0.721311	0.785714	0.807692	0.826087	0.795918	0.730769	0.807018	0.673913
spd1-1	0.804979	0.880658	0.837945	0.819672	0.841004	0.866935	0.856000	0.813492	0.844538	0.855372	0.848980	0.847458	0.853556	0.815574	0.838710	0.842520	0.848606	0.846774	0.818930	0.826772
spd1	0.110064	0.073641	0.008157	0.016101	0.037725	0.193859	0.076000	0.042659	0.038086	0.096751	0.005566	0.066208	0.132245	0.029859	0.031017	0.016433	0.052687	0.116005	0.011912	0.152859
aod1-0	1.370968	1.564394	1.625926	1.497866	1.604301	1.305847	1.597403	1.528696	1.451800	1.453431	1.686667	1.483077	1.429957	1.523810	1.496013	1.610136	1.642857	1.326797	1.596296	1.331429
aod1-1	1.401639	1.617091	1.570857	1.504937	1.551284	1.615550	1.603810	1.377083	1.540948	1.550037	1.567197	1.582486	1.596078	1.485169	1.580466	1.566488	1.550134	1.610749	1.493503	1.488651
aod1	0.015336	0.026349	0.027534	0.003535	0.026508	0.154852	0.003203	0.075806	0.044574	0.048303	0.059735	0.049705	0.083061	0.019320	0.042227	0.021824	0.046362	0.141976	0.051397	0.078611
eod1-0	0.870968	0.939394	0.925926	0.918919	0.870968	0.827586	0.954545	0.920000	0.975610	0.911765	0.966667	0.923077	0.843750	0.857143	0.969697	0.925926	1.000000	0.882353	0.966667	0.760000
eod1-1	0.901639	0.955801	0.925287	0.898876	0.924419	0.920635	0.937143	0.927083	0.946746	0.929348	0.942197	0.938650	0.929412	0.881720	0.918129	0.922652	0.925134	0.908046	0.913793	0.910526
eod1	0.030672	0.016407	0.000639	0.020043	0.053451	0.093049	0.017403	0.007083	0.028864	0.017583	0.024470	0.015573	0.085662	0.024578	0.051568	0.003274	0.074866	0.025693	0.052874	0.150526
wcspd-00	0.676471	0.862069	0.809524	0.825000	0.794118	0.680000	0.724138	0.727273	0.818182	0.687500	0.821429	0.771429	0.709677	0.764706	0.758621	0.851852	0.787879	0.705882	0.764706	0.727273
wcspd-01	0.771429	0.881356	0.852941	0.796875	0.857143	0.884058	0.844828	0.730159	0.816901	0.761194	0.790123	0.830769	0.837838	0.825397	0.863636	0.823529	0.811321	0.736842	0.844828	0.828571
wcspd-10	0.720000	0.750000	0.846154	0.750000	0.814815	0.666667	0.857143	0.807692	0.793103	0.846154	0.888889	0.793103	0.733333	0.818182	0.869565	0.789474	0.812500	0.777778	0.869565	0.625000
wcspd-11	0.818713	0.880435	0.832432	0.827778	0.835227	0.860335	0.859375	0.841270	0.856287	0.891429	0.878049	0.853801	0.860606	0.812155	0.829670	0.849462	0.858586	0.879581	0.810811	0.826087
wcspd	0.142243	0.131356	0.043417	0.077778	0.063025	0.217391	0.135237	0.113997	0.063184	0.203929	0.098765	0.082373	0.150929	0.060691	0.110945	0.062378	0.070707	0.173699	0.104859	0.203571
wcaod-00	1.375000	1.636364	1.583333	1.586667	1.597222	1.256944	1.555556	1.401709	1.535714	1.375000	1.625641	1.447552	1.429167	1.508772	1.475962	1.683333	1.666667	1.318681	1.578571	1.433333
wcaod-01	1.401361	1.623249	1.569170	1.502769	1.612245	1.659184	1.607287	1.254785	1.532479	1.408235	1.503788	1.600414	1.486074	1.367347	1.669363	1.542029	1.468864	1.419481	1.607287	1.510204
wcaod-10	1.366667	1.482051	1.660606	1.166667	1.616667	1.346154	1.709091	1.642857	1.333333	1.638889	1.750000	1.524510	1.438914	1.541667	1.500000	1.488095	1.571429	1.323077	1.571429	1.237762
wcaod-11	1.396934	1.616307	1.572917	1.503704	1.538733	1.599451	1.601891	1.426994	1.548200	1.604296	1.628308	1.570413	1.643697	1.520405	1.543692	1.579118	1.572432	1.678058	1.451111	1.482105
wcaod	0.017347	0.077156	0.045718	0.210000	0.038967	0.201120	0.076768	0.194036	0.107433	0.131944	0.123106	0.076431	0.107265	0.087160	0.096701	0.097619	0.098901	0.179688	0.078088	0.136221
wceod-00	0.875000	1.000000	0.916667	0.920000	0.875000	0.812500	1.000000	0.846154	0.952381	0.937500	0.933333	0.909091	0.866667	0.842105	0.937500	0.933333	1.000000	0.857143	0.928571	0.833333
wceod-01	0.877551	0.976190	0.978261	0.883721	0.897959	0.959184	0.923077	0.886364	0.955556	0.820000	0.958333	0.904762	0.962264	0.938776	0.930233	0.933333	0.897436	0.828571	0.923077	0.938776
wceod-10	0.866667	0.866667	0.933333	0.916667	0.866667	0.846154	0.909091	1.000000	1.000000	0.888889	1.000000	0.941176	0.823529	0.875000	1.000000	0.916667	1.000000	0.923077	1.000000	0.692308
wceod-11	0.910448	0.949640	0.906250	0.903704	0.934959	0.907143	0.941176	0.939189	0.943548	0.970149	0.936000	0.950413	0.914530	0.861314	0.914062	0.919118	0.932432	0.928058	0.911111	0.900709
wceod	0.043781	0.133333	0.072011	0.036279	0.068293	0.146684	0.090909	0.153846	0.056452	0.150149	0.066667	0.045651	0.138735	0.096670	0.085938	0.016667	0.102564	0.099486	0.088889	0.246468
