accuracy	0.851371	0.855624	0.854986	0.858601	0.856475	0.853073	0.854774	0.847119	0.850946	0.856049	0.859239	0.850308	0.853285	0.851159	0.845843	0.867319	0.851159	0.857538	0.849883	0.855411
recall	0.633799	0.637806	0.649494	0.648884	0.645646	0.633845	0.631878	0.631656	0.637274	0.643080	0.639357	0.635337	0.645387	0.641080	0.631389	0.644319	0.633379	0.633796	0.638229	0.636003
precision	0.744999	0.778313	0.775290	0.758871	0.770973	0.756985	0.766244	0.755424	0.744465	0.769432	0.754215	0.752536	0.745402	0.754367	0.755616	0.773490	0.770020	0.747456	0.747460	0.753333
f1score	0.662062	0.669817	0.681497	0.679427	0.677392	0.663491	0.662437	0.660226	0.665442	0.674580	0.669606	0.664249	0.673701	0.670359	0.659772	0.677783	0.663766	0.663061	0.666603	0.665664
mcc	0.362109	0.391679	0.405730	0.392641	0.397322	0.370924	0.374762	0.366759	0.366380	0.392685	0.376439	0.369743	0.377775	0.378873	0.366524	0.397340	0.379553	0.363916	0.369898	0.371235
spd0-0	0.066849	0.061317	0.061601	0.063689	0.064073	0.059199	0.056900	0.057978	0.064309	0.055881	0.058876	0.058589	0.068809	0.064976	0.063148	0.053944	0.057763	0.061734	0.062385	0.056046
spd0-1	0.097843	0.090543	0.108108	0.108518	0.100079	0.097726	0.092270	0.102906	0.105305	0.105475	0.100772	0.106122	0.110265	0.106678	0.098954	0.094914	0.094525	0.094800	0.108205	0.103816
spd0	0.030995	0.029227	0.046507	0.044829	0.036006	0.038528	0.035371	0.044928	0.040996	0.049594	0.041896	0.047534	0.041455	0.041702	0.035806	0.040970	0.036762	0.033066	0.045819	0.047770
aod0-0	0.352154	0.320721	0.330320	0.333209	0.332278	0.312794	0.298515	0.306770	0.331647	0.300902	0.332602	0.317170	0.335446	0.336980	0.323651	0.348969	0.296089	0.327647	0.317163	0.311132
aod0-1	0.343440	0.341102	0.387722	0.399760	0.373992	0.352158	0.341707	0.351570	0.370859	0.382468	0.364350	0.364102	0.398833	0.375436	0.341316	0.354008	0.345817	0.349187	0.379131	0.364982
aod0	0.004357	0.010191	0.028701	0.033275	0.020857	0.019682	0.021596	0.022400	0.019606	0.040783	0.015874	0.023466	0.031693	0.019228	0.008832	0.002520	0.024864	0.010770	0.030984	0.026925
eod0-0	0.321033	0.292857	0.303571	0.303887	0.303887	0.286232	0.272401	0.280576	0.302158	0.275735	0.306818	0.291815	0.299270	0.310231	0.295139	0.327660	0.269091	0.297297	0.286765	0.285171
eod0-1	0.298077	0.310861	0.347349	0.353535	0.335878	0.310345	0.306358	0.307414	0.321083	0.341463	0.318548	0.315690	0.350877	0.326130	0.299456	0.314851	0.311594	0.307229	0.330841	0.319149
eod0	0.022956	0.018004	0.043778	0.049648	0.031991	0.024113	0.033957	0.026839	0.018925	0.065728	0.011730	0.023875	0.051607	0.015899	0.004317	0.012808	0.042503	0.009932	0.044076	0.033978
spd1-0	0.064802	0.052214	0.071429	0.073587	0.064411	0.065897	0.055855	0.055958	0.069220	0.062624	0.070302	0.060322	0.064646	0.064300	0.055968	0.051948	0.064016	0.057971	0.068738	0.059419
spd1-1	0.091752	0.088401	0.092886	0.093367	0.092546	0.086041	0.084551	0.093907	0.094246	0.091337	0.085822	0.094052	0.102859	0.097196	0.094099	0.087259	0.083877	0.089482	0.095611	0.090627
spd1	0.026949	0.036187	0.021457	0.019779	0.028135	0.020145	0.028696	0.037949	0.025025	0.028714	0.015520	0.033730	0.038212	0.032896	0.038132	0.035311	0.019861	0.031511	0.026874	0.031208
aod1-0	0.288975	0.300061	0.372023	0.358962	0.346392	0.334812	0.294514	0.284147	0.343411	0.328464	0.336608	0.313381	0.313834	0.315128	0.251569	0.288740	0.317341	0.307914	0.326219	0.329657
aod1-1	0.364057	0.345918	0.364645	0.378475	0.362575	0.337735	0.335877	0.350487	0.358620	0.360905	0.355476	0.355566	0.396882	0.373326	0.358696	0.370109	0.332133	0.351917	0.366714	0.349213
aod1	0.037541	0.022929	0.003689	0.009756	0.008092	0.001461	0.020682	0.033170	0.007604	0.016221	0.009434	0.021093	0.041524	0.029099	0.053563	0.040684	0.007396	0.022001	0.020247	0.009778
eod1-0	0.254902	0.280423	0.340314	0.323383	0.317460	0.306533	0.269841	0.257732	0.308108	0.300518	0.302439	0.286458	0.282051	0.284264	0.220513	0.265193	0.289216	0.280220	0.293269	0.302857
eod1-1	0.323680	0.312000	0.330189	0.339688	0.326861	0.300501	0.302135	0.310832	0.316393	0.325163	0.318919	0.313916	0.349662	0.331707	0.321429	0.336315	0.300161	0.311304	0.323873	0.309091
eod1	0.068778	0.031577	0.010125	0.016305	0.009401	0.006032	0.032293	0.053100	0.008285	0.024645	0.016480	0.027458	0.067611	0.047443	0.100916	0.071121	0.010945	0.031085	0.030604	0.006234
wcspd-00	0.052023	0.039359	0.052482	0.052933	0.049708	0.050445	0.049475	0.034286	0.052550	0.039216	0.046176	0.032951	0.046062	0.048921	0.037410	0.043601	0.047256	0.041958	0.047198	0.040172
wcspd-01	0.073656	0.071149	0.065833	0.068502	0.070620	0.063075	0.060064	0.068852	0.069281	0.063787	0.064558	0.070096	0.078776	0.072165	0.074901	0.058863	0.062334	0.071237	0.069241	0.063098
wcspd-10	0.076227	0.062878	0.088575	0.091130	0.076202	0.078947	0.061050	0.074481	0.082045	0.083437	0.090470	0.084383	0.080049	0.077694	0.072335	0.059107	0.077295	0.072229	0.086228	0.076531
wcspd-11	0.107514	0.104343	0.117059	0.117356	0.112312	0.106495	0.107748	0.116938	0.116914	0.116002	0.106005	0.116546	0.124851	0.120627	0.111307	0.112710	0.102864	0.105480	0.119076	0.116757
wcspd	0.055491	0.064984	0.064577	0.064424	0.062605	0.056050	0.058273	0.082652	0.064364	0.076787	0.059829	0.083595	0.078789	0.071706	0.073897	0.069109	0.055608	0.063522	0.071878	0.076585
wcaod-00	0.269173	0.257357	0.332998	0.306206	0.330567	0.325835	0.307490	0.231133	0.322530	0.267028	0.331578	0.273284	0.282393	0.312533	0.223973	0.330253	0.284437	0.260411	0.294588	0.337835
wcaod-01	0.384077	0.340695	0.329912	0.343883	0.333636	0.309091	0.295966	0.331719	0.335411	0.313522	0.333910	0.332210	0.355020	0.345540	0.361339	0.355336	0.300821	0.352431	0.326804	0.306360
wcaod-10	0.302326	0.321559	0.399760	0.395308	0.355892	0.342123	0.287647	0.315302	0.358498	0.366348	0.345837	0.339942	0.334467	0.320119	0.273590	0.270815	0.337513	0.337778	0.348550	0.331336
wcaod-11	0.358007	0.349725	0.384344	0.401350	0.381060	0.356783	0.359936	0.364621	0.375604	0.388008	0.371396	0.373277	0.421246	0.395306	0.359023	0.383575	0.348368	0.354517	0.389756	0.377457
wcaod	0.057452	0.046184	0.034924	0.047572	0.025246	0.023846	0.036145	0.066744	0.026537	0.060490	0.019909	0.049997	0.069427	0.041386	0.068683	0.056380	0.031965	0.047053	0.047584	0.035548
wceod-00	0.240000	0.238095	0.310811	0.282051	0.306452	0.304348	0.285714	0.215385	0.300000	0.250000	0.312500	0.262295	0.260870	0.291667	0.207792	0.310345	0.263889	0.238806	0.276316	0.320755
wceod-01	0.352041	0.308756	0.300971	0.312195	0.303167	0.280193	0.267943	0.300469	0.302885	0.284314	0.305000	0.300000	0.312195	0.316017	0.327014	0.333333	0.270936	0.317708	0.290816	0.276190
wceod-10	0.263566	0.301587	0.358974	0.349593	0.322835	0.307692	0.260504	0.279070	0.313043	0.328000	0.297872	0.297710	0.293651	0.280000	0.228814	0.243902	0.303030	0.304348	0.303030	0.295082
wceod-11	0.309463	0.313725	0.344186	0.354839	0.340050	0.311224	0.320000	0.316038	0.323383	0.345588	0.326761	0.321608	0.369509	0.341146	0.318707	0.337696	0.314286	0.308094	0.339950	0.326582
wceod	0.112041	0.075630	0.058003	0.072787	0.036883	0.031031	0.059496	0.100653	0.023383	0.095588	0.028888	0.059313	0.108639	0.061146	0.119222	0.093794	0.050397	0.078902	0.063635	0.050392
