accuracy	0.824746	0.828841	0.822425	0.828090	0.827612	0.831639	0.829386	0.825633	0.824678	0.824746	0.826111	0.829728	0.828295	0.825565	0.826930	0.831502	0.824746	0.832526	0.825974	0.825565
recall	0.720195	0.721965	0.720580	0.727861	0.708241	0.728841	0.716272	0.714226	0.718865	0.719970	0.713304	0.720311	0.732889	0.708693	0.734690	0.733500	0.723583	0.727599	0.718888	0.721958
precision	0.762141	0.774151	0.765005	0.770616	0.777252	0.777265	0.780493	0.774846	0.775106	0.764259	0.775249	0.771036	0.768862	0.771059	0.766988	0.774515	0.768327	0.784571	0.770234	0.768080
f1score	0.736586	0.741325	0.737546	0.744596	0.731290	0.747336	0.738485	0.735363	0.738920	0.737023	0.734770	0.739362	0.747549	0.730221	0.748101	0.749839	0.740737	0.748339	0.737872	0.739542
mcc	0.480509	0.493364	0.483549	0.496640	0.480564	0.503784	0.492597	0.485301	0.490759	0.482200	0.484610	0.488721	0.500460	0.475681	0.500637	0.506357	0.489871	0.508992	0.486419	0.487863
spd0-0	0.115945	0.108002	0.116289	0.119704	0.097334	0.120091	0.102303	0.106427	0.107796	0.120355	0.109620	0.114428	0.130236	0.106244	0.127790	0.114516	0.113828	0.111979	0.109247	0.118060
spd0-1	0.220654	0.214467	0.223847	0.223368	0.195231	0.214837	0.202766	0.206236	0.215181	0.216842	0.201957	0.207854	0.227851	0.198403	0.236950	0.228013	0.225628	0.212344	0.215771	0.218597
spd0	0.104709	0.106466	0.107559	0.103665	0.097897	0.094746	0.100463	0.099809	0.107385	0.096487	0.092337	0.093426	0.097614	0.092159	0.109160	0.113497	0.111801	0.100366	0.106523	0.100537
aod0-0	0.561451	0.536229	0.549907	0.583468	0.482407	0.564086	0.515975	0.535260	0.521182	0.568402	0.541141	0.551324	0.571542	0.523083	0.598139	0.577836	0.540700	0.559874	0.555268	0.567627
aod0-1	0.616542	0.606208	0.617951	0.626068	0.557616	0.613529	0.575407	0.575871	0.597618	0.610154	0.568679	0.597308	0.646777	0.561088	0.657955	0.638877	0.622849	0.601024	0.599648	0.611545
aod0	0.027545	0.034990	0.034022	0.021300	0.037604	0.024721	0.029716	0.020306	0.038218	0.020876	0.013769	0.022992	0.037618	0.019003	0.029908	0.030521	0.041074	0.020575	0.022190	0.021959
eod0-0	0.489237	0.475410	0.478178	0.513711	0.425331	0.488417	0.457467	0.473180	0.458564	0.495396	0.476281	0.481973	0.487273	0.457926	0.519337	0.508982	0.468992	0.497288	0.492424	0.497227
eod0-1	0.528212	0.525068	0.530363	0.539709	0.489879	0.539778	0.505337	0.501978	0.519218	0.525026	0.498176	0.520496	0.562076	0.490585	0.564223	0.552728	0.537245	0.528648	0.516561	0.527395
eod0	0.038975	0.049658	0.052185	0.025998	0.064548	0.051361	0.047870	0.028798	0.060655	0.029630	0.021895	0.038523	0.074803	0.032659	0.044886	0.043746	0.068252	0.031360	0.024136	0.030168
spd1-0	0.130728	0.116690	0.128008	0.135831	0.102197	0.124764	0.102041	0.124765	0.117221	0.119169	0.113817	0.116737	0.132991	0.109699	0.140426	0.136657	0.125483	0.127640	0.128391	0.125868
spd1-1	0.194913	0.190210	0.198569	0.198035	0.173023	0.193667	0.181094	0.181499	0.190700	0.196348	0.181259	0.187380	0.206475	0.177508	0.210719	0.199968	0.198871	0.187750	0.188736	0.195645
spd1	0.064184	0.073520	0.070561	0.062203	0.070827	0.068903	0.079053	0.056734	0.073478	0.077180	0.067442	0.070643	0.073484	0.067809	0.070294	0.063311	0.073389	0.060110	0.060345	0.069778
aod1-0	0.573114	0.524128	0.544231	0.558945	0.469305	0.576204	0.488010	0.529737	0.526195	0.545105	0.540688	0.529871	0.588204	0.499145	0.623261	0.602070	0.546435	0.586637	0.572368	0.536183
aod1-1	0.609366	0.599348	0.611480	0.622299	0.553759	0.611689	0.573261	0.572269	0.589948	0.608812	0.567659	0.595787	0.641419	0.561585	0.649177	0.629777	0.615433	0.594319	0.590766	0.610361
aod1	0.018126	0.037610	0.033624	0.031677	0.042227	0.017742	0.042625	0.021266	0.031877	0.031853	0.013485	0.032958	0.026608	0.031220	0.012958	0.013854	0.034499	0.003841	0.009199	0.037089
eod1-0	0.511041	0.470948	0.479495	0.487952	0.431085	0.523220	0.445161	0.474432	0.475309	0.488889	0.495385	0.471947	0.523511	0.450311	0.554487	0.537764	0.487578	0.533333	0.509868	0.476744
