accuracy	0.802430	0.802498	0.798471	0.799427	0.801747	0.800860	0.801611	0.798608	0.796083	0.802498	0.800109	0.802498	0.800041	0.801201	0.800723	0.803794	0.799154	0.799222	0.799563	0.802020
recall	0.595723	0.599917	0.597605	0.596014	0.602755	0.596724	0.601352	0.598731	0.599900	0.598837	0.599515	0.592912	0.595318	0.597957	0.600533	0.602559	0.598619	0.597879	0.597144	0.600302
precision	0.813453	0.822895	0.821263	0.810585	0.802956	0.817076	0.821988	0.817733	0.817646	0.816398	0.822104	0.812451	0.814924	0.809948	0.811961	0.819037	0.820374	0.826618	0.813244	0.824399
f1score	0.606168	0.611437	0.607131	0.605766	0.615797	0.606881	0.613107	0.608849	0.609617	0.610261	0.610179	0.602400	0.604815	0.608959	0.612169	0.615506	0.608752	0.607501	0.607215	0.611739
mcc	0.346437	0.359236	0.354158	0.345372	0.352875	0.350251	0.361298	0.354232	0.356273	0.353676	0.358073	0.340767	0.346513	0.348491	0.354189	0.361774	0.355500	0.357598	0.348883	0.360766
spd0-0	0.026267	0.030473	0.026004	0.029823	0.035958	0.028257	0.029259	0.029552	0.030258	0.027250	0.030553	0.027363	0.028826	0.030502	0.031333	0.028992	0.025683	0.027327	0.031301	0.028896
spd0-1	0.074438	0.074270	0.075665	0.074763	0.080701	0.073882	0.076978	0.076218	0.077724	0.076460	0.074931	0.070811	0.072933	0.076269	0.078403	0.078481	0.077253	0.073983	0.074654	0.075347
spd0	0.048170	0.043797	0.049662	0.044939	0.044743	0.045625	0.047719	0.046666	0.047465	0.049210	0.044378	0.043448	0.044106	0.045768	0.047070	0.049490	0.051570	0.046656	0.043353	0.046451
aod0-0	0.177926	0.210607	0.185611	0.191648	0.244347	0.194641	0.206879	0.211636	0.201016	0.191602	0.209202	0.188876	0.184611	0.208626	0.223765	0.214138	0.179046	0.188481	0.219860	0.194137
aod0-1	0.226729	0.228149	0.227176	0.226498	0.240794	0.224669	0.233213	0.227236	0.231853	0.232747	0.226808	0.217942	0.223629	0.229141	0.233928	0.237004	0.231027	0.224645	0.223513	0.230943
aod0	0.024401	0.008771	0.020782	0.017425	0.001777	0.015014	0.013167	0.007800	0.015418	0.020572	0.008803	0.014533	0.019509	0.010258	0.005082	0.011433	0.025990	0.018082	0.001827	0.018403
eod0-0	0.168297	0.202186	0.178368	0.180987	0.232514	0.185328	0.198488	0.203065	0.191529	0.184162	0.199241	0.180266	0.174545	0.197652	0.215470	0.205589	0.170543	0.180832	0.210227	0.184843
eod0-1	0.211081	0.213753	0.212211	0.210544	0.220648	0.209802	0.218145	0.211602	0.216612	0.215867	0.213267	0.202205	0.208955	0.212508	0.215535	0.220623	0.216216	0.211526	0.207427	0.217479
eod0	0.042783	0.011568	0.033843	0.029557	0.011866	0.024474	0.019658	0.008537	0.025084	0.031704	0.014026	0.021939	0.034410	0.014857	0.000065	0.015034	0.045674	0.030694	0.002800	0.032636
spd1-0	0.065605	0.062762	0.067372	0.061827	0.074021	0.063327	0.064072	0.067326	0.060299	0.062818	0.063700	0.064229	0.059729	0.063559	0.075177	0.071099	0.067085	0.065697	0.062984	0.062934
spd1-1	0.057234	0.059351	0.058052	0.059514	0.064575	0.058148	0.060816	0.059701	0.062639	0.059737	0.059674	0.055192	0.058193	0.060579	0.060616	0.060623	0.058978	0.057259	0.059735	0.059478
spd1	0.008372	0.003411	0.009321	0.002312	0.009446	0.005179	0.003256	0.007624	0.002340	0.003080	0.004026	0.009037	0.001536	0.002980	0.014562	0.010476	0.008107	0.008438	0.003250	0.003456
aod1-0	0.343714	0.324999	0.345932	0.301751	0.345889	0.310792	0.326042	0.326570	0.310363	0.329018	0.340204	0.341990	0.315898	0.327431	0.390343	0.368685	0.358186	0.342566	0.345993	0.310511
aod1-1	0.204885	0.212989	0.205963	0.210587	0.227130	0.208645	0.217219	0.211332	0.217195	0.212955	0.211057	0.198365	0.205982	0.213789	0.213365	0.216731	0.207954	0.204302	0.209295	0.214273
aod1	0.069414	0.056005	0.069985	0.045582	0.059379	0.051074	0.054411	0.057619	0.046584	0.058031	0.064573	0.071812	0.054958	0.056821	0.088489	0.075977	0.075116	0.069132	0.068349	0.048119
eod1-0	0.324921	0.305810	0.324921	0.280120	0.319648	0.287926	0.303226	0.306818	0.293210	0.307937	0.323077	0.320132	0.297806	0.307453	0.365385	0.347432	0.341615	0.324242	0.328947	0.290698
eod1-1	0.192602	0.202268	0.195679	0.198173	0.211929	0.197858	0.206714	0.199750	0.204926	0.201264	0.199876	0.187080	0.194086	0.200443	0.200936	0.204941	0.196406	0.194729	0.196390	0.203972
eod1	0.132319	0.103542	0.129242	0.081948	0.107719	0.090068	0.096511	0.107068	0.088284	0.106673	0.123201	0.133052	0.103719	0.107011	0.164449	0.142491	0.145208	0.129514	0.132558	0.086725
wcspd-00	0.015368	0.019669	0.024705	0.018789	0.031590	0.024494	0.018478	0.017167	0.018443	0.023614	0.025050	0.023555	0.020127	0.015789	0.020277	0.028602	0.014538	0.016913	0.021008	0.021345
wcspd-01	0.028773	0.033178	0.026316	0.032531	0.036980	0.029169	0.031803	0.032506	0.033307	0.028165	0.031981	0.028278	0.030944	0.034053	0.033958	0.029086	0.028432	0.029839	0.033791	0.030706
wcspd-10	0.104991	0.097890	0.102005	0.096856	0.107143	0.094308	0.099410	0.106544	0.097539	0.094878	0.097625	0.095913	0.090909	0.102215	0.118846	0.103928	0.112714	0.104641	0.098921	0.094771
wcspd-11	0.070318	0.071032	0.072192	0.071744	0.077101	0.071107	0.073898	0.072025	0.075253	0.073915	0.071956	0.067323	0.070436	0.072725	0.072858	0.074866	0.072721	0.069759	0.071536	0.072577
wcspd	0.089624	0.078222	0.077301	0.078067	0.075552	0.069813	0.080932	0.089376	0.079096	0.071264	0.072575	0.072359	0.070782	0.086425	0.098568	0.075326	0.098176	0.087728	0.077912	0.073427
wcaod-00	0.166562	0.196812	0.266670	0.188606	0.332456	0.253273	0.229303	0.189195	0.173154	0.266499	0.261845	0.291335	0.180238	0.150603	0.274603	0.311003	0.214223	0.168965	0.259410	0.288003
