accuracy	0.853073	0.853498	0.851371	0.857963	0.854774	0.853073	0.851797	0.847331	0.851584	0.855411	0.862428	0.847331	0.854774	0.850521	0.843292	0.868382	0.849245	0.858601	0.851371	0.855199
recall	0.621710	0.621464	0.630179	0.628921	0.625952	0.619388	0.610145	0.620916	0.620624	0.628403	0.632762	0.615941	0.628514	0.616332	0.618172	0.634510	0.612243	0.618949	0.625864	0.623036
precision	0.759527	0.783199	0.773889	0.768300	0.779111	0.767581	0.769065	0.764428	0.756111	0.778423	0.773393	0.750540	0.759962	0.769087	0.752782	0.787078	0.781137	0.760911	0.761111	0.760158
f1score	0.650630	0.651641	0.660587	0.659900	0.656786	0.648463	0.637501	0.649058	0.648980	0.659592	0.665111	0.642737	0.658349	0.644563	0.644718	0.669025	0.639865	0.648506	0.655044	0.652471
mcc	0.355454	0.370937	0.377649	0.371966	0.374991	0.357469	0.344302	0.357623	0.351528	0.378155	0.381031	0.340868	0.365561	0.353855	0.345669	0.393013	0.355279	0.352336	0.362570	0.357820
spd0-0	0.061846	0.058611	0.059353	0.057497	0.057666	0.054645	0.049731	0.054382	0.056040	0.054529	0.054416	0.054150	0.062924	0.053850	0.060442	0.051224	0.048059	0.054017	0.058257	0.054281
spd0-1	0.078275	0.072032	0.087939	0.084357	0.078634	0.078580	0.072036	0.087167	0.084323	0.084541	0.085738	0.086531	0.084603	0.077362	0.086082	0.080096	0.073257	0.076400	0.087594	0.085351
spd0	0.016428	0.013421	0.028586	0.026860	0.020968	0.023935	0.022304	0.032785	0.028283	0.030012	0.031322	0.032381	0.021679	0.023512	0.025640	0.028872	0.025198	0.022383	0.029337	0.031070
aod0-0	0.333763	0.314570	0.309406	0.310992	0.300855	0.301381	0.262673	0.299577	0.297605	0.296199	0.314417	0.290738	0.322462	0.301832	0.308725	0.342176	0.257009	0.295476	0.306141	0.312438
aod0-1	0.287523	0.276722	0.322525	0.319740	0.304704	0.289855	0.272243	0.302956	0.307130	0.317634	0.327434	0.299391	0.318857	0.277513	0.297519	0.308826	0.275465	0.293022	0.318820	0.304796
aod0	0.023120	0.018924	0.006560	0.004374	0.001925	0.005763	0.004785	0.001689	0.004762	0.010718	0.006508	0.004327	0.001803	0.012160	0.005603	0.016675	0.009228	0.001227	0.006340	0.003821
eod0-0	0.306273	0.289286	0.282143	0.286219	0.275618	0.278986	0.240143	0.276978	0.273381	0.272059	0.291667	0.266904	0.291971	0.283828	0.281250	0.323404	0.236364	0.270270	0.279412	0.288973
eod0-1	0.255769	0.254682	0.292505	0.286869	0.278626	0.258621	0.246628	0.267631	0.270793	0.288931	0.294355	0.260870	0.286550	0.243615	0.261343	0.279208	0.251812	0.263052	0.284112	0.268859
eod0	0.050504	0.034604	0.010362	0.000650	0.003008	0.020365	0.006485	0.009347	0.002588	0.016872	0.002688	0.006034	0.005421	0.040213	0.019907	0.044196	0.015448	0.007218	0.004700	0.020115
spd1-0	0.060709	0.054197	0.071429	0.070302	0.058556	0.064538	0.051817	0.052666	0.065188	0.062624	0.065703	0.057641	0.060606	0.055593	0.055968	0.049351	0.058625	0.056653	0.065433	0.059419
spd1-1	0.075070	0.071160	0.075800	0.071990	0.073910	0.068709	0.065900	0.080716	0.074028	0.074074	0.073247	0.077235	0.080796	0.071028	0.082298	0.074929	0.063063	0.070330	0.078056	0.075419
spd1	0.014360	0.016963	0.004371	0.001688	0.015355	0.004171	0.014083	0.028050	0.008840	0.011450	0.007544	0.019594	0.020189	0.015435	0.026331	0.025578	0.004438	0.013676	0.012624	0.016000
aod1-0	0.280111	0.311398	0.372023	0.346741	0.321519	0.337481	0.271808	0.280373	0.324893	0.341742	0.331292	0.292548	0.304830	0.274966	0.247217	0.281008	0.298729	0.306417	0.318347	0.339554
aod1-1	0.310524	0.284541	0.300685	0.303794	0.297747	0.277773	0.267561	0.306920	0.294748	0.299682	0.317508	0.295302	0.325360	0.287608	0.315994	0.329844	0.258747	0.289222	0.311730	0.296179
aod1	0.015207	0.013428	0.035669	0.021473	0.011886	0.029854	0.002123	0.013273	0.015072	0.021030	0.006892	0.001377	0.010265	0.006321	0.034388	0.024418	0.019991	0.008598	0.003309	0.021688
eod1-0	0.250000	0.291005	0.340314	0.313433	0.296296	0.311558	0.248677	0.257732	0.291892	0.316062	0.302439	0.265625	0.276923	0.248731	0.215385	0.259669	0.274510	0.280220	0.288462	0.314286
eod1-1	0.281090	0.259200	0.273585	0.277296	0.271845	0.250417	0.243021	0.274725	0.265574	0.272876	0.290090	0.262136	0.292230	0.261789	0.284161	0.304114	0.237560	0.260870	0.280467	0.264463
eod1	0.031090	0.031805	0.066729	0.036136	0.024452	0.061140	0.005656	0.016993	0.026318	0.043186	0.012349	0.003489	0.015307	0.013058	0.068777	0.044446	0.036950	0.019350	0.007994	0.049823
wcspd-00	0.047688	0.046647	0.056738	0.051502	0.049708	0.048961	0.046477	0.034286	0.047913	0.047619	0.047619	0.032951	0.047548	0.038849	0.040288	0.045007	0.045732	0.044755	0.051622	0.043042
wcspd-01	0.068348	0.063969	0.060566	0.060179	0.061292	0.057162	0.051118	0.063607	0.059477	0.057807	0.057456	0.063666	0.069661	0.060567	0.069645	0.054181	0.049072	0.058468	0.061252	0.059273
wcspd-10	0.072351	0.060459	0.084724	0.086270	0.065651	0.077694	0.056166	0.068376	0.078478	0.075965	0.080820	0.079345	0.071429	0.070175	0.069797	0.053076	0.068841	0.067248	0.076647	0.073980
wcspd-11	0.080925	0.077805	0.089412	0.083385	0.085285	0.078994	0.079903	0.096444	0.087240	0.088638	0.088235	0.089976	0.090963	0.080820	0.093640	0.093525	0.075395	0.080731	0.093009	0.090744
wcspd	0.033237	0.031157	0.032674	0.034768	0.035578	0.030032	0.033426	0.062158	0.039327	0.041019	0.040616	0.057025	0.043415	0.041971	0.053352	0.048518	0.029663	0.035975	0.041387	0.047702
wcaod-00	0.252599	0.308186	0.337752	0.293385	0.345089	0.337022	0.278918	0.244942	0.279673	0.315789	0.347203	0.243637	0.296885	0.276730	0.227210	0.378914	0.282725	0.290262	0.311068	0.358256
wcaod-01	0.364957	0.316939	0.299263	0.317738	0.289006	0.290035	0.257311	0.317757	0.303808	0.290071	0.304463	0.305737	0.332121	0.310482	0.339331	0.330461	0.248057	0.297840	0.304607	0.301945
wcaod-10	0.297674	0.312196	0.395228	0.382892	0.311013	0.340626	0.267983	0.301753	0.354366	0.357499	0.328571	0.321658	0.311305	0.278633	0.263623	0.236878	0.309039	0.317480	0.324863	0.335001
wcaod-11	0.283817	0.266647	0.301190	0.296885	0.302315	0.272719	0.273858	0.304566	0.292222	0.305240	0.326315	0.291925	0.321066	0.276189	0.304928	0.332929	0.263771	0.285555	0.316341	0.296384
wcaod	0.056179	0.025146	0.047983	0.044753	0.028041	0.033954	0.010804	0.036407	0.037346	0.033714	0.021370	0.039011	0.017618	0.017147	0.056061	0.071018	0.030491	0.015962	0.010128	0.030936
wceod-00	0.226667	0.285714	0.310811	0.269231	0.322581	0.318841	0.257143	0.230769	0.257143	0.294118	0.328125	0.229508	0.275362	0.263889	0.207792	0.362069	0.263889	0.268657	0.289474	0.339623
wceod-01	0.336735	0.290323	0.271845	0.292683	0.262443	0.265700	0.234450	0.291080	0.278846	0.264706	0.280000	0.277273	0.297561	0.290043	0.308057	0.310734	0.226601	0.270833	0.275510	0.276190
wceod-10	0.263566	0.293651	0.358974	0.341463	0.283465	0.307692	0.243697	0.271318	0.313043	0.328000	0.290780	0.282443	0.277778	0.240000	0.220339	0.211382	0.280303	0.286957	0.287879	0.303279
wceod-11	0.253197	0.242647	0.274419	0.268817	0.277078	0.242347	0.247500	0.266509	0.258706	0.276961	0.295775	0.253769	0.289406	0.244792	0.272517	0.301047	0.242857	0.255875	0.282878	0.258228
wceod	0.110068	0.051004	0.087130	0.072646	0.060137	0.076494	0.022693	0.060311	0.055901	0.063294	0.048125	0.052935	0.022199	0.050043	0.100265	0.150687	0.053702	0.031082	0.013963	0.081395
