accuracy	0.826315	0.824541	0.818194	0.823995	0.824063	0.826588	0.824268	0.819491	0.815260	0.821811	0.820924	0.825496	0.826179	0.822767	0.823176	0.824882	0.821606	0.822152	0.823517	0.824336
recall	0.658723	0.657804	0.649690	0.659476	0.660282	0.660738	0.663135	0.654083	0.653310	0.654139	0.658533	0.652767	0.659973	0.658198	0.660632	0.657499	0.655880	0.659667	0.659786	0.663250
precision	0.820244	0.823817	0.818625	0.818728	0.814645	0.828360	0.818101	0.816629	0.808857	0.810957	0.812546	0.821686	0.827872	0.809884	0.814790	0.823166	0.823320	0.819855	0.818134	0.815830
f1score	0.688421	0.687070	0.676533	0.688602	0.689365	0.690821	0.692500	0.681646	0.679633	0.682201	0.686697	0.681848	0.689891	0.686728	0.689520	0.686819	0.684225	0.688359	0.688796	0.692571
mcc	0.450911	0.452105	0.436784	0.450908	0.449141	0.459478	0.455602	0.441756	0.435205	0.437861	0.445191	0.443365	0.458042	0.442823	0.449735	0.451213	0.448995	0.451974	0.450926	0.454133
spd0-0	0.050482	0.051410	0.048055	0.053270	0.058070	0.055683	0.056236	0.054350	0.057575	0.057391	0.055120	0.046642	0.050394	0.053838	0.055908	0.047008	0.053832	0.054448	0.056465	0.055521
spd0-1	0.123313	0.121274	0.118627	0.125217	0.125331	0.119715	0.128432	0.121459	0.124520	0.120604	0.127740	0.117204	0.121859	0.127867	0.127840	0.123066	0.120172	0.125894	0.124834	0.129996
spd0	0.072831	0.069864	0.070572	0.071947	0.067261	0.064033	0.072196	0.067109	0.066945	0.063213	0.072620	0.070562	0.071465	0.074028	0.071932	0.076058	0.066340	0.071446	0.068369	0.074475
aod0-0	0.332827	0.319962	0.323522	0.352165	0.373649	0.354398	0.364791	0.360686	0.352183	0.357495	0.355045	0.320397	0.324595	0.340116	0.362588	0.338372	0.350602	0.365695	0.376244	0.355012
aod0-1	0.373904	0.370539	0.351748	0.375438	0.376126	0.367135	0.383452	0.358827	0.364569	0.363799	0.376847	0.359214	0.373216	0.380082	0.380073	0.368558	0.358750	0.372881	0.371555	0.388147
aod0	0.020538	0.025289	0.014113	0.011636	0.001239	0.006368	0.009330	0.000929	0.006193	0.003152	0.010901	0.019409	0.024310	0.019983	0.008743	0.015093	0.004074	0.003593	0.002345	0.016568
eod0-0	0.313112	0.300546	0.307400	0.334552	0.351607	0.332046	0.344045	0.340996	0.329650	0.335175	0.333966	0.305503	0.307273	0.317025	0.342541	0.323353	0.329457	0.349005	0.356061	0.334566
eod0-1	0.346703	0.345528	0.324752	0.345725	0.346491	0.345418	0.353903	0.331246	0.334528	0.334695	0.345937	0.332070	0.348372	0.349025	0.349025	0.340475	0.335201	0.343105	0.342924	0.356975
eod0	0.033591	0.044982	0.017352	0.011173	0.005116	0.013372	0.009857	0.009750	0.004878	0.000480	0.011971	0.026567	0.041099	0.031999	0.006483	0.017122	0.005744	0.005901	0.013137	0.022409
spd1-0	0.093584	0.086936	0.094321	0.097892	0.093601	0.086484	0.085430	0.098870	0.098408	0.090993	0.095550	0.098922	0.090994	0.081450	0.110165	0.106187	0.093147	0.101830	0.099322	0.088848
spd1-1	0.100000	0.100224	0.095666	0.101933	0.104706	0.100742	0.107923	0.099369	0.103498	0.101217	0.105129	0.093131	0.099600	0.106872	0.102807	0.096580	0.098959	0.102220	0.102470	0.108229
spd1	0.006416	0.013288	0.001345	0.004041	0.011105	0.014258	0.022493	0.000499	0.005090	0.010224	0.009578	0.005791	0.008606	0.025422	0.007358	0.009606	0.005812	0.000390	0.003149	0.019382
aod1-0	0.464637	0.438843	0.470854	0.472243	0.423606	0.442189	0.433832	0.455443	0.468691	0.472621	0.493897	0.492582	0.458679	0.409735	0.518852	0.519055	0.447329	0.509072	0.505622	0.423812
aod1-1	0.355355	0.352783	0.331799	0.357288	0.367832	0.357102	0.372826	0.345554	0.349512	0.349699	0.358650	0.334908	0.353372	0.368473	0.358753	0.343027	0.346939	0.353561	0.356486	0.375487
aod1	0.054641	0.043030	0.069528	0.057478	0.027887	0.042543	0.030503	0.054945	0.059590	0.061461	0.067624	0.078837	0.052654	0.020631	0.080050	0.088014	0.050195	0.077756	0.074568	0.024163
eod1-0	0.432177	0.409786	0.438486	0.436747	0.387097	0.414861	0.403226	0.420455	0.432099	0.441270	0.464615	0.452145	0.426332	0.381988	0.471154	0.480363	0.413043	0.475758	0.470395	0.392442
eod1-1	0.332589	0.331128	0.310802	0.334279	0.342957	0.336169	0.347529	0.323034	0.324111	0.324171	0.331986	0.315958	0.333438	0.340500	0.336037	0.323092	0.326518	0.330543	0.333022	0.349306
eod1	0.099587	0.078658	0.127683	0.102468	0.044140	0.078692	0.055697	0.097421	0.107988	0.117099	0.132629	0.136187	0.092894	0.041488	0.135116	0.157271	0.086526	0.145215	0.137373	0.043135
