accuracy	0.816667	0.810111	0.815556	0.823778	0.813333	0.810222	0.806444	0.812667	0.816000	0.810889	0.811667	0.810000	0.810556	0.814778	0.805778	0.814111	0.814333	0.809778	0.810333	0.817333
recall	0.654740	0.649357	0.659272	0.659505	0.655314	0.654384	0.646915	0.651995	0.659792	0.654955	0.654016	0.658019	0.652150	0.655006	0.652820	0.657697	0.659515	0.651545	0.662724	0.660034
precision	0.735469	0.731798	0.741824	0.748264	0.745153	0.737815	0.728411	0.733937	0.745165	0.727458	0.738088	0.734750	0.733435	0.741485	0.732899	0.739257	0.739947	0.725353	0.743654	0.734312
f1score	0.677346	0.671106	0.682203	0.684146	0.678533	0.676530	0.667984	0.674144	0.683126	0.675927	0.676384	0.679572	0.673992	0.678059	0.674007	0.680269	0.682064	0.672410	0.685002	0.682101
mcc	0.381767	0.372132	0.392509	0.397992	0.390259	0.383223	0.366371	0.377133	0.395856	0.375477	0.382984	0.385201	0.376919	0.386944	0.377315	0.388485	0.391281	0.369600	0.398238	0.387287
spd0-0	0.121744	0.117550	0.118916	0.116786	0.121584	0.119317	0.121893	0.117334	0.123046	0.121201	0.118296	0.128486	0.119525	0.119083	0.127525	0.122804	0.128782	0.125599	0.129877	0.123108
spd0-1	0.136233	0.143098	0.148490	0.131467	0.134493	0.147881	0.139739	0.144063	0.139770	0.155348	0.145245	0.147708	0.145072	0.138363	0.144244	0.143334	0.138268	0.143935	0.149958	0.147683
spd0	0.014489	0.025548	0.029574	0.014682	0.012909	0.028564	0.017846	0.026729	0.016724	0.034147	0.026950	0.019222	0.025547	0.019280	0.016719	0.020530	0.009486	0.018336	0.020080	0.024575
aod0-0	0.430028	0.411501	0.428014	0.430182	0.418908	0.411783	0.419085	0.419157	0.426153	0.422855	0.405757	0.432786	0.418301	0.421073	0.427133	0.434508	0.459519	0.426831	0.443824	0.428538
aod0-1	0.432688	0.435565	0.455376	0.426937	0.431385	0.455544	0.420857	0.437399	0.450771	0.473065	0.458368	0.463151	0.442495	0.434043	0.442639	0.442320	0.421588	0.448915	0.460564	0.475242
aod0	0.001330	0.012032	0.013681	0.001622	0.006239	0.021880	0.000886	0.009121	0.012309	0.025105	0.026306	0.015183	0.012097	0.006485	0.007753	0.003906	0.018966	0.011042	0.008370	0.023352
eod0-0	0.374346	0.355675	0.377641	0.377095	0.365188	0.355379	0.361995	0.367257	0.369017	0.365678	0.349780	0.369887	0.362745	0.367347	0.366412	0.377698	0.401434	0.365149	0.386910	0.367847
eod0-1	0.363980	0.365494	0.379953	0.369487	0.370198	0.387597	0.349133	0.361927	0.390187	0.391204	0.391846	0.395243	0.370621	0.369089	0.373737	0.374718	0.354402	0.375300	0.389269	0.405762
eod0	0.010366	0.009819	0.002313	0.007607	0.005010	0.032218	0.012862	0.005329	0.021170	0.025525	0.042066	0.025357	0.007876	0.001742	0.007325	0.002980	0.047032	0.010151	0.002360	0.037915
spd1-0	0.122217	0.123502	0.127857	0.117532	0.121978	0.126273	0.125519	0.125245	0.123898	0.130577	0.124649	0.128557	0.123169	0.122526	0.129548	0.126234	0.129241	0.129589	0.134357	0.127623
spd1-1	0.177966	0.169100	0.158730	0.171875	0.175309	0.173913	0.162592	0.153571	0.186298	0.183511	0.175525	0.209906	0.196782	0.169533	0.181481	0.180328	0.166253	0.167959	0.172932	0.186567
spd1	0.055749	0.045598	0.030873	0.054343	0.053331	0.047640	0.037072	0.028326	0.062400	0.052934	0.050876	0.081348	0.073613	0.047007	0.051933	0.054094	0.037012	0.038370	0.038575	0.058944
aod1-0	0.421991	0.414493	0.432087	0.419539	0.416112	0.422103	0.416667	0.419656	0.422415	0.438058	0.421252	0.426629	0.418104	0.418318	0.426514	0.427038	0.439273	0.433147	0.445458	0.439266
aod1-1	0.508343	0.480933	0.492123	0.502337	0.491740	0.493884	0.443464	0.483857	0.550325	0.500810	0.489323	0.612524	0.521688	0.491009	0.500000	0.524887	0.472666	0.460334	0.493809	0.529332
aod1	0.043176	0.033220	0.030018	0.041399	0.037814	0.035890	0.013399	0.032100	0.063955	0.031376	0.034035	0.092947	0.051792	0.036346	0.036743	0.048925	0.016697	0.013593	0.024175	0.045033
eod1-0	0.364481	0.355293	0.371831	0.366924	0.361513	0.362059	0.355506	0.360067	0.365634	0.373726	0.363025	0.366042	0.360877	0.361473	0.365946	0.367473	0.380101	0.367849	0.384159	0.378127
