accuracy	0.858497	0.851969	0.860813	0.853653	0.857023	0.860602	0.857023	0.849863	0.857654	0.855549	0.860602	0.858707	0.858075	0.853864	0.863340	0.858286	0.853232	0.857233	0.862076	0.857654
recall	0.624640	0.698083	0.656211	0.624969	0.660956	0.656924	0.613418	0.657322	0.649406	0.631692	0.630660	0.645026	0.642929	0.626647	0.666147	0.649051	0.634766	0.594697	0.637390	0.675620
precision	0.782735	0.741254	0.779545	0.788762	0.755495	0.772352	0.778889	0.741500	0.797697	0.770410	0.793513	0.789770	0.786175	0.785160	0.766960	0.771337	0.789287	0.816475	0.783180	0.764555
f1score	0.656164	0.715676	0.689390	0.655941	0.689969	0.689137	0.642719	0.683715	0.683885	0.662673	0.663916	0.678840	0.676243	0.657720	0.697141	0.681075	0.666873	0.619766	0.670788	0.704484
mcc	0.375447	0.437211	0.417937	0.379928	0.405579	0.413467	0.355702	0.389837	0.421795	0.377417	0.391666	0.409997	0.404488	0.380077	0.421211	0.402208	0.394897	0.346233	0.394492	0.431097
spd0-0	0.070769	0.121789	0.075162	0.063506	0.093105	0.085004	0.048060	0.113985	0.077198	0.070835	0.055824	0.076073	0.075044	0.082731	0.086882	0.073464	0.062921	0.040541	0.073394	0.089519
spd0-1	0.061035	0.147732	0.097371	0.070036	0.101942	0.092057	0.070536	0.093598	0.082536	0.077173	0.076799	0.079582	0.079696	0.056366	0.101898	0.094686	0.083201	0.046029	0.071138	0.121536
spd0	0.009734	0.025943	0.022209	0.006530	0.008837	0.007053	0.022476	0.020387	0.005338	0.006338	0.020975	0.003509	0.004651	0.026365	0.015016	0.021222	0.020280	0.005488	0.002256	0.032017
aod0-0	0.399015	0.577137	0.403975	0.357327	0.456725	0.441230	0.285185	0.517572	0.419758	0.375856	0.341144	0.402217	0.410679	0.424371	0.435306	0.394519	0.333156	0.233609	0.420344	0.437185
aod0-1	0.236041	0.506299	0.365318	0.262435	0.379511	0.350305	0.265813	0.344455	0.313460	0.290522	0.290261	0.310557	0.303641	0.226224	0.396611	0.351495	0.314552	0.199972	0.276038	0.447188
aod0	0.081487	0.035419	0.019329	0.047446	0.038607	0.045462	0.009686	0.086558	0.053149	0.042667	0.025442	0.045830	0.053519	0.099074	0.019348	0.021512	0.009302	0.016818	0.072153	0.005001
eod0-0	0.373737	0.512195	0.374593	0.336634	0.413115	0.406452	0.266667	0.458599	0.392857	0.346667	0.324042	0.372549	0.380623	0.392283	0.392491	0.365772	0.309211	0.219595	0.391459	0.396040
eod0-1	0.213280	0.436911	0.328032	0.236742	0.336032	0.313646	0.239845	0.304781	0.287037	0.260870	0.261719	0.285164	0.277674	0.208897	0.359918	0.312377	0.287293	0.190283	0.251485	0.397313
eod0	0.160458	0.075284	0.046561	0.099891	0.077082	0.092806	0.026821	0.153818	0.105820	0.085797	0.062323	0.087385	0.102949	0.183385	0.032573	0.053395	0.021918	0.029311	0.139974	0.001273
spd1-0	0.070935	0.136986	0.099375	0.065543	0.101468	0.075556	0.068168	0.092593	0.073776	0.070164	0.075599	0.065532	0.069139	0.068923	0.100379	0.090458	0.078518	0.048306	0.071738	0.109034
spd1-1	0.063054	0.134585	0.080025	0.067684	0.095852	0.095148	0.055556	0.108981	0.083227	0.076097	0.062140	0.084124	0.081697	0.068502	0.091627	0.081659	0.071270	0.040887	0.072478	0.105280
spd1	0.007881	0.002402	0.019350	0.002140	0.005616	0.019593	0.012612	0.016388	0.009451	0.005933	0.013460	0.018592	0.012558	0.000421	0.008752	0.008800	0.007247	0.007419	0.000740	0.003754
aod1-0	0.345826	0.586430	0.478195	0.305789	0.428072	0.342031	0.332529	0.412620	0.347985	0.291592	0.381927	0.354285	0.329630	0.332595	0.461997	0.413839	0.348249	0.275694	0.359653	0.487596
aod1-1	0.277033	0.507704	0.339741	0.291743	0.400055	0.400511	0.246302	0.413540	0.353077	0.332355	0.274866	0.342503	0.346718	0.289102	0.390587	0.345137	0.308337	0.189208	0.315313	0.423632
aod1	0.034396	0.039363	0.069227	0.007023	0.014008	0.029240	0.043114	0.000460	0.002546	0.020381	0.053531	0.005891	0.008544	0.021747	0.035705	0.034351	0.019956	0.043243	0.022170	0.031982
eod1-0	0.315789	0.511013	0.431818	0.275862	0.372807	0.302326	0.301370	0.363229	0.316667	0.251121	0.353191	0.330233	0.300847	0.306452	0.414097	0.372385	0.313253	0.260465	0.328829	0.431718
eod1-1	0.256184	0.445008	0.313559	0.272120	0.362522	0.366894	0.228873	0.364250	0.328947	0.308748	0.255319	0.313115	0.319113	0.265517	0.354955	0.315141	0.287625	0.179130	0.290780	0.383585
eod1	0.059606	0.066005	0.118259	0.003742	0.010285	0.064569	0.072497	0.001021	0.012281	0.057627	0.097872	0.017118	0.018265	0.040934	0.059142	0.057244	0.025628	0.081335	0.038049	0.048133
wcspd-00	0.060080	0.118509	0.069463	0.053279	0.085434	0.070365	0.050704	0.099738	0.059864	0.058824	0.055844	0.046543	0.056757	0.069149	0.070479	0.064649	0.056022	0.047936	0.067017	0.100551
wcspd-01	0.076016	0.123424	0.077964	0.068484	0.096609	0.091961	0.046855	0.121132	0.085657	0.076478	0.055814	0.090789	0.083995	0.089726	0.094723	0.077683	0.066181	0.036941	0.076571	0.084168
wcspd-10	0.080569	0.153216	0.126643	0.075862	0.114889	0.080144	0.082115	0.086247	0.085421	0.079906	0.093349	0.082635	0.079906	0.068729	0.127404	0.111612	0.096811	0.048636	0.075935	0.116041
wcspd-11	0.050920	0.144866	0.082029	0.066951	0.095120	0.098209	0.064070	0.097516	0.080982	0.075729	0.068027	0.078040	0.079587	0.049880	0.088568	0.085396	0.075942	0.044665	0.068579	0.124469
wcspd	0.029648	0.034708	0.057180	0.022583	0.029454	0.027843	0.035260	0.034885	0.025793	0.021082	0.037535	0.044246	0.027238	0.039846	0.056925	0.046963	0.040789	0.011695	0.009554	0.040300
wcaod-00	0.414000	0.590416	0.456542	0.300208	0.429941	0.389617	0.352522	0.514059	0.345419	0.290480	0.447748	0.360802	0.297313	0.394296	0.343020	0.420851	0.279720	0.296570	0.448790	0.535989
wcaod-01	0.394254	0.571201	0.387047	0.375621	0.464032	0.454439	0.264371	0.519103	0.445056	0.396366	0.305426	0.416974	0.461250	0.438148	0.466016	0.385925	0.349867	0.208461	0.409966	0.401088
wcaod-10	0.316935	0.585965	0.496244	0.309587	0.428785	0.318503	0.328075	0.351759	0.350243	0.292035	0.359364	0.354892	0.349557	0.294363	0.520662	0.417212	0.379850	0.261252	0.314625	0.462908
wcaod-11	0.198110	0.473768	0.307882	0.241886	0.355772	0.363643	0.236735	0.341178	0.296788	0.288864	0.257039	0.292163	0.285468	0.196374	0.338982	0.318939	0.283416	0.177308	0.258831	0.439769
wcaod	0.107945	0.058324	0.094181	0.066868	0.054130	0.067968	0.057894	0.088963	0.074134	0.053751	0.095354	0.062405	0.087891	0.120887	0.090840	0.050956	0.050065	0.059631	0.094979	0.067451
wceod-00	0.388889	0.518987	0.424658	0.272727	0.378378	0.347826	0.327869	0.456790	0.316456	0.250000	0.430556	0.343284	0.269663	0.368421	0.297297	0.394737	0.246753	0.277108	0.421053	0.480519
wceod-01	0.368889	0.509615	0.358974	0.358407	0.424242	0.423237	0.248804	0.459227	0.419214	0.372881	0.288372	0.380753	0.430000	0.402778	0.424658	0.355856	0.330396	0.197183	0.380488	0.367257
wceod-10	0.282051	0.506757	0.435374	0.277419	0.370130	0.280822	0.291139	0.309859	0.316770	0.251572	0.319018	0.324324	0.319728	0.267974	0.470588	0.361963	0.343023	0.250000	0.280822	0.406667
wceod-11	0.181818	0.409922	0.283708	0.219839	0.320588	0.327536	0.217270	0.302778	0.274406	0.265130	0.234957	0.269542	0.261658	0.184066	0.309524	0.289017	0.261456	0.168508	0.239554	0.393531
wceod	0.207071	0.109066	0.151666	0.138568	0.103654	0.142415	0.110599	0.156450	0.144808	0.122881	0.195599	0.111211	0.168342	0.218712	0.173291	0.105720	0.096270	0.108600	0.181498	0.113263
