accuracy	0.862076	0.861866	0.857233	0.851758	0.860602	0.860392	0.859339	0.852601	0.856180	0.856601	0.860813	0.858707	0.857023	0.853864	0.864603	0.855970	0.854285	0.860813	0.859971	0.856180
recall	0.640881	0.649848	0.642285	0.625717	0.646135	0.645354	0.643317	0.637122	0.643433	0.645652	0.640272	0.644069	0.644697	0.635221	0.652530	0.628931	0.647423	0.650545	0.640208	0.652675
precision	0.786588	0.795928	0.773441	0.776811	0.778470	0.779555	0.765976	0.760078	0.796522	0.765488	0.784545	0.790738	0.779325	0.776437	0.780302	0.775856	0.782005	0.770051	0.770220	0.770998
f1score	0.674766	0.684890	0.674322	0.655866	0.679232	0.678513	0.674902	0.667103	0.677248	0.676827	0.673752	0.677916	0.677319	0.666636	0.686379	0.660110	0.679946	0.682716	0.672267	0.684324
mcc	0.401870	0.421161	0.394494	0.373094	0.403457	0.403159	0.390481	0.377690	0.412461	0.393288	0.399568	0.409323	0.402082	0.386679	0.413543	0.377182	0.407794	0.403262	0.389292	0.406816
spd0-0	0.063297	0.059787	0.065659	0.058140	0.077734	0.068875	0.064815	0.072337	0.066488	0.072147	0.060220	0.062362	0.071492	0.069168	0.070968	0.061443	0.068315	0.069311	0.067278	0.071975
spd0-1	0.083670	0.095143	0.093673	0.081576	0.081715	0.088798	0.095929	0.090357	0.086124	0.095857	0.087712	0.090434	0.088907	0.082381	0.091584	0.079505	0.097068	0.098574	0.087398	0.103325
spd0	0.020373	0.035355	0.028014	0.023436	0.003981	0.019923	0.031114	0.018020	0.019636	0.023710	0.027492	0.028072	0.017415	0.013213	0.020616	0.018062	0.028754	0.029263	0.020120	0.031351
aod0-0	0.373252	0.369167	0.357148	0.317723	0.405718	0.370867	0.349049	0.362222	0.366401	0.383026	0.370025	0.350526	0.382997	0.362870	0.387889	0.338024	0.353248	0.361612	0.373582	0.364062
aod0-1	0.315580	0.348842	0.344485	0.299287	0.320821	0.340122	0.357743	0.332969	0.323408	0.350665	0.319900	0.339878	0.333123	0.309269	0.356183	0.298785	0.360293	0.376302	0.327340	0.385888
aod0	0.028836	0.010162	0.006331	0.009218	0.042449	0.015372	0.004347	0.014626	0.021497	0.016181	0.025062	0.005324	0.024937	0.026801	0.015853	0.019619	0.003523	0.007345	0.023121	0.010913
eod0-0	0.353535	0.351916	0.332248	0.297030	0.373770	0.345161	0.318519	0.331210	0.344156	0.353333	0.351916	0.330065	0.352941	0.337621	0.358362	0.315436	0.325658	0.331081	0.345196	0.333333
eod0-1	0.281690	0.312618	0.306163	0.267045	0.291498	0.305499	0.321083	0.294821	0.294444	0.310277	0.283203	0.306358	0.302064	0.276596	0.323108	0.267191	0.325967	0.338057	0.293069	0.345489
eod0	0.071845	0.039299	0.026085	0.029984	0.082273	0.039662	0.002565	0.036389	0.049711	0.043057	0.068713	0.023707	0.050877	0.061025	0.035253	0.048246	0.000309	0.006976	0.052126	0.012156
spd1-0	0.079096	0.076588	0.086250	0.071785	0.074665	0.073651	0.083177	0.076543	0.070056	0.080278	0.081131	0.072464	0.082338	0.075077	0.078283	0.071252	0.081658	0.089711	0.072975	0.095327
spd1-1	0.071293	0.079224	0.076850	0.069908	0.082338	0.081916	0.080000	0.084372	0.080357	0.086517	0.071108	0.079380	0.079797	0.076825	0.083096	0.070813	0.084574	0.081775	0.080140	0.085242
spd1	0.007803	0.002636	0.009400	0.001877	0.007673	0.008265	0.003177	0.007829	0.010301	0.006239	0.010023	0.006916	0.002541	0.001748	0.004814	0.000438	0.002916	0.007936	0.007166	0.010085
aod1-0	0.380923	0.387285	0.405665	0.327410	0.353036	0.355489	0.415227	0.352556	0.336738	0.348347	0.399003	0.377992	0.383620	0.349776	0.384847	0.335985	0.368330	0.429556	0.357299	0.445874
aod1-1	0.316066	0.339407	0.324096	0.294491	0.353484	0.348640	0.329681	0.339248	0.338274	0.365050	0.307926	0.329141	0.336479	0.319288	0.360381	0.301730	0.351660	0.345979	0.337111	0.348882
aod1	0.032429	0.023939	0.040784	0.016460	0.000224	0.003425	0.042773	0.006654	0.000768	0.008351	0.045539	0.024425	0.023571	0.015244	0.012233	0.017127	0.008335	0.041789	0.010094	0.048496
eod1-0	0.346491	0.356828	0.363636	0.293103	0.320175	0.320930	0.378995	0.313901	0.308333	0.304933	0.365957	0.348837	0.347458	0.318548	0.352423	0.305439	0.333333	0.386047	0.324324	0.400881
eod1-1	0.293286	0.314721	0.298305	0.272120	0.323993	0.320819	0.297535	0.306914	0.314145	0.334477	0.283688	0.303279	0.308874	0.291379	0.329730	0.276408	0.322742	0.316522	0.306738	0.318258
eod1	0.053205	0.042107	0.065331	0.020983	0.003818	0.000111	0.081460	0.006987	0.005811	0.029544	0.082270	0.045559	0.038584	0.027169	0.022693	0.029031	0.010591	0.069525	0.017587	0.082623
wcspd-00	0.052069	0.059920	0.060288	0.053279	0.063025	0.060893	0.061972	0.068241	0.048980	0.062927	0.053247	0.046543	0.068919	0.059840	0.055851	0.049519	0.051821	0.082557	0.063075	0.079890
wcspd-01	0.068807	0.059721	0.068299	0.060505	0.084453	0.072669	0.066110	0.074391	0.075033	0.076478	0.063787	0.070245	0.072751	0.073973	0.078195	0.067149	0.076109	0.062865	0.069372	0.068136
wcspd-10	0.103081	0.091228	0.109916	0.087356	0.084408	0.084928	0.100112	0.083916	0.087699	0.095182	0.106184	0.095808	0.094007	0.088202	0.098558	0.089064	0.105923	0.096085	0.081776	0.108077
wcspd-11	0.073620	0.097188	0.085160	0.078515	0.080296	0.090797	0.093593	0.093789	0.085276	0.096214	0.077922	0.087719	0.086270	0.079327	0.087940	0.074257	0.092345	0.099876	0.090399	0.100789
wcspd	0.051011	0.037467	0.049628	0.034078	0.021428	0.029904	0.038141	0.025547	0.038720	0.033286	0.052938	0.049266	0.025088	0.028361	0.042707	0.039546	0.054102	0.037011	0.027324	0.039941
wcaod-00	0.355490	0.402068	0.385150	0.300208	0.345186	0.379169	0.424259	0.391799	0.288689	0.337355	0.432426	0.374267	0.349937	0.338621	0.314757	0.334223	0.263594	0.451555	0.397618	0.455646
wcaod-01	0.378447	0.355973	0.347548	0.322524	0.424720	0.367229	0.327044	0.351437	0.393105	0.392886	0.349612	0.345010	0.397439	0.373750	0.412365	0.339988	0.383308	0.325282	0.364552	0.331274
wcaod-10	0.399076	0.382784	0.422419	0.343785	0.356149	0.345900	0.414457	0.332028	0.362665	0.354419	0.393991	0.386807	0.404279	0.359150	0.419494	0.342050	0.417567	0.416219	0.337990	0.442716
wcaod-11	0.276420	0.335377	0.309908	0.279570	0.304618	0.337315	0.332113	0.332422	0.306062	0.348423	0.284194	0.319966	0.304980	0.287473	0.327286	0.277429	0.333259	0.360367	0.322625	0.361412
wcaod	0.061328	0.033346	0.056256	0.032108	0.060051	0.020927	0.048608	0.029885	0.052208	0.027766	0.074116	0.033420	0.049649	0.043139	0.052369	0.032310	0.076987	0.063137	0.037496	0.062186
wceod-00	0.333333	0.379747	0.356164	0.272727	0.310811	0.347826	0.393443	0.358025	0.265823	0.296875	0.416667	0.358209	0.314607	0.315789	0.283784	0.315789	0.233766	0.409639	0.368421	0.415584
wceod-01	0.360000	0.341346	0.324786	0.305310	0.393939	0.344398	0.296651	0.321888	0.371179	0.368644	0.330233	0.322176	0.370000	0.347222	0.383562	0.315315	0.356828	0.300469	0.336585	0.305310
wceod-10	0.352564	0.344595	0.367347	0.303226	0.324675	0.308219	0.373418	0.288732	0.329193	0.308176	0.343558	0.344595	0.367347	0.320261	0.385621	0.300613	0.377907	0.371212	0.301370	0.393333
