accuracy	0.824444	0.818222	0.821556	0.828778	0.817333	0.811556	0.814444	0.818444	0.821667	0.817889	0.818444	0.816000	0.823000	0.817333	0.811333	0.818444	0.823444	0.820111	0.814444	0.815778
recall	0.661006	0.650821	0.657745	0.677755	0.650744	0.681641	0.649980	0.653706	0.667174	0.632184	0.667016	0.666251	0.667263	0.652880	0.646264	0.671928	0.655389	0.670531	0.658353	0.666554
precision	0.755767	0.756348	0.761405	0.754602	0.761461	0.732877	0.751140	0.750465	0.758187	0.764372	0.751410	0.747661	0.762778	0.750489	0.753876	0.745331	0.772363	0.746142	0.758714	0.728845
f1score	0.686502	0.675732	0.683504	0.701943	0.675847	0.699622	0.673938	0.678154	0.692197	0.656304	0.690846	0.689393	0.692969	0.677191	0.669824	0.694397	0.682285	0.693460	0.682799	0.686762
mcc	0.405857	0.393257	0.406129	0.425472	0.397058	0.411339	0.388155	0.392418	0.415509	0.373875	0.409827	0.405827	0.419299	0.391381	0.385398	0.410751	0.411448	0.409755	0.404812	0.390462
spd0-0	0.117221	0.101361	0.104535	0.127586	0.107269	0.151048	0.103984	0.101175	0.122494	0.077009	0.117361	0.130904	0.109317	0.115385	0.105468	0.132606	0.106089	0.126706	0.115589	0.140089
spd0-1	0.127304	0.135522	0.138423	0.146735	0.123170	0.181390	0.140306	0.148002	0.138086	0.120704	0.156755	0.143015	0.151440	0.125835	0.130097	0.153354	0.118436	0.154276	0.137814	0.148241
spd0	0.010083	0.034161	0.033887	0.019149	0.015901	0.030342	0.036322	0.046827	0.015592	0.043695	0.039394	0.012111	0.042123	0.010451	0.024629	0.020748	0.012347	0.027570	0.022225	0.008153
aod0-0	0.422390	0.376552	0.393647	0.469645	0.385832	0.503070	0.380019	0.379170	0.437558	0.298783	0.421312	0.453608	0.400153	0.407903	0.376912	0.464842	0.405720	0.444925	0.408274	0.478944
aod0-1	0.429972	0.426264	0.438144	0.481445	0.402906	0.554111	0.432535	0.457876	0.450152	0.390177	0.491285	0.454643	0.487565	0.411238	0.405755	0.483712	0.381599	0.497452	0.434467	0.473460
aod0	0.003791	0.024856	0.022248	0.005900	0.008537	0.025520	0.026258	0.039353	0.006297	0.045697	0.034987	0.000517	0.043706	0.001668	0.014421	0.009435	0.012061	0.026264	0.013097	0.002742
eod0-0	0.371728	0.336014	0.355634	0.411546	0.344710	0.425044	0.339639	0.340708	0.385553	0.273136	0.372687	0.394256	0.355615	0.355812	0.335878	0.401978	0.367384	0.387916	0.362883	0.406903
eod0-1	0.376574	0.366629	0.374126	0.419547	0.350407	0.468439	0.365318	0.384254	0.392523	0.336806	0.417894	0.391846	0.424859	0.359862	0.346801	0.416479	0.334086	0.425659	0.374429	0.402161
eod0	0.004847	0.030615	0.018492	0.008001	0.005698	0.043394	0.025679	0.043546	0.006971	0.063670	0.045206	0.002410	0.069244	0.004050	0.010923	0.014500	0.033298	0.037744	0.011546	0.004742
spd1-0	0.113408	0.109440	0.114167	0.127816	0.106716	0.156706	0.113053	0.118137	0.119491	0.091295	0.128067	0.127821	0.119385	0.115807	0.111966	0.132692	0.104467	0.132142	0.121556	0.135554
spd1-1	0.197337	0.169100	0.156288	0.206731	0.183951	0.225617	0.169927	0.134524	0.218750	0.131649	0.186650	0.212264	0.195545	0.157248	0.149383	0.225725	0.177419	0.196382	0.152882	0.222637
spd1	0.083928	0.059660	0.042121	0.078915	0.077235	0.068911	0.056874	0.016387	0.099259	0.040354	0.058583	0.084443	0.076160	0.041441	0.037417	0.093033	0.072953	0.064240	0.031326	0.087083
aod1-0	0.409554	0.387172	0.402385	0.459685	0.375771	0.514606	0.393868	0.408541	0.420039	0.331220	0.442192	0.434732	0.426268	0.404411	0.385426	0.452791	0.381797	0.457692	0.414807	0.461695
aod1-1	0.564278	0.486518	0.488790	0.597360	0.532018	0.611481	0.466112	0.437978	0.630103	0.394031	0.525393	0.621698	0.541258	0.452656	0.421726	0.646133	0.511911	0.544052	0.452518	0.611055
aod1	0.077362	0.049673	0.043202	0.068837	0.078124	0.048438	0.036122	0.014718	0.105032	0.031405	0.041601	0.093483	0.057495	0.024122	0.018150	0.096671	0.065057	0.043180	0.018855	0.074680
eod1-0	0.362739	0.342342	0.354930	0.403675	0.332592	0.436486	0.346003	0.357263	0.370141	0.295583	0.385994	0.378721	0.378865	0.354108	0.340000	0.391671	0.344326	0.397025	0.364224	0.394997
eod1-1	0.460829	0.406250	0.433790	0.500000	0.459227	0.500000	0.384937	0.378788	0.530435	0.345972	0.442060	0.513761	0.442982	0.384279	0.345455	0.542986	0.422535	0.456140	0.396476	0.483721
eod1	0.098090	0.063908	0.078860	0.096325	0.126636	0.063514	0.038934	0.021525	0.160294	0.050388	0.056066	0.135040	0.064118	0.030172	0.005455	0.151315	0.078209	0.059115	0.032252	0.088724
wcspd-00	0.108625	0.093498	0.098551	0.119121	0.096828	0.142559	0.096008	0.096547	0.109407	0.070259	0.110226	0.120646	0.099938	0.110073	0.099294	0.122941	0.099112	0.119672	0.110906	0.131780
