accuracy	0.720444	0.730556	0.717444	0.721778	0.711222	0.729889	0.716889	0.723889	0.722444	0.719889	0.717667	0.717222	0.717000	0.711889	0.703111	0.713444	0.717444	0.715889	0.716778	0.730889
recall	0.668546	0.666964	0.669982	0.677554	0.666829	0.680262	0.670409	0.667362	0.671833	0.666062	0.670588	0.676540	0.672767	0.671078	0.661365	0.668651	0.666927	0.674136	0.664766	0.669199
precision	0.632564	0.639371	0.634702	0.636348	0.632351	0.647395	0.636303	0.635450	0.638257	0.632868	0.636241	0.639788	0.636580	0.633154	0.628176	0.632640	0.633503	0.635397	0.635906	0.637166
f1score	0.640506	0.647681	0.642303	0.644412	0.639203	0.656186	0.643837	0.643634	0.646386	0.640709	0.643866	0.647311	0.644112	0.639947	0.634039	0.639732	0.641096	0.642714	0.643290	0.645961
mcc	0.298952	0.305090	0.302635	0.311185	0.297186	0.326005	0.304810	0.301126	0.308266	0.297080	0.304901	0.314186	0.307223	0.301859	0.287632	0.299131	0.298565	0.307099	0.299284	0.304686
spd0-0	0.314580	0.289551	0.327802	0.325462	0.324224	0.299685	0.326206	0.309401	0.317638	0.312325	0.320688	0.326144	0.311804	0.329697	0.333457	0.329943	0.319742	0.330690	0.313794	0.286268
spd0-1	0.310196	0.297699	0.308445	0.314108	0.332505	0.327056	0.314909	0.299100	0.307045	0.308771	0.320362	0.333241	0.343300	0.334076	0.338696	0.319232	0.311173	0.323644	0.316012	0.309045
spd0	0.004384	0.008148	0.019357	0.011354	0.008281	0.027372	0.011297	0.010302	0.010594	0.003554	0.000326	0.007098	0.031496	0.004379	0.005239	0.010711	0.008569	0.007045	0.002219	0.022777
aod0-0	0.828595	0.774391	0.858537	0.858704	0.836810	0.796750	0.848040	0.817640	0.826432	0.827836	0.833904	0.848949	0.820767	0.853831	0.848287	0.856558	0.837382	0.865766	0.811665	0.769311
aod0-1	0.800881	0.765958	0.788653	0.825697	0.840168	0.846523	0.805134	0.770067	0.802744	0.781857	0.821994	0.854304	0.866862	0.851670	0.841150	0.813214	0.790733	0.830136	0.798449	0.803477
aod0	0.013857	0.004216	0.034942	0.016504	0.001679	0.024886	0.021453	0.023786	0.011844	0.022990	0.005955	0.002677	0.023048	0.001081	0.003568	0.021672	0.023325	0.017815	0.006608	0.017083
eod0-0	0.584642	0.553172	0.603873	0.600559	0.585324	0.568783	0.594153	0.578761	0.578764	0.587601	0.584141	0.596171	0.579323	0.593611	0.585242	0.595324	0.586918	0.609457	0.570837	0.550409
eod0-1	0.566751	0.551646	0.559441	0.600715	0.586729	0.615725	0.574566	0.549941	0.582944	0.547454	0.586636	0.610419	0.610169	0.603230	0.582492	0.579007	0.562077	0.586331	0.563927	0.575030
eod0	0.017892	0.001527	0.044433	0.000156	0.001405	0.046942	0.019587	0.028820	0.004180	0.040147	0.002495	0.014248	0.030847	0.009618	0.002750	0.016317	0.024841	0.023126	0.006910	0.024621
spd1-0	0.316247	0.293348	0.325388	0.324927	0.332723	0.316235	0.328282	0.310294	0.316601	0.313531	0.322915	0.329612	0.326904	0.333496	0.340537	0.328987	0.317671	0.327620	0.320532	0.297950
