accuracy	0.856687	0.857538	0.854986	0.864980	0.859026	0.855411	0.859026	0.851159	0.848820	0.857112	0.859877	0.850734	0.854774	0.850734	0.845843	0.873485	0.852435	0.853498	0.849670	0.852860
recall	0.666748	0.669075	0.673749	0.677955	0.672239	0.668655	0.666843	0.670968	0.664050	0.663928	0.670009	0.665903	0.678263	0.668597	0.655649	0.689191	0.657458	0.646868	0.667084	0.658611
precision	0.752225	0.766014	0.761799	0.769576	0.766172	0.750973	0.763827	0.752482	0.731210	0.762027	0.746345	0.742968	0.742050	0.743256	0.744432	0.775239	0.760110	0.729231	0.738307	0.736814
f1score	0.694442	0.699034	0.702133	0.708060	0.701984	0.695731	0.696820	0.697668	0.687311	0.693728	0.696206	0.691464	0.701509	0.693781	0.682358	0.719217	0.687027	0.672564	0.691407	0.684192
mcc	0.410161	0.424153	0.426556	0.438052	0.428230	0.411474	0.419608	0.415531	0.389512	0.414505	0.409297	0.401543	0.415444	0.405030	0.390106	0.456389	0.404753	0.366970	0.399085	0.387615
spd0-0	0.082310	0.075744	0.081385	0.075630	0.078261	0.078324	0.079749	0.080449	0.085898	0.073006	0.082962	0.082113	0.090539	0.082777	0.080740	0.076609	0.073013	0.077621	0.088073	0.080318
spd0-1	0.121406	0.123944	0.131505	0.125307	0.123511	0.130036	0.116147	0.138015	0.134996	0.121176	0.123933	0.134286	0.138733	0.137622	0.125101	0.123348	0.117763	0.111600	0.133175	0.124744
spd0	0.039096	0.048200	0.050120	0.049677	0.045250	0.051712	0.036398	0.057565	0.049098	0.048170	0.040972	0.052173	0.048194	0.054845	0.044361	0.046739	0.044750	0.033979	0.045101	0.044426
aod0-0	0.433216	0.410563	0.395752	0.398336	0.396702	0.430842	0.401434	0.418789	0.402455	0.377351	0.432113	0.432543	0.441706	0.407703	0.391130	0.479279	0.372592	0.399197	0.428475	0.424470
aod0-1	0.428520	0.435328	0.466233	0.469029	0.452822	0.443794	0.428512	0.461207	0.467087	0.433821	0.446110	0.445224	0.488121	0.471061	0.421639	0.459126	0.414759	0.389777	0.455904	0.421226
aod0	0.002348	0.012383	0.035240	0.035347	0.028060	0.006476	0.013539	0.021209	0.032316	0.028235	0.006999	0.006341	0.023207	0.031679	0.015254	0.010077	0.021084	0.004710	0.013715	0.001622
eod0-0	0.394834	0.378571	0.353571	0.363958	0.360424	0.398551	0.362007	0.381295	0.356115	0.341912	0.390152	0.395018	0.394161	0.369637	0.350694	0.446809	0.338182	0.359073	0.382353	0.384030
eod0-1	0.373077	0.382022	0.414991	0.418182	0.402672	0.379310	0.383430	0.397830	0.400387	0.384615	0.389113	0.378072	0.423002	0.402750	0.364791	0.407921	0.365942	0.333333	0.392523	0.359768
eod0	0.021757	0.003451	0.061419	0.054224	0.042248	0.019240	0.021423	0.016535	0.044272	0.042704	0.001039	0.016946	0.028841	0.033114	0.014097	0.038888	0.027760	0.025740	0.010170	0.024263
