accuracy	0.753702	0.758343	0.759776	0.753634	0.755340	0.762165	0.758070	0.755135	0.755067	0.766055	0.753634	0.755272	0.767351	0.757046	0.755272	0.759981	0.761960	0.762574	0.754385	0.754453
recall	0.735119	0.743454	0.738619	0.733570	0.734256	0.740443	0.745317	0.742498	0.735325	0.746084	0.736289	0.728794	0.740841	0.740237	0.741237	0.739399	0.742131	0.744129	0.728592	0.738625
precision	0.688578	0.696077	0.696574	0.689532	0.690315	0.696764	0.697553	0.695737	0.694329	0.700707	0.691827	0.685948	0.700025	0.693520	0.694050	0.694828	0.699021	0.700338	0.688149	0.692463
f1score	0.699780	0.707563	0.707984	0.700559	0.701566	0.708649	0.708865	0.706614	0.705092	0.713064	0.702701	0.697379	0.712167	0.704954	0.705119	0.706561	0.710679	0.712047	0.699161	0.703487
mcc	0.421133	0.436970	0.433157	0.420804	0.422290	0.435020	0.440287	0.435733	0.427694	0.444481	0.425801	0.412523	0.438972	0.431234	0.432722	0.431934	0.439040	0.442305	0.414774	0.428608
spd0-0	0.258978	0.250207	0.261910	0.272727	0.271130	0.261375	0.272048	0.271337	0.263291	0.245252	0.270438	0.263267	0.236624	0.264074	0.263772	0.263409	0.241011	0.261352	0.260229	0.270588
spd0-1	0.381186	0.390579	0.372334	0.372996	0.369676	0.367683	0.385499	0.389749	0.379523	0.375981	0.380875	0.360566	0.365985	0.380938	0.389458	0.370623	0.384325	0.376865	0.367230	0.382443
spd0	0.122208	0.140372	0.110424	0.100268	0.098546	0.106307	0.113451	0.118412	0.116232	0.130729	0.110437	0.097299	0.129361	0.116864	0.125685	0.107214	0.143314	0.115513	0.107001	0.111855
aod0-0	0.875005	0.834815	0.873192	0.896373	0.894778	0.859922	0.898893	0.900306	0.889235	0.850669	0.861525	0.853267	0.816771	0.898109	0.870363	0.881630	0.843532	0.876588	0.866024	0.889624
aod0-1	0.947621	0.974888	0.928872	0.930735	0.925443	0.928084	0.963565	0.964609	0.934987	0.947463	0.947280	0.910670	0.923585	0.948305	0.967592	0.930134	0.949409	0.942713	0.911222	0.952818
aod0	0.036308	0.070036	0.027840	0.017181	0.015333	0.034081	0.032336	0.032151	0.022876	0.048397	0.042878	0.028701	0.053407	0.025098	0.048614	0.024252	0.052938	0.033063	0.022599	0.031597
eod0-0	0.663405	0.633880	0.660342	0.674589	0.672968	0.644788	0.676749	0.678161	0.679558	0.657459	0.635674	0.635674	0.630909	0.682975	0.655617	0.664671	0.651163	0.667269	0.653409	0.669131
eod0-1	0.706322	0.730014	0.703960	0.698885	0.697706	0.708291	0.728486	0.724786	0.699349	0.717399	0.714428	0.686876	0.701153	0.712508	0.724950	0.706060	0.712591	0.715856	0.683506	0.715294
eod0	0.042917	0.096134	0.043619	0.024296	0.024738	0.063504	0.051737	0.046625	0.019791	0.059940	0.078754	0.051202	0.070244	0.029534	0.069333	0.041389	0.061428	0.048587	0.030097	0.046163
spd1-0	0.270140	0.260344	0.266121	0.273068	0.260267	0.258507	0.267205	0.281544	0.261457	0.238799	0.273068	0.275199	0.243117	0.254708	0.274232	0.280240	0.243726	0.269357	0.247578	0.280888
spd1-1	0.352146	0.358823	0.347674	0.351094	0.349948	0.345298	0.361789	0.362359	0.355008	0.349055	0.356527	0.337620	0.337170	0.356772	0.359946	0.344839	0.352039	0.350264	0.345301	0.356628
spd1	0.082006	0.098479	0.081553	0.078027	0.089681	0.086791	0.094584	0.080815	0.093551	0.110256	0.083459	0.062421	0.094053	0.102064	0.085714	0.064599	0.108313	0.080906	0.097724	0.075740
aod1-0	0.892798	0.884285	0.877930	0.903300	0.851817	0.886335	0.903220	0.913445	0.878206	0.848417	0.917867	0.904588	0.841744	0.853713	0.933951	0.920123	0.853689	0.885500	0.856370	0.899656
aod1-1	0.936594	0.953374	0.924381	0.928250	0.930252	0.923640	0.959233	0.958067	0.930465	0.936698	0.937951	0.901642	0.908102	0.948587	0.950852	0.923426	0.935071	0.935324	0.909616	0.945920
aod1	0.021898	0.034544	0.023225	0.012475	0.039217	0.018653	0.028006	0.022311	0.026130	0.044140	0.010042	0.001473	0.033179	0.047437	0.008450	0.001651	0.040691	0.024912	0.026623	0.023132
eod1-0	0.700315	0.703364	0.687697	0.710843	0.671554	0.708978	0.712903	0.718750	0.697531	0.685714	0.726154	0.699670	0.673981	0.673913	0.740385	0.719033	0.692547	0.693939	0.684211	0.697674
eod1-1	0.699936	0.716131	0.698457	0.693447	0.696383	0.697858	0.721480	0.717853	0.696260	0.710269	0.700342	0.677007	0.691727	0.711666	0.711700	0.698131	0.704771	0.709767	0.678494	0.709332
eod1	0.000379	0.012767	0.010760	0.017397	0.024829	0.011121	0.008576	0.000897	0.001271	0.024554	0.025812	0.022663	0.017746	0.037753	0.028684	0.020902	0.012224	0.015828	0.005717	0.011657
wcspd-00	0.215148	0.193582	0.232009	0.224426	0.210240	0.219382	0.225000	0.243562	0.210041	0.176591	0.230461	0.226981	0.198093	0.214737	0.203842	0.229873	0.163032	0.210359	0.209034	0.225187
wcspd-01	0.269056	0.264386	0.269092	0.284580	0.285386	0.271554	0.283150	0.277963	0.277029	0.262532	0.280811	0.271979	0.246003	0.275985	0.278003	0.271557	0.260246	0.273655	0.272612	0.281474
wcspd-10	0.313253	0.314768	0.293810	0.312659	0.299320	0.289720	0.299916	0.311242	0.307201	0.289673	0.310466	0.312761	0.278565	0.287053	0.330221	0.319149	0.313796	0.316456	0.280576	0.323529
wcspd-11	0.390346	0.400972	0.382688	0.381240	0.379254	0.378275	0.397248	0.400603	0.388542	0.387909	0.390106	0.367207	0.378128	0.393763	0.397579	0.377935	0.393339	0.385188	0.378366	0.390843
wcspd	0.175198	0.207390	0.150679	0.156814	0.169015	0.158893	0.172248	0.157041	0.178501	0.211318	0.159645	0.140227	0.180035	0.179026	0.193737	0.148062	0.230307	0.174828	0.169332	0.165657
wcaod-00	0.846679	0.760222	0.917213	0.883863	0.851601	0.877261	0.944545	0.919622	0.841552	0.781708	0.930546	0.860215	0.763406	0.765862	0.865758	0.891731	0.724310	0.817948	0.791156	0.830573
wcaod-01	0.881586	0.851348	0.868619	0.901930	0.905853	0.860621	0.897013	0.898905	0.901620	0.867581	0.853312	0.854917	0.827385	0.921540	0.876707	0.882379	0.866937	0.889084	0.881068	0.900462
