accuracy	0.809644	0.805643	0.802274	0.805222	0.796378	0.805012	0.797431	0.805012	0.808381	0.800379	0.801221	0.805643	0.803748	0.807117	0.805222	0.810908	0.795957	0.798905	0.802274	0.799116
recall	0.748313	0.740772	0.739587	0.736890	0.729333	0.741415	0.744697	0.740478	0.747697	0.740115	0.742228	0.745021	0.743783	0.746005	0.745323	0.738769	0.746885	0.745135	0.736699	0.742799
precision	0.688180	0.686510	0.682238	0.687017	0.672649	0.683483	0.676933	0.685595	0.695679	0.680382	0.680608	0.688991	0.686645	0.690952	0.681848	0.688400	0.685795	0.678556	0.677408	0.683179
f1score	0.707877	0.704763	0.700762	0.704345	0.690458	0.702353	0.696460	0.703914	0.713700	0.699121	0.699726	0.707593	0.705282	0.709491	0.701659	0.706209	0.704299	0.698119	0.696219	0.701793
mcc	0.432331	0.423823	0.417908	0.420963	0.397965	0.420930	0.416149	0.422524	0.440314	0.416233	0.418322	0.430380	0.426618	0.433475	0.422429	0.424189	0.428346	0.418428	0.409841	0.421785
spd0-0	0.198681	0.199291	0.214687	0.209750	0.228810	0.215344	0.216931	0.216133	0.207050	0.213817	0.218462	0.207873	0.215808	0.209313	0.210323	0.204809	0.215281	0.225371	0.207951	0.222672
spd0-1	0.282943	0.283019	0.277732	0.268603	0.263350	0.270876	0.294639	0.269449	0.281499	0.283916	0.279709	0.282958	0.278734	0.277887	0.280528	0.258490	0.308637	0.284318	0.276829	0.283848
spd0	0.084261	0.083727	0.063045	0.058854	0.034540	0.055531	0.077708	0.053316	0.074449	0.070098	0.061247	0.075086	0.062926	0.068574	0.070205	0.053681	0.093356	0.058947	0.068878	0.061176
aod0-0	0.772188	0.734394	0.785578	0.771398	0.796344	0.782460	0.819620	0.783224	0.780467	0.792302	0.816447	0.780676	0.784623	0.776056	0.781006	0.756291	0.775442	0.811311	0.784919	0.777578
aod0-1	0.852642	0.847121	0.830835	0.805754	0.799927	0.828921	0.863849	0.820350	0.837105	0.840824	0.831924	0.842809	0.838300	0.841212	0.852669	0.799991	0.898556	0.860219	0.822724	0.860510
aod0	0.040227	0.056363	0.022629	0.017178	0.001791	0.023230	0.022115	0.018563	0.028319	0.024261	0.007738	0.031066	0.026838	0.032578	0.035832	0.021850	0.061557	0.024454	0.018903	0.041466
eod0-0	0.639731	0.592334	0.635179	0.627063	0.629508	0.632258	0.662963	0.633758	0.642857	0.643333	0.662021	0.640523	0.629758	0.636656	0.631399	0.614094	0.625000	0.648649	0.637011	0.617162
