accuracy	0.782692	0.791410	0.793961	0.789921	0.797151	0.787157	0.773124	0.791410	0.781416	0.790984	0.797789	0.787157	0.775675	0.793961	0.784606	0.800553	0.794599	0.791622	0.786094	0.798852
recall	0.735233	0.737398	0.740406	0.736044	0.737072	0.730250	0.725787	0.734863	0.729701	0.750205	0.742386	0.730648	0.731786	0.749281	0.729887	0.740432	0.747927	0.737572	0.729416	0.737170
precision	0.666052	0.675650	0.680395	0.668734	0.678397	0.667875	0.658073	0.677279	0.663766	0.678668	0.673269	0.669814	0.660263	0.681278	0.672140	0.671165	0.683469	0.667096	0.668235	0.675366
f1score	0.683703	0.693728	0.698535	0.687209	0.696650	0.685481	0.674144	0.694802	0.680961	0.697754	0.692961	0.687263	0.676937	0.700417	0.688955	0.691160	0.702269	0.686075	0.685590	0.694229
mcc	0.395276	0.408406	0.416501	0.399142	0.411305	0.393208	0.377841	0.408099	0.387903	0.422865	0.409868	0.395814	0.385470	0.425155	0.397858	0.405726	0.426554	0.398483	0.392916	0.407880
spd0-0	0.237381	0.225879	0.216727	0.221141	0.216934	0.210383	0.233423	0.203146	0.222784	0.222172	0.214541	0.212162	0.239475	0.230975	0.224628	0.201269	0.219039	0.231049	0.221101	0.207855
spd0-1	0.303115	0.294567	0.301735	0.298935	0.283956	0.306741	0.320518	0.312349	0.310372	0.319243	0.290126	0.308980	0.315557	0.302932	0.304907	0.288346	0.308389	0.284000	0.299247	0.287649
spd0	0.065734	0.068688	0.085008	0.077794	0.067022	0.096359	0.087095	0.109203	0.087588	0.097071	0.075585	0.096818	0.076082	0.071957	0.080280	0.087077	0.089350	0.052951	0.078146	0.079793
aod0-0	0.851107	0.835991	0.792093	0.791766	0.805656	0.789742	0.844342	0.774850	0.814234	0.806711	0.847121	0.782530	0.827898	0.854806	0.825298	0.798705	0.788434	0.850833	0.826350	0.813178
aod0-1	0.867874	0.843067	0.866827	0.875124	0.831292	0.863226	0.878176	0.868637	0.872900	0.923268	0.842656	0.866646	0.898523	0.878377	0.844763	0.849248	0.899074	0.840393	0.840168	0.828700
aod0	0.008384	0.003538	0.037367	0.041679	0.012818	0.036742	0.016917	0.046894	0.029333	0.058279	0.002233	0.042058	0.035313	0.011786	0.009733	0.025272	0.055320	0.005220	0.006909	0.007761
eod0-0	0.675277	0.675000	0.635714	0.628975	0.653710	0.641304	0.673835	0.633094	0.654676	0.643382	0.696970	0.629893	0.645985	0.696370	0.666667	0.651064	0.629091	0.679537	0.669118	0.665399
eod0-1	0.657692	0.644195	0.669104	0.670707	0.641221	0.645594	0.643545	0.654611	0.649903	0.711069	0.641129	0.652174	0.676413	0.671906	0.633394	0.653465	0.699275	0.646586	0.629907	0.634429
eod0	0.017584	0.030805	0.033390	0.041732	0.012489	0.004290	0.030290	0.021518	0.004773	0.067687	0.055841	0.022281	0.030428	0.024464	0.033273	0.002402	0.070184	0.032950	0.039211	0.030970
spd1-0	0.235334	0.214144	0.217655	0.227989	0.217306	0.218071	0.244953	0.214615	0.247312	0.216875	0.223390	0.220509	0.244444	0.224380	0.205664	0.198052	0.227089	0.215415	0.235294	0.210668
spd1-1	0.289157	0.284953	0.281765	0.277586	0.270057	0.281647	0.294995	0.282663	0.280249	0.300377	0.268783	0.282155	0.296147	0.289097	0.295342	0.271578	0.285803	0.280063	0.276176	0.266915
spd1	0.053822	0.070809	0.064110	0.049596	0.052750	0.063576	0.050042	0.068048	0.032937	0.083501	0.045393	0.061646	0.051702	0.064716	0.089677	0.073526	0.058714	0.064648	0.040881	0.056246
aod1-0	0.778852	0.779928	0.762960	0.794163	0.739084	0.743951	0.795927	0.774028	0.866806	0.810599	0.789481	0.754696	0.808110	0.792250	0.676334	0.727278	0.807215	0.838011	0.773932	0.763448
aod1-1	0.886348	0.856593	0.859584	0.857140	0.841754	0.858970	0.877389	0.845443	0.838016	0.903618	0.855621	0.853482	0.890187	0.889854	0.881599	0.860923	0.875301	0.847546	0.847005	0.833118
aod1	0.053748	0.038332	0.048312	0.031488	0.051335	0.057509	0.040731	0.035707	0.014395	0.046509	0.033070	0.049393	0.041039	0.048802	0.102633	0.066823	0.034043	0.004768	0.036537	0.034835
