accuracy	0.854348	0.853498	0.854774	0.863704	0.855624	0.857750	0.858601	0.849458	0.847757	0.855837	0.863066	0.849458	0.852860	0.851797	0.843929	0.871571	0.853923	0.856262	0.853498	0.855624
recall	0.648700	0.653034	0.656974	0.665854	0.652992	0.655606	0.652628	0.657176	0.648380	0.657738	0.660759	0.647045	0.663915	0.652673	0.641421	0.667175	0.646946	0.640509	0.664481	0.650510
precision	0.750430	0.758802	0.769355	0.770560	0.762895	0.764459	0.769623	0.751823	0.730407	0.760174	0.760015	0.744220	0.739121	0.751541	0.742941	0.778536	0.772429	0.740048	0.750508	0.748065
f1score	0.677647	0.682805	0.688091	0.697510	0.683552	0.686486	0.684416	0.685240	0.673674	0.687659	0.691107	0.674717	0.689151	0.681272	0.668554	0.700812	0.678496	0.668613	0.691903	0.679128
mcc	0.385948	0.398022	0.411251	0.423668	0.401103	0.405716	0.405720	0.397898	0.369799	0.405163	0.408900	0.379005	0.395957	0.391936	0.370712	0.431574	0.400162	0.367308	0.405975	0.386452
spd0-0	0.084584	0.079351	0.077788	0.080053	0.082838	0.076047	0.079749	0.085393	0.082223	0.079766	0.081624	0.082113	0.094160	0.084112	0.081642	0.076156	0.073937	0.079437	0.086239	0.078111
spd0-1	0.097444	0.105835	0.106898	0.105651	0.098094	0.104507	0.094294	0.115012	0.116390	0.108696	0.101991	0.106531	0.118284	0.106678	0.105390	0.096916	0.095313	0.092800	0.119699	0.105868
spd0	0.012860	0.026484	0.029110	0.025598	0.015256	0.028460	0.014545	0.029619	0.034166	0.028930	0.020368	0.024418	0.024124	0.022565	0.023748	0.020760	0.021376	0.013363	0.033460	0.027757
aod0-0	0.448495	0.423857	0.397751	0.418531	0.410983	0.415829	0.407578	0.439856	0.392101	0.413521	0.443726	0.423388	0.448973	0.412032	0.392167	0.471276	0.376757	0.417987	0.423226	0.418670
aod0-1	0.345774	0.370100	0.386169	0.403698	0.367264	0.376254	0.358413	0.390353	0.403471	0.390659	0.380949	0.363253	0.423374	0.381240	0.359969	0.372778	0.353365	0.336130	0.426506	0.371827
aod0	0.051360	0.026879	0.005791	0.007417	0.021859	0.019787	0.024582	0.024751	0.005685	0.011431	0.031388	0.030068	0.012800	0.015396	0.016099	0.049249	0.011696	0.040929	0.001640	0.023422
eod0-0	0.409594	0.389286	0.360714	0.381625	0.371025	0.384058	0.369176	0.399281	0.348921	0.375000	0.405303	0.384342	0.397810	0.372937	0.350694	0.438298	0.341818	0.378378	0.378676	0.380228
eod0-1	0.301923	0.323970	0.347349	0.363636	0.330153	0.331418	0.325626	0.339964	0.346228	0.347092	0.338710	0.313800	0.370370	0.333988	0.313975	0.336634	0.320652	0.293173	0.375701	0.324952
eod0	0.107671	0.065316	0.013365	0.017989	0.040872	0.052640	0.043549	0.059317	0.002693	0.027908	0.066593	0.070542	0.027440	0.038949	0.036720	0.101664	0.021166	0.085206	0.002976	0.055276
spd1-0	0.078445	0.076008	0.084906	0.084757	0.068966	0.081522	0.069314	0.080316	0.092742	0.075808	0.081472	0.077078	0.088889	0.081045	0.074174	0.064286	0.075472	0.073123	0.087244	0.072248
spd1-1	0.097312	0.101567	0.096925	0.097454	0.101706	0.095636	0.095741	0.110867	0.104199	0.104206	0.097454	0.103083	0.115289	0.102804	0.103416	0.098324	0.090090	0.092936	0.112226	0.101800
spd1	0.018868	0.025559	0.012019	0.012697	0.032740	0.014114	0.026428	0.030551	0.011457	0.028398	0.015982	0.026005	0.026400	0.021759	0.029242	0.034039	0.014618	0.019813	0.024982	0.029552
aod1-0	0.362357	0.404358	0.423189	0.418231	0.365232	0.407994	0.364174	0.404470	0.444479	0.387830	0.415416	0.394760	0.433154	0.377464	0.346512	0.374556	0.388312	0.391574	0.412338	0.383793
