accuracy	0.755408	0.761551	0.756159	0.753225	0.759025	0.759503	0.761141	0.757115	0.754794	0.771583	0.752747	0.753907	0.767693	0.760322	0.753429	0.758616	0.765031	0.762574	0.755545	0.755408
recall	0.735134	0.745365	0.742248	0.738873	0.735495	0.742229	0.743079	0.742467	0.735237	0.747730	0.736954	0.732964	0.739986	0.736760	0.741970	0.743235	0.738600	0.747953	0.729356	0.739350
precision	0.689461	0.698580	0.696174	0.691649	0.692842	0.696039	0.698230	0.696729	0.694145	0.704659	0.691670	0.687013	0.699912	0.693834	0.693469	0.695715	0.699430	0.701913	0.689112	0.693265
f1score	0.700864	0.710424	0.707196	0.702531	0.704421	0.707693	0.709927	0.707873	0.704883	0.717360	0.702419	0.698338	0.712013	0.705566	0.704235	0.707287	0.711121	0.713626	0.700217	0.704398
mcc	0.422131	0.441473	0.435994	0.427925	0.426208	0.435827	0.439024	0.436807	0.427411	0.450334	0.426225	0.417456	0.438069	0.428449	0.432729	0.436369	0.436276	0.447504	0.416528	0.430154
spd0-0	0.256721	0.239428	0.263574	0.269642	0.266584	0.260752	0.267483	0.270924	0.258458	0.237614	0.268993	0.260779	0.242016	0.260594	0.261929	0.258232	0.245942	0.251079	0.257365	0.266667
spd0-1	0.377505	0.390681	0.389701	0.386784	0.363970	0.379268	0.374212	0.384145	0.382454	0.367418	0.385564	0.373995	0.360594	0.366093	0.397236	0.384976	0.365420	0.390149	0.366923	0.383157
spd0	0.120784	0.151253	0.126127	0.117142	0.097386	0.118516	0.106729	0.113221	0.123996	0.129804	0.116572	0.113216	0.118578	0.105500	0.135307	0.126744	0.119478	0.139070	0.109558	0.116490
aod0-0	0.867300	0.819477	0.873397	0.889704	0.888015	0.859223	0.888793	0.901527	0.875758	0.837239	0.858238	0.852139	0.821273	0.890766	0.868290	0.868794	0.852465	0.857115	0.862813	0.880361
aod0-1	0.940807	0.975033	0.965693	0.961798	0.915162	0.951538	0.939649	0.953765	0.940312	0.931925	0.956634	0.939533	0.913946	0.916564	0.982557	0.960561	0.911120	0.970233	0.910779	0.954601
aod0	0.036753	0.077778	0.046148	0.036047	0.013574	0.046157	0.025428	0.026119	0.032277	0.047343	0.049198	0.043697	0.046337	0.012899	0.057134	0.045883	0.029328	0.056559	0.023983	0.037120
eod0-0	0.657534	0.630237	0.658444	0.670932	0.671078	0.644788	0.671078	0.680077	0.670350	0.651934	0.633776	0.637571	0.629091	0.679061	0.655617	0.656687	0.655039	0.658228	0.653409	0.663586
eod0-1	0.703603	0.730014	0.725083	0.718824	0.693995	0.720376	0.714810	0.719842	0.701303	0.711610	0.719071	0.703755	0.697761	0.694015	0.731675	0.723468	0.692815	0.730846	0.683506	0.716639
eod0	0.046069	0.099777	0.066638	0.047892	0.022917	0.075588	0.043732	0.039765	0.030953	0.059677	0.085295	0.066184	0.068670	0.014954	0.076058	0.066782	0.037776	0.072618	0.030097	0.053053
spd1-0	0.269175	0.261274	0.266121	0.267447	0.247851	0.264178	0.255814	0.272128	0.259527	0.245266	0.268384	0.269105	0.243584	0.252354	0.275177	0.268236	0.249035	0.270296	0.242733	0.273484
spd1-1	0.348569	0.354583	0.361909	0.361639	0.345808	0.353195	0.353101	0.359406	0.355803	0.338245	0.360441	0.348243	0.334932	0.344241	0.365130	0.356210	0.338367	0.356493	0.344745	0.356948
spd1	0.079394	0.093309	0.095787	0.094192	0.097957	0.089017	0.097287	0.087278	0.096276	0.092979	0.092057	0.079138	0.091348	0.091887	0.089953	0.087974	0.089333	0.086197	0.102013	0.083464
