accuracy	0.824778	0.815889	0.822000	0.825667	0.816222	0.812667	0.813889	0.816333	0.819333	0.818333	0.815889	0.815444	0.821111	0.817444	0.813111	0.820111	0.820111	0.814667	0.813111	0.819111
recall	0.653929	0.664679	0.669152	0.668337	0.651597	0.684790	0.654867	0.667027	0.650195	0.651185	0.669420	0.658397	0.661607	0.640036	0.651653	0.663163	0.660021	0.676863	0.665873	0.665297
precision	0.761477	0.741731	0.755717	0.749848	0.756836	0.734607	0.746411	0.738458	0.762165	0.750639	0.743315	0.750108	0.760395	0.760414	0.755974	0.754176	0.756981	0.731249	0.749896	0.737333
f1score	0.680233	0.687178	0.693762	0.692633	0.676231	0.702549	0.678293	0.688837	0.675664	0.675674	0.691636	0.682248	0.687094	0.664651	0.675734	0.687801	0.685105	0.695655	0.688963	0.687398
mcc	0.401242	0.399038	0.415957	0.410164	0.394642	0.416428	0.390696	0.399144	0.396868	0.389321	0.406067	0.398077	0.410275	0.381928	0.394053	0.407294	0.405573	0.404472	0.407190	0.396134
spd0-0	0.106006	0.123436	0.120944	0.120447	0.109872	0.150863	0.117690	0.126148	0.105021	0.107216	0.127453	0.117702	0.111359	0.097818	0.111956	0.114296	0.115867	0.151051	0.126214	0.125508
spd0-1	0.121832	0.156004	0.147092	0.143625	0.127037	0.186652	0.137472	0.160664	0.121807	0.131702	0.160866	0.140254	0.139258	0.111915	0.129820	0.146117	0.133240	0.161263	0.153064	0.151870
spd0	0.015826	0.032568	0.026148	0.023178	0.017165	0.035789	0.019782	0.034516	0.016786	0.024486	0.033413	0.022552	0.027899	0.014097	0.017864	0.031821	0.017373	0.010212	0.026851	0.026363
aod0-0	0.390842	0.438111	0.444168	0.442475	0.390391	0.509303	0.418769	0.449876	0.384822	0.389291	0.445709	0.412732	0.406673	0.358909	0.398655	0.417133	0.422680	0.505941	0.436747	0.441022
aod0-1	0.412245	0.480154	0.462310	0.466691	0.413589	0.564079	0.425658	0.491432	0.397572	0.423725	0.500563	0.447155	0.447770	0.368510	0.407648	0.460440	0.424754	0.512406	0.473887	0.487392
aod0	0.010702	0.021021	0.009071	0.012108	0.011599	0.027388	0.003444	0.020778	0.006375	0.017217	0.027427	0.017211	0.020548	0.004800	0.004496	0.021653	0.001037	0.003232	0.018570	0.023185
eod0-0	0.348168	0.381591	0.396127	0.387337	0.346416	0.433862	0.368874	0.393805	0.343777	0.344115	0.388546	0.361184	0.360963	0.319432	0.354538	0.368705	0.373656	0.429072	0.383596	0.380563
eod0-1	0.361461	0.406356	0.392774	0.404052	0.358556	0.472868	0.360694	0.408931	0.346963	0.364583	0.423556	0.386183	0.389831	0.324106	0.350168	0.396163	0.369074	0.434053	0.402968	0.415366
eod0	0.013293	0.024766	0.003353	0.016715	0.012140	0.039006	0.008180	0.015125	0.003185	0.020468	0.035010	0.025000	0.028868	0.004674	0.004369	0.027457	0.004581	0.004981	0.019372	0.034803
spd1-0	0.105089	0.131939	0.127735	0.121450	0.111111	0.159406	0.121731	0.135784	0.105411	0.113118	0.135759	0.118621	0.115479	0.098094	0.117582	0.121116	0.116183	0.149769	0.133504	0.130185
spd1-1	0.181598	0.180049	0.167277	0.209135	0.174074	0.220917	0.162592	0.178571	0.173077	0.160904	0.194067	0.205189	0.194307	0.157248	0.134568	0.187894	0.189826	0.211886	0.170426	0.195274
spd1	0.076509	0.048109	0.039542	0.087685	0.062963	0.061511	0.040861	0.042787	0.067666	0.047786	0.058308	0.086567	0.078828	0.059154	0.016985	0.066778	0.073644	0.062117	0.036922	0.065088
aod1-0	0.384550	0.449683	0.442113	0.435438	0.386999	0.523698	0.419063	0.456981	0.375191	0.397716	0.459705	0.407159	0.411936	0.353071	0.404166	0.421728	0.410885	0.500543	0.445117	0.450201
aod1-1	0.528100	0.509944	0.524087	0.595111	0.505359	0.604825	0.443464	0.554989	0.510559	0.460714	0.546033	0.603175	0.534211	0.447341	0.387134	0.552036	0.537800	0.578803	0.506230	0.553030
aod1	0.071775	0.030131	0.040987	0.079836	0.059180	0.040564	0.012200	0.049004	0.067684	0.031499	0.043164	0.098008	0.061137	0.047135	0.008516	0.065154	0.063458	0.039130	0.030556	0.051415
eod1-0	0.343006	0.389077	0.385915	0.381743	0.340378	0.444320	0.365567	0.393158	0.332958	0.348811	0.396639	0.356670	0.365936	0.314448	0.356216	0.369162	0.363890	0.425057	0.385237	0.388598
