accuracy	0.861655	0.862497	0.857023	0.853443	0.858497	0.861866	0.860181	0.852601	0.859549	0.857233	0.862287	0.859971	0.859760	0.855759	0.865024	0.856180	0.859128	0.861866	0.860602	0.857654
recall	0.648681	0.656038	0.647552	0.636693	0.652358	0.656689	0.652986	0.643435	0.658404	0.653436	0.651142	0.653928	0.659338	0.645420	0.664589	0.639406	0.666084	0.654723	0.647216	0.660279
precision	0.777893	0.793093	0.768794	0.775368	0.765037	0.777918	0.764069	0.756496	0.797847	0.763669	0.782573	0.787758	0.780478	0.777068	0.774353	0.768410	0.788338	0.772016	0.768489	0.772299
f1score	0.681886	0.690989	0.679138	0.668062	0.683558	0.689788	0.684224	0.673115	0.693390	0.684262	0.684943	0.687946	0.692391	0.677662	0.697095	0.670734	0.699749	0.687139	0.679232	0.691958
mcc	0.406534	0.427708	0.398301	0.388025	0.401897	0.417357	0.401990	0.383617	0.434420	0.402275	0.413321	0.420923	0.422804	0.401453	0.424996	0.386874	0.437669	0.410303	0.397622	0.417821
spd0-0	0.060659	0.056687	0.061771	0.056351	0.080808	0.071927	0.064815	0.069706	0.068273	0.072147	0.059341	0.062804	0.069272	0.062839	0.072688	0.062778	0.067865	0.061029	0.064220	0.069276
spd0-1	0.099838	0.106383	0.106820	0.096697	0.095065	0.100204	0.108827	0.103323	0.100478	0.106824	0.101859	0.102894	0.107329	0.099330	0.108086	0.094686	0.115293	0.109980	0.099593	0.114014
spd0	0.039179	0.049696	0.045049	0.040347	0.014257	0.028277	0.044012	0.033616	0.032205	0.034677	0.042519	0.040090	0.038057	0.036491	0.035398	0.031908	0.047428	0.048951	0.035373	0.044738
aod0-0	0.353050	0.350730	0.336110	0.312871	0.409267	0.385282	0.361862	0.348466	0.382117	0.380196	0.363056	0.348281	0.386352	0.333991	0.401541	0.342406	0.355496	0.329079	0.354793	0.355379
aod0-1	0.368950	0.386470	0.386050	0.349014	0.360285	0.380346	0.393987	0.374463	0.372606	0.387910	0.369495	0.384000	0.390720	0.369414	0.405891	0.347105	0.427629	0.413296	0.369122	0.422085
aod0	0.007950	0.017870	0.024970	0.018072	0.024491	0.002468	0.016063	0.012999	0.004756	0.003857	0.003219	0.017860	0.002184	0.017712	0.002175	0.002350	0.036066	0.042109	0.007165	0.033353
eod0-0	0.333333	0.334495	0.312704	0.293729	0.373770	0.358065	0.333333	0.318471	0.360390	0.350000	0.344948	0.326797	0.359862	0.311897	0.372014	0.318792	0.328947	0.304054	0.327402	0.326733
eod0-1	0.325956	0.344633	0.339960	0.308712	0.321862	0.340122	0.348162	0.328685	0.337037	0.341897	0.326172	0.344894	0.348968	0.328820	0.361963	0.306483	0.386740	0.368421	0.328713	0.376200
eod0	0.007378	0.010138	0.027257	0.014983	0.051908	0.017942	0.014829	0.010214	0.023353	0.008103	0.018776	0.018097	0.010893	0.016923	0.010050	0.012309	0.057793	0.064367	0.001311	0.049467
spd1-0	0.075330	0.074097	0.084375	0.068664	0.074665	0.073651	0.083177	0.070370	0.068196	0.076485	0.077443	0.070573	0.085481	0.068923	0.076389	0.071871	0.079774	0.077792	0.067409	0.089097
spd1-1	0.083967	0.087178	0.085106	0.082301	0.094909	0.092943	0.090159	0.095877	0.094069	0.096937	0.083600	0.090449	0.091197	0.089309	0.097946	0.083573	0.099778	0.090650	0.090358	0.095102
spd1	0.008637	0.013081	0.000731	0.013636	0.020244	0.019292	0.006982	0.025507	0.025873	0.020452	0.006157	0.019876	0.005716	0.020386	0.021557	0.011701	0.020004	0.012858	0.022949	0.006005
aod1-0	0.361914	0.373344	0.407312	0.313019	0.345758	0.355489	0.411386	0.330323	0.324238	0.343932	0.377008	0.364038	0.394309	0.329289	0.375300	0.343626	0.366096	0.392222	0.335697	0.423899
aod1-1	0.359124	0.368707	0.347298	0.340444	0.392065	0.389886	0.368166	0.375408	0.394008	0.397745	0.357725	0.370300	0.383418	0.365233	0.413855	0.343361	0.413987	0.374402	0.373094	0.384137
aod1	0.001395	0.002319	0.030007	0.013713	0.023154	0.017198	0.021610	0.022542	0.034885	0.026906	0.009642	0.003131	0.005445	0.017972	0.019278	0.000132	0.023946	0.008910	0.018699	0.019881
eod1-0	0.328947	0.343612	0.368182	0.280172	0.311404	0.320930	0.374429	0.295964	0.295833	0.304933	0.344681	0.334884	0.355932	0.302419	0.343612	0.313808	0.333333	0.358140	0.306306	0.383260
eod1-1	0.328622	0.340102	0.315254	0.312187	0.353765	0.356655	0.330986	0.335582	0.365132	0.360206	0.328014	0.339344	0.351536	0.331034	0.374775	0.309859	0.379599	0.339130	0.336879	0.348409
eod1	0.000325	0.003511	0.052928	0.032015	0.042362	0.035725	0.043443	0.039618	0.069298	0.055273	0.016667	0.004461	0.004396	0.028615	0.031162	0.003948	0.046265	0.019009	0.030573	0.034851
wcspd-00	0.040053	0.054594	0.047182	0.039617	0.065826	0.055480	0.053521	0.059055	0.044898	0.054720	0.049351	0.038564	0.062162	0.042553	0.049202	0.046768	0.046218	0.061252	0.048620	0.068871
wcspd-01	0.070773	0.057731	0.068943	0.064495	0.087652	0.079743	0.069961	0.075049	0.079681	0.080334	0.064452	0.074884	0.072751	0.073288	0.083916	0.070441	0.078094	0.060920	0.071990	0.069472
wcspd-10	0.106635	0.091228	0.118280	0.093103	0.082063	0.089713	0.106862	0.080420	0.087699	0.095182	0.102684	0.099401	0.105758	0.091638	0.100962	0.092446	0.107062	0.092527	0.084112	0.105802
wcspd-11	0.096319	0.114303	0.100814	0.098600	0.101915	0.105621	0.109925	0.115528	0.107362	0.112973	0.101422	0.104658	0.108141	0.103365	0.111809	0.095916	0.119684	0.119107	0.107855	0.118397
wcspd	0.066582	0.059709	0.071097	0.058983	0.036088	0.050140	0.056403	0.056473	0.062464	0.058254	0.053333	0.066094	0.045979	0.060812	0.062607	0.049148	0.073466	0.058186	0.059235	0.049527
wcaod-00	0.280137	0.373776	0.321660	0.227640	0.348311	0.347199	0.370456	0.338011	0.272982	0.314234	0.415672	0.311646	0.332557	0.255804	0.283305	0.319529	0.245897	0.353744	0.299673	0.408981
wcaod-01	0.377077	0.341550	0.341277	0.341788	0.428474	0.395931	0.359795	0.352215	0.420089	0.397432	0.346512	0.360712	0.410152	0.369120	0.441978	0.351310	0.392897	0.319083	0.375820	0.336485
wcaod-10	0.408393	0.377442	0.459332	0.360884	0.343162	0.362498	0.432588	0.327839	0.353032	0.359263	0.370892	0.396475	0.434630	0.378758	0.422440	0.360455	0.423381	0.418169	0.357129	0.434678
wcaod-11	0.350416	0.390355	0.354091	0.343425	0.368691	0.387857	0.376894	0.394044	0.380818	0.401144	0.368156	0.378199	0.373086	0.365714	0.398961	0.340736	0.429709	0.412641	0.374850	0.416639
wcaod	0.064128	0.024403	0.068836	0.066622	0.042656	0.024366	0.036396	0.033103	0.073554	0.043455	0.034580	0.042414	0.051037	0.061477	0.079336	0.020463	0.091906	0.049543	0.038073	0.049096
wceod-00	0.263889	0.354430	0.301370	0.207792	0.310811	0.318841	0.344262	0.308642	0.253165	0.281250	0.402778	0.298507	0.303371	0.242105	0.256757	0.302632	0.220779	0.325301	0.276316	0.376623
wceod-01	0.355556	0.326923	0.316239	0.323009	0.393939	0.369295	0.330144	0.321888	0.397380	0.368644	0.325581	0.334728	0.385000	0.342593	0.410959	0.324324	0.365639	0.295775	0.346341	0.309735
wceod-10	0.358974	0.337838	0.401361	0.316129	0.311688	0.321918	0.386076	0.288732	0.316770	0.314465	0.319018	0.351351	0.387755	0.339869	0.385621	0.319018	0.383721	0.378788	0.321918	0.386667
wceod-11	0.310850	0.347258	0.314607	0.305630	0.326471	0.347826	0.331476	0.344444	0.345646	0.354467	0.329513	0.342318	0.334197	0.324176	0.351190	0.300578	0.388140	0.364641	0.331476	0.371968
wceod	0.095085	0.027507	0.099991	0.115217	0.083129	0.050454	0.055932	0.055712	0.144215	0.087394	0.083759	0.052844	0.084384	0.100487	0.154202	0.023746	0.167361	0.083013	0.070026	0.076932
