accuracy	0.810333	0.801222	0.804667	0.810667	0.796333	0.796556	0.799222	0.803333	0.802667	0.806111	0.803000	0.799444	0.801667	0.801667	0.798111	0.801889	0.802556	0.809111	0.796000	0.810889
recall	0.582107	0.575964	0.581959	0.577906	0.572468	0.571924	0.577740	0.582604	0.580056	0.586114	0.580257	0.581131	0.576622	0.575368	0.580761	0.576874	0.576342	0.590197	0.581433	0.586079
precision	0.781069	0.764739	0.774580	0.772795	0.755847	0.764032	0.765129	0.753619	0.770822	0.764473	0.783770	0.761925	0.772625	0.765295	0.780530	0.766650	0.777402	0.777889	0.770476	0.771676
f1score	0.590960	0.580399	0.589484	0.585402	0.574414	0.573159	0.582409	0.591095	0.586399	0.596199	0.586121	0.587529	0.581052	0.579619	0.585601	0.581806	0.580641	0.602048	0.586519	0.597095
mcc	0.303827	0.283625	0.300029	0.291564	0.272328	0.275609	0.287132	0.289482	0.294489	0.301826	0.301825	0.291549	0.289060	0.282806	0.301037	0.286347	0.291049	0.316637	0.296821	0.305848
spd0-0	0.047214	0.048197	0.051254	0.045945	0.047407	0.042123	0.050621	0.056739	0.048556	0.052396	0.048402	0.053180	0.045286	0.046228	0.051344	0.046606	0.046679	0.053486	0.052207	0.051864
spd0-1	0.059908	0.058642	0.059284	0.057111	0.059376	0.062310	0.059524	0.063590	0.062588	0.069563	0.057002	0.063777	0.060354	0.059855	0.057698	0.061508	0.055307	0.067636	0.063824	0.063931
spd0	0.012694	0.010445	0.008030	0.011165	0.011969	0.020187	0.008902	0.006851	0.014032	0.017167	0.008600	0.010597	0.015069	0.013627	0.006354	0.014902	0.008628	0.014150	0.011616	0.012067
aod0-0	0.185863	0.186473	0.203306	0.190104	0.177566	0.160074	0.198000	0.220537	0.186441	0.206048	0.187630	0.201373	0.178058	0.177375	0.195231	0.188631	0.184888	0.209000	0.193997	0.205829
aod0-1	0.215005	0.193014	0.196838	0.191488	0.193343	0.204143	0.188916	0.200354	0.211787	0.228284	0.198554	0.207890	0.200533	0.200796	0.194998	0.194769	0.185603	0.234249	0.211245	0.219687
aod0	0.014571	0.003271	0.003234	0.000692	0.007888	0.022034	0.004542	0.010091	0.012673	0.011118	0.005462	0.003259	0.011238	0.011710	0.000116	0.003069	0.000357	0.012625	0.008624	0.006929
