accuracy	0.800587	0.796833	0.790623	0.789872	0.796492	0.801679	0.806115	0.797584	0.788917	0.803794	0.796151	0.795810	0.800450	0.807411	0.804818	0.807889	0.793626	0.797857	0.797789	0.797379
recall	0.600828	0.588455	0.580485	0.571160	0.580423	0.595201	0.632106	0.600635	0.576059	0.594246	0.590558	0.584295	0.596077	0.614467	0.610231	0.616482	0.585295	0.598221	0.595004	0.586837
precision	0.783244	0.810894	0.810528	0.811489	0.839953	0.831614	0.778333	0.802098	0.855272	0.850108	0.818214	0.779041	0.816048	0.810551	0.815334	0.809718	0.818405	0.812102	0.804407	0.833257
f1score	0.613761	0.594546	0.581265	0.567228	0.581621	0.604444	0.653760	0.611790	0.571967	0.603074	0.596898	0.590054	0.605923	0.632234	0.625934	0.634917	0.588698	0.608186	0.604182	0.591379
mcc	0.337987	0.331664	0.316183	0.297763	0.330697	0.355358	0.383508	0.348721	0.328764	0.363297	0.339511	0.306736	0.348512	0.377083	0.372878	0.379878	0.329595	0.350171	0.340117	0.340230
spd0-0	0.059101	0.044362	0.040566	0.039696	0.041124	0.043009	0.075119	0.060136	0.031519	0.040050	0.043559	0.050166	0.046661	0.052405	0.052632	0.057569	0.036162	0.052805	0.056874	0.036945
spd0-1	0.073722	0.059823	0.054845	0.045348	0.046872	0.061179	0.106162	0.068168	0.046291	0.056988	0.060964	0.061044	0.064592	0.081798	0.076356	0.081535	0.059677	0.066013	0.062468	0.056485
spd0	0.014621	0.015461	0.014279	0.005652	0.005748	0.018170	0.031043	0.008032	0.014771	0.016939	0.017405	0.010878	0.017930	0.029392	0.023725	0.023966	0.023515	0.013208	0.005594	0.019539
aod0-0	0.328634	0.261206	0.255211	0.244278	0.288289	0.280777	0.397604	0.353699	0.228110	0.270382	0.277104	0.284398	0.271274	0.300493	0.325066	0.353685	0.233472	0.327581	0.338417	0.240368
aod0-1	0.225124	0.187973	0.168319	0.142962	0.151176	0.194674	0.313212	0.208846	0.146677	0.186431	0.188564	0.187274	0.204540	0.253537	0.235523	0.251384	0.182685	0.202562	0.193985	0.179196
aod0	0.051755	0.036616	0.043446	0.050658	0.068557	0.043051	0.042196	0.072426	0.040717	0.041976	0.044270	0.048562	0.033367	0.023478	0.044771	0.051151	0.025394	0.062510	0.072216	0.030586
eod0-0	0.297456	0.242259	0.239089	0.228519	0.275992	0.264479	0.357278	0.325670	0.220994	0.257827	0.259962	0.259962	0.250909	0.273973	0.303867	0.327345	0.218992	0.307414	0.312500	0.227357
eod0-1	0.210061	0.179539	0.160396	0.137546	0.148111	0.188990	0.285857	0.199407	0.144625	0.183521	0.180763	0.173269	0.196404	0.241762	0.223605	0.238366	0.174687	0.192538	0.186015	0.173782
eod0	0.087395	0.062719	0.078693	0.090973	0.127882	0.075489	0.071421	0.126264	0.076369	0.074306	0.079199	0.086693	0.054505	0.032211	0.080263	0.088979	0.044305	0.114876	0.126485	0.053575
spd1-0	0.179932	0.117155	0.113571	0.100234	0.081662	0.103970	0.155197	0.120998	0.064158	0.066513	0.106323	0.129864	0.105926	0.117702	0.124350	0.136657	0.107143	0.138433	0.127422	0.088848
spd1-1	0.050556	0.043993	0.039682	0.033791	0.038857	0.046981	0.086004	0.056110	0.037758	0.048767	0.046493	0.045128	0.050600	0.064251	0.059021	0.062705	0.042763	0.048555	0.049647	0.043308
spd1	0.129376	0.073162	0.073889	0.066443	0.042805	0.056989	0.069193	0.064888	0.026400	0.017746	0.059830	0.084736	0.055327	0.053452	0.065329	0.073952	0.064380	0.089878	0.077776	0.045540
aod1-0	0.690658	0.492048	0.475461	0.418496	0.378637	0.462825	0.611731	0.477414	0.335054	0.349146	0.476311	0.520386	0.445184	0.498377	0.543443	0.584736	0.463901	0.591983	0.552183	0.388463
aod1-1	0.191944	0.167463	0.150183	0.130566	0.150181	0.180780	0.295896	0.204253	0.141671	0.185530	0.172984	0.168098	0.190823	0.236289	0.218597	0.231673	0.160986	0.181844	0.183884	0.166188
aod1	0.249357	0.162292	0.162639	0.143965	0.114228	0.141022	0.157917	0.136581	0.096691	0.081808	0.151664	0.176144	0.127180	0.131044	0.162423	0.176531	0.151457	0.205069	0.184149	0.111138
eod1-0	0.583596	0.431193	0.416404	0.367470	0.348974	0.414861	0.519355	0.414773	0.317901	0.326984	0.427692	0.442244	0.388715	0.437888	0.480769	0.516616	0.413043	0.524242	0.486842	0.348837
eod1-1	0.186543	0.164461	0.148148	0.129175	0.147843	0.178324	0.275101	0.196317	0.140164	0.181991	0.168791	0.161816	0.186537	0.227000	0.212168	0.223313	0.157993	0.178295	0.178338	0.163934
eod1	0.397053	0.266731	0.268256	0.238295	0.201131	0.236537	0.244254	0.218456	0.177737	0.144994	0.258902	0.280428	0.202178	0.210889	0.268601	0.293303	0.255051	0.345948	0.308504	0.184903
wcspd-00	0.153677	0.098344	0.099893	0.099165	0.070806	0.094782	0.132609	0.123391	0.047131	0.063655	0.086172	0.117773	0.102754	0.098947	0.099253	0.117585	0.072690	0.102537	0.112395	0.065101
wcspd-01	0.037355	0.030845	0.026316	0.025102	0.034175	0.030459	0.061554	0.045047	0.027491	0.034109	0.032501	0.033933	0.033007	0.041169	0.041561	0.042986	0.027152	0.040806	0.043445	0.030194
wcspd-10	0.200516	0.132489	0.124673	0.101105	0.090136	0.111300	0.172704	0.119128	0.079307	0.068850	0.124011	0.139283	0.108424	0.132879	0.144312	0.151391	0.137060	0.167089	0.140288	0.107026
wcspd-11	0.056626	0.049861	0.045637	0.037729	0.040982	0.054369	0.097028	0.061123	0.042173	0.055349	0.052698	0.050174	0.058503	0.074820	0.067039	0.071611	0.049787	0.052087	0.052467	0.049278
wcspd	0.163161	0.101644	0.098357	0.076002	0.055961	0.080840	0.111150	0.078343	0.051816	0.034741	0.091509	0.105350	0.075417	0.091710	0.102751	0.108405	0.109909	0.126283	0.096843	0.076832
wcaod-00	0.747807	0.469508	0.521201	0.511719	0.502570	0.582659	0.695842	0.632184	0.357506	0.466505	0.527620	0.616709	0.489283	0.480712	0.611849	0.672914	0.429156	0.563025	0.621088	0.393829
wcaod-01	0.265982	0.221580	0.209472	0.193605	0.255207	0.229908	0.351123	0.304771	0.203611	0.236469	0.230077	0.230007	0.231434	0.267708	0.283748	0.299530	0.202441	0.286723	0.289944	0.216253
wcaod-10	0.666833	0.491981	0.453977	0.378267	0.341353	0.421580	0.586262	0.420341	0.325222	0.305492	0.456776	0.488408	0.419891	0.493329	0.522619	0.553495	0.470984	0.598807	0.522477	0.383749
wcaod-11	0.177930	0.157234	0.140418	0.119215	0.130881	0.171653	0.284521	0.185707	0.130770	0.175184	0.162415	0.156400	0.182939	0.229012	0.205969	0.219201	0.153493	0.161851	0.163244	0.156210
wcaod	0.284938	0.167373	0.190392	0.196252	0.185845	0.205503	0.205661	0.223239	0.113368	0.145660	0.182603	0.230154	0.153172	0.132158	0.202940	0.226856	0.158746	0.218478	0.228922	0.118809
wceod-00	0.625000	0.397436	0.449275	0.444444	0.461538	0.521739	0.596774	0.542857	0.337349	0.434211	0.474359	0.530303	0.413333	0.405797	0.542373	0.590909	0.377049	0.493151	0.542857	0.349206
wceod-01	0.257143	0.216561	0.207424	0.190987	0.250000	0.224944	0.325482	0.292035	0.200000	0.229122	0.222717	0.221258	0.225263	0.253394	0.274793	0.287356	0.197802	0.279167	0.277293	0.211297
wceod-10	0.574713	0.441767	0.407258	0.342629	0.322464	0.385827	0.500000	0.382979	0.311203	0.292887	0.412955	0.417722	0.381148	0.446640	0.466403	0.498113	0.421456	0.533074	0.470085	0.348754
wceod-11	0.174562	0.155383	0.138390	0.118538	0.130208	0.170642	0.266545	0.180596	0.130435	0.173832	0.160043	0.151538	0.179734	0.222712	0.201029	0.213079	0.151461	0.160656	0.161887	0.155531
wceod	0.450438	0.286384	0.310886	0.325907	0.331330	0.351097	0.330229	0.362261	0.206915	0.260378	0.314316	0.378765	0.233600	0.223928	0.341344	0.377830	0.269995	0.372418	0.380970	0.193676
