accuracy	0.849458	0.844780	0.844142	0.855411	0.851584	0.850521	0.850734	0.846481	0.848820	0.852009	0.856475	0.848182	0.852647	0.847757	0.846268	0.865192	0.848820	0.853498	0.845630	0.854348
recall	0.613485	0.579767	0.612477	0.637183	0.637782	0.648760	0.628448	0.610949	0.601927	0.651486	0.601064	0.621832	0.629268	0.637075	0.653575	0.621077	0.632912	0.591354	0.605696	0.631770
precision	0.746806	0.780383	0.751246	0.751391	0.754572	0.740781	0.749668	0.769428	0.755703	0.748866	0.767011	0.750841	0.749730	0.742845	0.746527	0.781077	0.759348	0.752774	0.746238	0.750881
f1score	0.640094	0.596546	0.638265	0.666652	0.667110	0.675922	0.656879	0.637465	0.626630	0.679799	0.627266	0.649467	0.658005	0.664693	0.680822	0.653205	0.662109	0.614177	0.630370	0.660943
mcc	0.334717	0.299100	0.336210	0.371412	0.374569	0.378516	0.358159	0.345790	0.322881	0.388328	0.328543	0.349631	0.359343	0.364900	0.389155	0.368956	0.371324	0.303921	0.322654	0.363641
spd0-0	0.077308	0.045086	0.072392	0.084476	0.088787	0.098361	0.079749	0.057528	0.063390	0.084723	0.057984	0.072792	0.090086	0.090788	0.096527	0.061650	0.085028	0.053109	0.064220	0.076787
spd0-1	0.061901	0.040241	0.067366	0.079853	0.079825	0.094535	0.077701	0.069814	0.056215	0.105072	0.050792	0.076735	0.067763	0.086319	0.106195	0.060072	0.077196	0.050000	0.066191	0.080837
spd0	0.015407	0.004844	0.005026	0.004623	0.008962	0.003825	0.002048	0.012286	0.007175	0.020350	0.007192	0.003943	0.022323	0.004468	0.009668	0.001578	0.007832	0.003109	0.001971	0.004050
aod0-0	0.398968	0.250203	0.351837	0.417531	0.423833	0.481680	0.379928	0.315507	0.336735	0.416008	0.338155	0.379171	0.441189	0.433678	0.459489	0.395073	0.417425	0.281061	0.331869	0.413870
aod0-1	0.228544	0.155984	0.247637	0.305051	0.304802	0.338245	0.294974	0.249686	0.208584	0.376501	0.194742	0.271830	0.262987	0.309127	0.368792	0.236424	0.288348	0.196697	0.237012	0.292000
aod0	0.085212	0.047110	0.052100	0.056240	0.059516	0.071718	0.042477	0.032910	0.064076	0.019753	0.071707	0.053671	0.089101	0.062275	0.045349	0.079325	0.064539	0.042182	0.047429	0.060935
eod0-0	0.361624	0.232143	0.314286	0.374558	0.378092	0.431159	0.336918	0.291367	0.309353	0.371324	0.314394	0.345196	0.394161	0.389439	0.409722	0.370213	0.374545	0.254826	0.301471	0.376426
eod0-1	0.203846	0.144195	0.224863	0.274747	0.276718	0.296935	0.267823	0.224231	0.185687	0.333959	0.175403	0.240076	0.239766	0.271120	0.324864	0.215842	0.262681	0.178715	0.209346	0.259188
eod0	0.157777	0.087948	0.089423	0.099811	0.101374	0.134225	0.069095	0.067135	0.123666	0.037365	0.138991	0.105120	0.154395	0.118319	0.084858	0.154371	0.111864	0.076111	0.092125	0.117238
spd1-0	0.074352	0.048249	0.069407	0.088699	0.082628	0.116848	0.083445	0.063858	0.062500	0.098879	0.057819	0.074397	0.086195	0.099129	0.097100	0.054545	0.081536	0.057971	0.064772	0.081702
spd1-1	0.066728	0.039812	0.069897	0.078906	0.084649	0.086970	0.076469	0.064070	0.058165	0.093848	0.052499	0.075055	0.074580	0.083489	0.103727	0.063863	0.080460	0.048352	0.065517	0.077592
spd1	0.007624	0.008437	0.000490	0.009793	0.002021	0.029878	0.006977	0.000213	0.004335	0.005031	0.005319	0.000658	0.011615	0.015640	0.006626	0.009318	0.001077	0.009619	0.000745	0.004110
aod1-0	0.341164	0.268315	0.329543	0.414336	0.399008	0.520916	0.407485	0.346003	0.321823	0.493934	0.297468	0.373926	0.412642	0.441342	0.433835	0.306051	0.407705	0.322152	0.309497	0.443999
aod1-1	0.269833	0.164476	0.270811	0.323035	0.331927	0.342743	0.300736	0.248440	0.232485	0.356541	0.225588	0.288905	0.299426	0.326594	0.389363	0.281281	0.309597	0.195959	0.255220	0.301395
aod1	0.035666	0.051920	0.029366	0.045651	0.033540	0.089086	0.053375	0.048782	0.044669	0.068697	0.035940	0.042511	0.056608	0.057374	0.022236	0.012385	0.049054	0.063097	0.027139	0.071302
eod1-0	0.303922	0.248677	0.293194	0.368159	0.354497	0.457286	0.365079	0.319588	0.291892	0.445596	0.273171	0.338542	0.369231	0.385787	0.379487	0.281768	0.372549	0.296703	0.278846	0.405714
eod1-1	0.241908	0.152000	0.243711	0.291161	0.299353	0.305509	0.269294	0.224490	0.209836	0.315359	0.205405	0.257282	0.268581	0.292683	0.346273	0.259392	0.276083	0.175652	0.227045	0.267769
eod1	0.062014	0.096677	0.049483	0.076998	0.055145	0.151777	0.095785	0.095098	0.082056	0.130236	0.067765	0.081260	0.100650	0.093104	0.033214	0.022376	0.096466	0.121051	0.051801	0.137946
wcspd-00	0.082370	0.043732	0.073759	0.092990	0.092105	0.121662	0.092954	0.051429	0.063369	0.093838	0.063492	0.064470	0.090639	0.099281	0.092086	0.060478	0.089939	0.062937	0.064897	0.070301
wcspd-01	0.074983	0.045692	0.071758	0.080666	0.087275	0.088042	0.074121	0.060328	0.063399	0.080399	0.055520	0.076527	0.089844	0.086985	0.098555	0.062207	0.082891	0.048387	0.063915	0.079669
wcspd-10	0.067183	0.051995	0.065469	0.085055	0.075029	0.112782	0.075702	0.074481	0.061831	0.103362	0.053076	0.083123	0.082512	0.098997	0.101523	0.049457	0.074879	0.053549	0.064671	0.091837
wcspd-11	0.059538	0.034379	0.068235	0.077208	0.082282	0.086015	0.078692	0.067511	0.053412	0.105889	0.049632	0.073671	0.060642	0.080217	0.108363	0.065348	0.078317	0.048321	0.066943	0.075620
wcspd	0.022832	0.017616	0.008290	0.015782	0.017076	0.035647	0.018832	0.023053	0.009986	0.025491	0.013860	0.018654	0.029997	0.019063	0.016276	0.015891	0.015060	0.014616	0.003028	0.021535
wcaod-00	0.420335	0.290708	0.380627	0.485817	0.507883	0.649132	0.507394	0.374319	0.384872	0.577399	0.491008	0.470880	0.498944	0.503834	0.478733	0.458600	0.502854	0.403999	0.372006	0.491650
wcaod-01	0.389942	0.237928	0.340860	0.391013	0.398091	0.423468	0.336474	0.298215	0.320501	0.361671	0.289463	0.354886	0.421440	0.409387	0.452424	0.373803	0.386973	0.237461	0.316342	0.393935
wcaod-10	0.291473	0.256640	0.295169	0.368060	0.341522	0.450691	0.346639	0.334210	0.283854	0.448673	0.210560	0.332309	0.363298	0.404006	0.405667	0.232629	0.353056	0.272523	0.273719	0.423010
wcaod-11	0.207295	0.123196	0.232851	0.281320	0.291450	0.297956	0.277364	0.222334	0.184593	0.353003	0.187493	0.249850	0.227330	0.275404	0.355070	0.237495	0.267644	0.173401	0.224192	0.250460
wcaod	0.106520	0.083756	0.073888	0.102248	0.108216	0.175588	0.115015	0.075992	0.100140	0.112198	0.151757	0.110515	0.135807	0.114215	0.061831	0.112985	0.117605	0.115299	0.073907	0.120595
