accuracy	0.794854	0.793285	0.788576	0.791169	0.792397	0.791579	0.792739	0.788507	0.787211	0.792807	0.792124	0.794308	0.793148	0.793558	0.792193	0.795605	0.788985	0.792261	0.792193	0.791579
recall	0.579149	0.581519	0.577701	0.579246	0.582259	0.578653	0.583407	0.577635	0.581909	0.578237	0.583384	0.576634	0.581077	0.581888	0.583152	0.584076	0.578304	0.583820	0.582082	0.578934
precision	0.799224	0.801434	0.799785	0.791147	0.785645	0.792429	0.803203	0.798704	0.800836	0.796985	0.805480	0.789498	0.799999	0.793822	0.793169	0.808181	0.797495	0.812811	0.797087	0.802536
f1score	0.581280	0.584096	0.577171	0.580737	0.585773	0.579927	0.586533	0.577116	0.582774	0.579441	0.586183	0.577980	0.583497	0.585130	0.586556	0.588122	0.578315	0.586454	0.584805	0.579762
mcc	0.307788	0.313512	0.305244	0.303792	0.306574	0.303318	0.318051	0.304564	0.313950	0.304861	0.319199	0.297896	0.311917	0.310229	0.312266	0.321935	0.305255	0.323850	0.312317	0.309066
spd0-0	0.036323	0.041874	0.037445	0.042781	0.046497	0.040931	0.039427	0.039678	0.042656	0.038192	0.041701	0.038972	0.039403	0.041556	0.042392	0.037896	0.035135	0.038422	0.042962	0.038184
spd0-1	0.057055	0.056771	0.056368	0.056991	0.059711	0.056707	0.059793	0.055533	0.058621	0.056173	0.058314	0.055346	0.057878	0.059275	0.060901	0.059243	0.058757	0.058655	0.058372	0.055975
spd0	0.020733	0.014897	0.018923	0.014210	0.013213	0.015777	0.020365	0.015855	0.015965	0.017981	0.016613	0.016375	0.018475	0.017719	0.018509	0.021347	0.023623	0.020233	0.015409	0.017791
aod0-0	0.211619	0.242523	0.215100	0.234983	0.272763	0.239402	0.236531	0.239827	0.242286	0.224843	0.245033	0.218557	0.218727	0.241711	0.257153	0.239958	0.203284	0.229376	0.254573	0.214288
aod0-1	0.176885	0.176457	0.171803	0.175358	0.180863	0.173446	0.183022	0.167976	0.177815	0.173179	0.179387	0.172386	0.180213	0.181264	0.183426	0.182590	0.176996	0.180806	0.177985	0.173720
aod0	0.017367	0.033033	0.021649	0.029813	0.045950	0.032978	0.026755	0.035925	0.032235	0.025832	0.032823	0.023086	0.019257	0.030224	0.036863	0.028684	0.013144	0.024285	0.038294	0.020284
eod0-0	0.193738	0.224044	0.197343	0.213894	0.251418	0.220077	0.219282	0.222222	0.222836	0.208103	0.225806	0.199241	0.200000	0.221135	0.239411	0.223553	0.186047	0.213382	0.234848	0.195933
eod0-1	0.167233	0.167005	0.162706	0.165259	0.168016	0.162806	0.172782	0.158537	0.168730	0.162411	0.171144	0.161557	0.170624	0.170814	0.170477	0.173083	0.166777	0.172552	0.167949	0.165378
eod0	0.026505	0.057038	0.034637	0.048635	0.083402	0.057271	0.046500	0.063686	0.054106	0.045693	0.054662	0.037684	0.029376	0.050321	0.068933	0.050470	0.019270	0.040830	0.066899	0.030555
spd1-0	0.089243	0.088331	0.093840	0.091335	0.098376	0.092155	0.087328	0.090395	0.088760	0.087298	0.088993	0.090483	0.083528	0.088983	0.100709	0.090951	0.089286	0.091037	0.090601	0.083758
spd1-1	0.043720	0.045593	0.042942	0.045614	0.048173	0.044668	0.047346	0.043499	0.047615	0.043802	0.046653	0.043051	0.046363	0.047330	0.046977	0.045487	0.044591	0.045280	0.047105	0.044268
spd1	0.045522	0.042738	0.050898	0.045721	0.050204	0.047487	0.039982	0.046896	0.041145	0.043496	0.042340	0.047432	0.037165	0.041653	0.053732	0.045464	0.044695	0.045757	0.043496	0.039489
aod1-0	0.405224	0.385271	0.403031	0.380926	0.398603	0.390502	0.382672	0.376988	0.386845	0.391909	0.405380	0.400130	0.380070	0.388006	0.454750	0.414404	0.404745	0.417100	0.413756	0.349416
aod1-1	0.159408	0.165866	0.155382	0.164088	0.172323	0.161439	0.171406	0.156578	0.167981	0.158845	0.167709	0.157010	0.166685	0.170101	0.167591	0.166714	0.158171	0.164473	0.168196	0.161652
aod1	0.122908	0.109703	0.123825	0.108419	0.113140	0.114532	0.105633	0.110205	0.109432	0.116532	0.118836	0.121560	0.106692	0.108952	0.143579	0.123845	0.123287	0.126313	0.122780	0.093882
eod1-0	0.365931	0.342508	0.356467	0.334337	0.348974	0.343653	0.338710	0.335227	0.345679	0.349206	0.366154	0.353135	0.341693	0.344720	0.407051	0.374622	0.366460	0.378788	0.371711	0.308140
eod1-1	0.151467	0.158790	0.149383	0.155955	0.162437	0.153749	0.164439	0.149501	0.160231	0.151659	0.160398	0.149344	0.158540	0.161239	0.159126	0.159962	0.149938	0.158450	0.159664	0.155107
eod1	0.214464	0.183717	0.207084	0.178383	0.186537	0.189904	0.174271	0.185727	0.185448	0.197548	0.205756	0.203791	0.183152	0.183481	0.247925	0.214660	0.216522	0.220338	0.212047	0.153032
