accuracy	0.822357	0.822152	0.815942	0.820446	0.821470	0.820583	0.821538	0.818126	0.813144	0.818535	0.817171	0.824200	0.819559	0.819832	0.819286	0.825224	0.815260	0.815874	0.818808	0.819491
recall	0.654030	0.655647	0.652692	0.656557	0.659366	0.652867	0.656593	0.653851	0.650044	0.650606	0.648172	0.655261	0.653271	0.653016	0.653890	0.664031	0.654566	0.646727	0.652311	0.654905
precision	0.807762	0.814918	0.800848	0.805615	0.803299	0.810752	0.815946	0.809731	0.803886	0.800182	0.812096	0.809914	0.804935	0.803831	0.806759	0.812927	0.793159	0.811006	0.807082	0.805819
f1score	0.682148	0.683981	0.679034	0.684330	0.687457	0.680526	0.684857	0.680954	0.675514	0.677399	0.674554	0.683956	0.680601	0.680370	0.681234	0.693500	0.680714	0.672615	0.679425	0.682349
mcc	0.435452	0.442792	0.428659	0.437476	0.439707	0.435908	0.444859	0.436588	0.427066	0.425249	0.430089	0.438714	0.432377	0.431235	0.434544	0.453121	0.425734	0.427237	0.432537	0.435306
spd0-0	0.063821	0.066335	0.064489	0.068902	0.068609	0.068772	0.068686	0.066956	0.072284	0.071429	0.069364	0.060945	0.066363	0.066940	0.064305	0.061503	0.068420	0.070064	0.069149	0.068318
spd0-1	0.118303	0.116289	0.123502	0.121540	0.125637	0.114126	0.116433	0.118708	0.116535	0.115710	0.109593	0.118832	0.119011	0.118960	0.120676	0.128461	0.128551	0.108727	0.116334	0.120106
spd0	0.054482	0.049954	0.059013	0.052639	0.057028	0.045354	0.047746	0.051752	0.044251	0.044281	0.040229	0.057887	0.052649	0.052020	0.056371	0.066957	0.060131	0.038663	0.047185	0.051788
aod0-0	0.371916	0.373318	0.371930	0.398513	0.408698	0.401322	0.395350	0.400077	0.410502	0.400661	0.407678	0.351438	0.369549	0.384130	0.388147	0.372195	0.384002	0.416419	0.410439	0.390426
aod0-1	0.359960	0.357807	0.364106	0.365571	0.375416	0.347913	0.355141	0.353388	0.344749	0.350770	0.331460	0.366327	0.361197	0.357823	0.359750	0.386490	0.374524	0.327132	0.348648	0.361425
aod0	0.005978	0.007755	0.003912	0.016471	0.016641	0.026705	0.020104	0.023345	0.032876	0.024945	0.038109	0.007444	0.004176	0.013153	0.014198	0.007147	0.004739	0.044644	0.030896	0.014500
eod0-0	0.340509	0.342441	0.341556	0.367459	0.378072	0.368726	0.362949	0.369732	0.377532	0.366483	0.375712	0.322581	0.338182	0.350294	0.360958	0.343313	0.348837	0.386980	0.378788	0.358595
eod0-1	0.334806	0.335705	0.334323	0.337614	0.344467	0.325613	0.334223	0.328609	0.319544	0.324140	0.311443	0.340338	0.334464	0.332213	0.331204	0.358554	0.341793	0.305463	0.323854	0.334790
eod0	0.005703	0.006736	0.007233	0.029845	0.033605	0.043113	0.028726	0.041123	0.057988	0.042342	0.064269	0.017757	0.003718	0.018081	0.029754	0.015240	0.007044	0.081517	0.054934	0.023805
spd1-0	0.124940	0.120409	0.132339	0.133489	0.117956	0.116257	0.113906	0.127589	0.132176	0.122402	0.127869	0.131271	0.126925	0.111582	0.129551	0.138504	0.127413	0.137494	0.129360	0.117538
spd1-1	0.096105	0.096305	0.099483	0.099057	0.104945	0.096355	0.098517	0.097214	0.097218	0.097373	0.090909	0.094409	0.097362	0.099928	0.097224	0.100825	0.105477	0.088804	0.095877	0.100464
spd1	0.028835	0.024105	0.032856	0.034432	0.013011	0.019902	0.015389	0.030375	0.034958	0.025028	0.036960	0.036862	0.029563	0.011654	0.032326	0.037679	0.021937	0.048690	0.033483	0.017074
aod1-0	0.537844	0.536043	0.562276	0.558629	0.485768	0.525553	0.493915	0.524016	0.574095	0.554157	0.587556	0.555072	0.544865	0.488612	0.568097	0.581964	0.513242	0.603247	0.573505	0.488570
aod1-1	0.342712	0.341502	0.342785	0.348442	0.366885	0.338941	0.348162	0.341019	0.331974	0.338081	0.318366	0.341731	0.341868	0.348715	0.340394	0.360025	0.359764	0.312606	0.335973	0.351353
aod1	0.097566	0.097271	0.109745	0.105093	0.059441	0.093306	0.072876	0.091498	0.121061	0.108038	0.134595	0.106670	0.101499	0.069948	0.113851	0.110969	0.076739	0.145321	0.118766	0.068609
eod1-0	0.476341	0.480122	0.495268	0.490964	0.428152	0.473684	0.435484	0.463068	0.512346	0.495238	0.532308	0.481848	0.479624	0.434783	0.503205	0.510574	0.444099	0.539394	0.509868	0.430233
eod1-1	0.321429	0.321991	0.319753	0.326717	0.341053	0.317580	0.329189	0.320537	0.310125	0.314376	0.299658	0.323633	0.320541	0.324692	0.319501	0.340196	0.332714	0.295504	0.315282	0.328499
eod1	0.154912	0.158131	0.175515	0.164247	0.087099	0.156104	0.106295	0.142531	0.202221	0.180862	0.232650	0.158215	0.159083	0.110091	0.183704	0.170378	0.111386	0.243890	0.194587	0.101733
wcspd-00	0.097695	0.100414	0.119227	0.110647	0.099129	0.101171	0.098913	0.101931	0.105533	0.105749	0.098196	0.110278	0.111229	0.096842	0.087513	0.111229	0.097612	0.108879	0.106092	0.099253
wcspd-01	0.056032	0.057802	0.051342	0.058658	0.061464	0.060919	0.061554	0.058613	0.063706	0.062791	0.061882	0.049100	0.055441	0.059720	0.058794	0.049421	0.061219	0.060699	0.060213	0.060901
wcspd-10	0.146299	0.136709	0.142982	0.152082	0.132653	0.128292	0.125527	0.147651	0.155880	0.136020	0.153914	0.147623	0.139283	0.123509	0.162988	0.159574	0.153291	0.160338	0.149281	0.131536
wcspd-11	0.114528	0.113489	0.120933	0.117367	0.124682	0.112201	0.115184	0.114707	0.111629	0.112903	0.103782	0.114832	0.116196	0.118338	0.114874	0.124041	0.125389	0.101616	0.112100	0.118476
wcspd	0.090267	0.078907	0.091640	0.093424	0.071189	0.067373	0.063972	0.089038	0.092174	0.073229	0.092031	0.098523	0.083842	0.063789	0.104194	0.110154	0.092072	0.099639	0.089067	0.070635
wcaod-00	0.571345	0.600398	0.662077	0.602700	0.632537	0.656272	0.584894	0.582731	0.639903	0.596472	0.622798	0.594645	0.559402	0.518515	0.599320	0.596017	0.471048	0.620110	0.614286	0.592459
wcaod-01	0.342550	0.332713	0.322938	0.359707	0.373856	0.359185	0.365922	0.368184	0.366583	0.365155	0.367712	0.311051	0.334890	0.359749	0.358485	0.332894	0.366922	0.381099	0.375276	0.359269
wcaod-10	0.523429	0.512061	0.524055	0.541803	0.447150	0.483198	0.464311	0.504201	0.551542	0.533675	0.573953	0.540141	0.531864	0.469918	0.566504	0.572130	0.516080	0.592999	0.555809	0.458033
wcaod-11	0.342576	0.341758	0.348435	0.346944	0.367017	0.334061	0.343358	0.336406	0.324994	0.333001	0.307874	0.347865	0.343980	0.346540	0.337692	0.366144	0.359843	0.300011	0.329069	0.350113
wcaod	0.114397	0.133843	0.169569	0.127878	0.132760	0.161106	0.120768	0.123162	0.157454	0.131735	0.157462	0.141797	0.112256	0.085987	0.130814	0.131562	0.078118	0.160049	0.142608	0.121173
wceod-00	0.500000	0.538462	0.579710	0.530864	0.569231	0.594203	0.516129	0.514286	0.578313	0.526316	0.564103	0.515152	0.480000	0.449275	0.542373	0.515152	0.393443	0.547945	0.542857	0.523810
wceod-01	0.320879	0.309979	0.305677	0.339056	0.351293	0.334076	0.342612	0.347345	0.341304	0.340471	0.342984	0.295011	0.315789	0.334842	0.338843	0.317241	0.342857	0.362500	0.353712	0.336820
wceod-10	0.471264	0.461847	0.471774	0.478088	0.394928	0.440945	0.415323	0.450355	0.489627	0.485356	0.522267	0.472574	0.479508	0.430830	0.494071	0.509434	0.455939	0.536965	0.500000	0.409253
wceod-11	0.321522	0.324084	0.322070	0.324594	0.339286	0.314862	0.326909	0.316134	0.305055	0.309859	0.292630	0.328582	0.321376	0.323043	0.316060	0.343865	0.331049	0.283789	0.308893	0.327023
wceod	0.179121	0.228483	0.274033	0.206270	0.229945	0.279341	0.189220	0.198152	0.273258	0.216457	0.271473	0.220141	0.164211	0.126232	0.226313	0.197910	0.124889	0.264156	0.233964	0.196787
