accuracy	0.863340	0.861655	0.858497	0.855127	0.858707	0.860602	0.862708	0.853443	0.857865	0.858497	0.861866	0.859760	0.862919	0.857023	0.862919	0.858075	0.853864	0.862919	0.864814	0.853443
recall	0.657746	0.664726	0.654324	0.653833	0.661470	0.660905	0.664174	0.651714	0.659225	0.662587	0.664866	0.665288	0.670386	0.651425	0.665895	0.655822	0.663343	0.670047	0.658918	0.663004
precision	0.779069	0.782260	0.770812	0.770255	0.761346	0.770034	0.768359	0.755765	0.789076	0.763949	0.771671	0.778257	0.786014	0.778188	0.765497	0.766354	0.768940	0.768008	0.779493	0.755389
f1score	0.691138	0.697987	0.686191	0.685226	0.691551	0.692561	0.695530	0.681137	0.693029	0.692959	0.696596	0.697726	0.703944	0.684014	0.696627	0.686988	0.693912	0.700745	0.692500	0.691454
mcc	0.419628	0.431256	0.408866	0.407794	0.410850	0.416893	0.419798	0.393970	0.429083	0.414317	0.423270	0.428917	0.441510	0.410485	0.419736	0.407450	0.419187	0.426961	0.421505	0.408066
spd0-0	0.072088	0.071745	0.074730	0.072451	0.094862	0.084133	0.077160	0.085050	0.080768	0.086139	0.078242	0.078284	0.082149	0.080470	0.083871	0.077026	0.080899	0.085876	0.077326	0.082321
spd0-1	0.099030	0.109595	0.101479	0.106248	0.096278	0.099389	0.108021	0.100486	0.095694	0.105199	0.107922	0.108521	0.104926	0.090264	0.105611	0.103076	0.114501	0.108350	0.093902	0.119161
spd0	0.026942	0.037850	0.026749	0.033797	0.001417	0.015256	0.030860	0.015436	0.014926	0.019060	0.029681	0.030237	0.022777	0.009794	0.021740	0.026050	0.033602	0.022474	0.016576	0.036840
aod0-0	0.400532	0.412635	0.384162	0.387154	0.464297	0.423891	0.417518	0.425139	0.426626	0.433092	0.435368	0.402018	0.436534	0.405605	0.440624	0.415680	0.398281	0.435310	0.427886	0.392719
aod0-1	0.373964	0.396043	0.379318	0.380567	0.367877	0.380855	0.401519	0.362003	0.357103	0.391725	0.393018	0.406718	0.397234	0.346515	0.396677	0.373731	0.414588	0.414285	0.360492	0.432831
aod0	0.013284	0.008296	0.002422	0.003294	0.048210	0.021518	0.007999	0.031568	0.034762	0.020684	0.021175	0.002350	0.019650	0.029545	0.021973	0.020974	0.008153	0.010513	0.033697	0.020056
eod0-0	0.373737	0.386760	0.351792	0.359736	0.419672	0.387097	0.381481	0.388535	0.396104	0.393333	0.404181	0.369281	0.401384	0.372990	0.402730	0.385906	0.361842	0.395270	0.395018	0.353135
eod0-1	0.334004	0.352166	0.339960	0.335227	0.329960	0.342159	0.359768	0.316733	0.324074	0.349802	0.347656	0.366089	0.362101	0.313346	0.353783	0.328094	0.370166	0.372470	0.326733	0.381958
eod0	0.039733	0.034594	0.011831	0.024509	0.089713	0.044938	0.021714	0.071802	0.072030	0.043531	0.056525	0.003192	0.039283	0.059644	0.048947	0.057812	0.008324	0.022801	0.068285	0.028822
spd1-0	0.077841	0.082814	0.083125	0.081773	0.082323	0.078095	0.089431	0.084568	0.071296	0.082807	0.089736	0.080025	0.091138	0.072000	0.087121	0.081165	0.089824	0.090966	0.076067	0.099688
spd1-1	0.090304	0.096087	0.091140	0.094693	0.102137	0.098929	0.095238	0.097475	0.097577	0.102621	0.095772	0.101202	0.095630	0.092830	0.098894	0.095694	0.103263	0.100792	0.090996	0.103053
spd1	0.012464	0.013272	0.008015	0.012921	0.019814	0.020834	0.005807	0.012907	0.026281	0.019814	0.006036	0.021177	0.004492	0.020830	0.011773	0.014529	0.013438	0.009826	0.014929	0.003365
aod1-0	0.397725	0.409257	0.409684	0.364152	0.387472	0.368468	0.445523	0.384472	0.338195	0.373781	0.430282	0.414194	0.418447	0.349451	0.402501	0.375276	0.391095	0.450637	0.383609	0.443594
