accuracy	0.682679	0.681293	0.692379	0.677598	0.681755	0.679908	0.666975	0.686374	0.677136	0.670208	0.679446	0.682679	0.682217	0.679446	0.683603	0.682217	0.687298	0.688684	0.678060	0.662356
recall	0.669068	0.668854	0.679646	0.665054	0.666457	0.664942	0.654463	0.673117	0.663000	0.655583	0.666532	0.670774	0.673896	0.663078	0.669959	0.670414	0.677519	0.674736	0.663990	0.647550
precision	0.689906	0.687158	0.695698	0.681258	0.675074	0.680817	0.665524	0.689489	0.677054	0.664105	0.679090	0.683275	0.688511	0.677899	0.686985	0.687324	0.693066	0.688111	0.680053	0.661269
f1score	0.667402	0.667497	0.679807	0.664165	0.668174	0.665048	0.654587	0.672990	0.663226	0.656860	0.666972	0.671113	0.672280	0.663803	0.669580	0.669355	0.676474	0.675712	0.663658	0.647110
mcc	0.358369	0.355541	0.375001	0.345932	0.341422	0.345394	0.319796	0.362236	0.339763	0.319574	0.345394	0.353828	0.362112	0.340655	0.356538	0.357338	0.370259	0.362600	0.343668	0.308515
spd0-0	0.644977	0.634483	0.635166	0.634957	0.606519	0.633180	0.616725	0.631489	0.631218	0.601603	0.613372	0.611111	0.610630	0.630688	0.637046	0.628080	0.620124	0.626437	0.632488	0.624211
spd0-1	0.779661	0.771765	0.713604	0.740476	0.724832	0.754137	0.722348	0.750000	0.728365	0.753589	0.750562	0.760599	0.769585	0.749446	0.740741	0.769048	0.762626	0.715294	0.755245	0.779621
spd0	0.134684	0.137282	0.078438	0.105519	0.118313	0.120957	0.105623	0.118511	0.097148	0.151986	0.137190	0.149487	0.158956	0.118757	0.103695	0.140967	0.142502	0.088857	0.122756	0.155410
aod0-0	1.273073	1.259167	1.257804	1.258313	1.179885	1.242917	1.218158	1.244123	1.241618	1.180053	1.209943	1.202203	1.221059	1.239537	1.253360	1.238890	1.226283	1.229218	1.245178	1.229983
aod0-1	1.490173	1.439510	1.296733	1.375423	1.341916	1.440563	1.355997	1.407379	1.386454	1.408756	1.414518	1.438642	1.447357	1.394420	1.402247	1.481625	1.455822	1.332727	1.441621	1.487647
aod0	0.108550	0.090172	0.019465	0.058555	0.081015	0.098823	0.068919	0.081628	0.072418	0.114352	0.102287	0.118219	0.113149	0.077442	0.074444	0.121368	0.114769	0.051755	0.098222	0.128832
eod0-0	0.808487	0.793527	0.805310	0.789823	0.748156	0.791622	0.762168	0.792432	0.790948	0.744409	0.772979	0.770878	0.784065	0.778384	0.794565	0.796721	0.792165	0.789020	0.791077	0.762419
