accuracy	0.815533	0.816215	0.813895	0.813417	0.815533	0.818808	0.818808	0.811984	0.809459	0.813758	0.813076	0.817648	0.813008	0.816147	0.815874	0.818604	0.813417	0.814372	0.812803	0.814509
recall	0.647964	0.654000	0.653919	0.647636	0.653698	0.657690	0.658281	0.647025	0.648716	0.648364	0.652396	0.652401	0.649262	0.650993	0.658454	0.657716	0.648751	0.650802	0.649138	0.648416
precision	0.784017	0.788529	0.789294	0.785719	0.784388	0.794240	0.799373	0.790467	0.787987	0.781004	0.784834	0.783082	0.780104	0.789191	0.784302	0.791535	0.793371	0.795813	0.783102	0.791812
f1score	0.673526	0.680205	0.679628	0.672744	0.679613	0.684815	0.685593	0.671825	0.673035	0.673497	0.677728	0.678650	0.674271	0.677025	0.684616	0.684703	0.674073	0.676548	0.674167	0.673943
mcc	0.409996	0.421586	0.422032	0.410767	0.418138	0.430807	0.435362	0.413308	0.413900	0.408367	0.416690	0.415413	0.408944	0.417927	0.424494	0.428858	0.417800	0.422418	0.410956	0.416219
spd0-0	0.031603	0.035862	0.031204	0.036405	0.040918	0.034698	0.034239	0.034925	0.036352	0.033031	0.035921	0.032338	0.035048	0.035619	0.037477	0.033961	0.030820	0.032464	0.038257	0.031785
spd0-1	0.141309	0.144776	0.148284	0.139209	0.144487	0.145833	0.144702	0.137762	0.141702	0.143644	0.146906	0.145488	0.144746	0.140971	0.153531	0.147801	0.140200	0.140507	0.142448	0.138866
spd0	0.109706	0.108913	0.117079	0.102805	0.103570	0.111136	0.110463	0.102838	0.105350	0.110613	0.110985	0.113150	0.109699	0.105351	0.116054	0.113840	0.109380	0.108043	0.104191	0.107081
aod0-0	0.197708	0.224627	0.199772	0.218221	0.258207	0.222231	0.225732	0.231131	0.227148	0.212594	0.226886	0.206115	0.205890	0.224711	0.246789	0.230273	0.193333	0.210042	0.242640	0.203854
aod0-1	0.405259	0.416890	0.419703	0.399706	0.412759	0.420737	0.417345	0.390074	0.399336	0.409944	0.414480	0.420562	0.414244	0.403837	0.433269	0.422386	0.398486	0.402131	0.402735	0.399171
aod0	0.103775	0.096132	0.109966	0.090742	0.077276	0.099253	0.095806	0.079472	0.086094	0.098675	0.093797	0.107223	0.104177	0.089563	0.093240	0.096057	0.102577	0.096045	0.080047	0.097659
eod0-0	0.183953	0.211293	0.187856	0.202925	0.241966	0.208494	0.213611	0.218391	0.213628	0.200737	0.212524	0.193548	0.190909	0.209393	0.233886	0.217565	0.180233	0.198915	0.227273	0.192237
eod0-1	0.356560	0.367886	0.369967	0.353160	0.362686	0.373951	0.372582	0.345089	0.352443	0.357848	0.363847	0.368584	0.362958	0.357767	0.377942	0.372949	0.354647	0.357761	0.353295	0.353950
eod0	0.172607	0.156593	0.182111	0.150235	0.120720	0.165457	0.158971	0.126698	0.138815	0.157111	0.151324	0.175036	0.172049	0.148374	0.144056	0.155385	0.174415	0.158846	0.126023	0.161713
spd1-0	0.078148	0.074849	0.079403	0.076815	0.085482	0.077977	0.075463	0.079567	0.074288	0.075751	0.075878	0.075481	0.073728	0.075330	0.089362	0.082179	0.079151	0.077428	0.079457	0.069412
spd1-1	0.109221	0.114782	0.114911	0.109922	0.114420	0.114621	0.113901	0.107910	0.112957	0.112508	0.116073	0.113818	0.114628	0.111022	0.119158	0.115160	0.107941	0.109248	0.112320	0.109350
spd1	0.031073	0.039933	0.035507	0.033107	0.028938	0.036643	0.038438	0.028343	0.038669	0.036757	0.040195	0.038337	0.040900	0.035693	0.029796	0.032981	0.028790	0.031819	0.032863	0.039938
aod1-0	0.379201	0.351803	0.373062	0.348988	0.371390	0.358541	0.360752	0.359455	0.357119	0.367859	0.372240	0.374382	0.355624	0.356609	0.433487	0.396622	0.385143	0.381197	0.389803	0.327642
aod1-1	0.365295	0.381856	0.378882	0.365910	0.382489	0.386099	0.382902	0.359077	0.367230	0.370666	0.379276	0.379548	0.375801	0.371722	0.390961	0.385078	0.359021	0.363229	0.369098	0.365551
aod1	0.006953	0.015026	0.002910	0.008461	0.005549	0.013779	0.011075	0.000189	0.005055	0.001403	0.003518	0.002583	0.010088	0.007557	0.021263	0.005772	0.013061	0.008984	0.010352	0.018954
eod1-0	0.350158	0.321101	0.340694	0.316265	0.334311	0.325077	0.329032	0.329545	0.330247	0.336508	0.344615	0.343234	0.326019	0.326087	0.397436	0.365559	0.357143	0.354545	0.358553	0.302326
eod1-1	0.329082	0.345621	0.343210	0.331128	0.345495	0.351922	0.350637	0.326155	0.331712	0.333017	0.341001	0.341541	0.336898	0.337022	0.351638	0.349066	0.326518	0.330853	0.332088	0.331967
eod1	0.021076	0.024520	0.002516	0.014863	0.011184	0.026844	0.021605	0.003391	0.001465	0.003491	0.003614	0.001693	0.010880	0.010935	0.045798	0.016493	0.030625	0.023693	0.026464	0.029642
wcspd-00	0.043908	0.046584	0.051557	0.052192	0.057734	0.057508	0.044565	0.045064	0.048156	0.052361	0.051102	0.049251	0.051907	0.042105	0.052295	0.054025	0.040498	0.043340	0.056723	0.036286
wcspd-01	0.028773	0.033178	0.026316	0.032531	0.036980	0.029169	0.031803	0.032506	0.033307	0.028165	0.031981	0.028278	0.030944	0.034053	0.033958	0.029086	0.028432	0.029839	0.033791	0.030706
wcspd-10	0.104991	0.097890	0.102005	0.096856	0.107143	0.094308	0.099410	0.106544	0.097539	0.094878	0.097625	0.095913	0.090909	0.102215	0.118846	0.103928	0.112714	0.104641	0.098921	0.094771
wcspd-11	0.146206	0.151203	0.154386	0.144997	0.149572	0.152834	0.150919	0.142078	0.147209	0.150383	0.153367	0.152375	0.152224	0.146265	0.158287	0.154034	0.143713	0.145448	0.148041	0.145154
wcspd	0.117432	0.118025	0.128070	0.112466	0.112591	0.123665	0.119116	0.109573	0.113902	0.122218	0.121386	0.124098	0.121280	0.112211	0.124328	0.124948	0.115281	0.115609	0.114250	0.114448
wcaod-00	0.330472	0.284563	0.362336	0.359559	0.431653	0.449025	0.376983	0.324362	0.336769	0.406078	0.372241	0.416981	0.324404	0.259126	0.466874	0.422413	0.318364	0.323134	0.416327	0.362936
wcaod-01	0.179781	0.213270	0.173546	0.192765	0.232266	0.185874	0.204476	0.215593	0.206486	0.179828	0.200496	0.174774	0.185610	0.218193	0.218210	0.199500	0.175273	0.191761	0.214558	0.182627
