accuracy	0.852860	0.854986	0.851797	0.857325	0.854561	0.855199	0.852860	0.847331	0.853073	0.855411	0.862853	0.849033	0.855624	0.852860	0.843079	0.867744	0.849033	0.858176	0.851371	0.855199
recall	0.621078	0.627221	0.632815	0.631116	0.627789	0.627149	0.614773	0.622334	0.627531	0.630867	0.634078	0.621857	0.631563	0.626516	0.618509	0.632483	0.612114	0.620831	0.625864	0.625090
precision	0.758900	0.785491	0.773694	0.763487	0.776095	0.772277	0.770766	0.763210	0.758706	0.776076	0.774580	0.754891	0.762006	0.772421	0.751510	0.785293	0.779913	0.757342	0.761111	0.758733
f1score	0.649855	0.658591	0.663516	0.661783	0.658626	0.657791	0.643235	0.650598	0.656946	0.662154	0.666675	0.649876	0.661888	0.656708	0.645004	0.666591	0.639636	0.650303	0.655044	0.654622
mcc	0.354102	0.381158	0.381317	0.371738	0.375669	0.372128	0.352571	0.358885	0.363280	0.380154	0.383745	0.352478	0.371323	0.371298	0.345290	0.388826	0.354301	0.352675	0.362570	0.359805
spd0-0	0.061846	0.059062	0.059353	0.058824	0.058124	0.055556	0.050179	0.055281	0.057878	0.055430	0.054416	0.055925	0.062924	0.056965	0.060442	0.050317	0.048521	0.054925	0.058257	0.054722
spd0-1	0.077875	0.076861	0.091166	0.088452	0.081811	0.084164	0.076083	0.088781	0.089470	0.087762	0.086550	0.089796	0.087009	0.084691	0.087289	0.079696	0.073257	0.079600	0.087594	0.088223
spd0	0.016029	0.017799	0.031813	0.029629	0.023687	0.028609	0.025903	0.033500	0.031592	0.032331	0.032134	0.033870	0.024084	0.027726	0.026847	0.029378	0.024736	0.024675	0.029337	0.033501
aod0-0	0.333763	0.318141	0.309406	0.315536	0.301381	0.305525	0.263185	0.300605	0.308923	0.300389	0.314417	0.304972	0.322462	0.313791	0.308725	0.333666	0.257539	0.303198	0.306141	0.316240
aod0-1	0.285600	0.295113	0.333219	0.330902	0.314344	0.313851	0.288682	0.308900	0.326529	0.327189	0.331466	0.311774	0.329108	0.308524	0.300367	0.306846	0.275465	0.300035	0.318820	0.312682
aod0	0.024081	0.011514	0.011906	0.007683	0.006482	0.004163	0.012748	0.004148	0.008803	0.013400	0.008525	0.003401	0.003323	0.002634	0.004179	0.013410	0.008963	0.001581	0.006340	0.001779
eod0-0	0.306273	0.292857	0.282143	0.289753	0.275618	0.282609	0.240143	0.276978	0.284173	0.275735	0.291667	0.281139	0.291971	0.293729	0.281250	0.314894	0.236364	0.277992	0.279412	0.292776
eod0-1	0.253846	0.271536	0.301645	0.294949	0.286260	0.281609	0.262042	0.273056	0.288201	0.296435	0.298387	0.272212	0.296296	0.273084	0.263158	0.277228	0.251812	0.267068	0.284112	0.274662
eod0	0.052427	0.021322	0.019502	0.005197	0.010641	0.001000	0.021899	0.003922	0.004028	0.020700	0.006720	0.008927	0.004325	0.020645	0.018092	0.037666	0.015448	0.010924	0.004700	0.018114
spd1-0	0.060709	0.054858	0.071429	0.072273	0.059206	0.065897	0.052490	0.053983	0.067876	0.063942	0.065703	0.060322	0.060606	0.060281	0.055968	0.048052	0.059299	0.057971	0.065433	0.060095
spd1-1	0.074761	0.074922	0.078285	0.075134	0.076437	0.073042	0.069008	0.081972	0.078072	0.076585	0.073876	0.079726	0.082660	0.076636	0.083230	0.074613	0.063063	0.072841	0.078056	0.077592
spd1	0.014051	0.020064	0.006857	0.002860	0.017231	0.007146	0.016518	0.027989	0.010195	0.012643	0.008173	0.019404	0.022054	0.016354	0.027262	0.026561	0.003764	0.014870	0.012624	0.017497
aod1-0	0.280111	0.316689	0.372023	0.353230	0.322261	0.343291	0.272579	0.281883	0.341876	0.347679	0.331292	0.313381	0.304830	0.293280	0.247217	0.269958	0.299510	0.317406	0.318347	0.345268
aod1-1	0.308821	0.300111	0.309708	0.313031	0.305790	0.298566	0.281464	0.312022	0.311038	0.307772	0.321112	0.305782	0.334187	0.313154	0.318323	0.328055	0.258747	0.294999	0.311730	0.302666
aod1	0.014355	0.008289	0.031158	0.020100	0.008236	0.022363	0.004443	0.015070	0.015419	0.019953	0.005090	0.003800	0.014678	0.009937	0.035553	0.029049	0.020382	0.011204	0.003309	0.021301
eod1-0	0.250000	0.296296	0.340314	0.318408	0.296296	0.316583	0.248677	0.257732	0.308108	0.321244	0.302439	0.286458	0.276923	0.263959	0.215385	0.248619	0.274510	0.291209	0.288462	0.320000
eod1-1	0.279387	0.273600	0.281447	0.284229	0.278317	0.270451	0.256158	0.279435	0.280328	0.279412	0.293694	0.271845	0.300676	0.286179	0.285714	0.302326	0.237560	0.264348	0.280467	0.269421
eod1	0.029387	0.022696	0.058868	0.034179	0.017979	0.046132	0.007480	0.021703	0.027780	0.041832	0.008745	0.014614	0.023753	0.022219	0.070330	0.053707	0.036950	0.026861	0.007994	0.050579
wcspd-00	0.047688	0.048105	0.056738	0.055794	0.051170	0.051929	0.047976	0.037143	0.054096	0.050420	0.047619	0.038682	0.047548	0.048921	0.040288	0.042194	0.047256	0.047552	0.051622	0.044476
wcspd-01	0.068348	0.063969	0.060566	0.060179	0.061292	0.057162	0.051118	0.063607	0.059477	0.057807	0.057456	0.063666	0.069661	0.060567	0.069645	0.054181	0.049072	0.058468	0.061252	0.059273
wcspd-10	0.072351	0.060459	0.084724	0.086270	0.065651	0.077694	0.056166	0.068376	0.078478	0.075965	0.080820	0.079345	0.071429	0.070175	0.069797	0.053076	0.068841	0.067248	0.076647	0.073980
wcspd-11	0.080347	0.085042	0.094118	0.089561	0.090090	0.087185	0.085956	0.098855	0.094955	0.093397	0.089461	0.094807	0.094530	0.091677	0.095406	0.092926	0.075395	0.085445	0.093009	0.094979
wcspd	0.032659	0.036937	0.037380	0.033767	0.038920	0.035257	0.037980	0.061712	0.040860	0.042977	0.041842	0.056125	0.046982	0.042756	0.055119	0.050732	0.028138	0.037892	0.041387	0.050502
wcaod-00	0.252599	0.324059	0.337752	0.309426	0.346696	0.353168	0.280593	0.248092	0.324263	0.332043	0.347203	0.309211	0.296885	0.324817	0.227210	0.344432	0.284437	0.320112	0.311068	0.377124
wcaod-01	0.364957	0.316939	0.299263	0.317738	0.289006	0.290035	0.257311	0.317757	0.303808	0.290071	0.304463	0.305737	0.332121	0.310482	0.339331	0.330461	0.248057	0.297840	0.304607	0.301945
wcaod-10	0.297674	0.312196	0.395228	0.382892	0.311013	0.340626	0.267983	0.301753	0.354366	0.357499	0.328571	0.321658	0.311305	0.278633	0.263623	0.236878	0.309039	0.317480	0.324863	0.335001
wcaod-11	0.281259	0.291106	0.315180	0.312449	0.315545	0.304850	0.295455	0.312451	0.317727	0.318187	0.331949	0.308590	0.334758	0.317606	0.308819	0.330311	0.263771	0.295343	0.316341	0.307158
wcaod	0.056179	0.016477	0.047983	0.036733	0.028845	0.031566	0.019072	0.034832	0.025279	0.033714	0.021370	0.007961	0.018936	0.023092	0.056061	0.053777	0.030491	0.012385	0.010128	0.037590
wceod-00	0.226667	0.301587	0.310811	0.282051	0.322581	0.333333	0.257143	0.230769	0.300000	0.308824	0.328125	0.295082	0.275362	0.305556	0.207792	0.327586	0.263889	0.298507	0.289474	0.358491
wceod-01	0.336735	0.290323	0.271845	0.292683	0.262443	0.265700	0.234450	0.291080	0.278846	0.264706	0.280000	0.277273	0.297561	0.290043	0.308057	0.310734	0.226601	0.270833	0.275510	0.276190
wceod-10	0.263566	0.293651	0.358974	0.341463	0.283465	0.307692	0.243697	0.271318	0.313043	0.328000	0.290780	0.282443	0.277778	0.240000	0.220339	0.211382	0.280303	0.286957	0.287879	0.303279
wceod-11	0.250639	0.264706	0.286047	0.279570	0.287154	0.272959	0.267500	0.273585	0.281095	0.286765	0.301408	0.268844	0.302326	0.283854	0.274827	0.298429	0.242857	0.261097	0.282878	0.265823
wceod	0.110068	0.036881	0.087130	0.061894	0.060137	0.067633	0.033050	0.060311	0.034197	0.063294	0.048125	0.026238	0.026963	0.065556	0.100265	0.116204	0.053702	0.037411	0.013963	0.092668
