accuracy	0.854348	0.852860	0.850734	0.859451	0.852222	0.856475	0.852860	0.846056	0.849670	0.853073	0.858814	0.848395	0.858601	0.850521	0.842016	0.868382	0.847119	0.856687	0.849458	0.852009
recall	0.621972	0.618650	0.626939	0.630844	0.621956	0.630410	0.612779	0.618724	0.619973	0.624035	0.625826	0.615116	0.635888	0.618768	0.614130	0.635609	0.605722	0.616208	0.621761	0.617016
precision	0.766022	0.782600	0.773554	0.774566	0.768720	0.776198	0.772855	0.759633	0.747254	0.769705	0.759832	0.756584	0.773444	0.766771	0.749422	0.786032	0.775484	0.752627	0.754621	0.748121
f1score	0.651515	0.648227	0.656879	0.662677	0.651288	0.661838	0.640962	0.646126	0.647413	0.653822	0.656038	0.642257	0.667857	0.647274	0.639746	0.670120	0.631353	0.644620	0.649820	0.644539
mcc	0.360263	0.366227	0.372691	0.379079	0.362061	0.379573	0.350841	0.351139	0.344464	0.365802	0.361628	0.343727	0.385527	0.355999	0.337440	0.393896	0.341319	0.342678	0.352153	0.340787
spd0-0	0.056844	0.055005	0.058453	0.057054	0.055835	0.057377	0.051971	0.053483	0.057418	0.053628	0.055754	0.051487	0.062019	0.052514	0.059991	0.052584	0.042514	0.054017	0.058257	0.053398
spd0-1	0.079473	0.072435	0.085115	0.083538	0.081017	0.084164	0.071226	0.087974	0.087490	0.084944	0.084112	0.084490	0.086207	0.082655	0.083266	0.080497	0.073257	0.077600	0.086405	0.085761
spd0	0.022629	0.017430	0.026662	0.026484	0.025181	0.026787	0.019255	0.034491	0.030072	0.031316	0.028358	0.033003	0.024188	0.030140	0.023275	0.027913	0.030743	0.023583	0.028148	0.032363
aod0-0	0.321715	0.295164	0.305320	0.307458	0.289728	0.320018	0.268305	0.289300	0.296114	0.292008	0.309369	0.287695	0.330827	0.278002	0.302299	0.354942	0.216480	0.292129	0.309294	0.291622
aod0-1	0.290454	0.277234	0.312349	0.323232	0.304899	0.315263	0.275462	0.303995	0.313985	0.311328	0.314848	0.292679	0.330987	0.303054	0.287411	0.307850	0.275465	0.291504	0.307748	0.302490
aod0	0.015630	0.008965	0.003514	0.007887	0.007585	0.002378	0.003578	0.007348	0.008935	0.009660	0.002739	0.002492	0.000080	0.012526	0.007444	0.023546	0.029493	0.000313	0.000773	0.005434
eod0-0	0.298893	0.271429	0.278571	0.282686	0.265018	0.297101	0.243728	0.266187	0.269784	0.268382	0.284091	0.266904	0.302920	0.257426	0.274306	0.336170	0.196364	0.266409	0.283088	0.266160
eod0-1	0.257692	0.254682	0.283364	0.292929	0.274809	0.283525	0.252408	0.267631	0.274662	0.279550	0.280242	0.255198	0.300195	0.269155	0.252269	0.277228	0.251812	0.259036	0.271028	0.264990
eod0	0.041201	0.016747	0.004792	0.010244	0.009791	0.013577	0.008681	0.001444	0.004877	0.011167	0.003849	0.011705	0.002725	0.011729	0.022037	0.058942	0.055448	0.007373	0.012060	0.001169
spd1-0	0.057299	0.052214	0.068733	0.066360	0.059206	0.065217	0.051144	0.053983	0.066532	0.060646	0.066360	0.055630	0.062626	0.059612	0.055968	0.050649	0.056604	0.056653	0.067416	0.060770
spd1-1	0.074143	0.069906	0.074247	0.072933	0.074226	0.074590	0.067143	0.080088	0.076827	0.074702	0.072619	0.074743	0.080485	0.072274	0.079814	0.075561	0.060267	0.071272	0.076176	0.074488
spd1	0.016844	0.017692	0.005514	0.006573	0.015020	0.009373	0.015999	0.026105	0.010295	0.014056	0.006259	0.019113	0.017859	0.012663	0.023846	0.024912	0.003663	0.014618	0.008760	0.013718
aod1-0	0.272039	0.300061	0.355543	0.333763	0.322261	0.350985	0.266517	0.286283	0.317152	0.326198	0.323814	0.285801	0.333274	0.288204	0.251569	0.282479	0.279902	0.315909	0.324687	0.331188
aod1-1	0.309392	0.279351	0.295194	0.310342	0.292012	0.304334	0.275388	0.301426	0.301970	0.296723	0.306800	0.289752	0.330213	0.292871	0.303571	0.333422	0.246740	0.283592	0.300429	0.287408
aod1	0.018676	0.010355	0.030175	0.011710	0.015125	0.023325	0.004436	0.007571	0.007591	0.014738	0.008507	0.001975	0.001531	0.002333	0.026001	0.025471	0.016581	0.016159	0.012129	0.021890
eod1-0	0.245098	0.280423	0.324607	0.303483	0.296296	0.326633	0.243386	0.262887	0.281081	0.300518	0.292683	0.260417	0.307692	0.258883	0.220513	0.259669	0.254902	0.291209	0.293269	0.302857
eod1-1	0.281090	0.254400	0.268868	0.284229	0.263754	0.275459	0.251232	0.268446	0.270492	0.267974	0.277477	0.258900	0.298986	0.266667	0.271739	0.307692	0.226324	0.252174	0.268781	0.254545
eod1	0.035992	0.026023	0.055739	0.019254	0.032542	0.051174	0.007845	0.005559	0.010589	0.032544	0.015205	0.001517	0.008706	0.007783	0.051226	0.048024	0.028578	0.039035	0.024488	0.048312
wcspd-00	0.046243	0.043732	0.058156	0.057225	0.049708	0.051929	0.052474	0.038571	0.052550	0.049020	0.044733	0.032951	0.044577	0.047482	0.041727	0.043601	0.042683	0.043357	0.053097	0.044476
wcspd-01	0.061712	0.060052	0.058591	0.056978	0.058628	0.059790	0.051757	0.060328	0.059477	0.055814	0.060684	0.059807	0.069661	0.054768	0.068331	0.056856	0.042440	0.059140	0.060586	0.057361
wcspd-10	0.067183	0.059250	0.078306	0.074119	0.066823	0.076441	0.050061	0.067155	0.077289	0.070984	0.084439	0.075567	0.077586	0.070175	0.068528	0.056695	0.067633	0.068493	0.079042	0.075255
wcspd-11	0.084971	0.079011	0.088235	0.088326	0.088288	0.087771	0.081719	0.098252	0.092582	0.091612	0.083946	0.088768	0.090369	0.088661	0.090106	0.092326	0.075979	0.081909	0.090047	0.090744
wcspd	0.038728	0.035279	0.030079	0.031348	0.038581	0.035842	0.031658	0.059681	0.040031	0.042593	0.039706	0.055817	0.045792	0.041179	0.048379	0.048726	0.033539	0.038553	0.036950	0.046268
wcaod-00	0.262690	0.304976	0.351266	0.322247	0.345089	0.366008	0.285619	0.263477	0.284872	0.330495	0.315953	0.258461	0.306411	0.286361	0.240197	0.361673	0.254947	0.302101	0.324226	0.342494
wcaod-01	0.344312	0.293137	0.288792	0.301630	0.274650	0.305288	0.262096	0.298215	0.299757	0.279498	0.308169	0.297446	0.340375	0.275093	0.325875	0.353060	0.202956	0.289738	0.303841	0.279607
wcaod-10	0.279070	0.297749	0.359530	0.341800	0.312390	0.345325	0.253866	0.300303	0.338352	0.325499	0.332931	0.304883	0.350988	0.291661	0.262130	0.247841	0.295324	0.326175	0.327708	0.329825
wcaod-11	0.294477	0.271549	0.298077	0.316504	0.302797	0.305609	0.283059	0.306995	0.306069	0.307503	0.306597	0.288617	0.323917	0.306405	0.292591	0.327693	0.267758	0.281527	0.300528	0.294647
wcaod	0.040811	0.016713	0.035369	0.020085	0.035219	0.030360	0.015877	0.021759	0.026740	0.025498	0.013167	0.023211	0.022288	0.015656	0.042839	0.056916	0.046184	0.022324	0.013590	0.031443
wceod-00	0.240000	0.285714	0.324324	0.294872	0.322581	0.347826	0.257143	0.246154	0.257143	0.308824	0.296875	0.245902	0.289855	0.263889	0.220779	0.344828	0.236111	0.283582	0.302632	0.320755
wceod-01	0.321429	0.267281	0.262136	0.278049	0.248869	0.280193	0.239234	0.272300	0.274038	0.254902	0.280000	0.272727	0.307317	0.255411	0.293839	0.333333	0.182266	0.260417	0.275510	0.252381
wceod-10	0.248062	0.277778	0.324786	0.308943	0.283465	0.315385	0.235294	0.271318	0.295652	0.296000	0.290780	0.267176	0.317460	0.256000	0.220339	0.219512	0.265152	0.295652	0.287879	0.295082
wceod-11	0.260870	0.247549	0.272093	0.287634	0.272040	0.272959	0.257500	0.266509	0.268657	0.274510	0.276056	0.251256	0.294574	0.273438	0.260970	0.295812	0.247619	0.248042	0.265509	0.255696
wceod	0.081429	0.038165	0.062650	0.030894	0.073712	0.074867	0.022206	0.026147	0.038509	0.053922	0.020819	0.026826	0.027605	0.018026	0.073500	0.125315	0.082886	0.047610	0.037123	0.068374
