accuracy	0.673903	0.672055	0.687298	0.672055	0.678060	0.672517	0.648037	0.687298	0.668822	0.669746	0.685450	0.662356	0.677598	0.664665	0.685450	0.676212	0.677598	0.682679	0.667436	0.658661
recall	0.659128	0.656797	0.674206	0.659052	0.661473	0.662092	0.625844	0.675130	0.665956	0.656422	0.676435	0.638439	0.668026	0.645255	0.675155	0.666039	0.666368	0.666607	0.653586	0.647502
precision	0.682384	0.683188	0.690596	0.675800	0.671487	0.669051	0.658050	0.688943	0.665381	0.663274	0.682595	0.687354	0.686954	0.664058	0.684808	0.677961	0.685728	0.683775	0.667882	0.654786
f1score	0.656221	0.652708	0.674080	0.657725	0.663115	0.662991	0.617795	0.675429	0.665616	0.657709	0.677497	0.627064	0.665053	0.644386	0.675881	0.665696	0.663905	0.666844	0.653041	0.648045
mcc	0.340719	0.338960	0.364434	0.334433	0.332810	0.331070	0.282062	0.363810	0.331336	0.319622	0.358977	0.322100	0.354475	0.308740	0.359834	0.343794	0.351564	0.349961	0.321150	0.302200
spd0-0	0.646119	0.672414	0.627721	0.622923	0.591967	0.568886	0.707317	0.604678	0.517439	0.582141	0.563372	0.733560	0.623339	0.627771	0.583381	0.597708	0.613906	0.632759	0.607143	0.575445
spd0-1	0.840194	0.781176	0.761337	0.814286	0.821029	0.801418	0.819413	0.805825	0.658654	0.784689	0.766292	0.870324	0.815668	0.871397	0.784722	0.792857	0.893939	0.781176	0.841492	0.805687
spd0	0.194075	0.108763	0.133616	0.191363	0.229062	0.232532	0.112096	0.201148	0.141215	0.202548	0.202920	0.136764	0.192329	0.243626	0.201341	0.195149	0.280033	0.148418	0.234349	0.230243
aod0-0	1.275811	1.335578	1.243342	1.234503	1.150336	1.114828	1.402006	1.189893	1.014118	1.140909	1.109110	1.449834	1.246486	1.235047	1.144405	1.178616	1.213960	1.242938	1.195533	1.132428
aod0-1	1.633433	1.469926	1.405187	1.546834	1.564465	1.545113	1.574552	1.535064	1.241299	1.483097	1.444713	1.697841	1.546356	1.689033	1.510453	1.534166	1.754539	1.476970	1.634203	1.549020
aod0	0.178811	0.067174	0.080923	0.156166	0.207065	0.215142	0.086273	0.172585	0.113591	0.171094	0.167802	0.124004	0.149935	0.226993	0.183024	0.177775	0.270289	0.117016	0.219335	0.208296
eod0-0	0.805223	0.822545	0.792035	0.774336	0.735511	0.723953	0.827434	0.770811	0.676724	0.726305	0.730897	0.871520	0.789838	0.766376	0.753261	0.761749	0.784548	0.787944	0.757345	0.713823
eod0-1	0.910853	0.884892	0.872340	0.905455	0.916667	0.880597	0.892734	0.908397	0.748148	0.857143	0.863014	0.929134	0.908772	0.929293	0.880150	0.879845	0.950617	0.883636	0.908088	0.882353
eod0	0.105630	0.062347	0.080305	0.131118	0.181156	0.156644	0.065300	0.137586	0.071424	0.130838	0.132117	0.057614	0.118934	0.162917	0.126889	0.118096	0.166069	0.095692	0.150743	0.168530
spd1-0	0.617379	0.630542	0.604282	0.603265	0.563162	0.564972	0.701345	0.589311	0.449683	0.549306	0.549650	0.698424	0.634877	0.625175	0.557133	0.595506	0.625694	0.591390	0.616190	0.582749
spd1-1	0.810298	0.814516	0.753138	0.765873	0.783422	0.707610	0.784574	0.745626	0.725806	0.764138	0.712925	0.868661	0.718795	0.782313	0.747354	0.712551	0.743448	0.795455	0.726776	0.692828
spd1	0.192919	0.183974	0.148856	0.162608	0.220261	0.142638	0.083230	0.156315	0.276123	0.214832	0.163275	0.170237	0.083917	0.157138	0.190222	0.117045	0.117754	0.204064	0.110586	0.110079
aod1-0	1.228059	1.256117	1.189152	1.197052	1.099520	1.115964	1.390244	1.171321	0.879633	1.082000	1.082195	1.392886	1.274089	1.233020	1.102221	1.186585	1.245802	1.156265	1.216989	1.150505
aod1-1	1.566125	1.579846	1.458139	1.477098	1.514706	1.354398	1.530544	1.424997	1.390414	1.451696	1.360032	1.693889	1.374764	1.519091	1.427054	1.365297	1.440867	1.545460	1.400311	1.341638
aod1	0.169033	0.161865	0.134493	0.140023	0.207593	0.119217	0.070150	0.126838	0.255390	0.184848	0.138919	0.150501	0.050337	0.143036	0.162416	0.089356	0.097532	0.194598	0.091661	0.095567
eod1-0	0.778846	0.796117	0.784494	0.761379	0.730618	0.728630	0.834688	0.771034	0.597351	0.694335	0.720961	0.850071	0.813793	0.779548	0.724280	0.768377	0.805746	0.760526	0.768309	0.742282
eod1-1	0.908686	0.902870	0.858824	0.874449	0.852941	0.807359	0.857143	0.848485	0.855530	0.858672	0.834081	0.933472	0.828638	0.850000	0.873362	0.818584	0.842227	0.894144	0.831818	0.768212
eod1	0.129840	0.106753	0.074329	0.113070	0.122324	0.078730	0.022455	0.077450	0.258179	0.164338	0.113119	0.083401	0.014845	0.070452	0.149083	0.050207	0.036482	0.133618	0.063509	0.025930
wcspd-00	0.572038	0.609508	0.571909	0.565180	0.515517	0.518868	0.675087	0.549497	0.420513	0.505863	0.508547	0.662931	0.590532	0.571551	0.519828	0.553464	0.572856	0.557776	0.564957	0.536833
wcspd-01	0.796200	0.804270	0.746858	0.739206	0.750896	0.670139	0.771777	0.721925	0.713299	0.746835	0.680000	0.869205	0.698292	0.747715	0.712042	0.687500	0.700704	0.779287	0.694346	0.656584
wcspd-10	0.826772	0.732510	0.752896	0.786008	0.778210	0.780000	0.815094	0.795652	0.585657	0.760163	0.734615	0.872881	0.837121	0.863118	0.730924	0.788235	0.891213	0.736842	0.844106	0.804082
wcspd-11	0.861635	0.846154	0.775000	0.853107	0.878947	0.832370	0.825843	0.818681	0.769697	0.819767	0.810811	0.866667	0.782353	0.882979	0.857923	0.800000	0.898089	0.855346	0.837349	0.807910
wcspd	0.289598	0.236646	0.203091	0.287927	0.363430	0.313502	0.150756	0.269185	0.349184	0.313905	0.302264	0.209950	0.246590	0.311428	0.338096	0.246536	0.325233	0.297570	0.279149	0.271076
