accuracy	0.862708	0.861866	0.859549	0.853653	0.860181	0.861445	0.859549	0.853653	0.858918	0.857233	0.863550	0.860181	0.859549	0.855759	0.865866	0.858707	0.859760	0.862708	0.858918	0.857444
recall	0.645287	0.652752	0.646133	0.636347	0.644884	0.647977	0.644971	0.640186	0.651559	0.646526	0.645911	0.650705	0.652477	0.643038	0.659959	0.636493	0.663234	0.652189	0.641107	0.656795
precision	0.785840	0.793040	0.781513	0.776731	0.777423	0.782542	0.765900	0.762808	0.801987	0.767687	0.793698	0.791761	0.784877	0.779043	0.780798	0.783511	0.793566	0.777403	0.764746	0.773627
f1score	0.679391	0.687584	0.679375	0.667828	0.677793	0.681634	0.676573	0.670649	0.686691	0.678023	0.680884	0.685117	0.686132	0.675388	0.693796	0.669310	0.697726	0.685451	0.672487	0.688793
mcc	0.407572	0.423143	0.405651	0.388492	0.400969	0.408949	0.392671	0.383885	0.427874	0.396096	0.414022	0.419379	0.416832	0.399568	0.423869	0.393433	0.437812	0.410938	0.386561	0.414263
spd0-0	0.053187	0.050044	0.054428	0.052326	0.069829	0.061029	0.057319	0.063569	0.060687	0.064276	0.054066	0.057054	0.062611	0.056510	0.066667	0.052538	0.058876	0.054490	0.058978	0.064327
spd0-1	0.098222	0.108792	0.103944	0.099085	0.088188	0.097352	0.104796	0.100486	0.097289	0.102762	0.094584	0.102090	0.102523	0.100907	0.103960	0.091890	0.116482	0.109572	0.099593	0.113222
spd0	0.045035	0.058747	0.049516	0.046759	0.018359	0.036324	0.047477	0.036918	0.036601	0.038486	0.040518	0.045036	0.039912	0.044397	0.037294	0.039352	0.057605	0.055082	0.040616	0.048895
aod0-0	0.324426	0.322281	0.311088	0.297083	0.377189	0.345464	0.324525	0.327967	0.348758	0.345667	0.330188	0.330605	0.355104	0.313179	0.380047	0.307860	0.317396	0.301426	0.327392	0.330193
aod0-1	0.365421	0.390904	0.382425	0.356208	0.336503	0.366090	0.380345	0.366453	0.361822	0.375472	0.355990	0.378728	0.376408	0.371394	0.393082	0.342132	0.433154	0.414301	0.364716	0.421087
aod0	0.020498	0.034311	0.035669	0.029562	0.020343	0.010313	0.027910	0.019243	0.006532	0.014903	0.012901	0.024061	0.010652	0.029108	0.006517	0.017136	0.057879	0.056437	0.018662	0.045447
eod0-0	0.309764	0.310105	0.293160	0.280528	0.350820	0.325806	0.300000	0.302548	0.331169	0.320000	0.313589	0.313725	0.332180	0.295820	0.354949	0.291946	0.296053	0.280405	0.302491	0.303630
eod0-1	0.323944	0.346516	0.339960	0.314394	0.301619	0.325866	0.336557	0.322709	0.327778	0.332016	0.320312	0.339114	0.337711	0.328820	0.351738	0.304519	0.392265	0.370445	0.322772	0.376200
eod0	0.014179	0.036411	0.046801	0.033866	0.049200	0.000059	0.036557	0.020161	0.003391	0.012016	0.006724	0.025388	0.005531	0.033000	0.003211	0.012572	0.096213	0.090040	0.020281	0.072569
spd1-0	0.063402	0.064757	0.070625	0.058677	0.056796	0.059683	0.076298	0.061728	0.059516	0.065107	0.062077	0.060491	0.075424	0.057846	0.065025	0.058240	0.068467	0.070891	0.058132	0.080374
spd1-1	0.083333	0.089087	0.084471	0.086432	0.090509	0.089792	0.085079	0.093640	0.090561	0.093780	0.081999	0.090765	0.087714	0.091869	0.096051	0.081021	0.100095	0.089065	0.091315	0.095420
spd1	0.019931	0.024330	0.013846	0.027755	0.033713	0.030110	0.008782	0.031912	0.031045	0.028672	0.019921	0.030274	0.012289	0.034023	0.031025	0.022780	0.031628	0.018174	0.033183	0.015046
aod1-0	0.311461	0.333026	0.353162	0.272697	0.277538	0.288406	0.380365	0.297691	0.286535	0.296951	0.323679	0.320998	0.358006	0.283157	0.332688	0.296514	0.326521	0.372467	0.283280	0.384302
aod1-1	0.361113	0.373658	0.351733	0.354485	0.381230	0.380741	0.349610	0.370064	0.382162	0.387233	0.353006	0.371940	0.369917	0.375033	0.408719	0.340245	0.415659	0.368409	0.375646	0.385812
