accuracy	0.837508	0.834846	0.834505	0.835119	0.835733	0.837849	0.835460	0.835187	0.831570	0.835802	0.833686	0.835870	0.834164	0.834437	0.838873	0.840169	0.834641	0.836552	0.834778	0.834164
recall	0.694590	0.687306	0.694651	0.693475	0.688791	0.691986	0.691612	0.693589	0.690575	0.695365	0.689450	0.681808	0.686901	0.687963	0.699458	0.696016	0.695045	0.692593	0.691901	0.686744
precision	0.816555	0.823389	0.820513	0.816605	0.823688	0.828942	0.824077	0.824782	0.823181	0.812934	0.822116	0.823638	0.820449	0.817880	0.825609	0.831536	0.819426	0.832252	0.819091	0.823844
f1score	0.726228	0.719392	0.726037	0.724738	0.721023	0.724903	0.723669	0.725524	0.721772	0.726272	0.721095	0.714317	0.718650	0.719529	0.731816	0.729401	0.726341	0.725423	0.723409	0.718734
mcc	0.496380	0.492231	0.499553	0.494996	0.494407	0.502603	0.498386	0.501494	0.496348	0.494516	0.494064	0.485138	0.489458	0.488875	0.509688	0.509848	0.499209	0.505923	0.494909	0.491837
spd0-0	0.043915	0.049751	0.049303	0.049774	0.053110	0.051319	0.052085	0.049184	0.056735	0.057391	0.056565	0.044983	0.052053	0.050154	0.053451	0.048871	0.053216	0.050750	0.051146	0.049948
spd0-1	0.168098	0.153932	0.166464	0.166071	0.153556	0.154472	0.158125	0.162727	0.158177	0.165766	0.155673	0.147319	0.154104	0.158067	0.165507	0.158184	0.166156	0.156244	0.162622	0.153752
spd0	0.124183	0.104181	0.117160	0.116297	0.100446	0.103152	0.106039	0.113543	0.101442	0.108376	0.099109	0.102336	0.102051	0.107914	0.112056	0.109313	0.112940	0.105494	0.111476	0.103804
aod0-0	0.309942	0.310152	0.339899	0.340243	0.349838	0.344415	0.353500	0.343106	0.357652	0.362323	0.373326	0.315206	0.331220	0.332545	0.363045	0.358101	0.356745	0.348911	0.363622	0.345506
aod0-1	0.494895	0.463039	0.484828	0.487246	0.459246	0.463705	0.467741	0.475378	0.463541	0.490847	0.458501	0.446371	0.461547	0.466230	0.489251	0.471616	0.482567	0.463644	0.474252	0.455838
aod0	0.092476	0.076443	0.072465	0.073501	0.054704	0.059645	0.057121	0.066136	0.052944	0.064262	0.042588	0.065583	0.065164	0.066843	0.063103	0.056758	0.062911	0.057366	0.055315	0.055166
eod0-0	0.295499	0.291439	0.324478	0.325411	0.330813	0.326255	0.336484	0.327586	0.337017	0.340700	0.352941	0.301708	0.312727	0.313112	0.346225	0.343313	0.337209	0.334539	0.348485	0.330869
eod0-1	0.446635	0.425813	0.439934	0.439676	0.421727	0.427996	0.427952	0.434080	0.425733	0.443990	0.420232	0.408543	0.422320	0.425017	0.446873	0.433880	0.439024	0.427382	0.429241	0.416471
eod0	0.151136	0.134374	0.115456	0.114264	0.090915	0.101741	0.091468	0.106494	0.088716	0.103291	0.067291	0.106835	0.109593	0.111905	0.100648	0.090567	0.101815	0.092843	0.080756	0.085602
spd1-0	0.089243	0.075779	0.089509	0.081030	0.079274	0.074669	0.070717	0.079096	0.082972	0.073903	0.074473	0.075012	0.075128	0.074388	0.092199	0.085873	0.082529	0.083060	0.091085	0.068024
spd1-1	0.132989	0.127180	0.134394	0.135405	0.127239	0.128340	0.132074	0.133051	0.132194	0.139654	0.131171	0.120208	0.128297	0.130178	0.134232	0.128454	0.136237	0.127695	0.131067	0.128322
spd1	0.043746	0.051401	0.044884	0.054375	0.047965	0.053671	0.061357	0.053955	0.049222	0.065751	0.056698	0.045196	0.053169	0.055790	0.042033	0.042581	0.053708	0.044636	0.039982	0.060298
aod1-0	0.451756	0.405606	0.457415	0.383469	0.392319	0.415555	0.387219	0.402146	0.420219	0.394672	0.413498	0.395866	0.406413	0.391208	0.473922	0.457934	0.422087	0.434886	0.476914	0.363697
aod1-1	0.460639	0.438796	0.456716	0.464749	0.443904	0.445704	0.451943	0.455958	0.446505	0.473393	0.445753	0.423265	0.440376	0.447390	0.462838	0.449396	0.462814	0.441742	0.448278	0.441931
aod1	0.004442	0.016595	0.000349	0.040640	0.025792	0.015075	0.032362	0.026906	0.013143	0.039360	0.016128	0.013699	0.016981	0.028091	0.005542	0.004269	0.020364	0.003428	0.014318	0.039117
eod1-0	0.422713	0.385321	0.429022	0.352410	0.369501	0.399381	0.367742	0.383523	0.395062	0.371429	0.396923	0.369637	0.385580	0.369565	0.442308	0.435045	0.397516	0.412121	0.447368	0.348837
eod1-1	0.424426	0.406742	0.422222	0.429112	0.412119	0.414304	0.418713	0.422285	0.414108	0.433491	0.411564	0.394308	0.407046	0.412583	0.430265	0.419385	0.426890	0.413023	0.414255	0.409206
eod1	0.001713	0.021421	0.006800	0.076702	0.042618	0.014923	0.050971	0.038762	0.019046	0.062063	0.014640	0.024671	0.021466	0.043018	0.012042	0.015660	0.029374	0.000902	0.033114	0.060368
wcspd-00	0.026345	0.026915	0.039742	0.032359	0.038126	0.030884	0.027174	0.035408	0.038934	0.042094	0.032064	0.038544	0.039195	0.032632	0.043757	0.043432	0.034268	0.027484	0.040966	0.030950
wcspd-01	0.047956	0.055469	0.051600	0.054047	0.056618	0.056273	0.057964	0.052470	0.061327	0.061240	0.062923	0.046530	0.055183	0.054384	0.055753	0.050193	0.057889	0.056363	0.053608	0.054504
wcspd-10	0.138554	0.115612	0.129904	0.120646	0.111395	0.109601	0.104465	0.113255	0.122151	0.099916	0.111697	0.103420	0.103420	0.108177	0.130730	0.118658	0.124436	0.127426	0.133993	0.096405
wcspd-11	0.172082	0.159186	0.171284	0.172278	0.159296	0.160568	0.165491	0.169566	0.162669	0.174867	0.161439	0.153418	0.161145	0.164882	0.170275	0.163799	0.171488	0.160214	0.166301	0.161929
wcspd	0.145737	0.132270	0.131542	0.139919	0.121170	0.129684	0.138317	0.134159	0.123735	0.132772	0.129375	0.114874	0.121950	0.132251	0.126518	0.120367	0.137220	0.132730	0.125334	0.130979
wcaod-00	0.228321	0.286556	0.376240	0.293073	0.353702	0.340230	0.343372	0.313921	0.326691	0.346765	0.339855	0.363462	0.334960	0.288983	0.473572	0.495099	0.326996	0.255739	0.373016	0.386673
wcaod-01	0.320037	0.315432	0.334576	0.348907	0.349701	0.346189	0.356293	0.347777	0.363874	0.365240	0.380486	0.308134	0.330974	0.339903	0.349687	0.337781	0.361245	0.363610	0.362113	0.341177
wcaod-10	0.510718	0.452927	0.489850	0.426338	0.406812	0.442242	0.408014	0.427332	0.460620	0.413299	0.443970	0.411910	0.431916	0.424573	0.485222	0.457124	0.451823	0.494704	0.517639	0.364967
wcaod-11	0.493625	0.464099	0.484546	0.492618	0.464995	0.466377	0.473596	0.481259	0.463814	0.499053	0.460493	0.449540	0.465146	0.470862	0.489360	0.473240	0.485923	0.460781	0.470678	0.466212
wcaod	0.141199	0.088772	0.077637	0.099773	0.057647	0.063074	0.065112	0.083669	0.068562	0.076144	0.060319	0.070703	0.067086	0.090940	0.069837	0.078659	0.079463	0.119483	0.077763	0.062517
wceod-00	0.214286	0.282051	0.362319	0.283951	0.338462	0.333333	0.338710	0.300000	0.313253	0.328947	0.333333	0.348485	0.320000	0.275362	0.457627	0.484848	0.311475	0.246575	0.357143	0.380952
wceod-01	0.305495	0.292994	0.318777	0.332618	0.329741	0.325167	0.336188	0.331858	0.341304	0.342612	0.356347	0.295011	0.311579	0.319005	0.332645	0.321839	0.340659	0.347917	0.347162	0.324268
wceod-10	0.467433	0.417671	0.447581	0.374502	0.376812	0.417323	0.375000	0.404255	0.423237	0.384937	0.417004	0.375527	0.405738	0.395257	0.438735	0.422642	0.417625	0.459144	0.474359	0.341637
wceod-11	0.444610	0.426563	0.439252	0.445716	0.426339	0.428991	0.432727	0.437137	0.425946	0.449222	0.420520	0.411478	0.423817	0.427784	0.447630	0.434974	0.441039	0.424408	0.425408	0.424276
wceod	0.253147	0.144512	0.128803	0.161766	0.096598	0.103824	0.096539	0.137137	0.112693	0.120274	0.087187	0.116467	0.112238	0.152422	0.124982	0.163009	0.129563	0.212569	0.127197	0.100008
