accuracy	0.860602	0.865866	0.862497	0.857233	0.861445	0.861023	0.865235	0.852811	0.861234	0.859760	0.864393	0.859760	0.862287	0.858075	0.864182	0.859971	0.859339	0.866498	0.863550	0.856812
recall	0.651069	0.667754	0.661149	0.651316	0.660619	0.656183	0.665179	0.648904	0.663121	0.657425	0.664388	0.663373	0.667599	0.649680	0.661004	0.648094	0.663902	0.672194	0.654082	0.666960
precision	0.771473	0.798610	0.783398	0.781291	0.772384	0.774603	0.777910	0.754654	0.801330	0.771669	0.782319	0.779526	0.785348	0.784524	0.772948	0.779741	0.791068	0.780623	0.777157	0.765485
f1score	0.683374	0.703560	0.694852	0.684262	0.692728	0.688773	0.698204	0.678244	0.698697	0.689422	0.698011	0.696109	0.701184	0.683060	0.693477	0.681255	0.698022	0.705159	0.687381	0.696988
mcc	0.405024	0.447629	0.427408	0.412621	0.418331	0.414189	0.428509	0.389456	0.443411	0.413606	0.430859	0.427397	0.437374	0.412735	0.419265	0.407078	0.436836	0.439643	0.413303	0.421072
spd0-0	0.067253	0.063773	0.069978	0.063953	0.086517	0.073670	0.068342	0.074090	0.070950	0.076082	0.070330	0.073419	0.080817	0.067360	0.071828	0.065004	0.069213	0.072799	0.065968	0.076923
spd0-1	0.100647	0.109595	0.105588	0.103462	0.094660	0.100204	0.110439	0.107780	0.101276	0.102356	0.107114	0.109727	0.103324	0.095782	0.105611	0.095885	0.109746	0.113646	0.100407	0.120744
spd0	0.033394	0.045821	0.035609	0.039509	0.008143	0.026533	0.042097	0.033689	0.030325	0.026274	0.036784	0.036308	0.022507	0.028423	0.033783	0.030880	0.040533	0.040847	0.034439	0.043821
aod0-0	0.369218	0.379687	0.378684	0.349495	0.440804	0.387298	0.378679	0.366932	0.393410	0.396046	0.420351	0.388122	0.426154	0.352698	0.380111	0.356342	0.373671	0.391517	0.365967	0.383689
aod0-1	0.374481	0.408401	0.397729	0.379821	0.365854	0.380346	0.415975	0.388959	0.380341	0.383751	0.389112	0.406823	0.392463	0.366398	0.404318	0.361778	0.405857	0.436058	0.380426	0.441929
aod0	0.002631	0.014357	0.009522	0.015163	0.037475	0.003476	0.018648	0.011014	0.006534	0.006148	0.015620	0.009351	0.016845	0.006850	0.012104	0.002718	0.016093	0.022271	0.007230	0.029120
eod0-0	0.343434	0.358885	0.351792	0.326733	0.403279	0.358065	0.348148	0.334395	0.370130	0.363333	0.397213	0.359477	0.391003	0.327974	0.348123	0.332215	0.348684	0.361486	0.338078	0.349835
eod0-1	0.331992	0.369115	0.357853	0.339015	0.329960	0.340122	0.375242	0.340637	0.346296	0.343874	0.343750	0.364162	0.358349	0.330754	0.364008	0.324165	0.366483	0.392713	0.342574	0.391555
